sr_id,sr_name,sr_pmid,gt_title,gt_pmid,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
7,ijerph-19-11613,36141893,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia.",31995857,10.1056/NEJMoa2001316,2020,"Li Q, Guan X, Wu P, Wang X, Zhou L, Tong Y, Ren R, Leung KSM, Lau EHY, Wong JY, Xing X, Xiang N, Wu Y, Li C, Chen Q, Li D, Liu T, Zhao J, Liu M, Tu W, Chen C, Jin L, Yang R, Wang Q, Zhou S, Wang R, Liu H, Luo Y, Liu Y, Shao G, Li H, Tao Z, Yang Y, Deng Z, Liu B, Ma Z, Zhang Y, Shi G, Lam TTY, Wu JT, Gao GF, Cowling BJ, Yang B, Leung GM, Feng Z",The New England journal of medicine,,verified,,,2026-01-28T08:10:59.954991
7,ijerph-19-11613,36141893,"Preliminary estimation of the basic reproduction number of novel coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early phase of the outbreak.",32007643,10.1016/j.ijid.2020.01.050,2020,"Zhao S, Lin Q, Ran J, Musa SS, Yang G, Wang W, Lou Y, Gao D, Yang L, He D, Wang MH",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-28T08:59:20.046279
7,ijerph-19-11613,36141893,"Nowcasting and forecasting the potential domestic and international spread of the 2019-nCoV outbreak originating in Wuhan, China: a modelling study.",32014114,10.1016/S0140-6736(20)30260-9,2020,"Wu JT, Leung K, Leung GM","Lancet (London, England)",,verified,,,2026-01-28T08:55:12.532261
7,ijerph-19-11613,36141893,Real-Time Estimation of the Risk of Death from Novel Coronavirus (COVID-19) Infection: Inference Using Exported Cases.,32075152,10.3390/jcm9020523,2020,"Jung SM, Akhmetzhanov AR, Hayashi K, Linton NM, Yang Y, Yuan B, Kobayashi T, Kinoshita R, Nishiura H",Journal of clinical medicine,,verified,,,2026-01-28T09:00:11.918617
7,ijerph-19-11613,36141893,Estimation of the reproductive number of novel coronavirus (COVID-19) and the probable outbreak size on the Diamond Princess cruise ship: A data-driven analysis.,32097725,10.1016/j.ijid.2020.02.033,2020,"Zhang S, Diao M, Yu W, Pei L, Lin Z, Chen D",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-28T08:21:48.533063
7,ijerph-19-11613,36141893,"Prediction of the Epidemic Peak of Coronavirus Disease in Japan, 2020.",32183172,10.3390/jcm9030789,2020,Kuniya T,Journal of clinical medicine,,verified,,,2026-01-28T08:58:39.273108
7,ijerph-19-11613,36141893,"Data-based analysis, modelling and forecasting of the COVID-19 outbreak.",32231374,10.1371/journal.pone.0230405,2020,"Anastassopoulou C, Russo L, Tsakris A, Siettos C",PloS one,,verified,,,2026-01-28T08:09:51.084344
7,ijerph-19-11613,36141893,A Simulation on Potential Secondary Spread of Novel Coronavirus in an Exported Country Using a Stochastic Epidemic SEIR Model.,32235480,10.3390/jcm9040944,2020,"Iwata K, Miyakoshi C",Journal of clinical medicine,,verified,,,2026-01-28T07:23:07.908797
7,ijerph-19-11613,36141893,High Contagiousness and Rapid Spread of Severe Acute Respiratory Syndrome Coronavirus 2.,32255761,10.3201/eid2607.200282,2020,"Sanche S, Lin YT, Xu C, Romero-Severson E, Hengartner N, Ke R",Emerging infectious diseases,,verified,,,2026-01-28T08:48:38.787813
7,ijerph-19-11613,36141893,Preliminary estimates of the reproduction number of the coronavirus disease (COVID-19) outbreak in Republic of Korea and Italy by 5 March 2020.,32334115,10.1016/j.ijid.2020.04.044,2020,"Zhuang Z, Zhao S, Lin Q, Cao P, Lou Y, Yang L, Yang S, He D, Xiao L",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-28T08:58:54.811122
7,ijerph-19-11613,36141893,"Epidemiology and transmission of COVID-19 in 391 cases and 1286 of their close contacts in Shenzhen, China: a retrospective cohort study.",32353347,10.1016/S1473-3099(20)30287-5,2020,"Bi Q, Wu Y, Mei S, Ye C, Zou X, Zhang Z, Liu X, Wei L, Truelove SA, Zhang T, Gao W, Cheng C, Tang X, Wu X, Wu Y, Sun B, Huang S, Sun Y, Zhang J, Ma T, Lessler J, Feng T",The Lancet. Infectious diseases,,verified,,,2026-01-28T08:12:36.253214
7,ijerph-19-11613,36141893,Outbreak dynamics of COVID-19 in Europe and the effect of travel restrictions.,32367739,10.1080/10255842.2020.1759560,2020,"Linka K, Peirlinck M, Sahli Costabal F, Kuhl E",Computer methods in biomechanics and biomedical engineering,,verified,,,2026-01-28T08:56:01.164391
7,ijerph-19-11613,36141893,"Early transmission dynamics of COVID-19 in a southern hemisphere setting: Lima-Peru: February 29(th)-March 30(th), 2020.",32511517,10.1101/2020.04.30.20077594,2020,"Munayco CV, Tariq A, Rothenberg R, Soto-Cabezas GG, Reyes MF, Valle A, Rojas-Mezarina L, Cabezas C, Loayza M, Peru COVID-19 working group, Chowell G",medRxiv : the preprint server for health sciences,,verified,,,2026-01-28T08:11:29.796845
7,ijerph-19-11613,36141893,Estimating the burden of SARS-CoV-2 in France.,32404476,10.1126/science.abc3517,2020,"Salje H, Tran Kiem C, Lefrancq N, Courtejoie N, Bosetti P, Paireau J, Andronico A, Hozé N, Richet J, Dubost CL, Le Strat Y, Lessler J, Levy-Bruhl D, Fontanet A, Opatowski L, Boelle PY, Cauchemez S","Science (New York, N.Y.)",,verified,,,2026-01-28T08:47:03.333679
7,ijerph-19-11613,36141893,"Inferring super-spreading from transmission clusters of COVID-19 in Hong Kong, Japan, and Singapore.",32446721,10.1016/j.jhin.2020.05.027,2020,"Kwok KO, Chan HHH, Huang Y, Hui DSC, Tambyah PA, Wei WI, Chau PYK, Wong SYS, Tang JWT",The Journal of hospital infection,,verified,,,2026-01-28T08:49:12.478644
7,ijerph-19-11613,36141893,"Estimating the serial interval of the novel coronavirus disease (COVID-19) based on the public surveillance data in Shenzhen, China, from 19 January to 22 February 2020.",32452648,10.1111/tbed.13647,2020,"Wang K, Zhao S, Liao Y, Zhao T, Wang X, Zhang X, Jiao H, Li H, Yin Y, Wang MH, Xiao L, Wang L, He D",Transboundary and emerging diseases,,verified,,,2026-01-28T08:48:17.046530
7,ijerph-19-11613,36141893,Evaluating Transmission Heterogeneity and Super-Spreading Event of COVID-19 in a Metropolis of China.,32456346,10.3390/ijerph17103705,2020,"Zhang Y, Li Y, Wang L, Li M, Zhou X",International journal of environmental research and public health,,verified,,,2026-01-28T08:23:13.709990
7,ijerph-19-11613,36141893,Estimation of the time-varying reproduction number of COVID-19 outbreak in China.,32460229,10.1016/j.ijheh.2020.113555,2020,"You C, Deng Y, Hu W, Sun J, Lin Q, Zhou F, Pang CH, Zhang Y, Chen Z, Zhou XH",International journal of hygiene and environmental health,,verified,,,2026-01-28T08:22:16.176981
7,ijerph-19-11613,36141893,Modelling SARS-COV2 Spread in London: Approaches to Lift the Lockdown.,32461062,10.1016/j.jinf.2020.05.037,2020,"Goscé L, Phillips PA, Spinola P, Gupta DRK, Abubakar PI",The Journal of infection,,verified,,,2026-01-28T08:54:42.132341
7,ijerph-19-11613,36141893,"Estimates of the ongoing need for social distancing and control measures post-""lockdown"" from trajectories of COVID-19 cases and mortality.",32482785,10.1183/13993003.01483-2020,2020,"Lonergan M, Chalmers JD",The European respiratory journal,,verified,,,2026-01-28T08:16:41.997279
7,ijerph-19-11613,36141893,Forecast Possible Risk for COVID-19 Epidemic Dissemination Under Current Control Strategies in Japan.,32486011,10.3390/ijerph17113872,2020,"Chen Z, Yang J, Dai B",International journal of environmental research and public health,,verified,,,2026-01-28T08:25:43.469424
7,ijerph-19-11613,36141893,"A data-driven network model for the emerging COVID-19 epidemics in Wuhan, Toronto and Italy.",32497623,10.1016/j.mbs.2020.108391,2020,"Xue L, Jing S, Miller JC, Sun W, Li H, Estrada-Franco JG, Hyman JM, Zhu H",Mathematical biosciences,,verified,,,2026-01-28T07:18:50.653897
7,ijerph-19-11613,36141893,Substantial undocumented infection facilitates the rapid dissemination of novel coronavirus (SARS-CoV-2).,32179701,10.1126/science.abb3221,2020,"Li R, Pei S, Chen B, Song Y, Zhang T, Yang W, Shaman J","Science (New York, N.Y.)",,verified,,,2026-01-28T09:14:00.612860
7,ijerph-19-11613,36141893,Estimation of the reproduction number and early prediction of the COVID-19 outbreak in India using a statistical computing approach.,32512670,10.4178/epih.e2020028,2020,"Kanagarathinam K, Sekar K",Epidemiology and health,,verified,,,2026-01-28T08:21:30.006953
7,ijerph-19-11613,36141893,"The basic reproduction number and prediction of the epidemic size of the novel coronavirus (COVID-19) in Shahroud, Iran.",32517845,10.1017/S0950268820001247,2020,"Khosravi A, Chaman R, Rohani-Rasaf M, Zare F, Mehravaran S, Emamian MH",Epidemiology and infection,,verified,,,2026-01-28T09:02:08.192779
