sr_id,sr_name,sr_pmid,gt_title,gt_pmid,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
12,12879_2021_Article_5950(serial Interval-3),33706702,"Estimation of the serial interval and basic reproduction number of COVID-19 in Qom, Iran, and three other countries: A data-driven analysis in the early phase of the outbreak",32473049,10.1111/tbed.13656,2020,"Mohammad Aghaali, Goodarz Kolifarhood, Roya Nikbakht, Hossein Mozafar Saadati, Seyed Saeed Hashemi Nazari",,,verified,,,2026-01-28T01:58:12.599278
12,12879_2021_Article_5950(serial Interval-3),33706702,Serial interval of SARS-CoV-2 was shortened over time by nonpharmaceutical interventions.,32694200,10.1126/science.abc9004,2020,"Ali ST, Wang L, Lau EHY, Xu XK, Du Z, Wu Y, Leung GM, Cowling BJ","Science (New York, N.Y.)",,verified,,,2026-01-28T02:10:18.727080
12,12879_2021_Article_5950(serial Interval-3),33706702,"Epidemiology and transmission of COVID-19 in 391 cases and 1286 of their close contacts in Shenzhen, China: a retrospective cohort study.",32353347,10.1016/S1473-3099(20)30287-5,2020,"Bi Q, Wu Y, Mei S, Ye C, Zou X, Zhang Z, Liu X, Wei L, Truelove SA, Zhang T, Gao W, Cheng C, Tang X, Wu X, Wu Y, Sun B, Huang S, Sun Y, Zhang J, Ma T, Lessler J, Feng T",The Lancet. Infectious diseases,,verified,,,2026-01-28T02:13:12.486024
12,12879_2021_Article_5950(serial Interval-3),33706702,Estimation of the incubation period of COVID-19 in Vietnam.,33362233,10.1371/journal.pone.0243889,2020,"Bui LV, Nguyen HT, Levine H, Nguyen HN, Nguyen TA, Nguyen TP, Nguyen TT, Do TTT, Pham NT, Bui MH",PloS one,,verified,,,2026-01-28T02:14:44.533529
12,12879_2021_Article_5950(serial Interval-3),33706702,"The early phase of the COVID-19 epidemic in Lombardy, Italy.",34814093,10.1016/j.epidem.2021.100528,2021,"Cereda D, Manica M, Tirani M, Rovida F, Demicheli V, Ajelli M, Poletti P, Trentini F, Guzzetta G, Marziano V, Piccarreta R, Barone A, Magoni M, Deandrea S, Diurno G, Lombardo M, Faccini M, Pan A, Bruno R, Pariani E, Grasselli G, Piatti A, Gramegna M, Baldanti F, Melegaro A, Merler S",Epidemics,,verified,,,2026-01-28T02:16:06.778268
12,12879_2021_Article_5950(serial Interval-3),33706702,COVID-19 serial interval estimates based on confirmed cases in public reports from 86 Chinese cities.,32511616,10.1101/2020.04.23.20075796,2020,"Du Z, Xu X, Wu Y, Wang L, Cowling BJ, Meyers LA",medRxiv : the preprint server for health sciences,,verified,,,2026-01-28T02:45:22.483902
12,12879_2021_Article_5950(serial Interval-3),33706702,Temporal dynamics in viral shedding and transmissibility of COVID-19.,32296168,10.1038/s41591-020-0869-5,2020,"He X, Lau EHY, Wu P, Deng X, Wang J, Hao X, Lau YC, Wong JY, Guan Y, Tan X, Mo X, Chen Y, Liao B, Chen W, Hu F, Zhang Q, Zhong M, Wu Y, Zhao L, Zhang F, Cowling BJ, Li F, Leung GM",Nature medicine,,verified,,,2026-01-28T02:46:33.397366
12,12879_2021_Article_5950(serial Interval-3),33706702,"Serial Interval and Generation Interval for Imported and Local Infectors, Respectively, Estimated Using Reported Contact-Tracing Data of COVID-19 in China.",33490015,10.3389/fpubh.2020.577431,2020,"Li M, Liu K, Song Y, Wang M, Wu J",Frontiers in public health,,verified,,,2026-01-28T02:47:28.834865
12,12879_2021_Article_5950(serial Interval-3),33706702,"Serial Interval and Reproductive Number of COVID-19 Among 116 Infector-infectee Pairs - Jingzhou City, Hubei Province, China, 2020.",34594686,10.46234/ccdcw2020.118,2020,"Liu T, Qi L, Yao M, Tian K, Lin M, Jiang H, Zeng M, Huang J",China CDC weekly,,verified,,,2026-01-28T02:49:40.535757
12,12879_2021_Article_5950(serial Interval-3),33706702,Serial interval and time-varying reproduction number estimation for COVID-19 in western Iran.,32566233,10.1016/j.nmni.2020.100715,2020,"Najafi F, Izadi N, Hashemi-Nazari SS, Khosravi-Shadmani F, Nikbakht R, Shakiba E",New microbes and new infections,,verified,,,2026-01-28T02:50:24.885221
12,12879_2021_Article_5950(serial Interval-3),33706702,Serial interval of novel coronavirus (COVID-19) infections.,32145466,10.1016/j.ijid.2020.02.060,2020,"Nishiura H, Linton NM, Akhmetzhanov AR",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-28T02:51:12.288898
12,12879_2021_Article_5950(serial Interval-3),33706702,"Epidemiological characteristics of the first 53 laboratory-confirmed cases of COVID-19 epidemic in Hong Kong, 13 February 2020.",32347198,10.2807/1560-7917.ES.2020.25.16.2000155,2020,"Kwok KO, Wong VWY, Wei WI, Wong SYS, Tang JW",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,,verified,,,2026-01-28T02:52:00.852678
12,12879_2021_Article_5950(serial Interval-3),33706702,Evidence for transmission of COVID-19 prior to symptom onset.,32568070,10.7554/eLife.57149,2020,"Tindale LC, Stockdale JE, Coombe M, Garlock ES, Lau WYV, Saraswat M, Zhang L, Chen D, Wallinga J, Colijn C",eLife,,verified,,,2026-01-28T02:53:36.666317
12,12879_2021_Article_5950(serial Interval-3),33706702,Incubation period and serial interval of Covid-19 in a chain of infections in Bahia Blanca (Argentina).,32876267,10.1590/1413-81232020259.20852020,2020,"Viego V, Geri M, Castiglia J, Jouglard E",Ciencia & saude coletiva,,verified,,,2026-01-28T02:55:00.903698
12,12879_2021_Article_5950(serial Interval-3),33706702,"Reconstruction of Transmission Pairs for Novel Coronavirus Disease 2019 (COVID-19) in Mainland China: Estimation of Superspreading Events, Serial Interval, and Hazard of Infection.",32556265,10.1093/cid/ciaa790,2020,"Xu XK, Liu XF, Wu Y, Ali ST, Du Z, Bosetti P, Lau EHY, Cowling BJ, Wang L",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,verified,,,2026-01-28T02:55:59.261814
12,12879_2021_Article_5950(serial Interval-3),33706702,"Estimation of incubation period and serial interval of COVID-19: analysis of 178 cases and 131 transmission chains in Hubei province, China.",32594928,10.1017/S0950268820001338,2020,"Yang L, Dai J, Zhao J, Wang Y, Deng P, Wang J",Epidemiology and infection,,verified,,,2026-01-28T02:56:35.348599
12,12879_2021_Article_5950(serial Interval-3),33706702,Estimation of the time-varying reproduction number of COVID-19 outbreak in China.,32460229,10.1016/j.ijheh.2020.113555,2020,"You C, Deng Y, Hu W, Sun J, Lin Q, Zhou F, Pang CH, Zhang Y, Chen Z, Zhou XH",International journal of hygiene and environmental health,,verified,,,2026-01-28T02:57:18.210496
12,serial Interval-3,33706702,,31995857,,,,,,coding_updated,Added from coding/pmids.txt during GT reconciliation on 2026-05-07; absent from previous screening ground_truth.csv.,,2026-05-07T01:50:04+08:00
