no,first_author,country,study_period,sample_size_pairs,mean_days,sd,ci_95
1,Aghaali,Iran,February 20 2020,37,4.55,3.3,NR
2,Ali,China,January 9 to February 13 2020,677,5.1,5.3,4.7-5.5
3,Bi,China,Jan 14 to February 12 2020,48,6.3,4.2,5.2-7.6
4,Bui,Vietnam,January 29 to March 24 2020,9,5.8,3.6,NR
5,Cereda,Italy,March 8 2020,90,6.6,2.8,0.7-19
6,Chan,China,January 23 to April 6 2020,47,6.5,4.7,NR
7,Cheng,Taiwan,January 15 to February 26 2020,12,7.0,5.8,3.7-13.2
8,Du,China,January 20 to February 19 2020,339,5.3,5.3,4.7-5.9
9,He,China,January 21 to March 6 2020,77,5.8,4.5,4.8-6.8
10,Li,China,January 21 2020 to February 29 2020,337,5.8,3.9,5.4-6.2
11,Li,China,January 22 2020,6,7.5,3.4,5.3-19
12,Liu,China,January 1 to March 12 2020,116,5.8,3.2,NR
13,Najafi,Iran,February 22 to March 29 2020,21,5.7,3.9,NR
14,Nishiura,Japan,February 12 2020,28,4.7,2.9,3.7-6.0
15,Kowk,China,February 13 2020,26,4.6,3.3,3.4-5.9
16,Tindale,Singapore,January 19 to February 26 2020,93,4.6,0.9,2.7-6.4
17,Tindale,Tianjin,January 21 to February 27 2020,135,4.2,4.0,3.4-5.0
18,Viego,Argentina,March 20 to May 8 2020,13,5.5,5.0,2.8-8.1
19,Xu,China,January 15 to February 29 2020,1407,5.2,5.3,4.6-5.8
20,Yang,China,January 20 2020,152,4.6,4.4,3.7-5.5
21,You,China,March 31 2020,198,4.6,5.5,NR
22,Zhang,China,after January 20 2020,35,5.1,3.4,1.3-11.6
23,Zhao,China,February 15 2020,21,4.4,3.0,2.9-6.7
