sr_id,sr_name,sr_pmid,gt_title,gt_pmid,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
16,medi-100-e25837,33950996,Estimation of exponential growth rate and basic reproduction number of the coronavirus disease 2019 (COVID-19) in Africa.,32678037,10.1186/s40249-020-00718-y,2020,"Musa SS, Zhao S, Wang MH, Habib AG, Mustapha UT, He D",Infectious diseases of poverty,,verified,,,2026-01-28T05:35:43.440343
16,medi-100-e25837,33950996,"[Estimating the basic reproduction number of COVID-19 in Wuhan, China].",32125128,10.3760/cma.j.cn112338-20200210-00086,2020,"Wang Y, You XY, Wang YJ, Peng LP, Du ZC, Gilmour S, Yoneoka D, Gu J, Hao C, Hao YT, Li JH",Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,,verified,,,2026-01-28T05:36:23.784687
16,medi-100-e25837,33950996,Transmission potential and severity of COVID-19 in South Korea.,32198088,10.1016/j.ijid.2020.03.031,2020,"Shim E, Tariq A, Choi W, Lee Y, Chowell G",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-28T05:36:45.813885
16,medi-100-e25837,33950996,High Contagiousness and Rapid Spread of Severe Acute Respiratory Syndrome Coronavirus 2.,32255761,10.3201/eid2607.200282,2020,"Sanche S, Lin YT, Xu C, Romero-Severson E, Hengartner N, Ke R",Emerging infectious diseases,,verified,,,2026-01-28T05:41:37.008855
16,medi-100-e25837,33950996,[Study on assessing early epidemiological parameters of COVID-19 epidemic in China].,32113196,10.3760/cma.j.cn112338-20200205-00069,2020,"Song QQ, Zhao H, Fang LQ, Liu W, Zheng C, Zhang Y",Zhonghua liu xing bing xue za zhi = Zhonghua liuxingbingxue zazhi,,verified,,,2026-01-28T05:42:59.214877
16,medi-100-e25837,33950996,"Preliminary estimation of the basic reproduction number of novel coronavirus (2019-nCoV) in China, from 2019 to 2020: A data-driven analysis in the early phase of the outbreak.",32007643,10.1016/j.ijid.2020.01.050,2020,"Zhao S, Lin Q, Ran J, Musa SS, Yang G, Wang W, Lou Y, Gao D, Yang L, He D, Wang MH",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-28T05:44:28.700054
16,medi-100-e25837,33950996,Estimating the Unreported Number of Novel Coronavirus (2019-nCoV) Cases in China in the First Half of January 2020: A Data-Driven Modelling Analysis of the Early Outbreak.,32024089,10.3390/jcm9020388,2020,"Zhao S, Musa SS, Lin Q, Ran J, Yang G, Wang W, Lou Y, Yang L, Gao D, He D, Wang MH",Journal of clinical medicine,,verified,,,2026-01-28T05:44:59.042805
16,medi-100-e25837,33950996,Novel coronavirus 2019-nCoV (COVID-19): early estimation of epidemiological parameters and epidemic size estimates.,34053269,10.1098/rstb.2020.0265,2021,"Read JM, Bridgen JRE, Cummings DAT, Ho A, Jewell CP","Philosophical transactions of the Royal Society of London. Series B, Biological sciences",,verified,,,2026-01-28T05:45:41.644696
16,medi-100-e25837,33950996,Estimation of the Transmission Risk of the 2019-nCoV and Its Implication for Public Health Interventions.,32046137,10.3390/jcm9020462,2020,"Tang B, Wang X, Li Q, Bragazzi NL, Tang S, Xiao Y, Wu J",Journal of clinical medicine,,verified,,,2026-01-28T05:49:22.780134
16,medi-100-e25837,33950996,Preliminary prediction of the basic reproduction number of the Wuhan novel coronavirus 2019-nCoV.,32048815,10.1111/jebm.12376,2020,"Zhou T, Liu Q, Yang Z, Liao J, Yang K, Bai W, Lu X, Zhang W",Journal of evidence-based medicine,,verified,,,2026-01-28T05:50:00.910240
16,medi-100-e25837,33950996,Effects of media reporting on mitigating spread of COVID-19 in the early phase of the outbreak.,32233561,10.3934/mbe.2020147,2020,"Zhou WK, Wang AL, Xia F, Xiao YN, Tang SY",Mathematical biosciences and engineering : MBE,,verified,,,2026-01-28T05:50:29.772203
16,medi-100-e25837,33950996,A mathematical model for simulating the phase-based transmissibility of a novel coronavirus.,32111262,10.1186/s40249-020-00640-3,2020,"Chen TM, Rui J, Wang QP, Zhao ZY, Cui JA, Yin L",Infectious diseases of poverty,,verified,,,2026-01-28T05:52:59.655248
16,medi-100-e25837,33950996,Basic reproduction number and predicted trends of coronavirus disease 2019 epidemic in the mainland of China.,32678056,10.1186/s40249-020-00704-4,2020,"Li Y, Wang LW, Peng ZH, Shen HB",Infectious diseases of poverty,,verified,,,2026-01-28T05:53:35.721652
16,medi-100-e25837,33950996,Lessons drawn from China and South Korea for managing COVID-19 epidemic: Insights from a comparative modeling study.,35164963,10.1016/j.isatra.2021.12.004,2022,"Tang B, Xia F, Bragazzi NL, McCarthy Z, Wang X, He S, Sun X, Tang S, Xiao Y, Wu J",ISA transactions,,verified,,,2026-01-28T05:54:09.780208
16,medi-100-e25837,33950996,Real-Time Estimation of the Risk of Death from Novel Coronavirus (COVID-19) Infection: Inference Using Exported Cases.,32075152,10.3390/jcm9020523,2020,"Jung SM, Akhmetzhanov AR, Hayashi K, Linton NM, Yang Y, Yuan B, Kobayashi T, Kinoshita R, Nishiura H",Journal of clinical medicine,,verified,,,2026-01-28T05:54:38.241026
16,medi-100-e25837,33950996,The effect of travel restrictions on the spread of the 2019 novel coronavirus (COVID-19) outbreak.,32144116,10.1126/science.aba9757,2020,"Chinazzi M, Davis JT, Ajelli M, Gioannini C, Litvinova M, Merler S, Pastore Y Piontti A, Mu K, Rossi L, Sun K, Viboud C, Xiong X, Yu H, Halloran ME, Longini IM Jr, Vespignani A","Science (New York, N.Y.)",,verified,,,2026-01-28T05:56:46.590248
16,medi-100-e25837,33950996,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia.",31995857,10.1056/NEJMoa2001316,2020,"Li Q, Guan X, Wu P, Wang X, Zhou L, Tong Y, Ren R, Leung KSM, Lau EHY, Wong JY, Xing X, Xiang N, Wu Y, Li C, Chen Q, Li D, Liu T, Zhao J, Liu M, Tu W, Chen C, Jin L, Yang R, Wang Q, Zhou S, Wang R, Liu H, Luo Y, Liu Y, Shao G, Li H, Tao Z, Yang Y, Deng Z, Liu B, Ma Z, Zhang Y, Shi G, Lam TTY, Wu JT, Gao GF, Cowling BJ, Yang B, Leung GM, Feng Z",The New England journal of medicine,,verified,,,2026-01-28T05:57:13.732612
16,medi-100-e25837,33950996,Risk for Transportation of 2019 Novel Coronavirus (COVID-19) from Wuhan to Cities in China.,32511457,10.1101/2020.01.28.20019299,2020,"Du Z, Wang L, Cauchemez S, Xu X, Wang X, Cowling BJ, Meyers LA",medRxiv : the preprint server for health sciences,,verified,,,2026-01-28T05:57:38.618278
16,medi-100-e25837,33950996,"Early transmissibility assessment of a novel coronavirus in Wuhan, China.",32714102,10.2139/ssrn.3524675,2020,"Majumder MS, Mandl KD",SSRN,,verified,,,2026-01-28T05:59:04.593610
16,medi-100-e25837,33950996,"Nowcasting and forecasting the potential domestic and international spread of the 2019-nCoV outbreak originating in Wuhan, China: a modelling study.",32014114,10.1016/S0140-6736(20)30260-9,2020,"Wu JT, Leung K, Leung GM","Lancet (London, England)",,verified,,,2026-01-28T05:59:28.740022
16,medi-100-e25837,33950996,"Pattern of early human-to-human transmission of Wuhan 2019 novel coronavirus (2019-nCoV), December 2019 to January 2020.",32019669,10.2807/1560-7917.ES.2020.25.4.2000058,2020,"Riou J, Althaus CL",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,,verified,,,2026-01-28T06:00:10.322326
