sr_id,sr_name,sr_pmid,gt_title,gt_pmid,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
13,ciab491(serial Interval-4),34037748,"Epidemiology and transmission of COVID-19 in 391 cases and 1286 of their close contacts in Shenzhen, China: a retrospective cohort study.",32353347,10.1016/S1473-3099(20)30287-5,2020,"Bi Q, Wu Y, Mei S, Ye C, Zou X, Zhang Z, Liu X, Wei L, Truelove SA, Zhang T, Gao W, Cheng C, Tang X, Wu X, Wu Y, Sun B, Huang S, Sun Y, Zhang J, Ma T, Lessler J, Feng T",The Lancet. Infectious diseases,,verified,,,2026-01-28T01:48:02.440574
13,ciab491(serial Interval-4),34037748,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia.",31995857,10.1056/NEJMoa2001316,2020,"Li Q, Guan X, Wu P, Wang X, Zhou L, Tong Y, Ren R, Leung KSM, Lau EHY, Wong JY, Xing X, Xiang N, Wu Y, Li C, Chen Q, Li D, Liu T, Zhao J, Liu M, Tu W, Chen C, Jin L, Yang R, Wang Q, Zhou S, Wang R, Liu H, Luo Y, Liu Y, Shao G, Li H, Tao Z, Yang Y, Deng Z, Liu B, Ma Z, Zhang Y, Shi G, Lam TTY, Wu JT, Gao GF, Cowling BJ, Yang B, Leung GM, Feng Z",The New England journal of medicine,,verified,,,2026-01-28T01:48:49.420499
13,ciab491(serial Interval-4),34037748,Serial interval of SARS-CoV-2 was shortened over time by nonpharmaceutical interventions.,32694200,10.1126/science.abc9004,2020,"Ali ST, Wang L, Lau EHY, Xu XK, Du Z, Wu Y, Leung GM, Cowling BJ","Science (New York, N.Y.)",,verified,,,2026-01-28T01:49:35.071901
13,ciab491(serial Interval-4),34037748,Epidemiological and Clinical Characteristics of COVID-19 in Adolescents and Young Adults.,33554183,10.1016/j.xinn.2020.04.001,2020,"Liao J, Fan S, Chen J, Wu J, Xu S, Guo Y, Li C, Zhang X, Wu C, Mou H, Song C, Li F, Wu G, Zhang J, Guo L, Liu H, Lv J, Xu L, Lang C",Innovation (Cambridge (Mass.)),,verified,,,2026-01-28T01:49:51.524003
13,ciab491(serial Interval-4),34037748,Serial interval distribution of SARS-CoV-2 infection in Brazil,32710618,10.1093/jtm/taaa115,2021,"Carlos A Prete, Lewis Buss, Amy Dighe, Victor Bertollo Porto, Darlan da Silva Candido, Fábio Ghilardi, Oliver G Pybus, Wanderson K de Oliveira, Júlio H R Croda, Ester C Sabino, Nuno Rodrigues Faria, Christl A Donnelly, Vítor H Nascimento",,,verified,,,2026-01-28T01:51:24.037347
13,ciab491(serial Interval-4),34037748,Rapid asymptomatic transmission of COVID-19 during the incubation period demonstrating strong infectivity in a cluster of youngsters aged 16-23 years outside Wuhan and characteristics of young patients with COVID-19: A prospective contact-tracing study.,32283156,10.1016/j.jinf.2020.03.006,2020,"Huang L, Zhang X, Zhang X, Wei Z, Zhang L, Xu J, Liang P, Xu Y, Zhang C, Xu A",The Journal of infection,,verified,,,2026-01-28T01:51:53.432941
13,ciab491(serial Interval-4),34037748,"The descriptive epidemiology of coronavirus disease 2019 during the epidemic period in Lu'an, China: achieving limited community transmission using proactive response strategies.",32611465,10.1017/S0950268820001478,2020,"Qin W, Sun J, Xu P, Gong T, Li X, Liu L, Hu J, Wang Y, Xie S, Li K, Chang H, Lyu Y",Epidemiology and infection,,verified,,,2026-01-28T01:52:09.127144
13,ciab491(serial Interval-4),34037748,[Epidemiological characteristics of COVID-19 family clustering in Zhejiang Province].,32171192,10.3760/cma.j.cn112150-20200227-00199,2020,"Sun WW, Ling F, Pan JR, Cai J, Miao ZP, Liu SL, Cheng W, Chen EF",Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],,verified,,,2026-01-28T01:52:25.512691
13,ciab491(serial Interval-4),34037748,"Estimating the serial interval of the novel coronavirus disease (COVID-19) based on the public surveillance data in Shenzhen, China, from 19 January to 22 February 2020",32452648,10.1111/tbed.13647,2020,"Kai Wang, Shi Zhao, Ying Liao, Tiantian Zhao, Xiaoyan Wang, Xueliang Zhang, Haiyan Jiao, Huling Li, Yi Yin, Maggie H Wang, Li Xiao, Lei Wang, Daihai He",,,verified,,,2026-01-28T01:53:31.229315
13,ciab491(serial Interval-4),34037748,"Basic epidemiological parameter values from data of real-world in mega-cities: the characteristics of COVID-19 in Beijing, China.",32689956,10.1186/s12879-020-05251-9,2020,"Wang X, Pan Y, Zhang D, Chen L, Jia L, Li X, Yang P, Wang Q, Macintyre CR",BMC infectious diseases,,verified,,,2026-01-28T01:56:20.855239
13,ciab491(serial Interval-4),34037748,"Nosocomial outbreak of COVID-19 pneumonia in Wuhan, China.",32366488,10.1183/13993003.00544-2020,2020,"Wang X, Zhou Q, He Y, Liu L, Ma X, Wei X, Jiang N, Liang L, Zheng Y, Ma L, Xu Y, Yang D, Zhang J, Yang B, Jiang N, Deng T, Zhai B, Gao Y, Liu W, Bai X, Pan T, Wang G, Chang Y, Zhang Z, Shi H, Ma WL, Gao Z",The European respiratory journal,,verified,,,2026-01-28T01:56:40.613665
13,ciab491(serial Interval-4),34037748,"Household Transmission of SARS-CoV-2, Zhuhai, China, 2020.",32392331,10.1093/cid/ciaa557,2020,"Wu J, Huang Y, Tu C, Bi C, Chen Z, Luo L, Huang M, Chen M, Tan C, Wang Z, Wang K, Liang Y, Huang J, Zheng X, Liu J",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,verified,,,2026-01-28T01:57:13.340768
13,ciab491(serial Interval-4),34037748,"Estimating clinical severity of COVID-19 from the transmission dynamics in Wuhan, China.",32284616,10.1038/s41591-020-0822-7,2020,"Wu JT, Leung K, Bushman M, Kishore N, Niehus R, de Salazar PM, Cowling BJ, Lipsitch M, Leung GM",Nature medicine,,verified,,,2026-01-28T01:57:28.590873
13,ciab491(serial Interval-4),34037748,"Reconstruction of Transmission Pairs for Novel Coronavirus Disease 2019 (COVID-19) in Mainland China: Estimation of Superspreading Events, Serial Interval, and Hazard of Infection",32556265,10.1093/cid/ciaa790,2020,"Xiao-Ke Xu, Xiao Fan Liu, Ye Wu, Sheikh Taslim Ali, Zhanwei Du, Paolo Bosetti, Eric H Y Lau, Benjamin J Cowling, Lin Wang",,,verified,,,2026-01-28T01:59:03.992685
13,ciab491(serial Interval-4),34037748,"Estimation of incubation period and serial interval of COVID-19: analysis of 178 cases and 131 transmission chains in Hubei province, China",32594928,10.1017/S0950268820001338,2020,"Lin Yang, Jingyi Dai, Jun Zhao, Yunfu Wang, Pingji Deng, Jing Wang",,,verified,,,2026-01-28T02:00:17.263114
13,ciab491(serial Interval-4),34037748,Estimation of the time-varying reproduction number of COVID-19 outbreak in China.,32460229,10.1016/j.ijheh.2020.113555,2020,"You C, Deng Y, Hu W, Sun J, Lin Q, Zhou F, Pang CH, Zhang Y, Chen Z, Zhou XH",International journal of hygiene and environmental health,,verified,,,2026-01-28T02:00:30.159273
13,ciab491(serial Interval-4),34037748,COVID-19 outbreak following a single patient exposure at an entertainment site: An epidemiological study.,32725765,10.1111/tbed.13742,2021,"Bao C, Pan E, Ai J, Dai Q, Xu K, Shi N, Gao Q, Hu J, Peng Z, Huang H, Jin H, Zhu F",Transboundary and emerging diseases,,verified,,,2026-01-28T02:00:44.816612
13,ciab491(serial Interval-4),34037748,Investigation of a COVID-19 outbreak in Germany resulting from a single travel-associated primary case: a case series,32422201,10.1016/S1473-3099(20)30314-5,2020,"Merle M Böhmer, Udo Buchholz, Victor M Corman, Martin Hoch, Katharina Katz, Durdica V Marosevic, Stefanie Böhm, Tom Woudenberg, Nikolaus Ackermann, Regina Konrad, Ute Eberle, Bianca Treis, Alexandra Dangel, Katja Bengs, Volker Fingerle, Anja Berger, Stefan Hörmansdorfer, Siegfried Ippisch, Bernd Wicklein, Andreas Grahl, Kirsten Pörtner, Nadine Muller, Nadine Zeitlmann, T Sonia Boender, Wei Cai, Andreas Reich, Maria An der Heiden, Ute Rexroth, Osamah Hamouda, Julia Schneider, Talitha Veith, Barbara Mühlemann, Roman Wölfel, Markus Antwerpen, Mathias Walter, Ulrike Protzer, Bernhard Liebl, Walter Haas, Andreas Sing, Christian Drosten, Andreas Zapf",,,verified,,,2026-01-28T02:03:13.344519
13,ciab491(serial Interval-4),34037748,Contact Tracing Assessment of COVID-19 Transmission Dynamics in Taiwan and Risk at Different Exposure Periods Before and After Symptom Onset,32356867,10.1001/jamainternmed.2020.2020,2020,"Hao-Yuan Cheng, Shu-Wan Jian, Ding-Ping Liu, Ta-Chou Ng, Wan-Ting Huang, Hsien-Ho Lin",,,verified,,,2026-01-28T02:04:59.828493
13,ciab491(serial Interval-4),34037748,Serial interval of novel coronavirus (COVID-19) infections.,32145466,10.1016/j.ijid.2020.02.060,2020,"Nishiura H, Linton NM, Akhmetzhanov AR",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-28T02:05:40.484298
13,ciab491(serial Interval-4),34037748,"Estimation of the serial interval and basic reproduction number of COVID-19 in Qom, Iran, and three other countries: A data-driven analysis in the early phase of the outbreak.",32473049,10.1111/tbed.13656,2020,"Aghaali M, Kolifarhood G, Nikbakht R, Saadati HM, Hashemi Nazari SS",Transboundary and emerging diseases,,verified,,,2026-01-28T02:06:02.940340
