sr_id,sr_name,sr_pmid,gt_title,gt_pmid,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
4,1.Dynamics of Mpox infection in Nigeria a systematic review and meta-analysis,38548826,Outbreak of human monkeypox in Nigeria in 2017-18: a clinical and epidemiological report.,31285143,10.1016/S1473-3099(19)30294-4,2019,"Yinka-Ogunleye A, Aruna O, Dalhat M, Ogoina D, McCollum A, Disu Y, Mamadu I, Akinpelu A, Ahmad A, Burga J, Ndoreraho A, Nkunzimana E, Manneh L, Mohammed A, Adeoye O, Tom-Aba D, Silenou B, Ipadeola O, Saleh M, Adeyemo A, Nwadiutor I, Aworabhi N, Uke P, John D, Wakama P, Reynolds M, Mauldin MR, Doty J, Wilkins K, Musa J, Khalakdina A, Adedeji A, Mba N, Ojo O, Krause G, Ihekweazu C, CDC Monkeypox Outbreak Team",The Lancet. Infectious diseases,,verified,,,2026-04-17T13:23:54.394957+00:00
4,1.Dynamics of Mpox infection in Nigeria a systematic review and meta-analysis,38548826,Clinical Course and Outcome of Human Monkeypox in Nigeria.,32052029,10.1093/cid/ciaa143,2020,"Ogoina D, Iroezindu M, James HI, Oladokun R, Yinka-Ogunleye A, Wakama P, Otike-Odibi B, Usman LM, Obazee E, Aruna O, Ihekweazu C",Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,,verified,,,2026-04-17T13:29:10.368024+00:00
4,1.Dynamics of Mpox infection in Nigeria a systematic review and meta-analysis,38548826,"Diagnosis of Imported Monkeypox, Israel, 2018.",30848724,10.3201/eid2505.190076,2019,"Erez N, Achdout H, Milrot E, Schwartz Y, Wiener-Well Y, Paran N, Politi B, Tamir H, Israely T, Weiss S, Beth-Din A, Shifman O, Israeli O, Yitzhaki S, Shapira SC, Melamed S, Schwartz E",Emerging infectious diseases,,verified,,,2026-04-17T13:34:57.814841+00:00
4,1.Dynamics of Mpox infection in Nigeria a systematic review and meta-analysis,38548826,Exportation of Monkeypox Virus From the African Continent.,32880628,10.1093/infdis/jiaa559,2022,"Mauldin MR, McCollum AM, Nakazawa YJ, Mandra A, Whitehouse ER, Davidson W, Zhao H, Gao J, Li Y, Doty J, Yinka-Ogunleye A, Akinpelu A, Aruna O, Naidoo D, Lewandowski K, Afrough B, Graham V, Aarons E, Hewson R, Vipond R, Dunning J, Chand M, Brown C, Cohen-Gihon I, Erez N, Shifman O, Israeli O, Sharon M, Schwartz E, Beth-Din A, Zvi A, Mak TM, Ng YK, Cui L, Lin RTP, Olson VA, Brooks T, Paran N, Ihekweazu C, Reynolds MG",The Journal of infectious diseases,,verified,,,2026-04-17T13:35:35.632870+00:00
4,1.Dynamics of Mpox infection in Nigeria a systematic review and meta-analysis,38548826,"Imported Monkeypox, Singapore.",32338590,10.3201/eid2608.191387,2020,"Yong SEF, Ng OT, Ho ZJM, Mak TM, Marimuthu K, Vasoo S, Yeo TW, Ng YK, Cui L, Ferdous Z, Chia PY, Aw BJW, Manauis CM, Low CKK, Chan G, Peh X, Lim PL, Chow LPA, Chan M, Lee VJM, Lin RTP, Heng MKD, Leo YS",Emerging infectious diseases,,verified,,,2026-04-17T13:36:14.445484+00:00
4,1.Dynamics of Mpox infection in Nigeria a systematic review and meta-analysis,38548826,"Monkeypox in a Traveler Returning from Nigeria - Dallas, Texas, July 2021.",35389974,10.15585/mmwr.mm7114a1,2022,"Rao AK, Schulte J, Chen TH, Hughes CM, Davidson W, Neff JM, Markarian M, Delea KC, Wada S, Liddell A, Alexander S, Sunshine B, Huang P, Honza HT, Rey A, Monroe B, Doty J, Christensen B, Delaney L, Massey J, Waltenburg M, Schrodt CA, Kuhar D, Satheshkumar PS, Kondas A, Li Y, Wilkins K, Sage KM, Yu Y, Yu P, Feldpausch A, McQuiston J, Damon IK, McCollum AM, July 2021 Monkeypox Response Team",MMWR. Morbidity and mortality weekly report,,verified,,,2026-04-17T13:36:55.606900+00:00
4,1.Dynamics of Mpox infection in Nigeria a systematic review and meta-analysis,38548826,"Family cluster of three cases of monkeypox imported from Nigeria to the United Kingdom, May 2021.",34387184,10.2807/1560-7917.ES.2021.26.32.2100745,2021,"Hobson G, Adamson J, Adler H, Firth R, Gould S, Houlihan C, Johnson C, Porter D, Rampling T, Ratcliffe L, Russell K, Shankar AG, Wingfield T",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,,verified,,,2026-04-17T13:37:22.304943+00:00
4,1.Dynamics of Mpox infection in Nigeria a systematic review and meta-analysis,38548826,"Imported Monkeypox from International Traveler, Maryland, USA, 2021.",35263559,10.3201/eid2805.220292,2022,"Costello V, Sowash M, Gaur A, Cardis M, Pasieka H, Wortmann G, Ramdeen S",Emerging infectious diseases,,verified,,,2026-04-17T13:38:08.591600+00:00
4,1.Dynamics of Mpox infection in Nigeria a systematic review and meta-analysis,38548826,"Two cases of monkeypox imported to the United Kingdom, September 2018.",30255836,10.2807/1560-7917.ES.2018.23.38.1800509,2018,"Vaughan A, Aarons E, Astbury J, Balasegaram S, Beadsworth M, Beck CR, Chand M, O'Connor C, Dunning J, Ghebrehewet S, Harper N, Howlett-Shipley R, Ihekweazu C, Jacobs M, Kaindama L, Katwa P, Khoo S, Lamb L, Mawdsley S, Morgan D, Palmer R, Phin N, Russell K, Said B, Simpson A, Vivancos R, Wade M, Walsh A, Wilburn J",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,,verified,,,2026-04-17T13:38:52.338166+00:00
4,1.Dynamics of Mpox infection in Nigeria a systematic review and meta-analysis,38548826,"Human monkeypox in Kasai Oriental, Zaire (1996-1997).",12631813,10.2807/esm.02.05.00161-en,1997,"Mwanbal PT, Tshioko KF, Moudi A, Mukinda V, Mwema GN, Messinger D, Okito L, Barakymfyte D, Malfait P, Pebody R, Szczeniowski M, Esteves K, Heymann D, Hutin Y, Williams RJ, Khan AS, Esposito JJ",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,,verified,,,2026-04-17T13:47:55.048079+00:00
