PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords
38510963,A comprehensive review of monkeypox virus and mpox characteristics.,"Emmanuel Alakunle, Daniel Kolawole, Diana Diaz-Cánova, Faith Alele, Oyelola Adegboye, Ugo Moens, Malachy Ifeanyi Okeke",Frontiers in cellular and infection microbiology. 2024. doi: 10.3389/fcimb.2024.1360586..,Alakunle,Frontiers in cellular and infection microbiology,2024,2024/03/06,,,10.3389/fcimb.2024.1360586,"Monkeypox virus (MPXV) is the etiological agent of monkeypox (mpox), a zoonotic disease. MPXV is endemic in the forested regions of West and Central Africa, but the virus has recently spread globally, causing outbreaks in multiple non-endemic countries. In this paper, we review the characteristics of the virus, including its ecology, genomics, infection biology, and evolution. We estimate by phylogenomic molecular clock that the B.1 lineage responsible for the 2022 mpox outbreaks has been in circulation since 2016. We interrogate the host-virus interactions that modulate the virus infection biology, signal transduction, pathogenesis, and host immune responses. We highlight the changing pathophysiology and epidemiology of MPXV and summarize recent advances in the prevention and treatment of mpox. In addition, this review identifies knowledge gaps with respect to the virus and the disease, suggests future research directions to address the knowledge gaps, and proposes a One Health approach as an effective strategy to prevent current and future epidemics of mpox.",antivirals; biosafety; epidemiology; evolution; genomics; infection biology; monkeypox; one health
38801572,Zoonotic and Zooanthroponotic Potential of Monkeypox.,"Mustafa O Atasoy, Rania F El Naggar, Mohammed A Rohaim, Muhammad Munir",Advances in experimental medicine and biology. 2024. doi: 10.1007/978-3-031-57165-7_5..,Atasoy,Advances in experimental medicine and biology,2024,2024/01/01,,,10.1007/978-3-031-57165-7_5,"The current multicounty outbreak of monkeypox virus (MPXV) posed an emerging and continued challenge to already strained public healthcare sector, around the globe. Since its first identification, monkeypox disease (mpox) remained enzootic in Central and West African countries where reports of human cases are sporadically described. Recent trends in mpox spread outside the Africa have highlighted increased incidence of spillover of the MPXV from animal to humans. While nature of established animal reservoirs remained undefined, several small mammals including rodents, carnivores, lagomorphs, insectivores, non-human primates, domestic/farm animals, and several species of wildlife are proposed to be carrier of the MPXV infection. There are established records of animal-to-human (zoonotic) spread of MPXV through close interaction of humans with animals by eating bushmeat, contracting bodily fluids or trading possibly infected animals. In contrast, there are reports and increasing possibilities of human-to-animal (zooanthroponotic) spread of the MPXV through petting and close interaction with pet owners and animal care workers. We describe here the rationales and molecular factors which predispose the spread of MPXV not only amongst humans but also from animals to humans. A range of continuing opportunities for the spread and evolution of MPXV are discussed to consider risks beyond the currently identified groups. With the possibility of MPXV establishing itself in animal reservoirs, continued and broad surveillance, investigation into unconventional transmissions, and exploration of spillover events are warranted.",Animal reservoirs; Emerging infections; MPXV; Reverse zoonoses; Spillover; Transmission; Zoonoses
36109272,Monkey Pox arrives in India.,"Chand Wattal, Sanghamitra Datta",Indian journal of medical microbiology. 2022. doi: 10.1016/j.ijmmb.2022.08.012..,Wattal,Indian journal of medical microbiology,2022,2022/09/13,,,10.1016/j.ijmmb.2022.08.012,"India has confirmed 9 monkey pox (MPXV) cases by the time this editorial is being written. The size of the outbreak clusters is growing each day, as is the geographical spread across international borders. More interestingly it is being recognized as a potent sexually transmitted infection (STI) as it is attributed to close contact with lesions, with no intention of stigmatizing it. This zoonotic virus has a low level of endemicity since decades in west and central Africa, its place of origin. Now since it has spread to 75 countries and more joining, with over 25,539 plus cases, WHO declared it a public health emergency of international concern (PHEIC) on July 23, 2022.",MPXV; PHEIC; STI
38243966,Monkeypox Virus (MPXV) Infection: A Review.,"Rosy Kumari, Pooja Arya, Surya Prakash Yadav, Ratish Chandra Mishra, Jaya Parkash Yadav",Infectious disorders drug targets. 2024. doi: 10.2174/0118715265258451231214063506..,Kumari,Infectious disorders drug targets,2024,2024/01/01,,,10.2174/0118715265258451231214063506,"Monkeypox is a viral disease; its outbreak was recently declared a global emergency by the World Health Organization. For the first time, a monkeypox virus (MPXV)-infected patient was found in India. Various researchers back-to-back tried to find the solution to this health emergency just after COVID-19. In this review, we discuss the current outbreak status of India, its transmission, virulence factors, symptoms, treatment, and the preventive guidelines generated by the Indian Health Ministry. We found that monkeypox virus (MPXV) disease is different from smallpox, and the age group between 30-40 years old is more prone to MPXV disease. We also found that, besides homosexuals, gays, bisexuals, and non-vegetarians, it also affects normal straight men and women who have no history of travel. Close contact should be avoided from rats, monkeys and sick people who are affected by monkeypox. To date, there are no monkeypox drugs, but Tecovirimat is more effective than other drugs that are used for other viral diseases like smallpox. Therefore, we need to develop an effective antiviral agent against the virulence factor of MXPV.",MPXV; Monkeypox; symptom; transmission; treatment.; virulence factor; virus
36465725,Waking Up to Monkeypox in the Midst of COVID-19.,"Maleesha Jayasinghe, Dilushini Caldera, Omesh Prathiraja, Abdul Mueez Alam Kayani, Ozair S Siddiqui, James Anwar Coffie-Pierre, Dilka Sewwandi Abeysundara, Avinash Sewsurn, Imesha Hewavitharana, Rahul Jena",Cureus. 2022. doi: 10.7759/cureus.30920..,Jayasinghe,Cureus,2022,2022/10/31,,,10.7759/cureus.30920,"The first incidence of the monkeypox virus (MPXV) was reported in a Danish research facility. Even though first discovered in monkeys, rodents account for the largest reservoir of the disease. It is an encapsulated, brick-shaped double-stranded DNA virus strongly related to the smallpox virus. The risk of acquiring MPXV has been found to be inversely related to smallpox vaccination. Although the cases were initially restricted to African countries, they were first reported outside Africa in the early 2000s. MPXV is transmitted through close personal contact, most commonly through direct skin-skin contact. The fatality rates associated with the MPXV tend to vary in different regions, with Congo clad basin having the highest mortality rate. The majority of the cases of MPXV have been reported in men who have sex with men. Although optimal infection control and treatment strategies are under investigation, the current management focus is on immunization and the isolation of patients. Effective control strategies are based on implementing a method of contact tracing, quarantining exposed and infected individuals, and using vaccines. There is no proven cure for MPXV, and most infected patients recover without medical intervention. Extensive studies are being conducted to determine the efficacy of antivirals in managing MPXV, with tecovirimat being the first antiviral medication approved by the Food and Drug Administration (FDA) to manage MPXV. The smallpox vaccine has traditionally been thought of as the most effective method of controlling the infection, possibly due to the similarities between the two viruses. However, numerous obstacles prevent the effective control of MPXV, including social isolation and stigma, poor understanding of the disease dynamics, lack of adequate patient education, and public health strategies.",corona virus disease; health policy making; hiv diseases; monkeypox virus; outbreak management; quarantine; smallpox; vaccination policy; viral exanthem; world pandemic
38325363,"Concurrent Clade I and Clade II Monkeypox Virus Circulation, Cameroon, 1979-2022.","Delia D Djuicy, Serge A Sadeuh-Mba, Chanceline N Bilounga, Martial G Yonga, Jules B Tchatchueng-Mbougua, Gael D Essima, Linda Esso, Inès M E Nguidjol, Steve F Metomb, Cornelius Chebo, Samuel M Agwe, Placide A Ankone, Firmin N N Ngonla, Hans M Mossi, Alain G M Etoundi, Sara I Eyangoh, Mirdad Kazanji, Richard Njouom",Emerging infectious diseases. 2024. doi: 10.3201/eid3003.230861..,Djuicy,Emerging infectious diseases,2024,2024/02/07,,,10.3201/eid3003.230861,"During 1979-2022, Cameroon recorded 32 laboratory-confirmed mpox cases among 137 suspected mpox cases identified by the national surveillance network. The highest positivity rate occurred in 2022, indicating potential mpox re-emergence in Cameroon. Both clade I (n = 12) and clade II (n = 18) monkeypox virus (MPXV) were reported, a unique feature of mpox in Cameroon. The overall case-fatality ratio of 2.2% was associated with clade II. We found mpox occurred only in the forested southern part of the country, and MPXV phylogeographic structure revealed a clear geographic separation among concurrent circulating clades. Clade I originated from eastern regions close to neighboring mpox-endemic countries in Central Africa; clade II was prevalent in western regions close to West Africa. Our findings suggest that MPXV re-emerged after a 30-year lapse and might arise from different viral reservoirs unique to ecosystems in eastern and western rainforests of Cameroon.",Cameroon; Central Africa; MPXV; Mpox; West Africa; clade I; clade II; concurrent circulation; epidemiology; forest; geographic segregation; monkeypox virus; surveillance; surveillance system; viruses; zoonoses
36192607,State-of-the-art on monkeypox virus: an emerging zoonotic disease.,"Maryam Shafaati, Milad Zandi",Infection. 2022. doi: 10.1007/s15010-022-01935-3..,Shafaati,Infection,2022,2022/10/03,,,10.1007/s15010-022-01935-3,"The non-endemic monkeypox outbreak in 2022 is the largest outside of Africa in recorded history. The assumption is that monkeypox, an emerging zoonotic disease, has a high potential for epidemic spread with increased human outbreaks in recent years. The vaccinia-based smallpox vaccination has been discontinued globally for more than 40 years. Additionally, there are now more vulnerable populations. Populations who have not received the vaccine are more susceptible to monkeypox viral infection, while smallpox cannot spontaneously recur. As a member of the orthopoxvirus family and because of its potential for rapid adaptation in humans, the monkeypox virus (MPXV) has emerged as a pathogen that needs further study. Many non-endemic countries with no prior history of travel to an endemic region had increased global health concerns after the finding of MPXV cases in May 2022. Here, we summarize the clinical significance of MPXV and its unique infection characteristics. Finally, this review sheds light on worries regarding its resurgence in global health.",Emerging or reemerging; Monkeypox virus; Poxviruses; Zoonosis
36217803,The pathophysiological and immunological background of the monkeypox virus infection: An update.,"Anirban Goutam Mukherjee, Uddesh Ramesh Wanjari, Sandra Kannampuzha, Soumik Das, Reshma Murali, Arunraj Namachivayam, Kaviyarasi Renu, Gnanasambandan Ramanathan, George Priya Doss C, Balachandar Vellingiri, Abhijit Dey, Abilash Valsala Gopalakrishnan",Journal of medical virology. 2022. doi: 10.1002/jmv.28206..,Mukherjee,Journal of medical virology,2023,2022/10/25,,,10.1002/jmv.28206,"In addition to the COVID-19 waves, the globe is facing global monkeypox (MPX) outbreak. MPX is an uncommon zoonotic infection characterized by symptoms similar to smallpox. It is caused by the monkeypox virus (MPXV), a double-stranded DNA virus that belongs to the genus Orthopoxvirus (OPXV). MPXV, which causes human disease, has been confined to Africa for many years, with only a few isolated cases in other areas. Outside of Africa, the continuing MPXV outbreak in multiple countries in 2022 is the greatest in recorded history. The current outbreak, with over 10 000 confirmed cases in over 50 countries between May and July 2022, demonstrates that MPXV may travel rapidly among humans and pose a danger to human health worldwide. The rapid spread of such outbreaks in recent times has elevated MPX to the status of a rising zoonotic disease with significant epidemic potential. While the MPXV is not as deadly or contagious as the variola virus that causes smallpox, it poses a threat because it could evolve into a more potent human pathogen. This review assesses the potential threat to the human population and provides a brief overview of what is currently known about this reemerging virus. By analyzing the biological effects of MPXV on human health, its shifting epidemiological footprint, and currently available therapeutic options, this review has presented the most recent insights into the biology of the virus. This study also clarifies the key potential causes that could be to blame for the present MPX outbreak and draw attention to major research questions and promising new avenues for combating the current MPX epidemic.",immunity; monkeypox; pathogen; smallpox; zoonotic
36564155,Familial Monkeypox Virus Infection Involving 2 Young Children.,"Pascal Del Giudice, Agnes Fribourg, Laurent Roudiere, Juliette Gillon, Anne Decoppet, Mathieu Reverte",Emerging infectious diseases. 2022. doi: 10.3201/eid2902.221674..,Del,Emerging infectious diseases,2023,2022/12/23,,,10.3201/eid2902.221674,"We report intrafamilial transmission of monkeypox virus to all members of a family (father, mother, and 2 children). Case reports in young children have been extremely rare during the 2022 mpox outbreak. Their clinical signs were mild, and clinical diagnosis would be difficult without knowledge of the father's monkeypox virus infection.",France; MPXV; infection; infectious diseases; intrafamilial transmission; mpox; mpox virus; parents; pediatrics; viruses; young children; zoonoses
36134432,Evaluating the risk of transfusion and transplant-transmitted monkeypox infections.,"Heli Harvala, Peter Simmonds","Transfusion medicine (Oxford, England). 2022. doi: 10.1111/tme.12918..",Harvala,"Transfusion medicine (Oxford, England)",2022,2022/09/22,,,10.1111/tme.12918,"The recent emergence of monkeypox virus (MPXV) in the UK and elsewhere is of urgent public health concern. Several aspects of MPXV epidemiology and pathogenesis, including its systemic spread and viraemia during acute infection, furthermore represent an important potential threat to the safety of blood transfusion and organ transplantation. Reported infections in the UK have been exponentially increasing over the last 2 months, with 1552 reported cases in the UK by 7th July 2022. This is likely to be considerable underestimate given current limitations in diagnostic capacity and clinical diagnoses hampered by its similar disease presentations to other causes of rash and genitourinary disease. While MPXV infections are currently most widespread in gay, bisexual or other men who have sex with men, wider spread of MPXV outside defined risk groups for infection may prevent identification of infection risk in donors. While typically mild disease outcomes have been reported in UK cases, case fatality rates ranging from 1% to over 10% are reported for different MPXV strains in its source area in sub-Saharan Africa. Recipients of blood components and organs transplant, especially those who are immunosuppressed, may reproduce the greater systemic spread and morbidity of those infected through percutaneous routes. There is a potential risk of MPXV transmission and severe disease outcomes in blood and transplant recipients. In addition to current risk assessments performed in the UK and exclusion of donors with recent MPXV exposure, determining viraemia frequencies in donors and directly evaluating transmission risk would be of considerable value in assessing whether MPXV nucleic acid screening should be implemented.",blood transfusion; monkeypox; monkeypox virus; nucleic acid testing; poxviridae; transmission; transplant
