PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords
36801633,"Monkeypox (mpox) virus: Classification, origin, transmission, genome organization, antiviral drugs, and molecular diagnosis.","Aysel Karagoz, Huseyin Tombuloglu, Moneerah Alsaeed, Guzin Tombuloglu, Abdullah A AlRubaish, Amal Mahmoud, Samira Smajlović, Sabahudin Ćordić, Ali A Rabaan, Ebtesam Alsuhaimi",Journal of infection and public health. 2023. doi: 10.1016/j.jiph.2023.02.003..,Karagoz,Journal of infection and public health,2023,2023/02/09,,,10.1016/j.jiph.2023.02.003,"Monkeypox virus (MPXV) is a double-stranded DNA virus belonging to the Poxviridae family of the genus Orthopoxvirus with two different clades known as West African and Congo Basin. Monkeypox (MPX) is a zoonosis that arises from the MPXV and causes a smallpox-like disease. The endemic disease status of MPX was updated to an outbreak worldwide in 2022. Thus, the condition was declared a global health emergency independent of travel issues, accounting for the primary reason for its prevalence outside Africa. In addition to identified transmission mediators through animal-to-human and human-to-human, especially sexual transmission among men who have sex with men came to prominence in the 2022 global outbreak. Although the severity and prevalence of the disease differ depending on age and gender, some symptoms are commonly observed. Clinical signs such as fever, muscle and headache pain, swollen lymph nodes, and skin rashes in defined body regions are standard and an indicator for the first step of diagnosis. By following the clinical signs, laboratory diagnostic tests like conventional polymerase chain reaction (PCR) or real-time PCR (RT-PCR) are the most common and accurate diagnostic methods. Antiviral drugs such as tecovirimat, cidofovir, and brincidofovir are used for symptomatic treatment. There is no MPXV-specific vaccine; however, currently available vaccines against smallpox enhance the immunization rate. This comprehensive review covers the MPX disease history and the current state of knowledge by assessing broad topics and views related to disease origin, transmission, epidemiology, severity, genome organization and evolution, diagnosis, treatment, and prevention.",Diagnosis; Genome; Monkeypox virus; Mpox; Susceptibility; Transmission
36495937,Monkeypox (hMPXV Infection): A Practical Review.,"Ricardo M Salcedo, Miguel G Madariaga",The American journal of medicine. 2022. doi: 10.1016/j.amjmed.2022.10.023..,Salcedo,The American journal of medicine,2023,2022/12/08,,,10.1016/j.amjmed.2022.10.023,"Monkeypox, a neglected disease previously confined to Africa, is causing a worldwide outbreak affecting predominantly males who have sex with males, especially those who are infected with HIV. The clinical presentation during the current outbreak differs from endemic cases. Treatment with tecovirimat and other antivirals is available. Immunization may be used as preexposure and postexposure prophylaxis.","[MeSH] Male; [MeSH] Humans; [MeSH] Female; [MeSH] Mpox, Monkeypox; [MeSH] Homosexuality, Male; [MeSH] Sexual and Gender Minorities; [MeSH] Antiviral Agents; [MeSH] Benzamides"
36746846,Molecular detection of monkeypox and related viruses: challenges and opportunities.,"Sudeep D Ghate, Prashanth Suravajhala, Prakash Patil, Rajani Kanth Vangala, Praveenkumar Shetty, R Shyama Prasad Rao",Virus genes. 2023. doi: 10.1007/s11262-023-01975-3..,Ghate,Virus genes,2023,2023/02/06,,,10.1007/s11262-023-01975-3,"The recent widespread emergence of monkeypox (mpox), a rare and endemic zoonotic disease by monkeypox virus (MPXV), has made global headlines. While transmissibility (R0 ≈ 0.58) and fatality rate (0-3%) are low, as it causes prolonged morbidity, the World Health Organization has declared monkeypox as a public health emergency of international concern. Thus, effective containment and disease management require quick and efficient detection of MPXV. In this bioinformatic overview, we summarize the numerous molecular tests available for MPXV, and discuss the diversity of genes and primers used in the polymerase chain reaction-based detection. Over 90 primer/probe sets are used for the detection of poxviruses. While hemagglutinin and A-type inclusion protein are the most common target genes, tumor necrosis factor receptor and complement binding protein genes are frequently used for distinguishing Clade I and Clade II of MPXV. Problems and possibilities in the detection of MPXV have been discussed.",Diagnostics; Emerging infectious diseases; Epidemiology and public health; Molecular evolution; Orthopoxvirus; Viral genome surveillance
37461338,Molecular Methods for Diagnosis of Monkeypox: A Mini-review.,"Rodrigo Michelini de Oliveira Thomasi, Thais da Silva Correa, Dalise Silva do Carmo, Déborah Fernandes Rodrigues, Luiz Vinicius da Silva Correa, Sandra Rodrigues Xavier, Líria Souza Silva, Jonatas Oliveira da Silva, Michelli Dos Santos, Alessandra da Silva Dantas, Mariana Campos da Paz, Miguel Angel Chávez-Fumagalli, Rodolfo Cordeiro Giunchetti, Eduardo Antônio Ferraz Coelho, Juliana Martins Machado, Alexsandro Sobreira Galdino",Current molecular medicine. 2024. doi: 10.2174/1566524023666230717141920..,de,Current molecular medicine,2024,2024/01/01,,,10.2174/1566524023666230717141920,"BACKGROUND: Monkeypox is a global public health issue caused by the monkeypox virus (MPXV). As of October 28, 2022, a total of 77,115 laboratoryconfirmed cases and 3,610 probable cases, including 36 deaths, were reported, with 9,070 cases reported in Brazil, the second most affected country. The need to develop national technologies for the rapid diagnosis of emerging diseases for mass testing of the population is evident, as observed in the SARS-CoV-2 pandemic. OBJECTIVE: With that in mind, this article provides an overview of current methods, techniques, and their applications in the molecular detection of monkeypox, focusing the search on real-time polymerase chain reaction (qPCR), polymerase chain reaction (PCR), and polymerase chain reaction-enzyme linked immunosorbent assay (PCRELISA). METHODS: The relevant documents or papers covered in this study were selected by a search in international bibliographic databases. The search terms used in the databases were aimed at summarizing existing knowledge on molecular diagnostic methods, such as monkeypox; MPX, MPXV, qPCR, PCR, PCR-ELISA, diagnosis and detection searched separately or together using the Boolean operator ""AND"" either in the title or abstract. The searches took place in September 2022, and the corresponding articles were selected between 2012 and 2022. RESULTS: We found 256 documents in total and twelve studies addressing the molecular diagnosis of monkeypox were classified as possible sources for this review. CONCLUSION: It is evident there is a pressing need to develop national technologies for rapid diagnosis of emerging diseases for mass testing of the population. It is also extremely important to have national detection kits with greater diagnostic capacity to assist in developing effective public policies in countries affected by this disease.",Monkeypox; PCR; detection; diagnosis; molecular; qPCR.
38073883,Animal models of mpox virus infection and disease.,"Zheng-Kai Wei, Yi-Cheng Zhao, Ze-Dong Wang, Li-Yan Sui, Ying-Hua Zhao, Quan Liu",Infectious medicine. 2023. doi: 10.1016/j.imj.2023.05.004..,Wei,Infectious medicine,2023,2023/06/04,,,10.1016/j.imj.2023.05.004,"Mpox (monkeypox) virus (MPXV), which causes a mild smallpox-like disease, has been endemic in Africa for several decades, with sporadic cases occurring in other parts of the world. However, the most recent outbreak of mpox mainly among men that have sex with men has affected several continents, posing serious global public health concerns. The infections exhibit a wide spectrum of clinical presentation, ranging from asymptomatic infection to mild, severe disease, especially in immunocompromised individuals, young children, and pregnant women. Some therapeutics and vaccines developed for smallpox have partial protective and therapeutic effects against MPXV historic isolates in animal models. However, the continued evolution of MPXV has produced multiple lineages, leading to significant gaps in the knowledge of their pathogenesis that constrain the development of targeted antiviral therapies and vaccines. MPXV infections in various animal models have provided a central platform for identification and comparison of diseased pathogenesis between the contemporary and historic isolates. In this review, we discuss the susceptibility of various animals to MPXV, and describe the key pathologic features of rodent, rabbit and nonhuman primate models. We also provide application examples of animal models in elucidating viral pathogenesis and evaluating effectiveness of vaccine and antiviral drugs. These animal models are essential to understand the biology of MPXV contemporary isolates and to rapidly test potential countermeasures. Finally, we list some remaining scientific questions of MPXV that can be resolved by animal models.",Animal models; Clinical features; Mpox virus; Pathogenic mechanism; Therapeutic drugs; Vaccines
38801585,Current Status of Vaccine Development for Monkeypox Virus.,"Amber Rastogi, Manoj Kumar",Advances in experimental medicine and biology. 2024. doi: 10.1007/978-3-031-57165-7_18..,Rastogi,Advances in experimental medicine and biology,2024,2024/01/01,,,10.1007/978-3-031-57165-7_18,"Monkeypox virus (MPXV) of poxviridae family causes a zoonotic disease called monkeypox (Mpox). MPXV cases have a fatality ratio ranging from 0 to 11% globally and have been more prevalent in children. There are three generations of smallpox vaccines that protect against MPXV. First and second generation of the vaccinia virus (VACV) vaccine protects MPXV. However, various adverse side effects were associated with the first and second generations of vaccines. In contrast, the Modified Vaccinia Ankara-Bavarian Nordic (MVA-BN) replication-incompetent vaccine shows fewer adverse effects and a significant amount of neutralizing antibodies in mammalian cells. A third-generation Modified Vaccinia Ankara-Bavarian Nordic (MVA-BN) was approved to prevent Mpox in 2019. Recently, MVA-BN-based Imvanex, Imvamune, and JYNNEOS vaccines have also been administered against MPXV. Globally, the World Health Organization (WHO) declared a global health emergency in May 2022 due to increased MPXV cases. Various computational studies have also designed a multi-epitope-based vaccine against the MPXV. In the multi-epitope-based vaccine, different epitopes like B-cell, Cytotoxic T Lymphocyte (CTL), CD8+, and CD4+ epitopes were derived from MPXV proteins. Further, these epitopes were linked with the help of various linkers to design a multi-epitope vaccine against MPXV. In summary, we have provided an overview of the current status of the vaccine against MPXV.",B-cell; Cytotoxic T lymphocyte; JYNNEOS; Monkeypox virus; Multi-epitope-based vaccine; Vaccinia virus
36320929,Risk of Monkeypox virus (MPXV) transmission through the handling and consumption of food.,"Estelle Chaix, Mickaël Boni, Laurent Guillier, Stéphane Bertagnoli, Alexandra Mailles, Catherine Collignon, Pauline Kooh, Olivier Ferraris, Sandra Martin-Latil, Jean-Claude Manuguerra, Nadia Haddad",Microbial risk analysis. 2022. doi: 10.1016/j.mran.2022.100237..,Chaix,Microbial risk analysis,2022,2022/10/24,,,10.1016/j.mran.2022.100237,"Monkeypox (MPX) is a zoonotic infectious disease caused by Monkeypox virus (MPXV), an enveloped DNA virus belonging to the Poxviridae family and the Orthopoxvirus genus. Since early May 2022, a growing number of human cases of Monkeypox have been reported in non-endemic countries, with no history of contact with animals imported from endemic and enzootic areas, or travel to an area where the virus usually circulated before May 2022. This qualitative risk assessment aimed to investigate the probability that MPXV transmission occurs through food during its handling and consumption. The risk assessment used ""top-down"" (based on epidemiological data) and ""bottom-up"" (following the agent through the food chain to assess the risk of foodborne transmission to human) approaches, which were combined. The ""top-down"" approach first concluded that bushmeat was the only food suspected as a source of contamination in recorded cases of MPXV, by contact or ingestion. The ""bottom-up"" approach then evaluated the chain of events required for a human to become ill after handling or consuming food. This approach involves several conditions: (i) the food must be contaminated with MPXV (naturally, by an infected handler or after contact with a contaminated surface); (ii) the food must contain viable virus when it reaches the handler or consumer; (iii) the person must be exposed to the virus and; (iv) the person must be infected after exposure. Throughout the risk assessment, some data gaps were identified and highlighted. The conclusions of the top-down and bottom-up approaches are consistent and suggest that the risk of transmission of MPXV through food is hypothetical and that such an occurrence was never reported. In case of contamination, cooking (e.g., 12 min at 70°C) could be considered effective in inactivating Poxviridae in foods. Recommendations for risk management are proposed. To our knowledge, this is the first risk assessment performed on foodborne transmission of MPXV.","CCID50, Cell Culture Infectious Dose50; Food; Monkeypox; Monkeypox virus; PFU, Plaque-forming unit; Poxvirus; Recommendations; TCID50, Tissue Culture Infectious Dose50; Transmission"
36192607,State-of-the-art on monkeypox virus: an emerging zoonotic disease.,"Maryam Shafaati, Milad Zandi",Infection. 2022. doi: 10.1007/s15010-022-01935-3..,Shafaati,Infection,2022,2022/10/03,,,10.1007/s15010-022-01935-3,"The non-endemic monkeypox outbreak in 2022 is the largest outside of Africa in recorded history. The assumption is that monkeypox, an emerging zoonotic disease, has a high potential for epidemic spread with increased human outbreaks in recent years. The vaccinia-based smallpox vaccination has been discontinued globally for more than 40 years. Additionally, there are now more vulnerable populations. Populations who have not received the vaccine are more susceptible to monkeypox viral infection, while smallpox cannot spontaneously recur. As a member of the orthopoxvirus family and because of its potential for rapid adaptation in humans, the monkeypox virus (MPXV) has emerged as a pathogen that needs further study. Many non-endemic countries with no prior history of travel to an endemic region had increased global health concerns after the finding of MPXV cases in May 2022. Here, we summarize the clinical significance of MPXV and its unique infection characteristics. Finally, this review sheds light on worries regarding its resurgence in global health.",Emerging or reemerging; Monkeypox virus; Poxviruses; Zoonosis
39793541,Short-Lived Neutralizing Antibody Responses to Monkeypox Virus in Smallpox Vaccine-Naive Persons after JYNNEOS Vaccination.,"Kara Phipps, Jennifer Yates, Jessica Pettit, Sean Bialosuknia, Danielle Hunt, Alan P DuPuis, Anne Payne, William Lee, Kathleen A McDonough",Emerging infectious diseases. 2024. doi: 10.3201/eid3102.241300..,Phipps,Emerging infectious diseases,2025,2024/01/10,,,10.3201/eid3102.241300,"JYNNEOS, a third-generation smallpox vaccine, is integral to monkeypox virus (MPXV) control efforts, but the durability of this modified vaccinia Ankara-Bavarian Nordic (MVA-BN) vaccine's effectiveness is undefined. We optimized and used a plaque reduction neutralization test (PRNT) with authentic clade IIa MPXV and vaccinia virus to assess antibody responses over 12 months in 8 donors vaccinated with 2 doses of JYNNEOS. One donor previously received the ACAM2000 vaccine; 7 donors were smallpox vaccine-naive. IgG responses of the donors to vaccinia virus (L1, B5, and A33) or MPXV (E8, H3, A35) antigens and PRNT titers to both viruses peaked at 8 weeks postvaccination and waned rapidly thereafter in naive donors. MPXV PRNT titers were especially low; no naive donors demonstrated 90% plaque reduction. These data indicate a need for improved correlates of MPXV immunity to enable MVA-BN durability studies, given that recent clinical data support MVA-BN vaccine efficacy against MPXV despite low antibody responses.",JYNNEOS; MVA; MVA-BN; PRNT; United States; immune correlates; monkeypox virus; mpox; orthopoxvirus; plaque reduction neutralization test; smallpox; vaccine-preventable diseases; vaccines; virus neutralization; viruses
38801574,Molecular Virology of Orthopoxviruses with Special Reference to Monkeypox Virus.,"Mohammed A Rohaim, Rania F El Naggar, Mustafa O Atasoy, Muhammad Munir",Advances in experimental medicine and biology. 2024. doi: 10.1007/978-3-031-57165-7_7..,Rohaim,Advances in experimental medicine and biology,2024,2024/01/01,,,10.1007/978-3-031-57165-7_7,"Poxviruses are large (200-450 nm) and enveloped viruses carrying double-stranded DNA genome with an epidermal cell-specific adaptation. The genus Orthopoxvirus within Poxviridae family constitutes several medically and veterinary important viruses including variola (smallpox), vaccinia, monkeypox virus (MPXV), and cowpox. The monkeypox disease (mpox) has recently emerged as a public health emergency caused by MPXV. An increasing number of human cases of MPXV have been documented in non-endemic nations without any known history of contact with animals brought in from endemic and enzootic regions, nor have they involved travel to an area where the virus was typically prevalent. Here, we review the MPXV replication, virus pathobiology, mechanism of viral infection transmission, virus evasion the host innate immunity and antiviral therapies against Mpox. Moreover, preventive measures including vaccination were discussed and concluded that cross-protection against MPXV may be possible using antibodies that are directed against an Orthopoxvirus. Despite the lack of a specialised antiviral medication, several compounds such as Cidofovir and Ribavirin warrant consideration against mpox.",Antiviral; Cross-protection; MPXV; Monkeypox; Orthopoxviruses; Pathogenesis; Vaccination; Virology; WHO; mpox
