PMID,sr_id,sr_name,sr_pmid,gt_title,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
36863012,11,7.Global transmission characteristics of mpox outbreaks a systematic review and meta-analysis,41079025,"Serial Interval and Incubation Period Estimates of Monkeypox Virus Infection in 12 Jurisdictions, United States, May-August 2022.",10.3201/eid2904.221622,2023,"Madewell ZJ, Charniga K, Masters NB, Asher J, Fahrenwald L, Still W, Chen J, Kipperman N, Bui D, Shea M, Saunders K, Saathoff-Huber L, Johnson S, Harbi K, Berns AL, Perez T, Gateley E, Spicknall IH, Nakazawa Y, Gift TL, 2022 Mpox Outbreak Response Team",Emerging infectious diseases,,verified,,,2026-04-18T13:23:34.317000+00:00
35994726,11,7.Global transmission characteristics of mpox outbreaks a systematic review and meta-analysis,41079025,"Early Estimates of Monkeypox Incubation Period, Generation Time, and Reproduction Number, Italy, May-June 2022.",10.3201/eid2810.221126,2022,"Guzzetta G, Mammone A, Ferraro F, Caraglia A, Rapiti A, Marziano V, Poletti P, Cereda D, Vairo F, Mattei G, Maraglino F, Rezza G, Merler S",Emerging infectious diseases,,verified,,,2026-04-18T13:26:28.501571+00:00
36342036,11,7.Global transmission characteristics of mpox outbreaks a systematic review and meta-analysis,41079025,Early estimates of the incidence trend and the reproductive number of the monkeypox epidemic in Brazil,10.1016/j.tmaid.2022.102484,2022,"Isaac N Schrarstzhaupt, Mellanie Fontes-Dutra, Fredi Alexander Diaz-Quijan",,,verified,,,2026-04-18T13:28:33.736562+00:00
37703247,11,7.Global transmission characteristics of mpox outbreaks a systematic review and meta-analysis,41079025,Data-driven estimation of the instantaneous reproduction number and growth rates for the 2022 monkeypox outbreak in Europe.,10.1371/journal.pone.0290387,2023,"Saldaña F, Daza-Torres ML, Aguiar M",PloS one,,verified,,,2026-04-18T13:29:47.362610+00:00
36950196,11,7.Global transmission characteristics of mpox outbreaks a systematic review and meta-analysis,41079025,"Investigation of a mpox outbreak in Central African Republic, 2021-2022.",10.1016/j.onehlt.2023.100523,2023,"Besombes C, Mbrenga F, Malaka C, Gonofio E, Schaeffer L, Konamna X, Selekon B, Namsenei-Dankpea J, Gildas Lemon C, Landier J, von Platen C, Gessain A, Manuguerra JC, Fontanet A, Nakouné E","One health (Amsterdam, Netherlands)",,verified,,,2026-04-18T13:32:21.476774+00:00
36271480,11,7.Global transmission characteristics of mpox outbreaks a systematic review and meta-analysis,41079025,Estimation of the serial interval of monkeypox during the early outbreak in 2022.,10.1002/jmv.28248,2023,"Guo Z, Zhao S, Sun S, He D, Chong KC, Yeoh EK",Journal of medical virology,,verified,,,2026-04-18T13:34:10.944911+00:00
38532346,11,7.Global transmission characteristics of mpox outbreaks a systematic review and meta-analysis,41079025,Modelling the impact of human behavior using a two-layer Watts-Strogatz network for transmission and control of Mpox.,10.1186/s12879-024-09239-7,2024,"Jia Q, Xue L, Sui R, Huo J",BMC infectious diseases,,verified,,,2026-04-18T13:35:30.632806+00:00
35817231,11,7.Global transmission characteristics of mpox outbreaks a systematic review and meta-analysis,41079025,Estimation of local transmissibility in the early phase of monkeypox epidemic in 2022.,10.1016/j.cmi.2022.06.025,2022,"Kwok KO, Wei WI, Tang A, Wong SYS, Tang JW",Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,,verified,,,2026-04-18T13:36:07.680526+00:00
36929727,11,7.Global transmission characteristics of mpox outbreaks a systematic review and meta-analysis,41079025,Anticipating the transmissibility of the 2022 mpox outbreak.,10.1002/jmv.28683,2023,"Liu T, Yang S, Luo B, Fan X, Zhuang Y, Gao GF, Bi Y, Teng Y",Journal of medical virology,,verified,,,2026-04-18T13:36:30.313019+00:00
37014716,11,7.Global transmission characteristics of mpox outbreaks a systematic review and meta-analysis,41079025,Time Scales of Human Mpox Transmission in The Netherlands.,10.1093/infdis/jiad091,2024,"Miura F, Backer JA, van Rijckevorsel G, Bavalia R, Raven S, Petrignani M, Ainslie KEC, Wallinga J, Dutch Mpox Response Team",The Journal of infectious diseases,,verified,,,2026-04-18T13:37:07.998232+00:00
