PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords
36795594,Mpox (Monkeypox) Proctitis.,"Ciléin Kearns, Michael Orsi, Carlos J Sanchez, Francisco Calle","Radiographics : a review publication of the Radiological Society of North America, Inc. 2023. doi: 10.1148/rg.220198..",Kearns,"Radiographics : a review publication of the Radiological Society of North America, Inc",2023,2023/03/01,,,10.1148/rg.220198,,"[MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Proctitis"
36607751,Monkeypox Vaccination and Cutaneous Considerations for the Dermatologist.,"Alyssa Quinn, Kayd Pulsipher, Mindy Szeto, Colby Presley, Nathaniel Marroquin, Robert Dellavalle",Journal of drugs in dermatology : JDD. 2023.,Quinn,Journal of drugs in dermatology : JDD,2023,2023/01/01,,,,"Monkeypox has infected over 18,000 individuals in the United States since the first reported case on May 17, 2022.1 Monkeypox is a variola poxvirus that is related to smallpox, but monkeypox symptoms (fever, painful vesicular or pustular rash, and lymphadenopathy) are milder and fatalities are rare.","[MeSH] Humans; [MeSH] United States; [MeSH] Mpox, Monkeypox; [MeSH] Smallpox Vaccine; [MeSH] Dermatologists; [MeSH] Variola virus; [MeSH] Exanthema"
37213123,Update on Mpox.,"Kristin Walter, Preeti N Malani",JAMA. 2023. doi: 10.1001/jama.2023.9142..,Walter,JAMA,2023,2023/06/06,,,10.1001/jama.2023.9142,"[ENG] This JAMA Patient Page describes mpox signs and symptoms, risk factors, diagnosis, treatment, and prevention measures.","[MeSH] Humans; [MeSH] Mpox, Monkeypox"
36206497,Oral manifestations of monkeypox: Brief review.,Anak Iamaroon,Dental and medical problems. 2022. doi: 10.17219/dmp/152071..,Iamaroon,Dental and medical problems,2022,2022/01/01,,,10.17219/dmp/152071,"The current outbreak of monkeypox infection has caught the attention of people worldwide. Updated data showed a dramatic increase in the number of patients in many non-endemic countries. An emergence of monkeypox together with coronavirus disease 2019 (COVID-19) caused a tremendous burden on the healthcare system, globally. The aim of this review was to briefly describe the current situation, transmission, clinical features, diagnosis, and prevention of the disease. Oral manifestations of monkeypox as well as those of similar viral diseases were elaborately delineated. The outbreak of monkeypox in non-endemic regions has expanded to at least 47 countries with more than 4,100 new infections. The clinical features in non-endemic regions are atypical and different from those in central and western Africa. Milder symptoms with no death cases have been observed. The oral mucosa is often involved and oral lesions may initially be manifested before the rash spreads to the face and other parts of the body. The diagnosis of monkeypox is mainly based on clinical presentations and laboratory investigations. Prevention by avoiding close contacts with patients and sick animals and providing vaccination to those who have a primary contact with patients is essential. Oral manifestations may occur prior to skin eruptions, suggesting that dentists and dental personnel should be well aware of the nature of the disease. Prevention and public awareness of the disease are crucial for mitigating further human-to-human transmission.",infection; monkeypox; oral manifestations; outbreak
38994460,Monkeypox infection and pregnancy in lower and middle-income countries: Precautions & recommendations.,"Omar Abu-Azzam, Mohammad Abu-Jeyyab, Mohammad Daradkeh, Sadeen Zein Eldeen, Saja Zuaiter, Mohammad Al-Mseadeen, Amer Sindiani, Eman Alshdaifat",Revista brasileira de ginecologia e obstetricia : revista da Federacao Brasileira das Sociedades de Ginecologia e Obstetricia. 2024. doi: 10.61622/rbgo/2024rbgo54..,Abu-Azzam,Revista brasileira de ginecologia e obstetricia : revista da Federacao Brasileira das Sociedades de Ginecologia e Obstetricia,2024,2024/06/27,,,10.61622/rbgo/2024rbgo54,"Monkeypox (MPX), an orthopoxviral disease endemic in Africa, is now a public health emergency of international concern (PHEIC) as declared by the World Health Organization in July 2023. Although it is generally mild, the overall case fatality rate was reported to be 3%, and the basic reproduction number (R0) is > 1 in men who have sex with men (MSM, i.e., Portugal (1.4), the United Kingdom (1.6), and Spain (1.8)). However, R0 is < 1 in other settings. In concordance with the smallpox virus, it is also expected to increase the risk of adverse outcomes for both the mother and the fetus. The outcomes of the disease in an immunocompromised state of pregnancy are scary, showing high mortality and morbidity of both mother and fetus, with up to a 75% risk of fetal side effects and a 25% risk of severe maternal diseases. Therefore, it warrants timely diagnosis and intervention. The reverse transcription polymerase chain reaction (RT PCR) test is the standard approach to diagnosis. We summarized the recent findings of MPX on pregnancy, and the associated risk factors. We also give recommendations for active fetal surveillance, perinatal care, and good reporting to improve outcomes. The available vaccines have shown promise for primary disease prevention.","Epidemiology; Monkeypox; Orthopoxvirus; Perinatal care; Pregnancy complications, infectious"
38235533,"Mpox, herpes, and enteroviruses: Differential diagnosis.","Laura Guillén-Calvo, Anabel Negredo, Patricia Sánchez-Mora, Paqui Molero, Ana Vázquez, María Cabrerizo, Eva Orviz, Juan Ledesma, Vicente Estrada, David Tarragó, María Paz Sánchez-Seco",Journal of medical virology. 2024. doi: 10.1002/jmv.29371..,Guillén-Calvo,Journal of medical virology,2024,2024/01/01,,,10.1002/jmv.29371,,"[MeSH] Humans; [MeSH] Diagnosis, Differential; [MeSH] Mpox, Monkeypox; [MeSH] Enterovirus Infections; [MeSH] Antigens, Viral"
36555584,Pharmacological Agents with Antiviral Activity against Monkeypox Infection.,"Andrea Zovi, Francesco Ferrara, Roberto Langella, Antonio Vitiello",International journal of molecular sciences. 2022. doi: 10.3390/ijms232415941..,Zovi,International journal of molecular sciences,2022,2022/12/14,,,10.3390/ijms232415941,"Monkeypox infection is caused by a virus of the genus Orthopoxvirus, a member of the Poxviridae family. Monkeypox virus is transmitted from individual to individual through contact with lesions, body fluids, and respiratory droplets. The infection caused by monkeypox is usually a self-limited disease with mild symptoms lasting 2 to 4 weeks. Monkeypox typically presents with fever, rash, and enlarged lymph nodes. New vaccines have recently been authorized for the prevention of monkeypox infection, whereas there are no specific pharmacological antiviral treatments for monkeypox infection. However, because the viruses which cause adult smallpox and monkeypox are similar, antiviral drugs developed in the past have also shown efficacy against monkeypox. In this review, we highlight the in vitro and clinical evidence found in the literature on the efficacy and safety of pharmacological agents with antiviral activity against monkeypox infection and the different regulatory aspects of countries.",Orthopoxvirus; antivirals; monkeypox; pharmacology
37025009,"Comparison of human monkeypox, chickenpox and smallpox: a comprehensive review of pathology and dermatological manifestations.","Reyhaneh Rasizadeh, Ali Shamekh, Parisa Shiri Aghbash, Hossein Bannazadeh Baghi",Current medical research and opinion. 2023. doi: 10.1080/03007995.2023.2200122..,Rasizadeh,Current medical research and opinion,2023,2023/04/17,,,10.1080/03007995.2023.2200122,"Variola virus, the causing agent of smallpox, was eradicated in 1980s and today no new cases are reported. The first human infectious illness to be eliminated globally is variola. On the contrary to Variola, monkeypox, which is a zoonotic and variola-like disease, has nowadays turned to be a major health problem worldwide. VZV is a neurotropic virus and the cause of varicella (chickenpox) and herpes zoster (shingles), which is also a highly infectious disease, especially prevalent in children. These three skin diseases-monkeypox, smallpox, and chickenpox-are frequently mistaken with one another due to similar manifestations including fever, rash, myalgia, chills and headache, but they can all be distinguished by their distinctive symptoms. Although these rash-causing disorders might present different skin lesions; diagnostic tests can be extremely useful in their differentiation. We searched for these concepts on a search engine like Google Scholar, scanning the results for alternative words and phrases, and examined relevant abstracts or articles for alternative words. The clinical diagnosis of monkeypox infection is commonly made based on the occurrence pattern of its skin rash. It is possible in varicella to concurrently identify lesions in their various stages including macular, papular, vesicular, pustular, and crusts; however, monkeypox lesions are all in the same stage and evolve with the same rate. In this review, we have tried to provide a holistic and comprehensive comparison between these three skin infections with a focus on the newly epidemic monkeypox, bringing about the most recent knowledge about its features and its diagnosis.",Chickenpox; Monkeypox; rash diseases; smallpox; varicella; variola virus; zoster
36896982,Otolaryngologic manifestations of Mpox: the Atlanta outbreak.,"Kaitlyn A Brooks, Nathaniel S Neptune, Douglas E Mattox",Acta oto-laryngologica. 2023. doi: 10.1080/00016489.2023.2182911..,Brooks,Acta oto-laryngologica,2023,2023/03/10,,,10.1080/00016489.2023.2182911,"BACKGROUND: In 2022, Mpox (MPX) has become clinically relevant as otolaryngologists are evaluating this exotic disease process due to its many otolaryngologic manifestations. AIMS/OBJECTIVE: To characterize our cohort of otolaryngology-relevant MPX confirmed cases. MATERIALS AND METHODS: A descriptive case series was performed via retrospective review. Adult patients who underwent inpatient or emergency department otolaryngology consultation at an Emory University-affiliated tertiary care level hospital for MPX were included. RESULTS: Seven patients (age 18-58 years; median 32 years) were identified. All patients were male. Six patients (86%) were black and six patients (86%) were HIV positive with varied immunocompetence. Otolaryngology was consulted for lymphadenopathy (n = 2), pharyngeal involvement (n = 1), and airway evaluation (n = 4). All 6 patients with active MPX developed the classic rash, which developed after oropharyngeal symptoms in 3 patients. Three patients had laryngeal involvement. CONCLUSION: MPX manifests with symptoms requiring otolaryngology expertise, especially when the airway is involved. Infectious disease consultation is key. Mpox can be identified with a specific constellation of demographic identifiers and physical exam findings, which is key to determining appropriate treatment and protection for the consulting otolaryngologist. SIGNIFICANCE: This is the first otolaryngologic study of Mpox and first description of Mpox laryngeal involvement.",2022 mpox outbreak; Mpox; laryngeal lesions; lymphadenopathy; maculopustular rash; monkeypox; orthopoxvirus; otolaryngology consultation
40920729,"Monkeypox infection in pregnancy, maternal and fetal outcomes: a systematic review.","Jose Camones-Huerta, Alexander Cordero-Campos, Alheli Cuya-Sahua, Susana Guzmán-Carrasco, Leslie Condori-Quispe, Karina Chin-Wu, Gustavo Quispe-Villegas, Mónica Flores-Noriega",Journal of infection in developing countries. 2025. doi: 10.3855/jidc.21855..,Camones-Huerta,Journal of infection in developing countries,2025,2025/08/31,,,10.3855/jidc.21855,"INTRODUCTION: Monkeypox (mpox) is an emerging infectious disease with increasing global incidence. Limited evidence exists regarding its impact on pregnancy and perinatal outcomes, especially in low-resource settings. The objective was to systematically synthesize current evidence on maternal and fetal outcomes associated with mpox infection during pregnancy. METHODOLOGY: A systematic review was conducted following the preferred reporting items for systematic reviews and meta-analyses (PRISMA) guidelines. PubMed, Scopus, Web of Science, and Embase (as of 4 September 2024) databases were searched. Case reports, case series, cohorts, and observational designs were included. Duplicates were removed using Rayyan. Only 6 studies (out of 471) met the eligibility criteria. A descriptive analysis was conducted due to heterogeneity and small sample sizes. RESULTS: A total of 6 studies were included (4 from US, 1 from Spain, 1 from Democratic Republic of Congo), comprising 33 pregnant women aged 18-29 years. Mpox was confirmed by polymerase chain reaction (PCR) in 32 cases. The clinical symptoms included vesicular rash, genital lesions, and systemic manifestations. No maternal deaths were reported. Adverse fetal outcomes included miscarriage (9.1%), stillbirth (6.1%), and 4 intrauterine deaths. Most pregnancies (84.8%) resulted in live births. The reported complications included oligohydramnios, cholestasis, chorioamnionitis, and fetal tachycardia. One study confirmed vertical transmission via placental and fetal tissue analysis. CONCLUSIONS: Mpox infection during pregnancy is associated with significant risk of adverse perinatal outcomes. Although current evidence is limited, these findings highlight the urgent need for more robust data to inform clinical and public health guidance.",MPOX; fetal outcomes; maternal health; monkeypox; perinatal; pregnancy
