sr_id,sr_name,sr_pmid,gt_title,gt_pmid,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,"National Monkeypox Surveillance, Central African Republic, 2001-2021.",36328951,10.3201/eid2812.220897,2022,"Besombes C, Mbrenga F, Schaeffer L, Malaka C, Gonofio E, Landier J, Vickos U, Konamna X, Selekon B, Dankpea JN, Von Platen C, Houndjahoue FG, Ouaïmon DS, Hassanin A, Berthet N, Manuguerra JC, Gessain A, Fontanet A, Nakouné-Yandoko E",Emerging infectious diseases,,verified,,,2026-04-18T13:54:09.900127+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,"Clinical and Epidemiological Findings from Enhanced Monkeypox Surveillance in Tshuapa Province, Democratic Republic of the Congo During 2011-2015.",33728469,10.1093/infdis/jiab133,2021,"Whitehouse ER, Bonwitt J, Hughes CM, Lushima RS, Likafi T, Nguete B, Kabamba J, Monroe B, Doty JB, Nakazawa Y, Damon I, Malekani J, Davidson W, Wilkins K, Li Y, Radford KW, Schmid DS, Pukuta E, Muyamuna E, Karhemere S, Tamfum JM, Okitolonda EW, McCollum AM, Reynolds MG",The Journal of infectious diseases,,verified,,,2026-04-18T13:54:41.003233+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,"Outbreak of human monkeypox, Democratic Republic of Congo, 1996 to 1997.",11384521,10.3201/eid0703.010311,2001,"Hutin YJ, Williams RJ, Malfait P, Pebody R, Loparev VN, Ropp SL, Rodriguez M, Knight JC, Tshioko FK, Khan AS, Szczeniowski MV, Esposito JJ",Emerging infectious diseases,,verified,,,2026-04-18T13:55:10.502910+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,Outbreaks of disease suspected of being due to human monkeypox virus infection in the Democratic Republic of Congo in 2001.,12149352,10.1128/JCM.40.8.2919-2921.2002,2002,"Meyer H, Perrichot M, Stemmler M, Emmerich P, Schmitz H, Varaine F, Shungu R, Tshioko F, Formenty P",Journal of clinical microbiology,,verified,,,2026-04-18T13:56:02.940370+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,Human monkeypox: clinical features of 282 patients.,3036967,10.1093/infdis/156.2.293,1987,"Jezek Z, Szczeniowski M, Paluku KM, Mutombo M",The Journal of infectious diseases,,verified,,,2026-04-18T13:56:37.004599+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,Four generations of probable person-to-person transmission of human monkeypox.,3010703,10.1093/oxfordjournals.aje.a114328,1986,"Jezek Z, Arita I, Mutombo M, Dunn C, Nakano JH, Szczeniowski M",American journal of epidemiology,,verified,,,2026-04-18T13:57:07.622103+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,Human monkeypox transmitted by a chimpanzee in a tropical rain-forest area of Zaire.,6132084,10.1016/s0140-6736(83)92027-5,1983,"Mutombo M, Arita I, Jezek Z","Lancet (London, England)",,verified,,,2026-04-18T14:01:12.669646+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,Clinical characterization and placental pathology of mpox infection in hospitalized patients in the Democratic Republic of the Congo.,37079637,10.1371/journal.pntd.0010384,2023,"Pittman PR, Martin JW, Kingebeni PM, Tamfum JM, Mwema G, Wan Q, Ewala P, Alonga J, Bilulu G, Reynolds MG, Quinn X, Norris S, Townsend MB, Satheshkumar PS, Wadding J, Soltis B, Honko A, Güereña FB, Korman L, Patterson K, Schwartz DA, Huggins JW, Kole Human Mpox Infection Study Group",PLoS neglected tropical diseases,,verified,,,2026-04-18T14:02:19.743196+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,Cytokine modulation correlates with severity of monkeypox disease in humans.,25600603,10.1016/j.jcv.2014.12.001,2015,"Johnston SC, Johnson JC, Stonier SW, Lin KL, Kisalu NK, Hensley LE, Rimoin AW",Journal of clinical virology : the official publication of the Pan American Society for Clinical Virology,,verified,,,2026-04-18T14:02:35.204446+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,Human monkeypox infection: a family cluster in the midwestern United States.,15499541,10.1086/425039,2004,"Sejvar JJ, Chowdary Y, Schomogyi M, Stevens J, Patel J, Karem K, Fischer M, Kuehnert MJ, Zaki SR, Paddock CD, Guarner J, Shieh WJ, Patton JL, Bernard N, Li Y, Olson VA, Kline RL, Loparev VN, Schmid DS, Beard B, Regnery RR, Damon IK",The Journal of infectious diseases,,verified,,,2026-04-20T06:05:03.472973+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,A case of severe monkeypox virus disease in an American child: emerging infections and changing professional values.,14688573,10.1097/01.inf.0000101821.61387.a5,2003,"Anderson MG, Frenkel LD, Homann S, Guffey J",The Pediatric infectious disease journal,,verified,,,2026-04-20T06:05:30.028036+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,"Epidemiologic and Clinical Features of Children and Adolescents Aged <18 Years with Monkeypox - United States, May 17-September 24, 2022.",36331124,10.15585/mmwr.mm7144a4,2022,"Hennessee I, Shelus V, McArdle CE, Wolf M, Schatzman S, Carpenter A, Minhaj FS, Petras JK, Cash-Goldwasser S, Maloney M, Sosa L, Jones SA, Mangla AT, Harold RE, Beverley J, Saunders KE, Adams JN, Stanek DR, Feldpausch A, Pavlick J, Cahill M, O'Dell V, Kim M, Alarcón J, Finn LE, Goss M, Duwell M, Crum DA, Williams TW, Hansen K, Heddy M, Mallory K, McDermott D, Cuadera MKQ, Adler E, Lee EH, Shinall A, Thomas C, Ricketts EK, Koonce T, Rynk DB, Cogswell K, McLafferty M, Perella D, Stockdale C, Dell B, Roskosky M, White SL, Davis KR, Milleron RS, Mackey S, Barringer LA, Bruce H, Barrett D, D'Angeli M, Kocharian A, Klos R, Dawson P, Ellington SR, Mayer O, Godfred-Cato S, Labuda SM, McCormick DW, McCollum AM, Rao AK, Salzer JS, Kimball A, Gold JAW, California Department of Public Health Monkeypox Pediatric Working Group, CDC Monkeypox Pediatric Working Group",MMWR. Morbidity and mortality weekly report,,verified,,,2026-04-20T06:08:52.331877+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,[Monkeypox in central africa. About two strains isolated in Central African Republic].,36248009,10.1016/S0399-077X(89)80242-2,1989,"Herve VMA, Belec L, Yayah G, Georges AJ",Medecine et maladies infectieuses,,verified,,,2026-04-20T06:15:38.636831+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,Monkeypox virus infections in children in Spain during the first months of the 2022 outbreak.,36058226,10.1016/S2352-4642(22)00250-4,2022,"Aguilera-Alonso D, Alonso-Cadenas JA, Roguera-Sopena M, Lorusso N, Miguel LGS, Calvo C",The Lancet. Child & adolescent health,,verified,,,2026-04-20T06:19:00.959298+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,Human poxvirus disease after smallpox eradication.,192091,10.4269/ajtmh.1977.26.273,1977,"Breman JG, Nakano JH, Coffi E, Godfrey H, Gautun JC",The American journal of tropical medicine and hygiene,,verified,,,2026-04-20T06:21:30.947025+00:00
13,"9.Paediatric, maternal, and congenital mpox a systematic review and meta-analysis",38401556,"A large multi-country outbreak of monkeypox across 41 countries in the WHO European Region, 7 March to 23 August 2022.",36082686,10.2807/1560-7917.ES.2022.27.36.2200620,2022,"Vaughan AM, Cenciarelli O, Colombe S, Alves de Sousa L, Fischer N, Gossner CM, Pires J, Scardina G, Aspelund G, Avercenko M, Bengtsson S, Blomquist P, Caraglia A, Chazelle E, Cohen O, Diaz A, Dillon C, Dontsenko I, Kotkavaara K, Fafangel M, Ferraro F, Firth R, Fonager J, Frank C, Carrasco MG, Gkolfinopoulou K, Grenersen MP, Guzmán Herrador BR, Henczkó J, Hoornenborg E, Igoe D, Ilić M, Jansen K, Janță DG, Johansen TB, Kasradze A, Koch A, Kyncl J, Martins JV, McAuley A, Mellou K, Molnár Z, Mor Z, Mossong J, Novacek A, Orlikova H, Pem Novosel I, Rossi MK, Sadkowska-Todys M, Sawyer C, Schmid D, Sîrbu A, Sondén K, Tarantola A, Tavares M, Thordardottir M, Učakar V, Van Ewijk C, Varjas J, Vergison A, Vivancos R, Zakrzewska K, Pebody R, Haussig JM",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,,verified,,,2026-04-20T06:24:15.263115+00:00
