PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,pub_types,mesh_terms,screening_stage,screening_mode,prompt_tokens,completion_tokens,total_tokens,wall_time_ms,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,parameter_score,parameter_justification,confidence,fulltext_status,fulltext_path,fulltext_eligible
32166607,,A Review of Coronavirus Disease-2019 (COVID-19).,Singhal T.,Indian J Pediatr. 2020 Apr;87(4):281-286. doi: 10.1007/s12098-020-03263-6. Epub 2020 Mar 13.,Singhal,Indian journal of pediatrics,2020,2020/03/14,PMC7090728,,10.1007/s12098-020-03263-6,"There is a new public health crises threatening the world with the emergence and spread of 2019 novel coronavirus (2019-nCoV) or the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The virus originated in bats and was transmitted to humans through yet unknown intermediary animals in Wuhan, Hubei province, China in December 2019. There have been around 96,000 reported cases of coronavirus disease 2019 (COVID-2019) and 3300 reported deaths to date (05/03/2020). The disease is transmitted by inhalation or contact with infected droplets and the incubation period ranges from 2 to 14 d. The symptoms are usually fever, cough, sore throat, breathlessness, fatigue, malaise among others. The disease is mild in most people; in some (usually the elderly and those with comorbidities), it may progress to pneumonia, acute respiratory distress syndrome (ARDS) and multi organ dysfunction. Many people are asymptomatic. The case fatality rate is estimated to range from 2 to 3%. Diagnosis is by demonstration of the virus in respiratory secretions by special molecular tests. Common laboratory findings include normal/ low white cell counts with elevated C-reactive protein (CRP). The computerized tomographic chest scan is usually abnormal even in those with no symptoms or mild disease. Treatment is essentially supportive; role of antiviral agents is yet to be established. Prevention entails home isolation of suspected cases and those with mild illnesses and strict infection control measures at hospitals that include contact and droplet precautions. The virus spreads faster than its two ancestors the SARS-CoV and Middle East respiratory syndrome coronavirus (MERS-CoV), but has lower fatality. The global impact of this new epidemic is yet uncertain.",2019-nCOV; COVID-19; Pneumonia; Review; SARS-CoV-2,Journal Article; Review,"[MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Cough; [MeSH] Disease Outbreaks; [MeSH] Dyspnea; [MeSH] Fatigue; [MeSH] Fever; [MeSH] Humans; [MeSH] Pharyngitis; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2",title_abstract,strict,1369,387,1756,7605.2,unlikely_candidate,3,"The study is relevant to the disease (SARS-CoV-2 and COVID-19) and includes real-world geographic context. However, it is a review article, which means it does not present original empirical data. While it discusses fatality rates and severity outcomes, it is not an original study and therefore may not meet the criteria for inclusion in the systematic review.",4,"The title and abstract explicitly mention 'SARS-CoV-2' and 'coronavirus disease 2019 (COVID-19)', which are directly relevant to the research question.",4,"The abstract discusses human symptoms, transmission, and outcomes, indicating that the study is focused on human populations.",4,"The abstract mentions the origin of the virus in Wuhan, Hubei province, China, indicating a real-world geographic context.",1,"The publication type is 'Review', which explicitly indicates that this is not an original empirical study. The abstract does not describe data collection from human subjects.",4,"The abstract explicitly mentions 'case fatality rate' and discusses severity outcomes such as pneumonia, ARDS, and multi-organ dysfunction, which are directly relevant to the research question.",0.0,,,
33042586,,"Gone, but not Forgotten.","Pisani B, Sharma R.",Card Fail Rev. 2020 Sep 28;6:e26. doi: 10.15420/cfr.2020.18. eCollection 2020 Mar.,Pisani,Cardiac failure review,2020,2020/10/12,PMC7539141,,10.15420/cfr.2020.18,"The global health and economic impact of the coronavirus disease 2019 (COVID-19) pandemic has rocked our communities and way of life. With millions infected around the globe, and hundreds of thousands of lives lost, there has been a paradigm shift in how clinicians evaluate and care for patients in multiple different types of healthcare settings. Many patients are reluctant to seek medical attention for cardiovascular illnesses, and late presentations of acute cardiac issues are raising the morbidity and mortality for treatable cardiac conditions. In this expert opinion, the authors canvas the many challenges in the diagnosis, treatment and delivery of care to patients with congestive heart failure and acute coronary syndromes during the COVID-19 pandemic.",COVID-19; clinic visits; heart failure; hospitalisation; televisits,Journal Article; Review,,title_abstract,strict,1006,385,1391,6200.4,unlikely_candidate,3,"The study is focused on the impact of the COVID-19 pandemic on healthcare, particularly cardiovascular conditions. However, it is a review and expert opinion, not an original empirical study. It does not directly report on fatality or severity outcomes of SARS-CoV-2 infection.",4,"The title does not explicitly mention SARS-CoV-2 or COVID-19, but the abstract includes 'coronavirus disease 2019 (COVID-19)' and the keywords include 'COVID-19'. The study is focused on the impact of the pandemic on healthcare, including cardiovascular conditions.",4,"The study discusses patients with cardiovascular conditions during the pandemic, indicating a focus on human populations.",2,The abstract mentions the global impact of the pandemic but does not specify a real-world geographic or field context.,1,"The publication type includes 'Review', which indicates the paper is not an original empirical study. The abstract describes an expert opinion rather than original data collection.",2,The abstract mentions 'morbidity and mortality for treatable cardiac conditions' but does not explicitly report on fatality or severity outcomes of SARS-CoV-2 infection itself.,0.0,,,
33144889,,[Epidemiology of SARS-CoV-2/COVID-19].,"Salzberger B, Buder F, Lampl BT, Ehrenstein B, Hitzenbichler F, Holzmann T, Schmidt B, Hanses F.",Gastroenterologe. 2020;15(6):443-451. doi: 10.1007/s11377-020-00479-y. Epub 2020 Oct 29.,Salzberger,Der Gastroenterologe : Zeitschrift fur Gastroenterologie und Hepatologie,2020,2020/11/04,PMC7594942,,10.1007/s11377-020-00479-y,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a beta coronavirus, which first appeared in 2019 and rapidly spread causing a worldwide pandemic. Here we present a nonsystematic review of the current knowledge on its epidemiological features. The SARS-CoV‑2 replicates mainly in the upper and lower respiratory tract and is mainly transmitted by droplets and aerosols from asymptomatic and symptomatic infected subjects. The estimate for the basic reproduction number (R0) is between 2 and 3 and the median incubation period is 6 days (range 2-14 days). Similar to the related coronaviruses SARS and Middle East respiratory syndrome (MERS), superspreading events play an important role in spreading the disease. The majority of infections run an uncomplicated course but 5-10% of those infected develop pneumonia or a systemic inflammation leading to hospitalization, respiratory and potentially multiorgan failure. The most important risk factors for a complicated disease course are age, hypertension, diabetes, chronic cardiovascular and pulmonary diseases and immunodeficiency. The current infection fatality rate over all age groups is between 0.5% and 1% and the rate rises after the sixth decade of life. Nosocomial transmission and infections in medical personnel have been reported. A drastic reduction of social contacts has been implemented in many countries with outbreaks of SARS-CoV‑2, leading to rapid reductions in R0. Most interventions have used bundles and which of the measures have been more effective is still unknown. Using mathematical models an incidence of 0.4%-1.8% can be estimated for the first wave in Germany.",Basic reproduction number; Incidence; Incubation period; Mortality; Pandemic,English Abstract; Journal Article; Review,,title_abstract,strict,1224,368,1592,6496.4,possible_candidate,4,"The study is focused on SARS-CoV-2 and discusses mortality and severity outcomes, including infection fatality rate and risk factors. It includes real-world data from Germany and references empirical findings. However, it is a nonsystematic review, which limits its original empirical evidence.",4,"The title explicitly mentions 'SARS-CoV-2/COVID-19', and the abstract discusses the epidemiology of SARS-CoV-2, confirming the study's focus on the disease.",4,"The abstract discusses risk factors for disease progression in humans, such as age, hypertension, and diabetes, indicating a focus on human populations.",4,"The abstract mentions 'Germany' in the context of estimating incidence, indicating a real-world geographic context.",2,"The publication type includes 'Journal Article' and 'English Abstract', and the abstract describes a nonsystematic review of epidemiological features, suggesting empirical analysis of existing data. However, it is not a primary study.",4,"The abstract explicitly mentions 'infection fatality rate' and discusses severity outcomes such as hospitalization, pneumonia, and respiratory failure, which are relevant to the research question.",1.0,,,
32291377,,COVID-19 and Indonesia.,"Setiati S, Azwar MK.",Acta Med Indones. 2020 Jan;52(1):84-89.,Setiati,Acta medica Indonesiana,2020,2020/04/16,,,,"Coronavirus disease 2019 (COVID-19) pandemic is an ongoing problem in more than 200 countries in the world. Indonesia has been greatly affected by COVID-19 with case fatality rate (CFR) being 8.9% in the end of March 2020. We have some room for improvement related to the unreadingess of healthcare facility and the major steps taken by the government. It is suggested that the country should have stricter Stay-at-Home notice, suppress the spread by imposing lockdown on a large scale, improve healthcare service, and increase the availability of personal protective equipments (PPE). It is important to avoid an epidemic peak that potentially overwhelms healthcare service by quarantining the case contacts. Lockdown may prolong the epidemic doubling time significantly. Demand of health system is likely to grow since the number of COVID-19 case is likely to rise. Effective procedures for protecting medical staff from infection are essential. Scientific research in Indonesia is also crucial to provide suggestion and recommendation pertinent to COVID-19.",COVID-19; Indonesia; SARS-CoV-2; coronavirus,Journal Article,"[MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Humans; [MeSH] Indonesia; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2",title_abstract,strict,1143,329,1472,5518.9,strong_candidate,4,The study is relevant to the research question as it explicitly addresses SARS-CoV-2 and discusses fatality outcomes (CFR) in Indonesia. It is a journal article with real-world geographic context and suggests original empirical analysis.,4,"The title and abstract explicitly mention 'COVID-19' and 'SARS-CoV-2', which are directly relevant to the research question.",4,"The study discusses the impact of COVID-19 in Indonesia, which implies a focus on human populations.",4,"The study focuses on Indonesia, providing a real-world geographic context.",4,"The publication type is 'Journal Article', and the abstract mentions 'case fatality rate (CFR)' and discusses data related to the pandemic in Indonesia, suggesting original empirical analysis.",4,"The abstract explicitly mentions 'case fatality rate (CFR)', which is directly related to the research question on fatality outcomes.",1.0,,,
32299206,,Epidemiology of COVID-19.,"Bulut C, Kato Y.",Turk J Med Sci. 2020 Apr 21;50(SI-1):563-570. doi: 10.3906/sag-2004-172.,Bulut,Turkish journal of medical sciences,2020,2020/04/18,PMC7195982,,10.3906/sag-2004-172,"It seems that coronaviruses take an important place in the 21th century history. Five of seven human coronavirus was isolated in this century. Unfortunately, last three of them entered our life with a fear of outbreak, pandemic or death. Last human coronavirus which emerged world from Wuhan China, SARS CoV-2 and its clinical expression, Coronavirus disease (COVID-19) recently taken a significant place in our daily practice. Initial reports showed that, its origin was bats. It transmitted human to human by droplet and contact routes, but some doubt about airborne, fecal or intrauterine transmission also should be removed. Its R0 value is 2.3 but it could be as high as 5.7. Its case fatality rate was 6.3, but it was different in different ages and counties, and it could be over 15%. According to early models total 10–12 weeks is required to control an outbreak in the community. While different countries show different daily case numbers, total number of case, case mortality rates or R0, it seems they show a similar epidemic curve. Every day we learn new data about the current outbreak. Since the outbreak is not over yet, every detail should be evaluated carefully and the updates should be followed closely to monitor the epidemiological properties of COVID-19.",COVID-19; SARS CoV-2,Journal Article; Review,"[MeSH] Basic Reproduction Number; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] China; [MeSH] Coronavirus Infections; [MeSH] Humans; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2",title_abstract,strict,1212,362,1574,5655.3,unlikely_candidate,3,"The study is relevant to the disease (SARS-CoV-2 and COVID-19) and includes geographic context. However, it is a review paper, which limits its original empirical evidence. It discusses case fatality rate, which is relevant to the research question, but the study does not present original data from human subjects.",4,"The study explicitly mentions 'COVID-19' and 'SARS CoV-2' in the title and keywords, which are directly relevant to the research question.",4,The abstract mentions 'humans' and discusses transmission routes and clinical outcomes in human populations.,3,"The abstract mentions 'Wuhan China' and discusses the spread of the virus in different countries, indicating a real-world geographic context.",1,"The publication type includes 'Review', which indicates that the paper is not an original empirical study. The abstract does not describe data collection from human subjects.",3,"The abstract mentions 'case fatality rate' and discusses variations by age and country, which are directly related to the research question on fatality outcomes.",1.0,,,
32498503,,COVID-19: a review.,"Madabhavi I, Sarkar M, Kadakol N.",Monaldi Arch Chest Dis. 2020 May 14;90(2). doi: 10.4081/monaldi.2020.1298.,Madabhavi,Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace,2020,2020/06/06,,,10.4081/monaldi.2020.1298,"The enduring epidemic outbreak which started in Wuhan city of China, in December 2019 caused by the 2019 novel coronavirus (COVID- 19) or the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has created a dangerous and deadly Public Health disaster of International apprehension, with cases confirmed in several countries. This novel community health trouble is frightening the universe with clinical, psychological, emotional, collapse of health system and economical slowdown in each and every part of the world infecting nearly 200 countries. A highly virulent and pathogenic COVID-19 viral infection with incubation period ranging from two to fourteen days, transmitted by breathing of infected droplets or contact with infected droplets, belongs to the genus Coronavirus with its high mutation rate in the Coronaviridae. The likely probable primary reservoir could be bats, because genomic analysis discovered that SARSCoV-2 is phylogenetically interrelated to SARS-like bat viruses. The transitional resource of origin and transfer to humans is not known, however, the rapidly developing pandemic has confirmed human to human transfer. Approximately 1,016,128 reported cases, 211,615 recovered cases and 53,069 deaths of COVID-2019 have been reported to date (April 2, 2020). The symptoms vary from asymptomatic, low grade pyrexia, dry cough, sore throat, breathlessness, tiredness, body aches, fatigue, myalgia, nausea, vomiting, diarrhea, to severe consolidation and pneumonia, acute respiratory distress syndrome (ARDS) and multiple organ dysfunction leading to death with case fatality rate ranging from 2 to 3%.","[MeSH] Animals; [MeSH] Antiviral Agents; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Disease Outbreaks; [MeSH] Drug Development; [MeSH] Global Health; [MeSH] Humans; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Public Health; [MeSH] Real-Time Polymerase Chain Reaction; [MeSH] Reverse Transcriptase Polymerase Chain Reaction; [MeSH] SARS-CoV-2",Journal Article; Review,"[MeSH] Animals; [MeSH] Antiviral Agents; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Disease Outbreaks; [MeSH] Drug Development; [MeSH] Global Health; [MeSH] Humans; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Public Health; [MeSH] Real-Time Polymerase Chain Reaction; [MeSH] Reverse Transcriptase Polymerase Chain Reaction; [MeSH] SARS-CoV-2",title_abstract,strict,1466,357,1823,6292.6,unlikely_candidate,3,"The study is focused on SARS-CoV-2 and mentions relevant outcomes such as case fatality rate. However, it is a review article, which means it does not present original empirical data from human subjects. Therefore, it does not meet the criteria for inclusion in this stage of the review.",4,"The study explicitly mentions 'COVID-19' and 'SARS-CoV-2' in the title and abstract, indicating it is focused on the correct disease.",4,"The study mentions 'humans' in the MeSH terms and discusses outcomes in human populations, such as cases, deaths, and symptoms.",4,"The study mentions the outbreak starting in Wuhan, China, and notes cases in several countries, indicating a real-world geographic context.",1,"The publication type is 'Review', which explicitly indicates that the study is not an original empirical study. The abstract does not describe data collection from human subjects.",4,"The abstract mentions 'case fatality rate' and discusses severity outcomes such as pneumonia, ARDS, and death, which are relevant to the research question.",0.0,,,
33688409,,Cardiovascular Manifestations of COVID-19.,"Altamimi H, Abid AR, Othman F, Patel A.",Heart Views. 2020 Jul-Sep;21(3):171-186. doi: 10.4103/HEARTVIEWS.HEARTVIEWS_150_20. Epub 2020 Oct 13.,Altamimi,Heart views : the official journal of the Gulf Heart Association,2020,2021/03/10,PMC7898993,,10.4103/HEARTVIEWS.HEARTVIEWS_150_20,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which is the cause of COVID-19, was first reported in Wuhan, China. SARS-CoV-2 especially involves alveolar epithelial cells, which results in respiratory symptoms more severe in patients with cardiovascular disease (CVD) probably linked with increased secretion of angiotensin-converting enzyme 2 in these patients compared with healthy individuals. Cardiac manifestations may contribute to overall mortality and even be the primary cause of death in many of these patients. A higher prevalence of hypertension (HTN) followed by diabetes mellitus and CVD was observed in COVID-19 patients. A higher case-fatality rate was seen among patients with pre-existing comorbid conditions, such as diabetes, chronic respiratory disease, HTN, and cancer, compared to a lesser rate in the entire population. Cardiovascular (CV) manifestations of COVID-19 encompass a wide spectrum, including myocardial injury, infarction, myocarditis-simulating ST-segment elevation myocardial infarction, nonischemic cardiomyopathy, coronary vasospasm, pericarditis, or stress (takotsubo) cardiomyopathy. This review is intended to summarize our current understanding of the CV manifestations of COVID-19 and also to study the relationship between SARS-CoV-2 and CVDs and discuss possible mechanisms of action behind SARS-CoV-2 infection-induced damage to the CV system.",Acute coronary syndromes; COVID-19; arrhythmia; cardiovascular disease; myocardial injury; myocarditis; severe acute respiratory syndrome coronavirus 2,Journal Article; Review,,title_abstract,strict,1192,350,1542,7307.2,unlikely_candidate,3,"The study is relevant to the disease (SARS-CoV-2 and COVID-19) and includes some geographic context. However, it is a review and does not present original empirical data, which limits its relevance for the research question focused on fatality and severity outcomes.",4,"The title and abstract explicitly mention 'SARS-CoV-2' and 'COVID-19', which are directly relevant to the research question.",4,"The abstract discusses patients with pre-existing conditions and mentions 'patients with cardiovascular disease', indicating a focus on human populations.",3,"The abstract mentions the origin of SARS-CoV-2 in Wuhan, China, indicating a real-world geographic context.",1,"The publication type is listed as 'Review', which indicates that the paper is not an original empirical study. The abstract does not describe data collection from human subjects.",3,"The abstract mentions 'case-fatality rate' and discusses cardiovascular manifestations that may contribute to mortality, which are relevant to the research question.",1.0,,,
37556240,,COVID-19: A Risk Assessment Perspective.,Schröder I.,J Chem Health Saf. 2020 May 11;27(3):160-169. doi: 10.1021/acs.chas.0c00035. eCollection 2020 May 26.,Schröder,Journal of chemical health & safety,2020,2023/08/09,,,10.1021/acs.chas.0c00035,"COVID-19 is a newly emerging viral respiratory disease first identified in Wuhan, China, in December 2019. The disease is caused by the coronavirus SARS-CoV-2, which is related to the viruses that cause SARS and MERS. While the case fatality ratio for COVID-19 (5%) is far lower than that for SARS (11%) and MERS (34%), COVID-19 is spreading relatively uncontrolled at this time across the globe. In contrast, SARS appears to be contained, and MERS is controlled. This paper will explore why COVID-19 is able to progress to a global pandemic that affects our daily lives to an extent not known in recent history. The COVID-19 outbreak and spread will be examined based on the current literature, using a researcher's perspective of risk assessment and risk mitigation; this approach will be related to public health.",,Journal Article; Review,,title_abstract,strict,1046,380,1426,5715.5,unlikely_candidate,3,"The study is relevant to the research question as it discusses SARS-CoV-2 and COVID-19, and includes a real-world geographic context. However, it is a review paper, which limits its original empirical evidence. It does not present new data from human subjects, and thus may not meet the criteria for inclusion in a systematic review focused on empirical outcomes.",4,"The title and abstract explicitly mention 'SARS-CoV-2' and 'COVID-19', which are directly relevant to the research question.",4,"The abstract discusses the impact of the disease on 'our daily lives' and refers to 'public health', suggesting a focus on human populations.",4,"The abstract mentions Wuhan, China, as the origin of the disease, indicating a real-world geographic context.",1,"The publication type is 'Journal Article' and 'Review', which indicates that the paper is a review of existing literature rather than presenting original empirical data from human subjects.",4,"The abstract mentions the 'case fatality ratio' (CFR) for COVID-19, which is directly relevant to the research question about fatality outcomes.",1.0,,,
32628905,,Comparing SARS-CoV-2 with SARS-CoV and influenza pandemics.,"Petersen E, Koopmans M, Go U, Hamer DH, Petrosillo N, Castelli F, Storgaard M, Al Khalili S, Simonsen L.",Lancet Infect Dis. 2020 Sep;20(9):e238-e244. doi: 10.1016/S1473-3099(20)30484-9. Epub 2020 Jul 3.,Petersen,The Lancet. Infectious diseases,2020,2020/07/07,PMC7333991,,10.1016/S1473-3099(20)30484-9,"The objective of this Personal View is to compare transmissibility, hospitalisation, and mortality rates for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) with those of other epidemic coronaviruses, such as severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), and pandemic influenza viruses. The basic reproductive rate (R0) for SARS-CoV-2 is estimated to be 2·5 (range 1·8-3·6) compared with 2·0-3·0 for SARS-CoV and the 1918 influenza pandemic, 0·9 for MERS-CoV, and 1·5 for the 2009 influenza pandemic. SARS-CoV-2 causes mild or asymptomatic disease in most cases; however, severe to critical illness occurs in a small proportion of infected individuals, with the highest rate seen in people older than 70 years. The measured case fatality rate varies between countries, probably because of differences in testing strategies. Population-based mortality estimates vary widely across Europe, ranging from zero to high. Numbers from the first affected region in Italy, Lombardy, show an all age mortality rate of 154 per 100 000 population. Differences are most likely due to varying demographic structures, among other factors. However, this new virus has a focal dissemination; therefore, some areas have a higher disease burden and are affected more than others for reasons that are still not understood. Nevertheless, early introduction of strict physical distancing and hygiene measures have proven effective in sharply reducing R0 and associated mortality and could in part explain the geographical differences.","[MeSH] Age Factors; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Epidemics; [MeSH] Hospitalization; [MeSH] Humans; [MeSH] Hygiene; [MeSH] Influenza, Human; [MeSH] Pandemics; [MeSH] Physical Distancing; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2; [MeSH] Severe Acute Respiratory Syndrome","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, P.H.S.; Review","[MeSH] Age Factors; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Epidemics; [MeSH] Hospitalization; [MeSH] Humans; [MeSH] Hygiene; [MeSH] Influenza, Human; [MeSH] Pandemics; [MeSH] Physical Distancing; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2; [MeSH] Severe Acute Respiratory Syndrome",title_abstract,strict,1470,362,1832,5576.2,unlikely_candidate,3,"The study is relevant to the disease (SARS-CoV-2) and discusses mortality and severity outcomes, including case fatality rates and hospitalization. However, it is a review and does not present original empirical data, which limits its relevance for the systematic review.",4,"The study explicitly mentions SARS-CoV-2 and compares it with other coronaviruses, including SARS-CoV and MERS-CoV, which are directly relevant to the research question.",4,"The study discusses human populations, including age groups and demographic structures, and references hospitalization and mortality in humans.",3,"The study references geographical differences in mortality rates, such as in Italy's Lombardy region, indicating a real-world geographic context.",1,"The publication type includes 'Review,' which disqualifies it from being considered an original empirical study. The abstract does not describe original data collection from human subjects.",4,"The study explicitly mentions mortality rates, case fatality rates, and hospitalization, which are directly related to the research question on fatality and severity outcomes.",0.0,,,
32146445,,Similarity in Case Fatality Rates (CFR) of COVID-19/SARS-COV-2 in Italy and China.,"Porcheddu R, Serra C, Kelvin D, Kelvin N, Rubino S.",J Infect Dev Ctries. 2020 Feb 29;14(2):125-128. doi: 10.3855/jidc.12600.,Porcheddu,Journal of infection in developing countries,2020,2020/03/09,,,10.3855/jidc.12600,"As of 28 February 2020, Italy had 888 cases of SARS-CoV-2 infections, with most cases in Northern Italy in the Lombardia and Veneto regions. Travel-related cases were the main source of COVID-19 cases during the early stages of the current epidemic in Italy. The month of February, however, has been dominated by two large clusters of outbreaks in Northern Italy, south of Milan, with mainly local transmission the source of infections. Contact tracing has failed to identify patient zero in one of the outbreaks. As of 28 February 2020, twenty-one cases of COVID-19 have died. Comparison between case fatality rates in China and Italy are identical at 2.3. Additionally, deaths are similar in both countries with fatalities in mostly the elderly with known comorbidities. It will be important to develop point-of-care devices to aid clinicians in stratifying elderly patients as early as possible to determine the potential level of care they will require to improve their chances of survival from COVID-19 disease.",Case Fatality Rates; Italy; Novel coronavirus COVID-19; SARS-CoV-19; outbreak,"Journal Article; Research Support, Non-U.S. Gov't","[MeSH] Adolescent; [MeSH] Adult; [MeSH] Age Distribution; [MeSH] Aged; [MeSH] Aged, 80 and over; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Child; [MeSH] Child, Preschool; [MeSH] China; [MeSH] Contact Tracing; [MeSH] Coronavirus Infections; [MeSH] Female; [MeSH] Humans; [MeSH] Infant; [MeSH] Italy; [MeSH] Male; [MeSH] Middle Aged; [MeSH] Mortality; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Point-of-Care Systems; [MeSH] Risk Factors; [MeSH] SARS-CoV-2; [MeSH] Young Adult",title_abstract,strict,1312,447,1759,7410.7,strong_candidate,4,"The study is directly relevant to the research question as it focuses on the case fatality rate of SARS-CoV-2 in Italy and China, with explicit mention of mortality outcomes and real-world geographic contexts. It presents original empirical data and is focused on human populations.",4,"The title explicitly mentions 'Case Fatality Rates (CFR) of COVID-19/SARS-COV-2', and the abstract references 'SARS-CoV-2 infections' and 'COVID-19 disease'. The study is directly focused on SARS-CoV-2 and its outcomes.",4,"The abstract references 'cases of SARS-CoV-2 infections' and 'deaths' in the context of human populations, and the MeSH terms include 'Humans'. The study is focused on human health outcomes.",4,"The study compares Italy and China, both of which are real-world geographic locations affected by the pandemic. The abstract references specific regions in Italy (Lombardia and Veneto) and mentions the outbreak in China.",4,"The publication type is 'Journal Article', and the abstract describes data on case fatality rates, deaths, and patient demographics. It references specific numbers of cases and deaths, indicating original empirical data collection.",4,"The study explicitly mentions 'case fatality rates' and 'deaths' in the abstract, and discusses mortality outcomes in the context of SARS-CoV-2 infection. It also references 'elderly patients' and 'comorbidities', which are relevant to severity outcomes.",1.0,,,
