PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,screening_stage,screening_mode,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,parameter_score,parameter_justification,fulltext_status,fulltext_path,fulltext_eligible
32146445,,Similarity in Case Fatality Rates (CFR) of COVID-19/SARS-COV-2 in Italy and China.,"Porcheddu R, Serra C, Kelvin D, Kelvin N, Rubino S.",J Infect Dev Ctries. 2020 Feb 29;14(2):125-128. doi: 10.3855/jidc.12600.,Porcheddu,Journal of infection in developing countries,2020,2020/03/09,,,10.3855/jidc.12600,"As of 28 February 2020, Italy had 888 cases of SARS-CoV-2 infections, with most cases in Northern Italy in the Lombardia and Veneto regions. Travel-related cases were the main source of COVID-19 cases during the early stages of the current epidemic in Italy. The month of February, however, has been dominated by two large clusters of outbreaks in Northern Italy, south of Milan, with mainly local transmission the source of infections. Contact tracing has failed to identify patient zero in one of the outbreaks. As of 28 February 2020, twenty-one cases of COVID-19 have died. Comparison between case fatality rates in China and Italy are identical at 2.3. Additionally, deaths are similar in both countries with fatalities in mostly the elderly with known comorbidities. It will be important to develop point-of-care devices to aid clinicians in stratifying elderly patients as early as possible to determine the potential level of care they will require to improve their chances of survival from COVID-19 disease.",Case Fatality Rates; Italy; Novel coronavirus COVID-19; SARS-CoV-19; outbreak,title_abstract,strict,possible_candidate,4,"This paper is highly relevant on disease, human population, geography, and target outcomes because it explicitly addresses COVID-19/SARS-CoV-2 case fatality and deaths in Italy and China. The main uncertainty is whether it reports original empirical analysis versus a brief descriptive commentary using existing surveillance data.",4,"The title and abstract explicitly focus on COVID-19/SARS-CoV-2, including cases, deaths, and outbreak context in Italy and China.",4,"The abstract discusses human cases and deaths in Italy and China, especially elderly patients with comorbidities.",4,"The study is set in real-world geographic contexts, explicitly comparing Italy and China and describing outbreaks in Northern Italy.",2,"The abstract presents numerical outbreak and death data, but it is unclear from the title/abstract whether this is original primary analysis or a commentary-style comparison based on reported surveillance figures.",4,"Case fatality rates are central in the title, and the abstract explicitly reports deaths and compares CFR values between Italy and China.",pmc_unavailable,,pmc_unavailable
33214992,,Changing epidemiology of COVID-19.,"Lampl BMJ, Salzberger B.",GMS Hyg Infect Control. 2020 Nov 6;15:Doc27. doi: 10.3205/dgkh000362. eCollection 2020.,Lampl,GMS hygiene and infection control,2020,2020/11/20,PMC7656981,,10.3205/dgkh000362,"Background: We analyzed the epidemiology of COVID-19 in Regensburg after the first wave ended in June 2020 and compared it with patients' characteristics and symptoms in late summer/early autumn 2020. Methods: Retrospective analysis of epidemiological data from Regensburg (city/county) on age and initial symptoms as reported during case investigation for containment. Observed periods: March 7, 2020 to June 6, 2020 and August 12, 2020 to October 9, 2020. Results: The proportion of asymptomatic persons who tested positive for SARS-COV-2 in the second period was 55% (286 of 520 cases), whereas during the first wave from March to June 2020 this percentage was 14.4% (169 of 1,170 cases). A comparison of typical symptoms shows that the most common symptoms of COVID-19 in the first wave (cough, fever and generally feeling ill) were less often reported in the second period: cough 14% vs. 42%, fever 17% vs. 38%, general signs of illness 14% vs. 22% in the second vs. first period, respectively overall cases were younger in the second period, the median age of asymptomatic cases was comparable in both periods. The case fatality rate for the first period was 2.1%, in the second it was 0.2%. Discussion: The epidemiological situation in the second period is different from that during the first wave. We observed a considerable proportion of questionable cases in August/September 2020 (asymptomatic cases, high ct values, often only detection of one gene). False positive cases/non-contagious cases have to be taken into account for this period. On-demand or free-of-charge testing for asymptomatic persons will lower the positive predictive value of tests and place a high burden on finite capacities.",COVID-19; PCR; asymptomatic cases; epidemiology; testing strategies,full_text,strict,possible_candidate,4,"The full text confirms this is an original human SARS-CoV-2 epidemiologic study in a real-world setting. Crucially for second-stage refinement, it does report target severity/fatality parameters with concrete results in the body text, especially case fatality rate and pneumonia counts, although severe outcomes are limited and ICU/mechanical ventilation endpoints are not fully quantified.",4,"The full text is explicitly about COVID-19/SARS-CoV-2, including laboratory-confirmed SARS-CoV-2 PCR-positive cases in Regensburg and repeated discussion of COVID-19 epidemiology.",4,"This is a human population study using public health surveillance/case-investigation data from 1,170 cases in spring and 520 cases in late summer/autumn in Regensburg.",4,"The analysis is set in a real-world geographic context: Regensburg city/county, Germany, with defined observation periods and local incidence/case data.",4,"The study reports original retrospective empirical data from the Regensburg public health database (Äsculab21), comparing reported symptoms, ages, asymptomatic proportion, pneumonia, and deaths across two periods.",3,"The full text reports severity/fatality outcomes directly: 'Pneumonia was reported in only one case out of 520 in the second period, whereas in spring, 13 cases initially exhibited pneumonia (1%)' and 'The case fatality rate was 0.2% for the second period compared to 2.1% in spring.' It also states the database was searched for severe conditions including ARDS and 'pneumonia requiring ventilation,' but quantified ICU or ventilation outcomes are not actually presented.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_33214992\PMID_33214992.md,
32234121,,"Estimating the infection and case fatality ratio for coronavirus disease (COVID-19) using age-adjusted data from the outbreak on the Diamond Princess cruise ship, February 2020.","Russell TW, Hellewell J, Jarvis CI, van Zandvoort K, Abbott S, Ratnayake R; CMMID COVID-19 working group; Flasche S, Eggo RM, Edmunds WJ, Kucharski AJ.",Euro Surveill. 2020 Mar;25(12):2000256. doi: 10.2807/1560-7917.ES.2020.25.12.2000256.,Russell,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,2020,2020/04/03,PMC7118348,,10.2807/1560-7917.ES.2020.25.12.2000256,"Adjusting for delay from confirmation to death, we estimated case and infection fatality ratios (CFR, IFR) for coronavirus disease (COVID-19) on the Diamond Princess ship as 2.6% (95% confidence interval (CI): 0.89-6.7) and 1.3% (95% CI: 0.38-3.6), respectively. Comparing deaths on board with expected deaths based on naive CFR estimates from China, we estimated CFR and IFR in China to be 1.2% (95% CI: 0.3-2.7) and 0.6% (95% CI: 0.2-1.3), respectively.",COVID-19; Case fatality ratio; asymptomatic; coronavirus; cruise ship; infection fatality ratio; outbreak; severity,full_text,strict,strong_candidate,4,"The full text is highly relevant to the review question because it directly studies COVID-19 in a human outbreak setting and centers on fatality outcomes. It provides original analytical estimates of IFR and CFR using real-world data from the Diamond Princess and comparative scaling to China, making it strongly aligned with fatality/severity outcome evidence.",4,"The full text is explicitly about SARS-CoV-2/COVID-19 throughout, including the title and statements such as 'we estimated case and infection fatality ratios (CFR, IFR) for coronavirus disease (COVID-19)' and repeated references to the COVID-19 outbreak on the Diamond Princess.",4,"This is a human population study of 3,711 passengers and crew members on the Diamond Princess cruise ship, with confirmed cases, asymptomatic/symptomatic breakdowns, and deaths analyzed at the population level.",4,"The study is set in a real-world outbreak context on the Diamond Princess cruise ship quarantined in Yokohama, Japan, and also compares results with outbreak data from China.",3,"The paper performs a primary quantitative analysis using reported case and death time-series, age-stratified case data, and delay-adjustment methods to estimate cIFR and cCFR. Although it relies on surveillance data from WHO/NIID rather than newly collected cohort data by the authors, it reports original empirical estimates.",4,"The target outcomes are central and explicitly quantified: Table 1 reports corrected infection fatality ratio and corrected case fatality ratio, including 'all-age cIFR 1.3% (0.38–3.6)' and 'cCFR 2.6% (0.89–6.7),' plus age-specific estimates and derived estimates for China.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32234121\PMID_32234121.md,
32257772,,Cross-Country Comparison of Case Fatality Rates of COVID-19/SARS-COV-2.,"Khafaie MA, Rahim F.",Osong Public Health Res Perspect. 2020 Apr;11(2):74-80. doi: 10.24171/j.phrp.2020.11.2.03.,Khafaie,Osong public health and research perspectives,2020,2020/04/08,PMC7104689,,10.24171/j.phrp.2020.11.2.03,"OBJECTIVES: Case fatality rates (CFR) and recovery rates are important readouts during epidemics and pandemics. In this article, an international analysis was performed on the ongoing coronavirus disease 2019 (COVID-19) pandemic. METHODS: Data were retrieved from accurate databases according to the user's guide of data sources for patient registries, CFR and recovery rates were calculated for each country. A comparison of CFR between countries with total cases ≥ 1,000 was observed for 12th and 23rd March. RESULTS: Italy's CFR was the highest of all countries studied for both time points (12th March, 6.22% versus 23rd March, 9.26%). The data showed that even though Italy was the only European country reported on 12rd March, Spain and France had the highest CFR of 6.16 and 4.21%, respectively, on 23rd March, which was strikingly higher than the overall CFR of 3.61%. CONCLUSION: Obtaining detailed and accurate medical history from COVID-19 patients, and analyzing CFR alongside the recovery rate, may enable the identification of the highest risk areas so that efficient medical care may be provided. This may lead to the development of point-of-care tools to help clinicians in stratifying patients based on possible requirements in the level of care, to increase the probabilities of survival from COVID-19 disease.",COVID-19; case fatality rates; coronavirus,full_text,strict,strong_candidate,4,"The full text strongly supports relevance to the review question because it focuses on SARS-CoV-2/COVID-19 and directly quantifies fatality outcomes through cross-country case fatality rates and death counts. It is a real-world, human, country-level empirical analysis, though the evidence is ecological surveillance-based rather than patient-level clinical outcome data.",4,"The full text is explicitly about COVID-19/SARS-CoV-2, as stated in the title and throughout the paper: “Cross-Country Comparison of Case Fatality Rates of COVID-19/SARS-COV-2” and “COVID-19 is caused by a virus (SARS-CoV-2).” Disease focus is central to the study.",3,"This is not an individual-level clinical cohort, but it analyzes human COVID-19 cases and deaths aggregated at the country level using surveillance data. The methods state that data were mapped by countries from WHO/CDC/Worldometer sources, indicating human population data.",4,"The study is conducted in a real-world geographic context, comparing outcomes across multiple countries. The results and Table 1 report country-specific data for China, Italy, Iran, Spain, France, the USA, and others on March 12 and March 23, 2020.",3,"The article reports a primary quantitative analysis using retrieved surveillance data from WHO, CDC, and Worldometer, calculating CFR and recovery rate for each country. Although based on secondary public databases rather than newly collected patients, it is an original empirical cross-country analysis.",4,"The target parameter is directly reported and central: the study defines and calculates “CFR (%) = (Number of deaths due to COVID-19 / Number of closed cases of COVID-19) × 100,” and presents country-specific case fatality rates, total deaths, and also severity-related fields such as “Serious, critical” and ICU beds per capita in Table 1.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32257772\PMID_32257772.md,
32437052,,Increase in COVID-19 cases and case-fatality and case-recovery rates in Europe: A cross-temporal meta-analysis.,Karadag E.,J Med Virol. 2020 Sep;92(9):1511-1517. doi: 10.1002/jmv.26035. Epub 2020 Jun 2.,Karadag,Journal of medical virology,2020,2020/05/22,PMC7280723,,10.1002/jmv.26035,"The new coronavirus (COVID-19) infection reported in China in December 2019 has become a pandemic in a few weeks, affecting the entire world. In this respect, it is crucial to determine the case-increase, case-fatality, and case-recovery rates to control COVID-19. In this study, the case-increase, case-fatality, and case-recovery rates of COVID-19 in 36 European countries were analyzed with the meta-analysis method using data released by the health organizations and WHO. The data were obtained from the website of health organizations of 36 European countries and the website of WHO until 11 May 2020. The analyses were carried out on 1 744 704 COVID-19-diagnosed cases in 36 European countries. The case-increase, case-fatality and case-recovery rates of COVID-19 were calculated using 95% confidence intervals (95% CI), single-arm meta-analysis, cross-temporal meta-analysis, and meta-regression random-effects model. The standardized case-increase rate of COVID-19 is 5% (95% CI [0.040, 0.063]) and the average case-increase rate in European countries has started to decline by around 3% (95% CI [0.047, 0.083]) weekly. The countries with the highest rate of case increase are Belgium, Sweden, Russia, the Netherlands and the United Kingdom. Although the case-fatality rate of COVID-19 patients was 4.5% as of May 11 (95% CI [0.037-0.055]), this rate is 6.3% (95% CI [0.047, 0.083]) in standardized time (6th week). The case-recovery rates of patients are 46% (95% CI [0.376-0.547]). This study presents important results regarding the COVID-19 pandemic in Europe. Although the rate of increase in new COVID-19 cases has dropped, there is not much decline in the case-fatality rates and no increase in case-recovery rates. The case-fatality rate of COVID-19 in Europe was estimated to be in the range of 4% to 4.5% and a minimum of 4 weeks (as of 11 May) is expected to have the figure below 1% in a country with an average case-increase rate. Monitoring case fatalities in Belgium, the Netherlands and Sweden, and treatment successes in Germany and Austria play a role of utmost importance.",COVID-19; Europe; case-fatality rate; case-increase rate; case-recovery rate,full_text,strict,strong_candidate,4,"The full text strongly supports relevance to the review question because it directly studies COVID-19 in human populations across Europe and quantifies fatality outcomes using country surveillance data. The paper is not a patient-level clinical cohort, but it provides original empirical estimates of case-fatality rates in a real-world geographic setting, making it highly relevant for fatality/severity outcome screening.",4,"The full text is explicitly about COVID-19/SARS-CoV-2 throughout, e.g., the title, abstract, and background state analysis of 'COVID-19' cases in Europe and describe SARS-CoV-2 infection.",4,"The study uses human surveillance data from 1,744,704 'COVID-19-diagnosed cases' across 36 European countries, not animal or in vitro data. Outcomes are aggregated at the country level but clearly represent human populations.",4,This is a real-world geographic analysis using data from health organizations and WHO for 36 European countries. The study repeatedly reports country- and region-level results within Europe.,3,"Although framed as a meta-analysis, the paper performs a primary quantitative synthesis of country-level surveillance data collected from national health organizations and WHO up to 11 May 2020. It reports original empirical estimates rather than being a narrative review.",4,"The target outcomes are central and quantified: Table 3 reports case-fatality rates by week (e.g., 4.5% as of 11 May 2020, 6.3% in standardized sixth week), and the abstract and discussion emphasize case-fatality as a main endpoint. While ICU/mechanical ventilation are not reported, fatality outcomes are directly estimated and are central to the paper.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32437052\PMID_32437052.md,
32332856,,COVID-19 in persons with haematological cancers.,"He W, Chen L, Chen L, Yuan G, Fang Y, Chen W, Wu D, Liang B, Lu X, Ma Y, Li L, Wang H, Chen Z, Li Q, Gale RP.",Leukemia. 2020 Jun;34(6):1637-1645. doi: 10.1038/s41375-020-0836-7. Epub 2020 Apr 24.,He,Leukemia,2020,2020/04/26,PMC7180672,,10.1038/s41375-020-0836-7,"Infection with SARS-CoV-2, the cause of coronavirus infectious disease-19 (COVID-19), has caused a pandemic with >850,000 cases worldwide and increasing. Several studies report outcomes of COVID-19 in predominately well persons. There are also some data on COVID-19 in persons with predominately solid cancer but controversy whether these persons have the same outcomes. We conducted a cohort study at two centres in Wuhan, China, of 128 hospitalised subjects with haematological cancers, 13 (10%) of whom developed COVID-19. We also studied 226 health care providers, 16 of whom developed COVID-19 and 11 of whom were hospitalised. Co-variates were compared with the 115 subjects with haematological cancers without COVID-19 and with 11 hospitalised health care providers with COVID-19. There were no significant differences in baseline co-variates between subjects with haematological cancers developing or not developing COVID-19. Case rates for COVID-19 in hospitalised subjects with haematological cancers was 10% (95% Confidence Interval [CI], 6, 17%) compared with 7% (4, 12%; P = 0.322) in health care providers. However, the 13 subjects with haematological cancers had more severe COVID-19 and more deaths compared with hospitalised health care providers with COVID-19. Case fatality rates were 62% (32, 85%) and 0 (0, 32%; P = 0.002). Hospitalised persons with haematological cancers have a similar case rate of COVID-19 compared with normal health care providers but have more severe disease and a higher case fatality rate. Because we were unable to identify specific risk factors for COVID-19 in hospitalised persons with haematological cancers, we suggest increased surveillance and possible protective isolation.","[MeSH] Adult; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] China; [MeSH] Cohort Studies; [MeSH] Coronavirus Infections; [MeSH] Female; [MeSH] Hematologic Neoplasms; [MeSH] Humans; [MeSH] Incidence; [MeSH] Infectious Disease Transmission, Patient-to-Professional; [MeSH] Male; [MeSH] Middle Aged; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2; [MeSH] Young Adult",full_text,strict,strong_candidate,4,"The full text strongly supports relevance to the review question. It is an original human cohort study of COVID-19/SARS-CoV-2 in Wuhan that quantifies key fatality and severity outcomes, including case fatality, severe/critical disease, ARDS, oxygen support, and mechanical ventilation.",4,"The study is explicitly about SARS-CoV-2/COVID-19 throughout the full text: the title is “COVID-19 in persons with haematological cancers,” and the methods describe qRT-PCR testing for “diagnosis of SARS-CoV-2-infection” and grading of COVID-19 severity.",4,This is a human cohort study of hospitalised patients with haematological cancers and health care providers in Wuhan. The full text reports 128 hospitalised subjects with haematological cancers and 224 health care providers.,4,"The study is set in real clinical settings at two centres in Wuhan, China: Union Hospital and Wuhan Central Hospital. It also discusses ICU-related cluster transmission within these hospitals, confirming a real-world geographic context.",4,"The paper reports original empirical cohort data collected from medical records and standardised forms, with analyses of 128 haematology patients and health care provider comparators. Methods, tables, and results present primary data on incidence, severity, complications, and outcomes.",4,"The full text directly reports fatality and severity outcomes central to the review question: “Case fatality rates were 62% ... and 0,” Table 2 reports staging (mild/common/severe/critical), deaths (8 vs 0), ARDS, oxygen use, non-invasive ventilation, and mechanical ventilation. These are quantified clinical severity and mortality endpoints.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32332856\PMID_32332856.md,
32297983,,Case fatality rate analysis of Italian COVID-19 outbreak.,Giangreco G.,J Med Virol. 2020 Jul;92(7):919-923. doi: 10.1002/jmv.25894. Epub 2020 Apr 27.,Giangreco,Journal of medical virology,2020,2020/04/17,PMC7262321,,10.1002/jmv.25894,"The Italian outbreak of COVID-19 cases is a public health emergency and there is a worldwide tremendous interest in the evaluation of the Italian epidemic evolution. Indeed, from February 2020, Italy is facing an explosion of COVID-19 cases. In particular, the Italian observed case fatality rate (CFR) is much higher than the other countries. Recently, it has been hypothesized that the extensive number of intergenerational contacts-typical of Italian culture-could contribute to explain the high number of deaths observed in Italy. However, through an analysis performed for all the Italian regions, here it is shown that the deaths are localized in specific regions and that the CFRs of different Italian regions are overlapping with the rates of European countries. Moreover, through correlation analyses between CFRs and different social habits, it is shown that no positive correlation is observed between social behaviors and CFRs. In conclusion, this analysis clearly rejects the possibility that social habits and intergenerational contacts can contribute to explaining such a profound effect on the number of deaths observed in Italy during the COVID-19 outbreak and more effort should be addressed to evaluate the real amount of positive cases.",COVID-19; Italy; SARS-CoV-2; case fatality rate; outbreak; social behavior,full_text,strict,strong_candidate,4,"The full text is highly relevant to the review question. It is an original human population analysis of SARS-CoV-2 surveillance data in real geographic settings, and it directly quantifies mortality-related outcomes, especially deaths and case fatality rates, across countries and Italian regions.",4,"The full text is explicitly about SARS-CoV-2/COVID-19, e.g., the title is “Case fatality rate analysis of Italian COVID-19 outbreak,” and the methods/results repeatedly analyze “SARS-CoV-2 positive cases and deaths.”",4,"This is a human population study using national and regional surveillance data from Italy and other countries, with analyses of “positive patients and deaths” and Italian regional social-contact indicators.",4,"The study is set in real-world geographic contexts, using country-level data (Italy, South Korea, Germany, France, Spain, UK) and detailed analyses for all Italian regions based on official public health data sources.",4,"The paper reports a primary empirical analysis of publicly available surveillance data, calculating CFRs and correlations using country and Italian regional datasets updated to 31 March 2020.",4,"The target parameter is central: the methods state, “For CFR calculation, the number of deaths for each country/region was divided for the total number of SARS-CoV-2 positive cases,” and the results/figures report deaths and case fatality rates across countries and Italian regions.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32297983\PMID_32297983.md,
32031234,,2019-novel Coronavirus (2019-nCoV): estimating the case fatality rate - a word of caution.,"Battegay M, Kuehl R, Tschudin-Sutter S, Hirsch HH, Widmer AF, Neher RA.",Swiss Med Wkly. 2020 Feb 7;150:w20203. doi: 10.4414/smw.2020.20203. eCollection 2020 Jan 27.,Battegay,Swiss medical weekly,2020,2020/02/08,,,10.4414/smw.2020.20203,,"[MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Humans; [MeSH] Mortality; [MeSH] Pneumonia, Viral",title_only,lenient,possible_candidate,3,"This title is highly relevant to SARS-CoV-2 and directly addresses a key fatality outcome, case fatality rate. However, title-only evidence suggests possible commentary or methodological discussion rather than clearly identifiable primary empirical data, so overall relevance is moderated by uncertainty from sparse metadata.",4,"The title explicitly names 2019-nCoV and the keywords include COVID-19 and Coronavirus Infections, so disease relevance is unmistakable even with limited metadata.",3,"The MeSH keywords include Humans, which clearly suggests a human-focused context, although title-only metadata does not provide details on the specific study population.",1,"No real-world geographic setting or care setting is identified in the title or keywords; with sparse metadata, location relevance can only be weakly inferred.",1,"The phrase 'a word of caution' suggests commentary or methodological caution rather than clear primary empirical data, and no abstract is available to confirm original data collection.",4,"The title explicitly states 'estimating the case fatality rate' and the keywords include Mortality, making the target parameter highly relevant from the limited metadata.",pmc_unavailable,,pmc_unavailable
33320895,,COVID-19: Spatial analysis of hospital case-fatality rate in France.,"Souris M, Gonzalez JP.",PLoS One. 2020 Dec 15;15(12):e0243606. doi: 10.1371/journal.pone.0243606. eCollection 2020.,Souris,PloS one,2020,2020/12/15,PMC7737987,,10.1371/journal.pone.0243606,"When the population risk factors and reporting systems are similar, the assessment of the case-fatality (or lethality) rate (ratio of cases to deaths) represents a perfect tool for analyzing, understanding and improving the overall efficiency of the health system. The objective of this article is to estimate the influence of the hospital care system on lethality in metropolitan France during the inception of the COVID-19 epidemic, by analyzing the spatial variability of the hospital case-fatality rate (CFR) between French districts. In theory, the hospital age-standardized CFR should not display significant differences between districts, since hospital lethality depends on the virulence of the pathogen (the SARS-CoV-2 virus), the vulnerability of the population (mainly age-related), the healthcare system quality, and cases and deaths definition and the recording accuracy. We analyzed hospital data on COVID-19 hospitalizations, severity (admission to intensive care units for reanimation or endotracheal intubation) and mortality, from March 19 to May 8 corresponding to the first French lockdown. All rates were age-standardized to eliminate differences in districts age structure. The results show that the higher case-fatality rates observed by districts are mostly related to the level of morbidity. Time analysis shows that the case-fatality rate has decreased over time, globally and in almost all districts, showing an improvement in the management of severe patients during the epidemic. In conclusion, it appears that during the first critical phase of COVID-19 ramping epidemic in metropolitan France, the higher case-fatality rates were generally related to the higher level of hospitalization, then potentially related to the overload of healthcare system. Also, low hospitalization with high case-fatality rates were mostly found in districts with low population density, and could due to some limitation of the local healthcare access. However, the magnitude of this increase of case-fatality rate represents less than 10 per cent of the average case-fatality rate, and this variation is small compared to much greater variation across countries reported in the literature.","[MeSH] Adolescent; [MeSH] Adult; [MeSH] Aged; [MeSH] Aged, 80 and over; [MeSH] COVID-19; [MeSH] Child; [MeSH] Child, Preschool; [MeSH] Female; [MeSH] France; [MeSH] Hospital Mortality; [MeSH] Hospitalization; [MeSH] Hospitals; [MeSH] Humans; [MeSH] Infant; [MeSH] Infant, Newborn; [MeSH] Intensive Care Units; [MeSH] Male; [MeSH] Middle Aged; [MeSH] Risk Factors; [MeSH] SARS-CoV-2; [MeSH] Spatial Analysis; [MeSH] Young Adult",title_abstract,strict,strong_candidate,4,"This paper is highly relevant to the review question because it directly studies COVID-19/SARS-CoV-2 in human populations using original hospital data from France. It explicitly analyzes fatality and severity outcomes, including case-fatality rates, mortality, ICU admission, and intubation, in a real-world geographic context.",4,"The title and abstract explicitly focus on COVID-19 and SARS-CoV-2, including 'COVID-19' in the title and 'the SARS-CoV-2 virus' in the abstract.",4,"The study analyzes hospitalizations, ICU admissions, intubation, and mortality in French districts, clearly indicating a human population in real clinical settings.",4,"The study is set in metropolitan France and compares outcomes across French districts during the first lockdown, providing explicit real-world geographic context.",4,"The abstract describes original analysis of hospital data from March 19 to May 8, with age-standardized rates and spatial/time analyses, indicating primary empirical research.",4,"The study explicitly reports case-fatality rate, mortality, severity, ICU admission, and endotracheal intubation, which directly match the target fatality and severity outcomes.",conversion_failed,,
32611978,,SARS-CoV-2 in Italy: Population Density Correlates with Morbidity and Mortality.,"Ilardi A, Chieffi S, Iavarone A, Ilardi CR.",Jpn J Infect Dis. 2021 Jan 22;74(1):61-64. doi: 10.7883/yoken.JJID.2020.200. Epub 2020 Jun 30.,Ilardi,Japanese journal of infectious diseases,2021,2020/07/03,,,10.7883/yoken.JJID.2020.200,"Since the beginning of the coronavirus disease 2019 (COVID-19) epidemic in China, elderly and multimorbid subjects showed a higher mortality rate. However, other factors could influence the mortality and spread of contagion, such as population density. Archival research based on the Italian data stratified by region was performed to quantify the association between population density, aging index, number of positive cases, number of deaths, case-fatality rate, and medical equipment (gloves, masks, and ventilators). Results showed a significant positive linear correlation between population density and cases, deaths, and case-fatality rate. No correlation with the aging index was observed. Furthermore, we found a significant positive correlation between the number of medical supplies and population density, cases, and deaths. However, the medical supplies did not show any correlation with the case-fatality rate. Thus, these findings suggest that the population density and the lack of medical equipment are key factors explaining the morbidity and mortality of COVID-19 in Italy.",COVID-19; case-fatality rate; medical supplies; morbidity; population density,title_abstract,strict,strong_candidate,4,"This study is highly relevant to the review because it explicitly examines COVID-19 in human populations in Italy using empirical regional data. It directly reports fatality-related outcomes, including deaths, mortality, and case-fatality rate, although its main emphasis is on ecological correlates such as population density and medical supplies.",4,"The title and abstract explicitly study SARS-CoV-2/COVID-19, including repeated references to COVID-19 and contagion in Italy.",4,"The study uses Italian regional human population data, including cases, deaths, and case-fatality rate, indicating a human population focus.",4,It is set in a real-world geographic context using archival data stratified by region in Italy.,3,"The abstract describes an archival research analysis of Italian regional data with reported correlations, indicating primary empirical analysis rather than a review.",4,"The abstract explicitly reports deaths, mortality, and case-fatality rate as outcomes, which directly match the target severity/fatality parameters.",pmc_unavailable,,pmc_unavailable
