PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,screening_stage,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,transmission_score,transmission_justification,fulltext_status,fulltext_path
32563999,,"Origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19).","Umakanthan S, Sahu P, Ranade AV, Bukelo MM, Rao JS, Abrahao-Machado LF, Dahal S, Kumar H, Kv D.",Postgrad Med J. 2020 Dec;96(1142):753-758. doi: 10.1136/postgradmedj-2020-138234. Epub 2020 Jun 20.,Umakanthan,Postgraduate medical journal,2020,2020/06/22,PMC10016932,,10.1136/postgradmedj-2020-138234,"Coronavirus has emerged as a global health threat due to its accelerated geographic spread over the last two decades. This article reviews the current state of knowledge concerning the origin, transmission, diagnosis and management of coronavirus disease 2019 (COVID-19). Historically, it has caused two pandemics: severe acute respiratory syndrome and Middle East respiratory syndrome followed by the present COVID-19 that emerged from China. The virus is believed to be acquired from zoonotic source and spreads through direct and contact transmission. The symptomatic phase manifests with fever, cough and myalgia to severe respiratory failure. The diagnosis is confirmed using reverse transcriptase PCR. Management of COVID-19 is mainly by supportive therapy along with mechanical ventilation in severe cases. Preventive strategies form the major role in reducing the public spread of virus along with successful disease isolation and community containment. Development of a vaccine to eliminate the virus from the host still remains an ongoing challenge.",Basic sciences; Education and training (see medical education & training); Hepatobiliary surgery; Histopathology; Medical education and training; Pathology; Surgery; Transplant surgery,title_abstract,unlikely_candidate,2,"Although the paper is clearly about COVID-19, it appears to be a narrative review rather than an original empirical study. It mentions severe disease and mechanical ventilation conceptually but provides no reported fatality or severity outcome estimates needed for the review question.",4,"Title and abstract explicitly focus on coronavirus disease 2019 (COVID-19), including origin, transmission, diagnosis, and management.",2,"Discusses clinical symptoms, PCR diagnosis, and management (supportive therapy, ventilation), which implies human patients, but no explicit description of a studied human population.",2,"Discusses COVID-19 as a global health threat and notes emergence from China, but does not describe a specific study setting or geographic cohort.",1,Described as a review of the current state of knowledge; no original empirical dataset or new estimates are reported in the abstract.,2,"Mentions severe respiratory failure and mechanical ventilation in severe cases, but does not report empirical severity/fatality outcomes (e.g., deaths, ICU rates) or quantified estimates.",,
32522369,,Surgealousy.,Connolly MR.,J Surg Res. 2020 Oct;254:421-422. doi: 10.1016/j.jss.2020.05.014. Epub 2020 Jun 7.,Connolly,The Journal of surgical research,2020,2020/06/12,PMC7276115,,10.1016/j.jss.2020.05.014,Answering the call to care for patients with COVID-19 stirs a range of emotions. This perspective explores an individual surgical resident's early experience in the coronavirus pandemic.,COVID-19; Coronavirus; Perspective,title_abstract,unlikely_candidate,1,"Although COVID-19 is explicitly mentioned, the article is a perspective without original data and does not report fatality or severity outcomes (e.g., death/ICU/ventilation). Therefore it is unlikely to inform estimates of SARS-CoV-2 fatality or severity.",3,"Abstract explicitly centers on caring for patients with COVID-19 during the coronavirus pandemic, but it is a narrative perspective rather than an investigation of SARS-CoV-2 outcomes.",2,"Discusses an individual surgical resident’s experience with patients, implying a human context, but does not describe a defined human study population.",2,No geographic setting is specified; it appears to be a real-world clinical context but location cannot be confirmed from the abstract.,0,Labeled as a perspective and describes personal experience; no original empirical data or estimates are reported.,0,"Does not report mortality, fatality, ICU admission, mechanical ventilation, or any severity outcomes; it focuses on emotions and experience.",,
32293831,,Critically-ill COVID-19 patient.,"Halacli B, Kaya A, Topeli A.",Turk J Med Sci. 2020 Apr 21;50(SI-1):585-591. doi: 10.3906/sag-2004-122.,Halacli,Turkish journal of medical sciences,2020,2020/04/16,PMC7195980,,10.3906/sag-2004-122,"Coronavirus disease 2019 (COVID-19) stands out as the major pandemic that we have experienced in the last century. As it affects every social structure, it brought the importance of intensive care support once again to the agenda of healthcare system after causing severe acute respiratory syndrome. The precautions to be taken against this virus, where our knowledge is extremely small, intensive care units take an indispensable place in pandemic planning. In this review, we aimed to emphasize the crucial points regarding intensive care management of COVID-19 patients, which we have written not only for intensivists but also for all healthcare professionals.",ARDS; Coronavirus; SARS-CoV 2; intensive care; pandemic; respiratory failure; intensive care,title_abstract,unlikely_candidate,2,"Although the paper is clearly about COVID-19 and critical care, it is a narrative review without original data/estimates. The abstract does not indicate reported mortality or other quantifiable severity outcomes, making it unlikely to contribute extractable fatality/severity results.",4,Title and abstract explicitly focus on COVID-19 and mention SARS-CoV-2/coronavirus disease 2019.,3,"Discusses management of COVID-19 patients in intensive care, implying a human clinical population (not animal/in vitro).",2,No geographic setting is described; it appears to be general guidance applicable across locations.,0,Explicitly described as a review emphasizing management points; no original empirical data or new estimates are reported in the abstract.,2,"Mentions critical illness/ICU management, ARDS and respiratory failure, but does not report empirical severity/fatality outcomes (e.g., mortality, ICU rates, ventilation rates) or estimates.",,
32423608,,"""MoRPHEE"" fighting COVID-19.","Boutonnet M, Turc J, Dupre HL, Paris R, Muller V.",Anaesth Crit Care Pain Med. 2020 Jun;39(3):363-364. doi: 10.1016/j.accpm.2020.05.002. Epub 2020 May 11.,Boutonnet,"Anaesthesia, critical care & pain medicine",2020,2020/05/20,PMC7211660,,10.1016/j.accpm.2020.05.002,,"[MeSH] Aircraft; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Emergency Medical Dispatch; [MeSH] Emergency Medical Service Communication Systems; [MeSH] France; [MeSH] Humans; [MeSH] Intensive Care Units; [MeSH] Military Health Services; [MeSH] Mobile Health Units; [MeSH] Pandemics; [MeSH] Patient Care Team; [MeSH] Pneumonia, Viral; [MeSH] Respiratory Distress Syndrome; [MeSH] Respiratory Therapy; [MeSH] SARS-CoV-2; [MeSH] Time Factors; [MeSH] Transportation of Patients",pending_fulltext,needs_full_text,,,,,,,,,,,,,pending,
32502937,,COVID-19 spread: The Italian case.,"Harari S, Vitacca M.",Respir Med Res. 2020 Nov;78:100771. doi: 10.1016/j.resmer.2020.100771. Epub 2020 May 23.,Harari,Respiratory medicine and research,2020,2020/06/06,PMC7244411,,10.1016/j.resmer.2020.100771,,Covid-19; Pneumonia,pending_fulltext,needs_full_text,,,,,,,,,,,,,pending,
32280053,,Human biases and the SARS-CoV-2 pandemic.,Garcia-Alamino JM.,Intensive Crit Care Nurs. 2020 Jun;58:102861. doi: 10.1016/j.iccn.2020.102861. Epub 2020 Apr 9.,Garcia-Alamino,Intensive & critical care nursing,2020,2020/04/14,PMC7144592,,10.1016/j.iccn.2020.102861,,Cognitive bias; Covid-19; Critical care; Evidence based health care; SARS-CoV-2,pending_fulltext,needs_full_text,,,,,,,,,,,,,pending,
32178769,,COVID-19 and Italy: what next?,"Remuzzi A, Remuzzi G.",Lancet. 2020 Apr 11;395(10231):1225-1228. doi: 10.1016/S0140-6736(20)30627-9. Epub 2020 Mar 13.,Remuzzi,"Lancet (London, England)",2020,2020/03/18,PMC7102589,,10.1016/S0140-6736(20)30627-9,"The spread of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has already taken on pandemic proportions, affecting over 100 countries in a matter of weeks. A global response to prepare health systems worldwide is imperative. Although containment measures in China have reduced new cases by more than 90%, this reduction is not the case elsewhere, and Italy has been particularly affected. There is now grave concern regarding the Italian national health system's capacity to effectively respond to the needs of patients who are infected and require intensive care for SARS-CoV-2 pneumonia. The percentage of patients in intensive care reported daily in Italy between March 1 and March 11, 2020, has consistently been between 9% and 11% of patients who are actively infected. The number of patients infected since Feb 21 in Italy closely follows an exponential trend. If this trend continues for 1 more week, there will be 30 000 infected patients. Intensive care units will then be at maximum capacity; up to 4000 hospital beds will be needed by mid-April, 2020. Our analysis might help political leaders and health authorities to allocate enough resources, including personnel, beds, and intensive care facilities, to manage the situation in the next few days and weeks. If the Italian outbreak follows a similar trend as in Hubei province, China, the number of newly infected patients could start to decrease within 3-4 days, departing from the exponential trend. However, this cannot currently be predicted because of differences between social distancing measures and the capacity to quickly build dedicated facilities in China.","[MeSH] Adult; [MeSH] Aged; [MeSH] Aged, 80 and over; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Female; [MeSH] Global Health; [MeSH] Health Policy; [MeSH] Hospital Bed Capacity; [MeSH] Humans; [MeSH] Intensive Care Units; [MeSH] Italy; [MeSH] Male; [MeSH] Middle Aged; [MeSH] Models, Biological; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Respiration, Artificial; [MeSH] SARS-CoV-2",title_abstract,possible_candidate,3,"Clearly about COVID-19/SARS-CoV-2 and centrally reports ICU/severe-disease burden in Italy, aligning with severity outcomes of interest. However, the piece appears closer to a brief analytic commentary with limited methodological detail, making the level of original empirical evidence less certain.",4,"Abstract explicitly discusses SARS-CoV-2/COVID-19 in Italy, including ICU needs for SARS-CoV-2 pneumonia.",3,"Focuses on infected patients requiring intensive care (humans), though the emphasis is largely on health-system capacity rather than individual-level patient cohorts.",4,"Study is explicitly centered on Italy (with some comparison to Hubei, China).",2,"Presents an analysis/projection using reported daily ICU percentages and case counts, but details on data sources/methods and whether this is a full original empirical study vs brief commentary are limited in the abstract.",4,"Reports severity-related outcomes via ICU burden (e.g., 9–11% of active infections in ICU) and projects ICU bed needs; ICU is a central outcome in the abstract.",,
32286679,,COVID-19 challenge for modern medicine.,"Dzieciatkowski T, Szarpak L, Filipiak KJ, Jaguszewski M, Ladny JR, Smereka J.",Cardiol J. 2020;27(2):175-183. doi: 10.5603/CJ.a2020.0055. Epub 2020 Apr 14.,Dzieciatkowski,Cardiology journal,2020,2020/04/15,PMC8016041,,10.5603/CJ.a2020.0055,"Coronaviruses cause disease in animals and people around the world. Human coronaviruses (HCoV) are mainly known to cause infections of the upper and lower respiratory tract but the symptoms may also involve the nervous and digestive systems. Since the beginning of December 2019, there has been an epidemic of SARS-CoV-2, which was originally referred to as 2019-nCoV. The most common symptoms are fever and cough, fatigue, sputum production, dyspnea, myalgia, arthralgia or sore throat, headache, nausea, vomiting or diarrhea (30%). The best prevention is to avoid exposure. In addition, contact per-sons should be subjected to mandatory quarantine. COVID-19 patients should be treated in specialist centers. A significant number of patients with pneumonia require passive oxygen therapy. Non-invasive ventilation and high-flow nasal oxygen therapy can be applied in mild and moderate non-hypercapnia cases. A lung-saving ventilation strategy must be implemented in acute respiratory distress syndrome and mechanically ventilated patients. Extracorporeal membrane oxygenation is a highly specialized method, available only in selected centers and not applicable to a significant number of cases. Specific pharmacological treatment for COVID-19 is not currently available. Modern medicine is gearing up to fight the new coronavirus pandemic. The key is a holistic approach to the patient including, primar-ily, the use of personal protective equipment to reduce the risk of further virus transmission, as well as patient management, which consists in both quarantine and, in the absence of specific pharmacological therapy, symptomatic treatment.",COVID-19; SARS-CoV-2; coronavirus; epidemiology; healthcare; medical stuff; pandemic; symptoms; treatment,title_abstract,unlikely_candidate,2,"Although the paper is clearly about COVID-19/SARS-CoV-2 and references severe care (ventilation/ARDS), it appears to be a narrative overview without original data and does not quantify mortality or severity outcomes. This makes it unlikely to directly inform fatality/severity outcome estimates for SARS-CoV-2 infection.",4,Title/abstract explicitly focus on COVID-19/SARS-CoV-2 (2019-nCoV) and describe symptoms and management in the pandemic context.,3,"Discusses clinical features and management of COVID-19 patients (humans), including respiratory support modalities.",2,No specific country/setting is described; content is general and could apply broadly but location is not stated.,0,"Abstract reads as a general overview/guidance narrative (symptoms, prevention, management) with no original patient data, estimates, or analytic results reported.",1,"Mentions severity-related interventions (oxygen therapy, non-invasive ventilation, mechanical ventilation, ARDS, ECMO) but does not report empirical severity/fatality outcomes (e.g., ICU rates, ventilation proportions, deaths, CFR/IFR).",,
32375855,,Ethics guidelines on COVID-19 triage-an emerging international consensus.,"Joebges S, Biller-Andorno N.",Crit Care. 2020 May 6;24(1):201. doi: 10.1186/s13054-020-02927-1.,Joebges,"Critical care (London, England)",2020,2020/05/08,PMC7202791,,10.1186/s13054-020-02927-1,,COVID-19; Ethics; Pandemic; Triage,pending_fulltext,needs_full_text,,,,,,,,,,,,,pending,
32601012,,Restricted family visiting in intensive care during COVID-19.,Life Lines Team comprising.,Intensive Crit Care Nurs. 2020 Oct;60:102896. doi: 10.1016/j.iccn.2020.102896. Epub 2020 May 31.,Life Lines Team comprising,Intensive & critical care nursing,2020,2020/07/01,PMC7261454,,10.1016/j.iccn.2020.102896,,"[MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Critical Care; [MeSH] Humans; [MeSH] Intensive Care Units; [MeSH] Organizational Policy; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Professional-Family Relations; [MeSH] SARS-CoV-2; [MeSH] Telemedicine; [MeSH] United Kingdom; [MeSH] Video Recording; [MeSH] Visitors to Patients",pending_fulltext,needs_full_text,,,,,,,,,,,,,pending,
