PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,screening_stage,screening_mode,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,parameter_score,parameter_justification,fulltext_status,fulltext_path,fulltext_eligible
32166607,,A Review of Coronavirus Disease-2019 (COVID-19).,Singhal T.,Indian J Pediatr. 2020 Apr;87(4):281-286. doi: 10.1007/s12098-020-03263-6. Epub 2020 Mar 13.,Singhal,Indian journal of pediatrics,2020,2020/03/14,PMC7090728,,10.1007/s12098-020-03263-6,"There is a new public health crises threatening the world with the emergence and spread of 2019 novel coronavirus (2019-nCoV) or the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The virus originated in bats and was transmitted to humans through yet unknown intermediary animals in Wuhan, Hubei province, China in December 2019. There have been around 96,000 reported cases of coronavirus disease 2019 (COVID-2019) and 3300 reported deaths to date (05/03/2020). The disease is transmitted by inhalation or contact with infected droplets and the incubation period ranges from 2 to 14 d. The symptoms are usually fever, cough, sore throat, breathlessness, fatigue, malaise among others. The disease is mild in most people; in some (usually the elderly and those with comorbidities), it may progress to pneumonia, acute respiratory distress syndrome (ARDS) and multi organ dysfunction. Many people are asymptomatic. The case fatality rate is estimated to range from 2 to 3%. Diagnosis is by demonstration of the virus in respiratory secretions by special molecular tests. Common laboratory findings include normal/ low white cell counts with elevated C-reactive protein (CRP). The computerized tomographic chest scan is usually abnormal even in those with no symptoms or mild disease. Treatment is essentially supportive; role of antiviral agents is yet to be established. Prevention entails home isolation of suspected cases and those with mild illnesses and strict infection control measures at hospitals that include contact and droplet precautions. The virus spreads faster than its two ancestors the SARS-CoV and Middle East respiratory syndrome coronavirus (MERS-CoV), but has lower fatality. The global impact of this new epidemic is yet uncertain.",2019-nCOV; COVID-19; Pneumonia; Review; SARS-CoV-2,title_abstract,strict,unlikely_candidate,3,"This paper is highly relevant to COVID-19 and explicitly mentions fatality outcomes, including a case fatality rate. However, it is a review rather than an original empirical study, which substantially limits its relevance for title-and-abstract screening focused on primary evidence.",4,"The title and abstract explicitly focus on COVID-19/SARS-CoV-2 throughout, including multiple direct mentions of both terms.",3,"The abstract discusses transmission to humans, human symptoms, diagnosis, and clinical management, indicating clear human population relevance.",3,"The abstract places the outbreak in a real-world geographic context, specifically Wuhan, Hubei province, China, and discusses global spread.",0,"The title labels the paper as a review, and the abstract synthesizes general knowledge rather than presenting original empirical data.",4,"The abstract explicitly reports fatality outcomes, including '3300 reported deaths' and an estimated 'case fatality rate' of 2 to 3%.",,,
33042586,,"Gone, but not Forgotten.","Pisani B, Sharma R.",Card Fail Rev. 2020 Sep 28;6:e26. doi: 10.15420/cfr.2020.18. eCollection 2020 Mar.,Pisani,Cardiac failure review,2020,2020/10/12,PMC7539141,,10.15420/cfr.2020.18,"The global health and economic impact of the coronavirus disease 2019 (COVID-19) pandemic has rocked our communities and way of life. With millions infected around the globe, and hundreds of thousands of lives lost, there has been a paradigm shift in how clinicians evaluate and care for patients in multiple different types of healthcare settings. Many patients are reluctant to seek medical attention for cardiovascular illnesses, and late presentations of acute cardiac issues are raising the morbidity and mortality for treatable cardiac conditions. In this expert opinion, the authors canvas the many challenges in the diagnosis, treatment and delivery of care to patients with congestive heart failure and acute coronary syndromes during the COVID-19 pandemic.",COVID-19; clinic visits; heart failure; hospitalisation; televisits,title_abstract,strict,unlikely_candidate,2,"The article is clearly situated in the COVID-19 context and concerns human patients, but it appears to be an expert opinion rather than original empirical research. It also does not explicitly report or estimate fatality outcomes of SARS-CoV-2 infection, instead discussing broader cardiovascular care challenges during the pandemic.",3,"The abstract explicitly discusses the COVID-19 pandemic and names coronavirus disease 2019 (COVID-19) as the context of the paper. However, the focus is on care delivery during the pandemic rather than SARS-CoV-2 infection outcomes themselves.",3,"The paper concerns patients with congestive heart failure and acute coronary syndromes in clinical care settings, indicating a human population. This is clearly not an animal or in vitro study.",1,The abstract refers broadly to communities and healthcare settings but gives no specific real-world geographic setting or field location. Geographic context is weakly specified.,0,The abstract explicitly identifies the article as an expert opinion. That suggests it is not reporting original empirical data or primary analysis.,1,"Mortality is mentioned only in relation to treatable cardiac conditions during delayed presentation, not as a reported mortality or fatality rate for COVID-19 or SARS-CoV-2 infection. No CFR, IFR, or other fatality measure is stated.",,,
33144889,,[Epidemiology of SARS-CoV-2/COVID-19].,"Salzberger B, Buder F, Lampl BT, Ehrenstein B, Hitzenbichler F, Holzmann T, Schmidt B, Hanses F.",Gastroenterologe. 2020;15(6):443-451. doi: 10.1007/s11377-020-00479-y. Epub 2020 Oct 29.,Salzberger,Der Gastroenterologe : Zeitschrift fur Gastroenterologie und Hepatologie,2020,2020/11/04,PMC7594942,,10.1007/s11377-020-00479-y,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a beta coronavirus, which first appeared in 2019 and rapidly spread causing a worldwide pandemic. Here we present a nonsystematic review of the current knowledge on its epidemiological features. The SARS-CoV‑2 replicates mainly in the upper and lower respiratory tract and is mainly transmitted by droplets and aerosols from asymptomatic and symptomatic infected subjects. The estimate for the basic reproduction number (R0) is between 2 and 3 and the median incubation period is 6 days (range 2-14 days). Similar to the related coronaviruses SARS and Middle East respiratory syndrome (MERS), superspreading events play an important role in spreading the disease. The majority of infections run an uncomplicated course but 5-10% of those infected develop pneumonia or a systemic inflammation leading to hospitalization, respiratory and potentially multiorgan failure. The most important risk factors for a complicated disease course are age, hypertension, diabetes, chronic cardiovascular and pulmonary diseases and immunodeficiency. The current infection fatality rate over all age groups is between 0.5% and 1% and the rate rises after the sixth decade of life. Nosocomial transmission and infections in medical personnel have been reported. A drastic reduction of social contacts has been implemented in many countries with outbreaks of SARS-CoV‑2, leading to rapid reductions in R0. Most interventions have used bundles and which of the measures have been more effective is still unknown. Using mathematical models an incidence of 0.4%-1.8% can be estimated for the first wave in Germany.",Basic reproduction number; Incidence; Incubation period; Mortality; Pandemic,title_abstract,strict,unlikely_candidate,3,"This paper is highly relevant to SARS-CoV-2, human populations, and fatality outcomes because it explicitly reports an infection fatality rate. However, it appears to be a nonsystematic review rather than original empirical research, which lowers its overall relevance for primary evidence screening.",4,"The title and abstract explicitly focus on SARS-CoV-2/COVID-19 throughout, making the target disease central.",4,"The abstract discusses infected subjects, hospitalized patients, medical personnel, and age-related risk in human populations.",3,"The abstract refers to outbreaks in many countries and gives an estimated first-wave incidence in Germany, indicating real-world geographic context.",1,"The abstract explicitly describes the paper as a 'nonsystematic review of the current knowledge,' not a primary empirical study.",4,The abstract explicitly reports an infection fatality rate of 0.5%-1% overall and notes that it increases after the sixth decade of life.,,,
32291377,,COVID-19 and Indonesia.,"Setiati S, Azwar MK.",Acta Med Indones. 2020 Jan;52(1):84-89.,Setiati,Acta medica Indonesiana,2020,2020/04/16,,,,"Coronavirus disease 2019 (COVID-19) pandemic is an ongoing problem in more than 200 countries in the world. Indonesia has been greatly affected by COVID-19 with case fatality rate (CFR) being 8.9% in the end of March 2020. We have some room for improvement related to the unreadingess of healthcare facility and the major steps taken by the government. It is suggested that the country should have stricter Stay-at-Home notice, suppress the spread by imposing lockdown on a large scale, improve healthcare service, and increase the availability of personal protective equipments (PPE). It is important to avoid an epidemic peak that potentially overwhelms healthcare service by quarantining the case contacts. Lockdown may prolong the epidemic doubling time significantly. Demand of health system is likely to grow since the number of COVID-19 case is likely to rise. Effective procedures for protecting medical staff from infection are essential. Scientific research in Indonesia is also crucial to provide suggestion and recommendation pertinent to COVID-19.",COVID-19; Indonesia; SARS-CoV-2; coronavirus,title_abstract,strict,unlikely_candidate,3,"The paper is clearly about COVID-19 in a human, real-world national setting and explicitly mentions a case fatality rate, making it relevant to fatality outcomes. However, the abstract reads mainly as a commentary or overview of Indonesia's response, with limited evidence of original empirical analysis.",4,The title and abstract explicitly focus on COVID-19 in Indonesia and mention SARS-CoV-2/coronavirus in the keywords.,4,"The abstract discusses national COVID-19 cases, healthcare services, case contacts, and medical staff in Indonesia, indicating a human population context.",4,"The study is explicitly situated in Indonesia, a real-world geographic setting, and discusses country-level epidemic conditions and policy responses.",1,"The abstract appears largely descriptive and policy-oriented, with no clear indication of original data collection or primary empirical analysis beyond citing a CFR figure.",3,"The abstract explicitly reports a case fatality rate (CFR) of 8.9% in Indonesia, which is directly relevant to fatality outcomes, though not clearly the sole analytic focus.",,,
32299206,,Epidemiology of COVID-19.,"Bulut C, Kato Y.",Turk J Med Sci. 2020 Apr 21;50(SI-1):563-570. doi: 10.3906/sag-2004-172.,Bulut,Turkish journal of medical sciences,2020,2020/04/18,PMC7195982,,10.3906/sag-2004-172,"It seems that coronaviruses take an important place in the 21th century history. Five of seven human coronavirus was isolated in this century. Unfortunately, last three of them entered our life with a fear of outbreak, pandemic or death. Last human coronavirus which emerged world from Wuhan China, SARS CoV-2 and its clinical expression, Coronavirus disease (COVID-19) recently taken a significant place in our daily practice. Initial reports showed that, its origin was bats. It transmitted human to human by droplet and contact routes, but some doubt about airborne, fecal or intrauterine transmission also should be removed. Its R0 value is 2.3 but it could be as high as 5.7. Its case fatality rate was 6.3, but it was different in different ages and counties, and it could be over 15%. According to early models total 10–12 weeks is required to control an outbreak in the community. While different countries show different daily case numbers, total number of case, case mortality rates or R0, it seems they show a similar epidemic curve. Every day we learn new data about the current outbreak. Since the outbreak is not over yet, every detail should be evaluated carefully and the updates should be followed closely to monitor the epidemiological properties of COVID-19.",COVID-19; SARS CoV-2,title_abstract,strict,unlikely_candidate,3,"This paper is highly relevant to SARS-CoV-2 and explicitly discusses fatality-related measures such as case fatality rate in human populations and real-world epidemic settings. However, the abstract appears to be a narrative overview rather than clearly reporting original empirical data, which lowers its overall relevance for primary evidence on fatality outcomes.",4,"The title and abstract explicitly focus on COVID-19 and SARS-CoV-2 throughout, making the target disease central to the study.",4,"The abstract discusses human-to-human transmission, age differences, countries, and community outbreaks, indicating a human population focus.",3,"The abstract references Wuhan, China, different countries, and community outbreak control, suggesting real-world geographic context, though no specific study setting is detailed.",1,"The abstract reads as a broad epidemiologic overview summarizing initial reports, models, and ongoing updates, without clear indication of original data collection or primary analysis by the authors.",4,"Fatality outcomes are explicitly reported, including 'case fatality rate was 6.3' and variation by age and country, making mortality/fatality highly relevant.",,,
32498503,,COVID-19: a review.,"Madabhavi I, Sarkar M, Kadakol N.",Monaldi Arch Chest Dis. 2020 May 14;90(2). doi: 10.4081/monaldi.2020.1298.,Madabhavi,Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace,2020,2020/06/06,,,10.4081/monaldi.2020.1298,"The enduring epidemic outbreak which started in Wuhan city of China, in December 2019 caused by the 2019 novel coronavirus (COVID- 19) or the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has created a dangerous and deadly Public Health disaster of International apprehension, with cases confirmed in several countries. This novel community health trouble is frightening the universe with clinical, psychological, emotional, collapse of health system and economical slowdown in each and every part of the world infecting nearly 200 countries. A highly virulent and pathogenic COVID-19 viral infection with incubation period ranging from two to fourteen days, transmitted by breathing of infected droplets or contact with infected droplets, belongs to the genus Coronavirus with its high mutation rate in the Coronaviridae. The likely probable primary reservoir could be bats, because genomic analysis discovered that SARSCoV-2 is phylogenetically interrelated to SARS-like bat viruses. The transitional resource of origin and transfer to humans is not known, however, the rapidly developing pandemic has confirmed human to human transfer. Approximately 1,016,128 reported cases, 211,615 recovered cases and 53,069 deaths of COVID-2019 have been reported to date (April 2, 2020). The symptoms vary from asymptomatic, low grade pyrexia, dry cough, sore throat, breathlessness, tiredness, body aches, fatigue, myalgia, nausea, vomiting, diarrhea, to severe consolidation and pneumonia, acute respiratory distress syndrome (ARDS) and multiple organ dysfunction leading to death with case fatality rate ranging from 2 to 3%.","[MeSH] Animals; [MeSH] Antiviral Agents; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Disease Outbreaks; [MeSH] Drug Development; [MeSH] Global Health; [MeSH] Humans; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Public Health; [MeSH] Real-Time Polymerase Chain Reaction; [MeSH] Reverse Transcriptase Polymerase Chain Reaction; [MeSH] SARS-CoV-2",title_abstract,strict,unlikely_candidate,3,"This paper is highly relevant to COVID-19 and explicitly mentions fatality outcomes, including deaths and case fatality rate. However, it is a review rather than original empirical research, which substantially limits its relevance for primary evidence on fatality outcomes.",4,"The title and abstract explicitly focus on COVID-19 and SARS-CoV-2 throughout, making the target disease central to the paper.",3,"The abstract discusses human-to-human transmission and global confirmed cases across countries, indicating a human population focus, though it is broad and includes reservoir discussion.",3,"The abstract situates the outbreak in Wuhan, China and describes spread across nearly 200 countries, giving clear real-world geographic context.",0,"The title explicitly labels the article as a review, and the abstract reads as a narrative overview rather than reporting original primary data.",4,"The abstract explicitly reports deaths and states a case fatality rate ranging from 2 to 3%, directly matching the target fatality parameter.",,,
33688409,,Cardiovascular Manifestations of COVID-19.,"Altamimi H, Abid AR, Othman F, Patel A.",Heart Views. 2020 Jul-Sep;21(3):171-186. doi: 10.4103/HEARTVIEWS.HEARTVIEWS_150_20. Epub 2020 Oct 13.,Altamimi,Heart views : the official journal of the Gulf Heart Association,2020,2021/03/10,PMC7898993,,10.4103/HEARTVIEWS.HEARTVIEWS_150_20,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), which is the cause of COVID-19, was first reported in Wuhan, China. SARS-CoV-2 especially involves alveolar epithelial cells, which results in respiratory symptoms more severe in patients with cardiovascular disease (CVD) probably linked with increased secretion of angiotensin-converting enzyme 2 in these patients compared with healthy individuals. Cardiac manifestations may contribute to overall mortality and even be the primary cause of death in many of these patients. A higher prevalence of hypertension (HTN) followed by diabetes mellitus and CVD was observed in COVID-19 patients. A higher case-fatality rate was seen among patients with pre-existing comorbid conditions, such as diabetes, chronic respiratory disease, HTN, and cancer, compared to a lesser rate in the entire population. Cardiovascular (CV) manifestations of COVID-19 encompass a wide spectrum, including myocardial injury, infarction, myocarditis-simulating ST-segment elevation myocardial infarction, nonischemic cardiomyopathy, coronary vasospasm, pericarditis, or stress (takotsubo) cardiomyopathy. This review is intended to summarize our current understanding of the CV manifestations of COVID-19 and also to study the relationship between SARS-CoV-2 and CVDs and discuss possible mechanisms of action behind SARS-CoV-2 infection-induced damage to the CV system.",Acute coronary syndromes; COVID-19; arrhythmia; cardiovascular disease; myocardial injury; myocarditis; severe acute respiratory syndrome coronavirus 2,title_abstract,strict,unlikely_candidate,2,"This paper is strongly relevant to SARS-CoV-2/COVID-19 and discusses human cardiovascular manifestations with some mention of mortality and case-fatality. However, it is a narrative review rather than original empirical evidence, and fatality outcomes are not the central reported parameter.",4,The title and abstract explicitly focus on COVID-19 and SARS-CoV-2 throughout. Disease relevance is central and unambiguous.,3,"The abstract discusses COVID-19 patients and comorbid conditions in affected people, indicating a human clinical population. However, no specific study population is described because this is a review.",2,"Wuhan, China is mentioned as the first reported location, but the paper does not appear to analyze outcomes in a defined real-world geographic setting. Geographic context is limited and not a study focus.",0,"The abstract explicitly states that 'This review is intended to summarize our current understanding,' indicating it is a review rather than original empirical research.",2,"The abstract mentions 'overall mortality,' 'cause of death,' and a 'higher case-fatality rate' among comorbid groups, so fatality is discussed. However, mortality/fatality outcomes are not the primary focus and no original mortality or fatality rate estimation is reported.",,,
37556240,,COVID-19: A Risk Assessment Perspective.,Schröder I.,J Chem Health Saf. 2020 May 11;27(3):160-169. doi: 10.1021/acs.chas.0c00035. eCollection 2020 May 26.,Schröder,Journal of chemical health & safety,2020,2023/08/09,,,10.1021/acs.chas.0c00035,"COVID-19 is a newly emerging viral respiratory disease first identified in Wuhan, China, in December 2019. The disease is caused by the coronavirus SARS-CoV-2, which is related to the viruses that cause SARS and MERS. While the case fatality ratio for COVID-19 (5%) is far lower than that for SARS (11%) and MERS (34%), COVID-19 is spreading relatively uncontrolled at this time across the globe. In contrast, SARS appears to be contained, and MERS is controlled. This paper will explore why COVID-19 is able to progress to a global pandemic that affects our daily lives to an extent not known in recent history. The COVID-19 outbreak and spread will be examined based on the current literature, using a researcher's perspective of risk assessment and risk mitigation; this approach will be related to public health.",,title_abstract,strict,unlikely_candidate,2,"The paper is clearly about COVID-19 in a real-world human public health context and explicitly mentions case fatality ratio. However, the abstract suggests a literature-based risk assessment perspective rather than original empirical evidence, and fatality is mentioned only as contextual background rather than as the main outcome.",4,The title and abstract explicitly focus on COVID-19 and SARS-CoV-2 throughout. The disease of interest is central to the paper.,3,"The abstract discusses the global pandemic and public health impacts in people, implying a human population focus. However, no specific study population is described.",3,"The abstract refers to Wuhan, China and global spread, indicating a real-world geographic context. Still, it does not describe a specific field setting or study site in detail.",0,The abstract states that the outbreak will be examined based on the current literature and presents a risk assessment perspective. This indicates a narrative/review-style discussion rather than original empirical data.,2,"The abstract explicitly mentions the case fatality ratio for COVID-19 and compares it with SARS and MERS. However, mortality/fatality outcomes do not appear to be the main study objective, and no primary estimation or dedicated fatality analysis is described.",,,
32628905,,Comparing SARS-CoV-2 with SARS-CoV and influenza pandemics.,"Petersen E, Koopmans M, Go U, Hamer DH, Petrosillo N, Castelli F, Storgaard M, Al Khalili S, Simonsen L.",Lancet Infect Dis. 2020 Sep;20(9):e238-e244. doi: 10.1016/S1473-3099(20)30484-9. Epub 2020 Jul 3.,Petersen,The Lancet. Infectious diseases,2020,2020/07/07,PMC7333991,,10.1016/S1473-3099(20)30484-9,"The objective of this Personal View is to compare transmissibility, hospitalisation, and mortality rates for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) with those of other epidemic coronaviruses, such as severe acute respiratory syndrome coronavirus (SARS-CoV) and Middle East respiratory syndrome coronavirus (MERS-CoV), and pandemic influenza viruses. The basic reproductive rate (R0) for SARS-CoV-2 is estimated to be 2·5 (range 1·8-3·6) compared with 2·0-3·0 for SARS-CoV and the 1918 influenza pandemic, 0·9 for MERS-CoV, and 1·5 for the 2009 influenza pandemic. SARS-CoV-2 causes mild or asymptomatic disease in most cases; however, severe to critical illness occurs in a small proportion of infected individuals, with the highest rate seen in people older than 70 years. The measured case fatality rate varies between countries, probably because of differences in testing strategies. Population-based mortality estimates vary widely across Europe, ranging from zero to high. Numbers from the first affected region in Italy, Lombardy, show an all age mortality rate of 154 per 100 000 population. Differences are most likely due to varying demographic structures, among other factors. However, this new virus has a focal dissemination; therefore, some areas have a higher disease burden and are affected more than others for reasons that are still not understood. Nevertheless, early introduction of strict physical distancing and hygiene measures have proven effective in sharply reducing R0 and associated mortality and could in part explain the geographical differences.","[MeSH] Age Factors; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Epidemics; [MeSH] Hospitalization; [MeSH] Humans; [MeSH] Hygiene; [MeSH] Influenza, Human; [MeSH] Pandemics; [MeSH] Physical Distancing; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2; [MeSH] Severe Acute Respiratory Syndrome",title_abstract,strict,unlikely_candidate,3,"This paper is highly relevant to SARS-CoV-2 and explicitly discusses fatality and mortality outcomes in human populations across real-world settings. However, because it is labeled a Personal View, it is unlikely to present original empirical data, which lowers its overall relevance for primary evidence screening.",4,The title and abstract explicitly focus on SARS-CoV-2/COVID-19 and compare it with SARS-CoV and influenza pandemics.,4,"The abstract discusses infected individuals, age groups, country-level testing strategies, and population-based mortality in humans; keywords also include Humans.",4,"The abstract reports real-world geographic variation across Europe and specifically Lombardy, Italy, indicating a clear field/population context.",1,"The article is explicitly described as a 'Personal View', which suggests a commentary/synthesis rather than original primary empirical research.",4,"The abstract explicitly mentions mortality rates, case fatality rate, population-based mortality estimates, and associated mortality for SARS-CoV-2.",,,
32146445,,Similarity in Case Fatality Rates (CFR) of COVID-19/SARS-COV-2 in Italy and China.,"Porcheddu R, Serra C, Kelvin D, Kelvin N, Rubino S.",J Infect Dev Ctries. 2020 Feb 29;14(2):125-128. doi: 10.3855/jidc.12600.,Porcheddu,Journal of infection in developing countries,2020,2020/03/09,,,10.3855/jidc.12600,"As of 28 February 2020, Italy had 888 cases of SARS-CoV-2 infections, with most cases in Northern Italy in the Lombardia and Veneto regions. Travel-related cases were the main source of COVID-19 cases during the early stages of the current epidemic in Italy. The month of February, however, has been dominated by two large clusters of outbreaks in Northern Italy, south of Milan, with mainly local transmission the source of infections. Contact tracing has failed to identify patient zero in one of the outbreaks. As of 28 February 2020, twenty-one cases of COVID-19 have died. Comparison between case fatality rates in China and Italy are identical at 2.3. Additionally, deaths are similar in both countries with fatalities in mostly the elderly with known comorbidities. It will be important to develop point-of-care devices to aid clinicians in stratifying elderly patients as early as possible to determine the potential level of care they will require to improve their chances of survival from COVID-19 disease.",Case Fatality Rates; Italy; Novel coronavirus COVID-19; SARS-CoV-19; outbreak,title_abstract,strict,possible_candidate,4,This paper is highly relevant to the review question because it explicitly addresses COVID-19/SARS-CoV-2 case fatality rates in human populations and compares fatality outcomes across real-world settings. The main uncertainty is whether it presents original empirical analysis versus a commentary-style synthesis of reported surveillance data.,4,"The title and abstract explicitly focus on COVID-19/SARS-CoV-2, including cases, infections, and deaths in Italy and China.",4,"The study concerns human COVID-19 cases and deaths in national populations, with discussion of elderly patients and comorbidities.",4,"The abstract gives a real-world geographic context, specifically Italy, China, Northern Italy, Lombardia, Veneto, and outbreaks south of Milan.",2,"The abstract reports numerical case and death counts and compares CFRs, but from title/abstract alone it is unclear whether this is original primary analysis or a brief commentary using surveillance data.",4,"Case fatality rate is explicit in the title, keywords, and abstract, with direct comparison of CFRs in Italy and China and mention of fatalities and deaths.",,,
