PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,screening_stage,screening_mode,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,parameter_score,parameter_justification,fulltext_status,fulltext_path,fulltext_eligible
32648899,,"Pathophysiology, Transmission, Diagnosis, and Treatment of Coronavirus Disease 2019 (COVID-19): A Review.","Wiersinga WJ, Rhodes A, Cheng AC, Peacock SJ, Prescott HC.",JAMA. 2020 Aug 25;324(8):782-793. doi: 10.1001/jama.2020.12839.,Wiersinga,JAMA,2020,2020/07/11,,,10.1001/jama.2020.12839,"IMPORTANCE: The coronavirus disease 2019 (COVID-19) pandemic, due to the novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has caused a worldwide sudden and substantial increase in hospitalizations for pneumonia with multiorgan disease. This review discusses current evidence regarding the pathophysiology, transmission, diagnosis, and management of COVID-19. OBSERVATIONS: SARS-CoV-2 is spread primarily via respiratory droplets during close face-to-face contact. Infection can be spread by asymptomatic, presymptomatic, and symptomatic carriers. The average time from exposure to symptom onset is 5 days, and 97.5% of people who develop symptoms do so within 11.5 days. The most common symptoms are fever, dry cough, and shortness of breath. Radiographic and laboratory abnormalities, such as lymphopenia and elevated lactate dehydrogenase, are common, but nonspecific. Diagnosis is made by detection of SARS-CoV-2 via reverse transcription polymerase chain reaction testing, although false-negative test results may occur in up to 20% to 67% of patients; however, this is dependent on the quality and timing of testing. Manifestations of COVID-19 include asymptomatic carriers and fulminant disease characterized by sepsis and acute respiratory failure. Approximately 5% of patients with COVID-19, and 20% of those hospitalized, experience severe symptoms necessitating intensive care. More than 75% of patients hospitalized with COVID-19 require supplemental oxygen. Treatment for individuals with COVID-19 includes best practices for supportive management of acute hypoxic respiratory failure. Emerging data indicate that dexamethasone therapy reduces 28-day mortality in patients requiring supplemental oxygen compared with usual care (21.6% vs 24.6%; age-adjusted rate ratio, 0.83 [95% CI, 0.74-0.92]) and that remdesivir improves time to recovery (hospital discharge or no supplemental oxygen requirement) from 15 to 11 days. In a randomized trial of 103 patients with COVID-19, convalescent plasma did not shorten time to recovery. Ongoing trials are testing antiviral therapies, immune modulators, and anticoagulants. The case-fatality rate for COVID-19 varies markedly by age, ranging from 0.3 deaths per 1000 cases among patients aged 5 to 17 years to 304.9 deaths per 1000 cases among patients aged 85 years or older in the US. Among patients hospitalized in the intensive care unit, the case fatality is up to 40%. At least 120 SARS-CoV-2 vaccines are under development. Until an effective vaccine is available, the primary methods to reduce spread are face masks, social distancing, and contact tracing. Monoclonal antibodies and hyperimmune globulin may provide additional preventive strategies. CONCLUSIONS AND RELEVANCE: As of July 1, 2020, more than 10 million people worldwide had been infected with SARS-CoV-2. Many aspects of transmission, infection, and treatment remain unclear. Advances in prevention and effective management of COVID-19 will require basic and clinical investigation and public health and clinical interventions.","[MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] COVID-19 Testing; [MeSH] COVID-19 Vaccines; [MeSH] Clinical Laboratory Techniques; [MeSH] Coronavirus Infections; [MeSH] Global Health; [MeSH] Health Status Disparities; [MeSH] Hospital Mortality; [MeSH] Humans; [MeSH] Lung; [MeSH] Oxygen Inhalation Therapy; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Prognosis; [MeSH] Reverse Transcriptase Polymerase Chain Reaction; [MeSH] SARS-CoV-2; [MeSH] Viral Vaccines; [MeSH] COVID-19 Drug Treatment",title_abstract,strict,unlikely_candidate,2,"This paper is highly relevant to COVID-19 and clearly concerns human populations in real-world settings, but it is a review rather than original empirical research. It also does not report the target seroprevalence or antibody prevalence parameters needed to support infection fatality rate inference.",4,The title and abstract explicitly focus on COVID-19 and SARS-CoV-2 throughout. Disease relevance is central and unambiguous.,4,"The abstract discusses infected people, hospitalized patients, ICU patients, and age-specific case-fatality in the US, indicating a human population focus. MeSH terms also include Humans.",3,"The abstract refers to worldwide spread and provides US-specific case-fatality data, so it is grounded in real-world geographic contexts. However, it is a broad review rather than a single field study in one defined location.",0,"The title explicitly labels this article as 'A Review,' and the abstract states it discusses current evidence. This indicates synthesis rather than original primary empirical data.",0,"The abstract does not report seroprevalence, seropositivity, serosurveys, or population antibody prevalence. Mentions of monoclonal antibodies and convalescent plasma are not seroepidemiologic measures.",,,
32645327,,"A Universal Design of Betacoronavirus Vaccines against COVID-19, MERS, and SARS.","Dai L, Zheng T, Xu K, Han Y, Xu L, Huang E, An Y, Cheng Y, Li S, Liu M, Yang M, Li Y, Cheng H, Yuan Y, Zhang W, Ke C, Wong G, Qi J, Qin C, Yan J, Gao GF.",Cell. 2020 Aug 6;182(3):722-733.e11. doi: 10.1016/j.cell.2020.06.035. Epub 2020 Jun 28.,Dai,Cell,2020,2020/07/10,PMC7321023,,10.1016/j.cell.2020.06.035,"Vaccines are urgently needed to control the ongoing pandemic COVID-19 and previously emerging MERS/SARS caused by coronavirus (CoV) infections. The CoV spike receptor-binding domain (RBD) is an attractive vaccine target but is undermined by limited immunogenicity. We describe a dimeric form of MERS-CoV RBD that overcomes this limitation. The RBD-dimer significantly increased neutralizing antibody (NAb) titers compared to conventional monomeric form and protected mice against MERS-CoV infection. Crystal structure showed RBD-dimer fully exposed dual receptor-binding motifs, the major target for NAbs. Structure-guided design further yielded a stable version of RBD-dimer as a tandem repeat single-chain (RBD-sc-dimer) which retained the vaccine potency. We generalized this strategy to design vaccines against COVID-19 and SARS, achieving 10- to 100-fold enhancement of NAb titers. RBD-sc-dimers in pilot scale production yielded high yields, supporting their scalability for further clinical development. The framework of immunogen design can be universally applied to other beta-CoV vaccines to counter emerging threats.",COVID-19; MERS; MERS-CoV; SARS; SARS-CoV; SARS-CoV-2; betacoronavirus; coronavirus; receptor-binding domain (RBD); vaccine,title_abstract,strict,unlikely_candidate,2,"This is clearly an original SARS-CoV-2-related study, but it is preclinical vaccine research rather than a human seroepidemiologic investigation. It does not provide population-level seroprevalence or antibody prevalence estimates needed to inform infection fatality rate inference.",4,"The title and abstract explicitly focus on COVID-19 and SARS-CoV-2, alongside MERS and SARS. SARS-CoV-2 is a central disease target of the vaccine design work.",1,The abstract reports protection in mice and does not describe a human population study. Human clinical or population data are not presented.,1,No real-world geographic setting or field population is described. The work appears to be laboratory/preclinical vaccine research.,4,"The abstract describes original experimental findings, including structural design, neutralizing antibody titers, and mouse protection data. This is primary empirical research rather than a review or commentary.",0,"The study does not report seroprevalence, seropositivity, serosurveys, or population-level antibody prevalence. It focuses on vaccine design, immunogenicity, and neutralizing antibody responses in a preclinical context.",,,
32663912,,An mRNA Vaccine against SARS-CoV-2 - Preliminary Report.,"Jackson LA, Anderson EJ, Rouphael NG, Roberts PC, Makhene M, Coler RN, McCullough MP, Chappell JD, Denison MR, Stevens LJ, Pruijssers AJ, McDermott A, Flach B, Doria-Rose NA, Corbett KS, Morabito KM, O'Dell S, Schmidt SD, Swanson PA 2nd, Padilla M, Mascola JR, Neuzil KM, Bennett H, Sun W, Peters E, Makowski M, Albert J, Cross K, Buchanan W, Pikaart-Tautges R, Ledgerwood JE, Graham BS, Beigel JH; mRNA-1273 Study Group.",N Engl J Med. 2020 Nov 12;383(20):1920-1931. doi: 10.1056/NEJMoa2022483. Epub 2020 Jul 14.,Jackson,The New England journal of medicine,2020,2020/07/15,PMC7377258,,10.1056/NEJMoa2022483,"BACKGROUND: The severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) emerged in late 2019 and spread globally, prompting an international effort to accelerate development of a vaccine. The candidate vaccine mRNA-1273 encodes the stabilized prefusion SARS-CoV-2 spike protein. METHODS: We conducted a phase 1, dose-escalation, open-label trial including 45 healthy adults, 18 to 55 years of age, who received two vaccinations, 28 days apart, with mRNA-1273 in a dose of 25 μg, 100 μg, or 250 μg. There were 15 participants in each dose group. RESULTS: After the first vaccination, antibody responses were higher with higher dose (day 29 enzyme-linked immunosorbent assay anti-S-2P antibody geometric mean titer [GMT], 40,227 in the 25-μg group, 109,209 in the 100-μg group, and 213,526 in the 250-μg group). After the second vaccination, the titers increased (day 57 GMT, 299,751, 782,719, and 1,192,154, respectively). After the second vaccination, serum-neutralizing activity was detected by two methods in all participants evaluated, with values generally similar to those in the upper half of the distribution of a panel of control convalescent serum specimens. Solicited adverse events that occurred in more than half the participants included fatigue, chills, headache, myalgia, and pain at the injection site. Systemic adverse events were more common after the second vaccination, particularly with the highest dose, and three participants (21%) in the 250-μg dose group reported one or more severe adverse events. CONCLUSIONS: The mRNA-1273 vaccine induced anti-SARS-CoV-2 immune responses in all participants, and no trial-limiting safety concerns were identified. These findings support further development of this vaccine. (Funded by the National Institute of Allergy and Infectious Diseases and others; mRNA-1273 ClinicalTrials.gov number, NCT04283461).","[MeSH] 2019-nCoV Vaccine mRNA-1273; [MeSH] Adult; [MeSH] Antibodies, Neutralizing; [MeSH] Antibodies, Viral; [MeSH] Antibody Formation; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] COVID-19 Vaccines; [MeSH] Coronavirus Infections; [MeSH] Female; [MeSH] Humans; [MeSH] Immunization, Secondary; [MeSH] Male; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] RNA, Messenger; [MeSH] SARS-CoV-2; [MeSH] Spike Glycoprotein, Coronavirus; [MeSH] T-Lymphocytes; [MeSH] Viral Vaccines; [MeSH] Young Adult",title_abstract,strict,unlikely_candidate,3,"The paper is clearly about SARS-CoV-2, humans, and reports original empirical data, but its antibody results are from a vaccine trial rather than a seroprevalence or antibody prevalence study. Therefore, it has low relevance to the target parameter needed for inference about infection fatality rates.",4,The title and abstract explicitly focus on SARS-CoV-2 and a vaccine against it. COVID-19/SARS-CoV-2 is the central disease context.,4,The abstract reports a phase 1 trial in 45 healthy adults aged 18 to 55 years. This is clearly a human study.,1,"The study is conducted in humans in a real-world trial setting, but no geographic location or field population context is stated in the title or abstract.",4,"This is an original phase 1 open-label trial reporting primary empirical data on vaccination, antibody titers, neutralizing activity, and adverse events.",0,"Although antibodies are measured, the study evaluates vaccine-induced immunogenicity and neutralization, not seroprevalence, seropositivity, serosurveys, or population antibody prevalence.",,,
32756549,,SARS-CoV-2 mRNA vaccine design enabled by prototype pathogen preparedness.,"Corbett KS, Edwards DK, Leist SR, Abiona OM, Boyoglu-Barnum S, Gillespie RA, Himansu S, Schäfer A, Ziwawo CT, DiPiazza AT, Dinnon KH, Elbashir SM, Shaw CA, Woods A, Fritch EJ, Martinez DR, Bock KW, Minai M, Nagata BM, Hutchinson GB, Wu K, Henry C, Bahl K, Garcia-Dominguez D, Ma L, Renzi I, Kong WP, Schmidt SD, Wang L, Zhang Y, Phung E, Chang LA, Loomis RJ, Altaras NE, Narayanan E, Metkar M, Presnyak V, Liu C, Louder MK, Shi W, Leung K, Yang ES, West A, Gully KL, Stevens LJ, Wang N, Wrapp D, Doria-Rose NA, Stewart-Jones G, Bennett H, Alvarado GS, Nason MC, Ruckwardt TJ, McLellan JS, Denison MR, Chappell JD, Moore IN, Morabito KM, Mascola JR, Baric RS, Carfi A, Graham BS.",Nature. 2020 Oct;586(7830):567-571. doi: 10.1038/s41586-020-2622-0. Epub 2020 Aug 5.,Corbett,Nature,2020,2020/08/07,PMC7581537,NIHMS1616529,10.1038/s41586-020-2622-0,"A vaccine for severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is needed to control the coronavirus disease 2019 (COVID-19) global pandemic. Structural studies have led to the development of mutations that stabilize Betacoronavirus spike proteins in the prefusion state, improving their expression and increasing immunogenicity1. This principle has been applied to design mRNA-1273, an mRNA vaccine that encodes a SARS-CoV-2 spike protein that is stabilized in the prefusion conformation. Here we show that mRNA-1273 induces potent neutralizing antibody responses to both wild-type (D614) and D614G mutant2 SARS-CoV-2 as well as CD8+ T cell responses, and protects against SARS-CoV-2 infection in the lungs and noses of mice without evidence of immunopathology. mRNA-1273 is currently in a phase III trial to evaluate its efficacy.","[MeSH] 2019-nCoV Vaccine mRNA-1273; [MeSH] Animals; [MeSH] Antibodies, Neutralizing; [MeSH] Betacoronavirus; [MeSH] CD8-Positive T-Lymphocytes; [MeSH] COVID-19; [MeSH] COVID-19 Vaccines; [MeSH] Clinical Trials, Phase III as Topic; [MeSH] Coronavirus Infections; [MeSH] Female; [MeSH] Lung; [MeSH] Mice; [MeSH] Mutation; [MeSH] Nose; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] RNA, Messenger; [MeSH] RNA, Viral; [MeSH] SARS-CoV-2; [MeSH] Th1 Cells; [MeSH] Toll-Like Receptor 4; [MeSH] Viral Vaccines",title_abstract,strict,unlikely_candidate,2,"This paper is clearly about SARS-CoV-2 and reports original empirical data, but the reported evidence is mainly preclinical in mice rather than human population-based research. It does not report seroprevalence or antibody prevalence measures relevant to inferring infection fatality rates.",4,The title and abstract explicitly focus on SARS-CoV-2/COVID-19 and vaccine design against this virus.,1,"The abstract reports protection and antibody responses in mice; although a phase III trial is mentioned, no human study data are presented in the abstract.",1,No real-world geographic or field setting is described; the reported work is preclinical and laboratory-based.,4,"The abstract presents original experimental findings on mRNA-1273, including antibody and T-cell responses and protection in mice.",0,"The study examines vaccine-induced neutralizing antibody responses and protection, not seroprevalence, seropositivity, serosurveys, or population antibody prevalence.",,,
32526206,,SARS-CoV-2 Reverse Genetics Reveals a Variable Infection Gradient in the Respiratory Tract.,"Hou YJ, Okuda K, Edwards CE, Martinez DR, Asakura T, Dinnon KH 3rd, Kato T, Lee RE, Yount BL, Mascenik TM, Chen G, Olivier KN, Ghio A, Tse LV, Leist SR, Gralinski LE, Schäfer A, Dang H, Gilmore R, Nakano S, Sun L, Fulcher ML, Livraghi-Butrico A, Nicely NI, Cameron M, Cameron C, Kelvin DJ, de Silva A, Margolis DM, Markmann A, Bartelt L, Zumwalt R, Martinez FJ, Salvatore SP, Borczuk A, Tata PR, Sontake V, Kimple A, Jaspers I, O'Neal WK, Randell SH, Boucher RC, Baric RS.",Cell. 2020 Jul 23;182(2):429-446.e14. doi: 10.1016/j.cell.2020.05.042. Epub 2020 May 27.,Hou,Cell,2020,2020/06/12,PMC7250779,,10.1016/j.cell.2020.05.042,"The mode of acquisition and causes for the variable clinical spectrum of coronavirus disease 2019 (COVID-19) remain unknown. We utilized a reverse genetics system to generate a GFP reporter virus to explore severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) pathogenesis and a luciferase reporter virus to demonstrate sera collected from SARS and COVID-19 patients exhibited limited cross-CoV neutralization. High-sensitivity RNA in situ mapping revealed the highest angiotensin-converting enzyme 2 (ACE2) expression in the nose with decreasing expression throughout the lower respiratory tract, paralleled by a striking gradient of SARS-CoV-2 infection in proximal (high) versus distal (low) pulmonary epithelial cultures. COVID-19 autopsied lung studies identified focal disease and, congruent with culture data, SARS-CoV-2-infected ciliated and type 2 pneumocyte cells in airway and alveolar regions, respectively. These findings highlight the nasal susceptibility to SARS-CoV-2 with likely subsequent aspiration-mediated virus seeding to the lung in SARS-CoV-2 pathogenesis. These reagents provide a foundation for investigations into virus-host interactions in protective immunity, host susceptibility, and virus pathogenesis.",ACE2; COVID-19; SARS-CoV-2; infectious clone; nasal infection; neutralization assay; primary cells; reporter virus; respiratory tropism; reverse genetics,title_abstract,strict,unlikely_candidate,3,"This is clearly an original SARS-CoV-2 study, but it is mainly a mechanistic laboratory/pathogenesis investigation with limited human-population relevance. It does not explicitly report seroprevalence or antibody prevalence measures needed to inform infection fatality rate inference.",4,"The title and abstract explicitly focus on SARS-CoV-2 and COVID-19 pathogenesis, including infection in the respiratory tract.",2,"The abstract includes sera from SARS and COVID-19 patients and autopsied lung studies, but much of the work is in epithelial cultures and reverse genetics rather than a human population study.",1,No real-world geographic setting or field population context is described; the study is primarily laboratory and pathology based.,4,"The abstract reports original experimental findings using reverse genetics, reporter viruses, epithelial cultures, RNA mapping, patient sera, and autopsied lung studies.",1,"Although patient sera and neutralization are mentioned, the study does not report seroprevalence, seropositivity, serosurvey, or population-level antibody prevalence estimates.",,,
32425246,,Psychopharmacology of COVID-19.,"Bilbul M, Paparone P, Kim AM, Mutalik S, Ernst CL.",Psychosomatics. 2020 Sep-Oct;61(5):411-427. doi: 10.1016/j.psym.2020.05.006. Epub 2020 May 18.,Bilbul,Psychosomatics,2020,2020/05/20,PMC7232075,,10.1016/j.psym.2020.05.006,"BACKGROUND: With the rapid, global spread of severe acute respiratory syndrome coronavirus 2, hospitals have become inundated with patients suffering from coronavirus disease 2019. Consultation-liaison psychiatrists are actively involved in managing these patients and should familiarize themselves with how the virus and its proposed treatments can affect psychotropic management. The only Food and Drug Administration-approved drug to treat COVID-19 is remdesivir, and other off-label medications used include chloroquine and hydroxychloroquine, tocilizumab, lopinavir/ritonavir, favipiravir, convalescent plasma therapy, azithromycin, vitamin C, corticosteroids, interferon, and colchicine. OBJECTIVE: To provide an overview of the major safety considerations relevant to clinicians who prescribe psychotropics to patients with COVID-19, both related to the illness and its proposed treatments. METHODS: In this targeted review, we performed structured literature searches in PubMed to identify articles describing the impacts of COVID-19 on different organ systems, the neuropsychiatric adverse effects of treatments, and any potential drug interactions with psychotropics. The articles most relevant to this one were included. RESULTS: COVID-19 impacts multiple organ systems, including gastrointestinal, renal, cardiovascular, pulmonary, immunological, and hematological systems. This may lead to pharmacokinetic changes that impact psychotropic medications and increase sensitivity to psychotropic-related adverse effects. In addition, several proposed treatments for COVID-19 have neuropsychiatric effects and potential interactions with commonly used psychotropics. CONCLUSIONS: Clinicians should be aware of the need to adjust existing psychotropics or avoid using certain medications in some patients with COVID-19. They should also be familiar with neuropsychiatric effects of medications being used to treat this disease. Further research is needed to identify strategies to manage psychiatric issues in this population.",COVID-19; psychopharmacology; psychotropic; side effects,title_abstract,strict,unlikely_candidate,2,"This paper is highly relevant to COVID-19 and concerns human patients, but it is a narrative/targeted review rather than an original empirical study. It does not address seroprevalence or antibody prevalence, so its relevance to informing SARS-CoV-2 infection fatality rate inference is very low.",4,The title and abstract explicitly focus on COVID-19 and severe acute respiratory syndrome coronavirus 2 throughout. Disease relevance is central to the paper.,3,"The abstract discusses patients with COVID-19 in hospitals and clinical management by psychiatrists, indicating a human population. However, it is framed as clinical guidance rather than population-based research.",1,"Hospitals are mentioned, but no specific geographic setting or real-world field location is described in the title or abstract. Geographic context is minimal.",0,The abstract explicitly describes this as a targeted review based on structured literature searches. It does not report original empirical data.,0,"There is no mention of seroprevalence, seropositivity, serological surveys, or antibody prevalence. The focus is psychopharmacology and treatment safety, not population antibody measures.",,,
33246736,,Antibody-guided structure-based vaccines.,"Kwong PD, DeKosky BJ, Ulmer JB.",Semin Immunol. 2020 Aug;50:101428. doi: 10.1016/j.smim.2020.101428. Epub 2020 Nov 24.,Kwong,Seminars in immunology,2020,2020/11/28,,,10.1016/j.smim.2020.101428,"The vaccine field is pursuing diverse approaches to translate the molecular insights from analyses of effective antibodies and their targeted epitopes into immunogens capable of eliciting protective immune responses. Here we review current antibody-guided strategies including conformation-based, epitope-based, and lineage-based vaccine approaches, which are yielding promising vaccine candidates now being evaluated in clinical trials. We summarize directions being employed by the field, including the use of sequencing technologies to monitor and track developing immune responses for understanding and improving antibody-based immunity. We review opportunities and challenges to transform powerful new discoveries into safe and effective vaccines, which are encapsulated by vaccine efforts against a variety of pathogens including HIV-1, influenza A virus, malaria parasites, respiratory syncytial virus, and SARS-CoV-2. Overall, this review summarizes the extensive progress that has been made to realize antibody-guided structure-based vaccines, the considerable challenges faced, and the opportunities afforded by recently developed molecular approaches to vaccine development.",Antibody; Atomic-level design; Immune monitoring; Next-generation sequencing (NGS); Nucleic acid-based vaccines; Vaccine R&D; mRNA delivery,title_abstract,strict,unlikely_candidate,0,"This article is a review on antibody-guided vaccine design across multiple pathogens, with SARS-CoV-2 mentioned only peripherally. It does not provide original human seroprevalence or antibody prevalence data that could inform SARS-CoV-2 infection fatality rate inference.",1,"SARS-CoV-2 is mentioned in the abstract, but only as one of several example pathogens in a broad vaccine review rather than the main disease focus.",1,"The abstract discusses vaccine development and immune responses generally, with no explicit human population or participant group described.",0,"No real-world geographic setting, field site, or population location is reported in the title or abstract.",0,"The abstract explicitly states 'Here we review' and 'this review summarizes,' indicating a review article rather than original empirical research.",0,"Although antibodies are central, the paper is about antibody-guided vaccine design and immune monitoring, not seroprevalence, serosurveys, seropositivity, or population-level antibody prevalence.",,,
32780998,,SARS-CoV-2-specific ELISA development.,"Roy V, Fischinger S, Atyeo C, Slein M, Loos C, Balazs A, Luedemann C, Astudillo MG, Yang D, Wesemann DR, Charles R, Lafrate AJ, Feldman J, Hauser B, Caradonna T, Miller TE, Murali MR, Baden L, Nilles E, Ryan E, Lauffenburger D, Beltran WG, Alter G.",J Immunol Methods. 2020 Sep-Oct;484-485:112832. doi: 10.1016/j.jim.2020.112832. Epub 2020 Aug 8.,Roy,Journal of immunological methods,2020,2020/08/12,PMC7414735,,10.1016/j.jim.2020.112832,"Critical to managing the spread of COVID-19 is the ability to diagnose infection and define the acquired immune response across the population. While genomic tests for the novel Several Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) detect the presence of viral RNA for a limited time frame, when the virus is shed in the upper respiratory tract, tests able to define exposure and infection beyond this short window of detectable viral replication are urgently needed. Following infection, antibodies are generated within days, providing a durable read-out and archive of exposure and infection. Several antibody tests have emerged to diagnose SARS-CoV-2. Here we report on a qualified quantitative ELISA assay that displays all the necessary characteristics for high-throughput sample analysis. Collectively, this test offers a quantitative opportunity to define both exposure and levels of immunity to SARS-CoV-2.","[MeSH] Antibodies, Viral; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] COVID-19 Testing; [MeSH] Clinical Laboratory Techniques; [MeSH] Coronavirus Infections; [MeSH] Enzyme-Linked Immunosorbent Assay; [MeSH] Feasibility Studies; [MeSH] High-Throughput Screening Assays; [MeSH] Humans; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Reproducibility of Results; [MeSH] SARS-CoV-2; [MeSH] Sensitivity and Specificity; [MeSH] Time Factors",title_abstract,strict,unlikely_candidate,3,"This paper is clearly about SARS-CoV-2 and presents original empirical work, but the abstract indicates assay development rather than a serosurvey or antibody prevalence study. Human population sampling and geographic field context are not clearly described, so its usefulness for inferring infection fatality rates from seroprevalence evidence appears limited based on title and abstract alone.",4,"The title and abstract explicitly focus on SARS-CoV-2 and COVID-19, including development of a SARS-CoV-2-specific ELISA assay.",2,"Keywords include Humans and the abstract discusses population exposure, but the abstract does not clearly describe a human study population or sampled participants.",1,"No specific geographic setting, field site, or real-world study location is reported in the title or abstract.",4,"The abstract states 'Here we report' a qualified quantitative ELISA assay, indicating original empirical assay development and evaluation.",1,"Although the study concerns antibodies to SARS-CoV-2, it appears to focus on assay development and testing capacity rather than reporting seroprevalence, seropositivity, or population-level antibody prevalence estimates.",,,
32496872,,SARS-CoV-2 and COVID-19: From the Bench to the Bedside.,"Romagnoli S, Peris A, De Gaudio AR, Geppetti P.",Physiol Rev. 2020 Oct 1;100(4):1455-1466. doi: 10.1152/physrev.00020.2020. Epub 2020 Jun 4.,Romagnoli,Physiological reviews,2020,2020/06/05,PMC7347954,,10.1152/physrev.00020.2020,"First isolated in China in early 2020, Severe Acute Respiratory Syndrome Coronavirus-2 (SARS-CoV-2) is the novel coronavirus responsible for the ongoing pandemic of Coronavirus Disease 2019 (COVID-19). The disease has been spreading rapidly across the globe, with the largest burden falling on China, Europe, and the United States. COVID-19 is a new clinical syndrome, characterized by respiratory symptoms with varying degrees of severity, from mild upper respiratory illness to severe interstitial pneumonia and acute respiratory distress syndrome, aggravated by thrombosis in the pulmonary microcirculation. Three main phases of disease progression have been proposed for COVID-19: an early infection phase, a pulmonary phase, and a hyperinflammation phase. Although current understanding of COVID-19 treatment is mainly derived from small uncontrolled trials that are affected by a number of biases, strong background noise, and a litany of confounding factors, emerging awareness suggests that drugs currently used to treat COVID-19 (antiviral drugs, antimalarial drugs, immunomodulators, anticoagulants, and antibodies) should be evaluated in relation to the pathophysiology of disease progression. Drawing upon the dramatic experiences taking place in Italy and around the world, here we review the changes in the evolution of the disease and focus on current treatment uncertainties and promising new therapies.",COVID-19; SARS; SARS-CoV-2; coronavirus,title_abstract,strict,unlikely_candidate,2,"The paper is clearly about SARS-CoV-2/COVID-19 in a real-world human clinical context, but it is a review rather than original empirical research. It also does not report seroprevalence or antibody prevalence measures needed to inform infection fatality rate inference.",4,The title and abstract explicitly focus on SARS-CoV-2 and COVID-19 throughout. This is the central topic of the paper.,3,"The abstract discusses clinical syndrome, disease progression, and treatment in affected people, implying a human clinical population. However, no specific study population is described.",3,"The abstract refers to real-world spread across China, Europe, the United States, and experiences in Italy. This indicates a real geographic context, though not a field study setting.",0,"The abstract explicitly states 'here we review' disease evolution, treatment uncertainties, and therapies. This indicates a review article rather than original empirical research.",0,"There is no mention of seroprevalence, serosurvey, seropositivity, or population antibody prevalence. Antibodies are mentioned only as potential therapies, not as seroepidemiologic measures.",,,
32506725,,"Dengue Fever, COVID-19 (SARS-CoV-2), and Antibody-Dependent Enhancement (ADE): A Perspective.","Ulrich H, Pillat MM, Tárnok A.",Cytometry A. 2020 Jul;97(7):662-667. doi: 10.1002/cyto.a.24047. Epub 2020 Jun 7.,Ulrich,Cytometry. Part A : the journal of the International Society for Analytical Cytology,2020,2020/06/08,PMC7300451,,10.1002/cyto.a.24047,"SARS-CoV-2 pandemic and recurrent dengue epidemics in tropical countries have turned into a global health threat. While both virus-caused infections may only reveal light symptoms, they can also cause severe diseases. Here, we review the possible antibody-dependent enhancement (ADE) occurrence, known for dengue infections, when there is a second infection with a different virus strain. Consequently, preexisting antibodies do not neutralize infection, but enhance it, possibly by triggering Fcγ receptor-mediated virus uptake. No clinical data exist indicating such mechanism for SARS-CoV-2, but previous coronavirus infections or infection of SARS-CoV-2 convalescent with different SARS-CoV-2 strains could promote ADE, as experimentally shown for antibodies against the MERS-CoV or SARS-CoV spike S protein. © 2020 International Society for Advancement of Cytometry.",2019-nCoV; COVID-19; SARS-CoV-2; antibody-dependent enhancement; coronavirus,title_abstract,strict,unlikely_candidate,2,"This paper is clearly about SARS-CoV-2, but it is a perspective/review on antibody-dependent enhancement rather than an original seroepidemiologic study. It does not report population-level seroprevalence or antibody prevalence data that would support inference of SARS-CoV-2 infection fatality rates.",4,"The title and abstract explicitly focus on COVID-19 and SARS-CoV-2, alongside dengue. SARS-CoV-2 is a central topic of the paper.",2,"The abstract discusses infections in humans and tropical countries, but the main content is mechanistic and review-oriented rather than a clearly defined human study population.",2,"It mentions tropical countries in a broad real-world context, but no specific geographic study setting or field-based population is described.",0,"The abstract explicitly states 'Here, we review' and discusses prior experimental findings rather than presenting new empirical data.",0,"The paper discusses antibody-dependent enhancement and antibody mechanisms, not seroprevalence, seropositivity, serosurveys, or population-level antibody prevalence estimates.",,,
