PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,screening_stage,screening_mode,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,parameter_score,parameter_justification,fulltext_status,fulltext_path,fulltext_eligible,fulltext_markdown
32883673,,Are we underestimating seroprevalence of SARS-CoV-2?,"Burgess S, Ponsford MJ, Gill D.",BMJ. 2020 Sep 3;370:m3364. doi: 10.1136/bmj.m3364.,Burgess,BMJ (Clinical research ed.),2020,2020/09/05,PMC7614618,EMS176258,10.1136/bmj.m3364,,"[MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] COVID-19 Testing; [MeSH] Clinical Laboratory Techniques; [MeSH] Coronavirus Infections; [MeSH] Humans; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2; [MeSH] Seroepidemiologic Studies",full_text,lenient,unlikely_candidate,2,"The full text clearly confirms that the article is about SARS-CoV-2 seroprevalence and antibody detection, so disease and parameter topic relevance are present. However, this paper is primarily a narrative commentary arguing that existing serosurveys may underestimate prevalence, and it does not itself provide original empirical seroprevalence data or a primary seroprevalence estimate, which limits its value for direct IFR inference.",4,The full text is explicitly about SARS-CoV-2/COVID-19 testing and repeatedly discusses 'seroprevalence of SARS-CoV-2' and 'COVID-19' throughout the article.,3,"The discussion is centered on human serological responses and population surveys, citing residents in Austria, the general population in Luxembourg, and UK healthcare workers, but this article itself is not a primary human cohort study.",3,"The paper refers to real-world geographic settings including Spain, Ischgl in Austria, Luxembourg, and UK healthcare workers, indicating field/population context rather than purely laboratory theory.",1,"This is a BMJ commentary/perspective synthesizing published studies and arguments about assay sensitivity and underestimation; it does not present a new dataset, original serosurvey, or primary empirical analysis of its own.",2,"Seroprevalence is the central topic, and the text quotes estimates such as 42.4% in Ischgl and 11.1%/2.1% in CON-VINCE, but these are cited from other studies rather than newly reported or estimated by this paper.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32883673\PMID_32883673.md,yes,
32726200,✓,"Seroprevalence of SARS-CoV-2-Specific Antibodies, Faroe Islands.","Petersen MS, Strøm M, Christiansen DH, Fjallsbak JP, Eliasen EH, Johansen M, Veyhe AS, Kristiansen MF, Gaini S, Møller LF, Steig B, Weihe P.",Emerg Infect Dis. 2020 Nov;26(11):2761-2763. doi: 10.3201/eid2611.202736. Epub 2020 Jul 29.,Petersen,Emerging infectious diseases,2020,2020/07/30,PMC7588539,,10.3201/eid2611.202736,"We conducted a nationwide study of the prevalence of severe acute respiratory syndrome coronavirus 2 infection in the Faroe Islands. Of 1,075 randomly selected participants, 6 (0.6%) tested seropositive for antibodies to the virus. Adjustment for test sensitivity and specificity yielded a 0.7% prevalence. Our findings will help us evaluate our public health response.",2019 novel coronavirus disease; COVID-19; Denmark; Faroe Islands; SARS-CoV-2; antibodies; coronavirus disease; respiratory diseases; seroprevalence; severe acute respiratory syndrome coronavirus 2; viruses; zoonoses,full_text,strict,strong_candidate,4,"The full text strongly supports relevance to the review question. It is a nationwide human seroprevalence study of SARS-CoV-2 antibodies in the Faroe Islands that reports original empirical prevalence estimates from a representative sample, making it highly pertinent for informing infection-fatality-related inference.",4,"The full text is explicitly about COVID-19/SARS-CoV-2, e.g., the title is “Seroprevalence of SARS-CoV-2–Specific Antibodies, Faroe Islands” and the paper states it aimed to estimate “the population prevalence of SARS-CoV-2 infection.”",4,"This is a human population study: investigators randomly sampled 1,500 persons from the Faroese Population Registry, and 1,075 participants across ages 0–100 years were tested.",4,"The study is set in a real-world geographic context, the Faroe Islands, with nationwide sampling from 6 study sites and home visits offered across the islands.",4,"The article reports original empirical data from a primary serosurvey, including recruitment, laboratory testing with the Wantai SARS-CoV-2 Ab ELISA, and observed results for 1,075 tested participants.",4,"The target parameter is central and directly reported: “6 (0.6%) tested seropositive” and “adjustment for test sensitivity and specificity yielded a 0.7% prevalence,” with tabled crude antibody prevalence by sex, age, and geography.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32726200\PMID_32726200.md,,
32947121,,"Seroprevalence of SARS-CoV-2-specific antibodies in cancer outpatients in Madrid (Spain): A single center, prospective, cohort study and a review of available data.","Cabezón-Gutiérrez L, Custodio-Cabello S, Palka-Kotlowska M, Oliveros-Acebes E, García-Navarro MJ, Khosravi-Shahi P.",Cancer Treat Rev. 2020 Nov;90:102102. doi: 10.1016/j.ctrv.2020.102102. Epub 2020 Sep 1.,Cabezón-Gutiérrez,Cancer treatment reviews,2020,2020/09/18,PMC7462449,,10.1016/j.ctrv.2020.102102,"BACKGROUND: Coronavirus disease in 2019 (COVID-19) caused by Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) has emerged as a global pandemic. Published data suggests that patients with a history of or active malignancy are at increased risk of infection and developing COVID-19 related complications. To date, the published data has analyzed the seroprevalence of COVID-19 infection in the general population, but not in cancer patients. Here we present the results of prevalence of IgG and IgM antibodies against SARS-CoV-2 in cancer patients from the University Hospital of Torrejón (Torrejón de Ardoz, Madrid, Spain). METHODS: SARS-CoV-2 IgG and IgM antibodies was assessed using a commercially available rapid test (Testsealabs® IgG/IgM Rapid Test Cassette) and collect the result from cancer outpatients who attended the medical oncology consult at University Hospital of Torrejón between June 1st and June 19th, 2020. FINDINGS: We analyzed the serological test results of 229 cancer patients. We estimated an overall seroprevalence (IgG or IgM positive) of 31.4%. The probability of SARS-CoV-2 seropositivity was similar between men and women, type of treatment and cancer stage. The probability of seropositivity was significantly higher in cancer patients with pneumonia compared with cancer patients without pneumonia (Odds Ratio (OR) 7.65 [95% confidence interval (CI) 1,85-31,58]). INTERPRETATION: Our results show a higher rate of SARS-CoV-2 antibodies in cancer patients than in the general population. The role of those antibodies in the immune response against the virus infection is unclear.",Antibodies; COVID-19; Cancer patients; IgG and IgM; SARS-CoV-2; Seroprevalence,full_text,strict,strong_candidate,4,"The full text strongly supports relevance to the review question. It is an original human field study of SARS-CoV-2 antibody prevalence in a defined cancer outpatient population in Madrid, with explicit seroprevalence estimates and supporting tables/results. While it is a special population rather than the general population, it clearly measures the target parameter needed for seroepidemiologic inference.",4,"The full text is explicitly about SARS-CoV-2/COVID-19, e.g., the title states 'Seroprevalence of SARS-CoV-2-specific antibodies' and the methods assess 'anti-SARS-CoV-2 IgG and IgM antibodies.' This is the central disease focus throughout the paper.",4,"This is a human study of '229 cancer patients' attending oncology consultations at University Hospital of Torrejón. The participants are real patients in a clinical population, not animals or purely laboratory specimens.",4,"The study is set in a real-world geographic context: 'Madrid, Spain,' specifically 'University Hospital of Torrejón (Torrejón de Ardoz, Madrid, Spain)' with sampling between June 1 and June 19, 2020. It also contextualizes local transmission in Torrejón de Ardoz and Madrid.",4,"The paper reports original primary data from a prospective cohort/cross-sectional analysis of 229 cancer outpatients, including antibody test results and regression analyses. Results such as '64 of 229 individuals tested positive for SARS-CoV-2 IgG antibodies' and an overall seroprevalence of '31.4%' are newly presented empirical findings.",4,"The target parameter is explicit and central: the study's main objective was 'to estimate the seroprevalence of SARS-CoV-2 infection' and it reports 'overall seroprevalence (IgG or IgM positive) of 31.4%,' plus IgG prevalence 27.9% and IgM prevalence 9.6%. This is directly a seroprevalence/antibody prevalence study rather than assay validation or vaccine immunogenicity work.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32947121\PMID_32947121.md,,
32727884,,SARS-CoV-2 seroprevalence among parturient women in Philadelphia.,"Flannery DD, Gouma S, Dhudasia MB, Mukhopadhyay S, Pfeifer MR, Woodford EC, Gerber JS, Arevalo CP, Bolton MJ, Weirick ME, Goodwin EC, Anderson EM, Greenplate AR, Kim J, Han N, Pattekar A, Dougherty J, Kuthuru O, Mathew D, Baxter AE, Vella LA, Weaver J, Verma A, Leite R, Morris JS, Rader DJ, Elovitz MA, Wherry EJ, Puopolo KM, Hensley SE.",Sci Immunol. 2020 Jul 29;5(49):eabd5709. doi: 10.1126/sciimmunol.abd5709.,Flannery,Science immunology,2020,2020/07/31,PMC7594018,,10.1126/sciimmunol.abd5709,"Limited data are available for pregnant women affected by SARS-CoV-2. Serological tests are critically important for determining SARS-CoV-2 exposures within both individuals and populations. We validated a SARS-CoV-2 spike receptor binding domain serological test using 834 pre-pandemic samples and 31 samples from COVID-19 recovered donors. We then completed SARS-CoV-2 serological testing of 1,293 parturient women at two centers in Philadelphia from April 4 to June 3, 2020. We found 80/1,293 (6.2%) of parturient women possessed IgG and/or IgM SARS-CoV-2-specific antibodies. We found race/ethnicity differences in seroprevalence rates, with higher rates in Black/non-Hispanic and Hispanic/Latino women. Of the 72 seropositive women who also received nasopharyngeal polymerase chain reaction testing during pregnancy, 46 (64%) were positive. Continued serologic surveillance among pregnant women may inform perinatal clinical practices and can potentially be used to estimate exposure to SARS-CoV-2 within the community.","[MeSH] Adult; [MeSH] Black or African American; [MeSH] Antibodies, Viral; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] COVID-19 Testing; [MeSH] Clinical Laboratory Techniques; [MeSH] Cohort Studies; [MeSH] Coronavirus Infections; [MeSH] Female; [MeSH] Health Status Disparities; [MeSH] Hispanic or Latino; [MeSH] Humans; [MeSH] Immunoglobulin G; [MeSH] Immunoglobulin M; [MeSH] Pandemics; [MeSH] Philadelphia; [MeSH] Pneumonia, Viral; [MeSH] Pregnancy; [MeSH] Pregnancy Complications, Infectious; [MeSH] Protein Domains; [MeSH] SARS-CoV-2; [MeSH] Seroepidemiologic Studies; [MeSH] Spike Glycoprotein, Coronavirus; [MeSH] Young Adult",full_text,strict,strong_candidate,4,"The full text strongly supports relevance to the review question. It is an original human field study of SARS-CoV-2 antibody prevalence in a defined Philadelphia population, with explicit seroprevalence estimates and confidence intervals. Although the sampled population is parturient women rather than the general population, the study directly reports population serology data that could inform inference about cumulative infection exposure.",4,"The full text is explicitly centered on SARS-CoV-2/COVID-19, as stated in the title and throughout the paper: 'SARS-CoV-2 seroprevalence among parturient women in Philadelphia' and 'We then completed SARS-CoV-2 serological testing of 1,293 parturient women.'",4,"This is a human population study of pregnant women presenting for delivery at two Philadelphia hospitals. The methods describe testing '1,293 parturient women' using residual clinical serum samples and linked demographic/clinical data.",4,"The study is set in a real-world geographic context, specifically 'two academic birth hospitals in Philadelphia, Pennsylvania,' and Fig. 1 shows the 'Geographical distribution of women tested' from Philadelphia and surrounding areas.",4,"The article reports original empirical data from serological testing of 1,293 women, along with assay validation using pre-pandemic and recovered-donor samples. Methods, results, tables, and figures provide primary measurements and analyses rather than a review.",4,"The target parameter is explicit and central: 'The goal of this study was to estimate SARS-CoV-2 seroprevalence rates in the community,' and the results report '80 of 1,293 ... pregnant women ... possessed IgG and/or IgM SARS-CoV-2 antibodies' with a 'seropositivity rate 6.2% (95% CI [4.9-8.0%]).' This is a population-level seroprevalence estimate, not merely assay development or individual immunogenicity.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32727884\PMID_32727884.md,,
32878898,,SARS-CoV-2 seroprevalence in oncology healthcare professionals and patients with cancer at a tertiary care centre during the COVID-19 pandemic.,"Fuereder T, Berghoff AS, Heller G, Haslacher H, Perkmann T, Strassl R, Berger JM, Puhr HC, Kreminger J, Moik F, Schubert L, Starzer AM, Steindl A, Winkler S, Preusser M, Tobudic S.",ESMO Open. 2020 Sep;5(5):e000889. doi: 10.1136/esmoopen-2020-000889.,Fuereder,ESMO open,2020,2020/09/04,PMC7470513,,10.1136/esmoopen-2020-000889,"BACKGROUND: During the COVID-19 outbreak, healthcare professionals (HCP) are at the frontline of clinical management and at increased risk for infection. The SARS-CoV-2 seroprevalence of oncological HCP and their patients has significant implications for oncological care. METHODS: HCP and patients with cancer at the Division of Oncology, Medical University of Vienna were included between 21 March and 4 June and tested for total antibodies against SARS-CoV-2 employing the Roche Elecsys Anti-SARS-CoV-2 immunoassay. Reactive samples were confirmed or disproved by the Abbott SARS-CoV-2 IgG test. Additionally, a structured questionnaire regarding basic demographic parameters, travel history and COVID-19-associated symptoms had to be completed by HCP. RESULTS: 146 subjects (62 HCP and 84 patients with cancer) were enrolled. In the oncological HCP cohort, 20 (32.3%) subjects were medical oncologists, 28 (45.2%) nurses at our ward and 14 (22.6%) fulfil other functions such as study coordinators. In the patient cohort, most individuals are on active anticancer treatment (96.4%). 26% of the HCP and 6% of the patients had symptoms potentially associated with COVID-19 since the end of February 2020. However, only in 2 (3.2%) HCP and in 3 (3.6%) patients, anti-SARS-Cov-2 total antibodies were detected. The second assay for anti-SARS-Cov-2 IgG antibodies confirmed the positive result in all HCP and in 2 (2.4%) patients, suggesting an initial assay's unspecific reaction in one case. In individuals with a confirmed test result, an active COVID-19 infection was documented by a positive SARS-CoV-2 RNA PCR test. CONCLUSION: Specific anti-SARS-CoV-2 antibodies were found solely in persons after a documented SARS-CoV-2 viral infection, thus supporting the test methods' high sensitivity and specificity. The low prevalence of anti-SARS-CoV-2 antibodies in our cohorts indicates a lack of immunity against SARS-CoV-2. It highlights the need for continued strict safety measures to prevent uncontrolled viral spread among oncological HCPs and patients with cancer.",COVID-19; SARS-COV-2; healthcare professionals; seroprevalence,full_text,strict,strong_candidate,4,"The full text strongly supports relevance: it is an original human SARS-CoV-2 seroprevalence study conducted in a defined real-world population at a tertiary care centre in Vienna. Crucially, it reports population-level anti-SARS-CoV-2 antibody prevalence estimates in healthcare workers and cancer patients, making it highly pertinent to evidence on infection extent that can inform IFR inference, albeit in a specific clinical population rather than the general population.",4,"The study is explicitly and centrally about SARS-CoV-2/COVID-19, as stated in the title and throughout the text: 'SARS-CoV-2 seroprevalence' and repeated discussion of 'COVID-19 infection' and 'anti-SARS-CoV-2 antibodies'.",4,This is a human study of real patient and healthcare worker cohorts: 62 oncology healthcare professionals and 84 patients with cancer at the Medical University of Vienna were enrolled/tested.,4,"The work is set in a real-world geographic healthcare setting, a tertiary care centre in Vienna, Austria, with participants recruited during routine care between March and June 2020.",4,"The paper reports original empirical data from a mixed retrospective/prospective cohort study, including antibody testing results, PCR results, questionnaires, and calculated seroprevalence with 95% CIs.",4,"The target parameter is directly reported: the study's methods describe a 'prospective seroprevalence branch,' and results provide antibody prevalence estimates such as '3.2% (95% CI 0.4% to 11.2%)' in HCP and '2.4% (95% CI 0.3% to 8.3%)' in patients after confirmatory testing.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32878898\PMID_32878898.md,,
32741406,,Seroprevalence of severe acute respiratory coronavirus virus 2 (SARS-CoV-2) antibodies among healthcare workers with differing levels of coronavirus disease 2019 (COVID-19) patient exposure.,"Hunter BR, Dbeibo L, Weaver CS, Beeler C, Saysana M, Zimmerman MK, Weaver L.",Infect Control Hosp Epidemiol. 2020 Dec;41(12):1441-1442. doi: 10.1017/ice.2020.390. Epub 2020 Aug 3.,Hunter,Infection control and hospital epidemiology,2020,2020/08/04,PMC7445457,,10.1017/ice.2020.390,"Healthcare employees were tested for antibodies against severe acute respiratory coronavirus virus 2 (SARS-CoV-2). Among 734 employees, the prevalence of SARS-CoV-2 antibodies was 1.6%. Employees with heavy coronavirus disease 2019 (COVID-19) exposure had similar antibody prevalence as those with limited or no exposure. Guidelines for PPE use seem effective for preventing COVID-19 infection in healthcare workers.","[MeSH] Adult; [MeSH] Antibodies, Viral; [MeSH] COVID-19; [MeSH] COVID-19 Serological Testing; [MeSH] Female; [MeSH] Health Personnel; [MeSH] Humans; [MeSH] Indiana; [MeSH] Infection Control; [MeSH] Infectious Disease Transmission, Patient-to-Professional; [MeSH] Male; [MeSH] Occupational Exposure; [MeSH] Prevalence; [MeSH] SARS-CoV-2; [MeSH] Seroepidemiologic Studies",full_text,strict,strong_candidate,4,"The full text strongly supports relevance to the review question. It is an original human seroprevalence study of SARS-CoV-2 antibodies in a defined real-world population, reporting population-level antibody prevalence estimates and subgroup comparisons that could inform infection burden estimation.",4,"The full text is explicitly centered on SARS-CoV-2/COVID-19, including the title, abstract, and methods: 'Seroprevalence of... SARS-CoV-2 antibodies' and comparison by 'COVID-19 patient exposure.'",4,"This is a human study of healthcare workers across Indiana University Health sites. The participants are 734 employees, with demographics and occupational categories reported in Table 1.",4,"The study is conducted in a real-world geographic healthcare setting: 18 locations in Indiana, including 14 hospitals, 3 outpatient centers, and an administrative building. Results are interpreted against statewide Indiana prevalence.",4,"The paper reports original empirical data from a cross-sectional serology study, including serum testing of 734 employees, assay details, stratified analyses, and relative risks with 95% CIs.",4,"The target parameter is explicit and central: 'seroprevalence was stratified,' and the results report '12 employees (1.6%) tested positive for SARS-CoV-2 IgG antibodies,' with subgroup antibody prevalence by risk setting and role.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32741406\PMID_32741406.md,,
32828701,,SARS-CoV-2 seroprevalence in a Belgian cohort of patients with cystic fibrosis.,"Berardis S, Verroken A, Vetillart A, Struyf C, Gilbert M, Gruson D, Gohy S.",J Cyst Fibros. 2020 Nov;19(6):872-874. doi: 10.1016/j.jcf.2020.08.005. Epub 2020 Aug 11.,Berardis,Journal of cystic fibrosis : official journal of the European Cystic Fibrosis Society,2020,2020/08/24,PMC7418700,,10.1016/j.jcf.2020.08.005,"BACKGROUND: In Belgium, COVID-19 epidemy began on February 4, 2020 with a peak on April 10, 2020. Patients with cystic fibrosis (CF) followed in the Cliniques universitaires Saint-Luc were rapidly isolated before the government lockdown. METHODS: After the peak of the epidemy, we measured anti-SARS-CoV-2 IgM and IgG antibodies in 149 patients and collected clinical data. RESULTS: Only 3 asymptomatic patients presented IgG against the virus. In one patient hospitalized for COVID-19 (positive molecular testing), we did not detect any anti-SARS-CoV-2 antibodies, as in thirty-five other symptomatic patients considered as possible cases. CONCLUSIONS: Even if respiratory symptoms linked to CF are frequent and compatible with COVID-19, anti-SARS-CoV-2 IgG antibodies were detected only in 3 asymptomatic patients. This reassuring study concerning the risk of COVID-19 in patients with CF illustrates the difficulty to distinguish COVID-19 symptoms from respiratory exacerbations and the need of generalized molecular testing to make a precise diagnosis.",COVID-19; Cystic fibrosis; SARS-CoV-2; Seroprevalence,full_text,strict,strong_candidate,4,"The full text clearly confirms this as an original SARS-CoV-2 antibody/seroprevalence study in a human cohort. It directly measures and reports seropositivity proportions in 149 Belgian cystic fibrosis patients, making it relevant to evidence on infection prevalence that could inform IFR-related inference, though in a specific clinical subpopulation rather than a general population sample.",4,"The full text is explicitly about COVID-19/SARS-CoV-2, with repeated reference to 'SARS-CoV-2 seroprevalence' and measurement of anti-SARS-CoV-2 IgM/IgG antibodies in patients with cystic fibrosis.",4,"This is a human cohort study of 149 cystic fibrosis patients followed at a Belgian CF reference center, with demographic and clinical characteristics reported in Table 1.",4,"The study was conducted in a real-world geographic setting at Cliniques universitaires Saint-Luc in Brussels, Belgium, during the first epidemic wave, with dates of serum collection and local context described.",4,"The paper reports original prospective empirical data: sera were collected from 149 patients between April 16 and May 19, 2020, and anti-SARS-CoV-2 IgM/IgG were measured using a CLIA assay, with results presented for symptomatic and asymptomatic patients.",4,"The target parameter is directly reported in the full text. The study states 'we report SARS-CoV-2 seroprevalence of 149 CF patients' and reports that 4/149 patients (2.7%) had positive serology, including 3/149 (2%) with IgG positivity, discussing this as seroprevalence in the cohort.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32828701\PMID_32828701.md,,
32764107,,Epidemiology of SARS-CoV-2 antibodies among firefighters/paramedics of a US fire department: a cross-sectional study.,"Caban-Martinez AJ, Schaefer-Solle N, Santiago K, Louzado-Feliciano P, Brotons A, Gonzalez M, Issenberg SB, Kobetz E.",Occup Environ Med. 2020 Dec;77(12):857-861. doi: 10.1136/oemed-2020-106676. Epub 2020 Aug 6.,Caban-Martinez,Occupational and environmental medicine,2020,2020/08/09,,,10.1136/oemed-2020-106676,"OBJECTIVES: We estimate the point seroprevalence of SARS-CoV-2 antibodies in the frontline firefighter/paramedic workforce of a South Florida fire department located in the epicentre of a State outbreak. METHODS: A cross-sectional study design was used to estimate the point seroprevalence of SARS-CoV-2 antibodies using a rapid immunoglobulin (Ig)M-IgG combined point-of-care lateral flow immunoassay among frontline firefighters/paramedics collected over a 2-day period, 16-17 April 2020. Fire department personnel were emailed a survey link assessing COVID-19 symptoms and work exposures the day prior to the scheduled drive-through antibody testing at a designated fire station. Off-duty and on-duty firefighter/paramedic personnel drove through the fire station/training facility in their personal vehicles or on-duty engine/rescue trucks for SARS-CoV-2 antibody testing. RESULTS: Among the 203 firefighters/paramedics that make up the fire department workforce, 18 firefighters/paramedics (8.9%) tested positive for SARS-CoV-2 antibodies, of which 8 firefighters/paramedics (3.9%) were IgG positive only, 8 (3.9%) were IgM positive only and 2 (0.1%) were IgG/IgM positive. The positive predictive value (PPV) of the serological test is estimated to be 33.2% and the negative predictive value is 99.3%. The average number of COVID-19 case contacts (ie, within 6 feet of an infected person (laboratory-confirmed or probable COVID-19 patient) for ≥15 min) experienced by firefighters/paramedics was higher for those with positive serology compared with those with negative (13.3 cases vs 7.31 cases; p=0.022). None of the antibody positive firefighters/paramedics reported receipt of the annual influenza vaccine compared with firefighters/paramedics who tested negative for SARS-CoV-2 antibodies (0.0% vs 21.0%; p=0.027). CONCLUSION: Rapid SARS-CoV-2 IgM-IgG antibody testing documented early-stage and late-stage infection in a firefighter workforce providing insight to a broader medical surveillance project on return to work for firefighters/paramedics. Given the relatively low PPV of the serological test used in this study back in April 2020, caution should be used in interpreting test results.",biological monitoring; communicable diseases; epidemiology; health and safety; virology,title_abstract,strict,strong_candidate,4,"This study is highly relevant because it reports original human field data on SARS-CoV-2 antibody seroprevalence in a defined occupational population. The title and abstract explicitly provide the key target parameter needed for seroepidemiologic inference, although the specific population is a workforce rather than a general population sample.",4,"The title and abstract explicitly focus on SARS-CoV-2 antibodies and COVID-19 exposures, making the target disease central to the study.",4,The study concerns a human occupational population: firefighters/paramedics in a US fire department.,4,The abstract specifies a real-world field setting in a South Florida fire department during a state outbreak.,4,This is a cross-sectional study reporting primary antibody testing and survey data collected from fire department personnel.,4,The abstract explicitly states it estimates the point seroprevalence of SARS-CoV-2 antibodies and reports an antibody positivity estimate (8.9%).,pmc_unavailable,,pmc_unavailable,
32588125,,[Seroprevalence and SARS-CoV-2 testing in healthcare occupations].,"Ziemssen F, Bayyoud T, Bartz-Schmidt KU, Peter A, Ueffing M.",Ophthalmologe. 2020 Jul;117(7):631-637. doi: 10.1007/s00347-020-01158-7.,Ziemssen,Der Ophthalmologe : Zeitschrift der Deutschen Ophthalmologischen Gesellschaft,2020,2020/06/27,PMC7315906,,10.1007/s00347-020-01158-7,"The SARS-CoV‑2 causes a disease spectrum that includes asymptomatic and mildly symptomatic infections with subclinical manifestations but which can nevertheless still be potentially contagious. Evidence from SARS-CoV‑2 infected macaque monkeys and from studies with seasonal coronaviruses suggests that the infection is likely to produce an immunity that is protective for a certain period of time. Available test methods enable a high degree of reliability, e.g. if high-quality serological methods are combined. Although individual test results have to be interpreted with caution, serosurveillance in a tertiary eye care center and large eye research institute can reduce anxiety and provide clarity regarding the actual number of (unreported) SARS-CoV‑2 infections.",Covid-19; Eye clinic; Immunity; Predictive value; Reproducibility of Results,full_text,strict,possible_candidate,3,"The full text clearly confirms COVID-19 relevance, a human healthcare-worker population, and a real clinical setting. However, for second-stage refinement the key issue is that the paper does not appear to provide concrete original seroprevalence results for its own cohort; it mainly discusses testing strategy, assay validity, and rationale, with only limited operational study details rather than a reported antibody prevalence estimate.",4,"The full text is explicitly about SARS-CoV-2/COVID-19 throughout, including the title 'Seroprävalenz und SARS-CoV-2-Testung in Gesundheitsberufen' and discussion of SARS-CoV-2 diagnostics, antibodies, and infections.",3,"The study concerns human healthcare workers in a tertiary eye clinic and eye research institute; figure caption states that 301 of 456 employees participated within 12 days. Although some background mentions macaques, the empirical setting is a human occupational cohort.",4,"The work is anchored in a real-world geographic setting at the Universitätsaugenklinik Tübingen/University of Tübingen in Baden-Württemberg, Germany, with local epidemic context and on-site staff testing described.",2,"The paper states that it 'reports on a study conducted in humans' with ethics approval and ClinicalTrials.gov ID NCT04446338, and figure 3 reports operational participation data (301/456 staff tested). However, the article largely reads as a commentary/discussion and does not present actual serology result data from the cohort in tables or results.",2,"Seroprevalence is central to the discussion, and the text says testing was offered to all staff using validated assays to clarify the clinic's 'tatsächliche Durchseuchung'; figure 3 gives uptake of testing. But the full text does not report a measured seroprevalence/seropositivity estimate for the Tübingen cohort, only background references such as Wuhan seropositivity of 3.2-3.8%.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32588125\PMID_32588125.md,,
32746953,,Seroprevalence of SARS-CoV-2 antibodies in healthcare workers at a London NHS Trust.,"Grant JJ, Wilmore SMS, McCann NS, Donnelly O, Lai RWL, Kinsella MJ, Rochford HL, Patel T, Kelsey MC, Andrews JA.",Infect Control Hosp Epidemiol. 2021 Feb;42(2):212-214. doi: 10.1017/ice.2020.402. Epub 2020 Aug 4.,Grant,Infection control and hospital epidemiology,2021,2020/08/05,PMC7438618,,10.1017/ice.2020.402,"Healthcare workers (HCWs) have a theoretically increased risk of contracting severe acute respiratory coronavirus virus 2 (SARS-CoV-2) given their occupational exposure. We tested 2,167 HCWs in a London Acute Integrated Care Organisation for antibodies to SARS-CoV-2 in May and June 2020 to evaluate seroprevalence. We found a seropositivity rate of 31.6% among HCWs.","[MeSH] Adolescent; [MeSH] Adult; [MeSH] Aged; [MeSH] Antibodies, Viral; [MeSH] COVID-19; [MeSH] COVID-19 Serological Testing; [MeSH] Health Personnel; [MeSH] Humans; [MeSH] London; [MeSH] Middle Aged; [MeSH] Occupational Exposure; [MeSH] Risk Factors; [MeSH] SARS-CoV-2; [MeSH] Seroepidemiologic Studies; [MeSH] State Medicine; [MeSH] Young Adult",full_text,strict,strong_candidate,4,"The full text strongly supports relevance to the review question. It is a primary human SARS-CoV-2 seroprevalence study conducted in a defined real-world population, with explicit antibody prevalence estimates and subgroup seropositivity analyses. While limited to healthcare workers rather than the general population, it directly reports the serological parameter of interest.",4,"The full text is explicitly about SARS-CoV-2/COVID-19: the title states 'Seroprevalence of SARS-CoV-2 antibodies,' and the methods/results repeatedly describe testing healthcare workers for 'SARS-CoV-2 antibodies' and COVID-19 exposure/illness.",4,"This is a human population study of healthcare workers at an NHS Trust. The study included 2,167 HCWs tested, with 2,004 analyzed, and reports age ranges and occupational groups.",4,"The study is set in a real-world geographic and institutional context: 'Whittington Health NHS Trust, London, UK,' including a 360-bed acute-care site, emergency department, and 30 community sites, with testing conducted May 15 to June 5, 2020.",4,"It reports original empirical data from primary serological testing of staff, including assay methods, sample size, subgroup analyses, and tabulated seropositivity results by exposure type and ward type.",4,"The target parameter is central and explicitly reported. The abstract says testing was done 'to evaluate seroprevalence,' and the results report '634 HCWs (31.64%)' antibody positive, with multiple seroprevalence/seropositivity estimates in Tables 1 and 2.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32746953\PMID_32746953.md,,
