sr_id,sr_name,sr_pmid,gt_title,gt_pmid,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at,exclude_flag
9,10654_2020_Article_698,33289900,Antibody responses to SARS-CoV-2 in patients with COVID-19.,32350462,10.1038/s41591-020-0897-1,2020,"Long QX, Liu BZ, Deng HJ, Wu GC, Deng K, Chen YK, Liao P, Qiu JF, Lin Y, Cai XF, Wang DQ, Hu Y, Ren JH, Tang N, Xu YY, Yu LH, Mo Z, Gong F, Zhang XL, Tian WG, Hu L, Zhang XX, Xiang JL, Du HX, Liu HW, Lang CH, Luo XH, Wu SB, Cui XP, Zhou Z, Zhu MM, Wang J, Xue CJ, Li XF, Wang L, Li ZJ, Wang K, Niu CC, Yang QJ, Tang XJ, Zhang Y, Liu XM, Li JJ, Zhang DC, Zhang F, Liu P, Yuan J, Li Q, Hu JL, Chen J, Huang AL",Nature medicine,,verified,,,2026-01-27T08:38:37.506384,
9,10654_2020_Article_698,33289900,Antibody Responses to SARS-CoV-2 at 8 Weeks Postinfection in Asymptomatic Patients.,32579877,10.3201/eid2610.202211,2020,"Choe PG, Kang CK, Suh HJ, Jung J, Kang E, Lee SY, Song KH, Kim HB, Kim NJ, Park WB, Kim ES, Oh MD",Emerging infectious diseases,,verified,,,2026-01-27T08:40:12.787853,
9,10654_2020_Article_698,33289900,"Detection, prevalence, and duration of humoral responses to SARS-CoV-2 under conditions of limited population exposure.",32817969,10.1101/2020.08.14.20174490,2020,"Ripperger TJ, Uhrlaub JL, Watanabe M, Wong R, Castaneda Y, Pizzato HA, Thompson MR, Bradshaw C, Weinkauf CC, Bime C, Erickson HL, Knox K, Bixby B, Parthasarathy S, Chaudhary S, Natt B, Cristan E, Aini TE, Rischard F, Campion J, Chopra M, Insel M, Sam A, Knepler JL, Capaldi AP, Spier CM, Dake MD, Edwards T, Kaplan ME, Scott SJ, Hypes C, Mosier J, Harris DT, LaFleur BJ, Sprissler R, Nikolich-Žugich J, Bhattacharya D",medRxiv : the preprint server for health sciences,,verified,,,2026-01-27T08:40:46.008349,
9,10654_2020_Article_698,33289900,Community Transmission of Severe Acute Respiratory Syndrome Coronavirus 2 Disproportionately Affects the Latinx Population During Shelter-in-Place in San Francisco,32821935,10.1093/cid/ciaa1234,2021,"Gabriel Chamie, Carina Marquez, Emily Crawford, James Peng, Maya Petersen, Daniel Schwab, Joshua Schwab, Jackie Martinez, Diane Jones, Douglas Black, Monica Gandhi, Andrew D Kerkhoff, Vivek Jain, Francesco Sergi, Jon Jacobo, Susana Rojas, Valerie Tulier-Laiwa, Tracy Gallardo-Brown, Ayesha Appa, Charles Chiu, Mary Rodgers, John Hackett,Amy Kistler, Samantha Hao, Jack Kamm, David Dynerman, Joshua Batson, Bryan Greenhouse, Joe DeRisi, Diane V Havlir",,,verified,,,2026-01-27T08:48:15.892613,
9,10654_2020_Article_698,33289900,The real seroprevalence of SARS-CoV-2 in France and its consequences for virus dynamics.,34131234,10.1038/s41598-021-92131-0,2021,"Dimeglio C, Loubes JM, Miedougé M, Herin F, Soulat JM, Izopet J",Scientific reports,,verified,,,2026-01-27T08:49:40.111577,
9,10654_2020_Article_698,33289900,Suppression of a SARS-CoV-2 outbreak in the Italian municipality of Vo'.,32604404,10.1038/s41586-020-2488-1,2020,"Lavezzo E, Franchin E, Ciavarella C, Cuomo-Dannenburg G, Barzon L, Del Vecchio C, Rossi L, Manganelli R, Loregian A, Navarin N, Abate D, Sciro M, Merigliano S, De Canale E, Vanuzzo MC, Besutti V, Saluzzo F, Onelia F, Pacenti M, Parisi SG, Carretta G, Donato D, Flor L, Cocchio S, Masi G, Sperduti A, Cattarino L, Salvador R, Nicoletti M, Caldart F, Castelli G, Nieddu E, Labella B, Fava L, Drigo M, Gaythorpe KAM, Imperial College COVID-19 Response Team, Brazzale AR, Toppo S, Trevisan M, Baldo V, Donnelly CA, Ferguson NM, Dorigatti I, Crisanti A, Imperial College COVID-19 Response Team",Nature,,verified,,,2026-01-27T08:50:35.098391,
9,10654_2020_Article_698,33289900,Seroprevalence of SARS-CoV-2-Specific IgG Antibodies Among Adults Living in Connecticut: Post-Infection Prevalence (PIP) Study.,33130124,10.1016/j.amjmed.2020.09.024,2021,"Mahajan S, Srinivasan R, Redlich CA, Huston SK, Anastasio KM, Cashman L, Massey DS, Dugan A, Witters D, Marlar J, Li SX, Lin Z, Hodge D, Chattopadhyay M, Adams MD, Lee C, Rao LV, Stewart C, Kuppusamy K, Ko AI, Krumholz HM",The American journal of medicine,,verified,,,2026-01-27T08:51:09.002945,
9,10654_2020_Article_698,33289900,"Seroprevalence of SARS-CoV-2 in Utsunomiya City, Greater Tokyo, after the first pandemic in 2020.",33977017,10.1002/jgf2.408,2021,"Nawa N, Kuramochi J, Sonoda S, Yamaoka Y, Nukui Y, Miyazaki Y, Fujiwara T",Journal of general and family medicine,,verified,,,2026-01-27T08:51:56.929588,
9,10654_2020_Article_698,33289900,The Rate of Underascertainment of Novel Coronavirus (2019-nCoV) Infection: Estimation Using Japanese Passengers Data on Evacuation Flights,32033064,10.3390/jcm9020419,2020,"Hiroshi Nishiura, Tetsuro Kobayashi, Yichi Yang, Katsuma Hayashi, Takeshi Miyama, Ryo Kinoshita, Natalie M Linton, Sung-Mok Jung, Baoyin Yuan, Ayako Suzuki, Andrei R Akhmetzhanov",,,verified,,,2026-01-27T08:52:52.012687,
9,10654_2020_Article_698,33289900,"Seroprevalence of SARS-CoV-2-Specific Antibodies, Faroe Islands.",32726200,10.3201/eid2611.202736,2020,"Petersen MS, Strøm M, Christiansen DH, Fjallsbak JP, Eliasen EH, Johansen M, Veyhe AS, Kristiansen MF, Gaini S, Møller LF, Steig B, Weihe P",Emerging infectious diseases,,verified,,,2026-01-27T08:54:35.827539,
