disease,topic,project,parameter_type,n_total,n_studies,pooled_mean,ci_lower,ci_upper,i2,method
covid19,serial_interval,p10,serial_interval,41,0,nan,nan,nan,nan,DL_random
covid19,serial_interval,p11,serial_interval,70,0,nan,nan,nan,nan,DL_random
covid19,serial_interval,p12,serial_interval,36,0,nan,nan,nan,nan,DL_random
covid19,serial_interval,p13,serial_interval,91,0,nan,nan,nan,nan,DL_random
covid19,serial_interval,p14,serial_interval,14,0,nan,nan,nan,nan,DL_random
covid19,reproduction_number,p7,R0,169,0,nan,nan,nan,nan,DL_no_log
covid19,reproduction_number,p7,R0,169,0,nan,nan,nan,nan,REML_log
covid19,reproduction_number,p8,R0,51,0,nan,nan,nan,nan,DL_no_log
covid19,reproduction_number,p8,R0,51,0,nan,nan,nan,nan,REML_log
covid19,reproduction_number,p15,R0,14,0,nan,nan,nan,nan,DL_no_log
covid19,reproduction_number,p15,R0,14,0,nan,nan,nan,nan,REML_log
covid19,reproduction_number,p16,R0,34,0,nan,nan,nan,nan,DL_no_log
covid19,reproduction_number,p16,R0,34,0,nan,nan,nan,nan,REML_log
covid19,reproduction_number,p17,R0,12,0,nan,nan,nan,nan,DL_no_log
covid19,reproduction_number,p17,R0,12,0,nan,nan,nan,nan,REML_log
covid19,fatality,p4,CFR,11,0,nan,nan,nan,nan,DL_binomial
covid19,fatality,p4,HFR,47,0,nan,nan,nan,nan,DL_binomial
covid19,fatality,p4,ICU_fatality_rate,24,0,nan,nan,nan,nan,DL_binomial
covid19,fatality,p4,IMV_fatality_rate,26,0,nan,nan,nan,nan,DL_binomial
covid19,fatality,p4,other,4,0,nan,nan,nan,nan,DL_binomial
covid19,fatality,p5,CFR,9,0,nan,nan,nan,nan,DL_binomial
covid19,fatality,p5,IFR,50,0,nan,nan,nan,nan,DL_binomial
covid19,fatality,p6,CFR,64,0,nan,nan,nan,nan,DL_binomial
covid19,fatality,p6,HFR,36,0,nan,nan,nan,nan,DL_binomial
covid19,fatality,p6,ICU_fatality_rate,11,0,nan,nan,nan,nan,DL_binomial
covid19,fatality,p6,IMV_fatality_rate,5,0,nan,nan,nan,nan,DL_binomial
covid19,fatality,p6,other,6,0,nan,nan,nan,nan,DL_binomial
