PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,screening_stage,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,transmission_score,transmission_justification,fulltext_status,fulltext_path
31995857,✓,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia.","Li Q, Guan X, Wu P, Wang X, Zhou L, Tong Y, Ren R, Leung KSM, Lau EHY, Wong JY, Xing X, Xiang N, Wu Y, Li C, Chen Q, Li D, Liu T, Zhao J, Liu M, Tu W, Chen C, Jin L, Yang R, Wang Q, Zhou S, Wang R, Liu H, Luo Y, Liu Y, Shao G, Li H, Tao Z, Yang Y, Deng Z, Liu B, Ma Z, Zhang Y, Shi G, Lam TTY, Wu JT, Gao GF, Cowling BJ, Yang B, Leung GM, Feng Z.",N Engl J Med. 2020 Mar 26;382(13):1199-1207. doi: 10.1056/NEJMoa2001316. Epub 2020 Jan 29.,Li,The New England journal of medicine,2020,2020/01/30,PMC7121484,,10.1056/NEJMoa2001316,"BACKGROUND: The initial cases of novel coronavirus (2019-nCoV)-infected pneumonia (NCIP) occurred in Wuhan, Hubei Province, China, in December 2019 and January 2020. We analyzed data on the first 425 confirmed cases in Wuhan to determine the epidemiologic characteristics of NCIP. METHODS: We collected information on demographic characteristics, exposure history, and illness timelines of laboratory-confirmed cases of NCIP that had been reported by January 22, 2020. We described characteristics of the cases and estimated the key epidemiologic time-delay distributions. In the early period of exponential growth, we estimated the epidemic doubling time and the basic reproductive number. RESULTS: Among the first 425 patients with confirmed NCIP, the median age was 59 years and 56% were male. The majority of cases (55%) with onset before January 1, 2020, were linked to the Huanan Seafood Wholesale Market, as compared with 8.6% of the subsequent cases. The mean incubation period was 5.2 days (95% confidence interval [CI], 4.1 to 7.0), with the 95th percentile of the distribution at 12.5 days. In its early stages, the epidemic doubled in size every 7.4 days. With a mean serial interval of 7.5 days (95% CI, 5.3 to 19), the basic reproductive number was estimated to be 2.2 (95% CI, 1.4 to 3.9). CONCLUSIONS: On the basis of this information, there is evidence that human-to-human transmission has occurred among close contacts since the middle of December 2019. Considerable efforts to reduce transmission will be required to control outbreaks if similar dynamics apply elsewhere. Measures to prevent or reduce transmission should be implemented in populations at risk. (Funded by the Ministry of Science and Technology of China and others.).","[MeSH] Adolescent; [MeSH] Adult; [MeSH] Aged; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] China; [MeSH] Communicable Disease Control; [MeSH] Coronavirus Infections; [MeSH] Disease Transmission, Infectious; [MeSH] Epidemics; [MeSH] Female; [MeSH] Humans; [MeSH] Incidence; [MeSH] Infectious Disease Incubation Period; [MeSH] Male; [MeSH] Middle Aged; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Polymerase Chain Reaction; [MeSH] SARS-CoV-2; [MeSH] Young Adult",title_abstract,strong_candidate,4,The study is explicitly about early COVID-19 transmission dynamics in Wuhan and centrally estimates the basic reproductive number (R0=2.2 with 95% CI). It uses original human case data and is directly aligned with the review question on COVID-19 R0.,4,Focuses on novel coronavirus (2019-nCoV)/SARS-CoV-2 infected pneumonia in Wuhan with confirmed cases (COVID-19).,4,Includes human laboratory-confirmed cases (first 425 patients) with demographic characteristics reported.,4,"Conducted in Wuhan, Hubei Province, China, with cases reported up to January 22, 2020.",4,"Reports analysis of empirical data from the first 425 laboratory-confirmed cases in Wuhan, including estimated incubation period, serial interval, doubling time, and R0 with CIs.",4,Explicitly estimates the basic reproductive number (R0) in the early exponential growth period and reports a point estimate with 95% CI.,,
32299206,,Epidemiology of COVID-19.,"Bulut C, Kato Y.",Turk J Med Sci. 2020 Apr 21;50(SI-1):563-570. doi: 10.3906/sag-2004-172.,Bulut,Turkish journal of medical sciences,2020,2020/04/18,PMC7195982,,10.3906/sag-2004-172,"It seems that coronaviruses take an important place in the 21th century history. Five of seven human coronavirus was isolated in this century. Unfortunately, last three of them entered our life with a fear of outbreak, pandemic or death. Last human coronavirus which emerged world from Wuhan China, SARS CoV-2 and its clinical expression, Coronavirus disease (COVID-19) recently taken a significant place in our daily practice. Initial reports showed that, its origin was bats. It transmitted human to human by droplet and contact routes, but some doubt about airborne, fecal or intrauterine transmission also should be removed. Its R0 value is 2.3 but it could be as high as 5.7. Its case fatality rate was 6.3, but it was different in different ages and counties, and it could be over 15%. According to early models total 10–12 weeks is required to control an outbreak in the community. While different countries show different daily case numbers, total number of case, case mortality rates or R0, it seems they show a similar epidemic curve. Every day we learn new data about the current outbreak. Since the outbreak is not over yet, every detail should be evaluated carefully and the updates should be followed closely to monitor the epidemiological properties of COVID-19.",COVID-19; SARS CoV-2,title_abstract,unlikely_candidate,3,"Although COVID-19 and R0 are explicitly mentioned and central, the abstract does not indicate original empirical estimation of R0 (appears to summarize prior reports/models). Therefore it is unlikely to meet the review’s requirement for original empirical evidence.",4,Title/abstract/keywords explicitly focus on SARS-CoV-2/COVID-19 epidemiology.,3,"Discusses human-to-human transmission, case fatality, and community outbreak control, indicating a human population focus.",2,"Mentions emergence from Wuhan and comparisons across countries, but no clear study setting or specific geographic data source described.",1,"Reads like a narrative overview (mentions “initial reports,” “early models”) without describing original data collection/analysis; likely a review/editorial-style piece.",4,"Abstract explicitly reports R0 values (“R0 value is 2.3…as high as 5.7”), directly tied to COVID-19 transmission.",,
32873575,,"Clinical manifestations, risk factors, and maternal and perinatal outcomes of coronavirus disease 2019 in pregnancy: living systematic review and meta-analysis.","Allotey J, Stallings E, Bonet M, Yap M, Chatterjee S, Kew T, Debenham L, Llavall AC, Dixit A, Zhou D, Balaji R, Lee SI, Qiu X, Yuan M, Coomar D, Sheikh J, Lawson H, Ansari K, van Wely M, van Leeuwen E, Kostova E, Kunst H, Khalil A, Tiberi S, Brizuela V, Broutet N, Kara E, Kim CR, Thorson A, Oladapo OT, Mofenson L, Zamora J, Thangaratinam S; for PregCOV-19 Living Systematic Review Consortium.",BMJ. 2020 Sep 1;370:m3320. doi: 10.1136/bmj.m3320.,Allotey,BMJ (Clinical research ed.),2020,2020/09/03,PMC7459193,,10.1136/bmj.m3320,"OBJECTIVE: To determine the clinical manifestations, risk factors, and maternal and perinatal outcomes in pregnant and recently pregnant women with suspected or confirmed coronavirus disease 2019 (covid-19). DESIGN: Living systematic review and meta-analysis. DATA SOURCES: Medline, Embase, Cochrane database, WHO COVID-19 database, China National Knowledge Infrastructure (CNKI), and Wanfang databases from 1 December 2019 to 6 October 2020, along with preprint servers, social media, and reference lists. STUDY SELECTION: Cohort studies reporting the rates, clinical manifestations (symptoms, laboratory and radiological findings), risk factors, and maternal and perinatal outcomes in pregnant and recently pregnant women with suspected or confirmed covid-19. DATA EXTRACTION: At least two researchers independently extracted the data and assessed study quality. Random effects meta-analysis was performed, with estimates pooled as odds ratios and proportions with 95% confidence intervals. All analyses will be updated regularly. RESULTS: 192 studies were included. Overall, 10% (95% confidence interval 7% to 12%; 73 studies, 67 271 women) of pregnant and recently pregnant women attending or admitted to hospital for any reason were diagnosed as having suspected or confirmed covid-19. The most common clinical manifestations of covid-19 in pregnancy were fever (40%) and cough (41%). Compared with non-pregnant women of reproductive age, pregnant and recently pregnant women with covid-19 were less likely to have symptoms (odds ratio 0.28, 95% confidence interval 0.13 to 0.62; I2=42.9%) or report symptoms of fever (0.49, 0.38 to 0.63; I2=40.8%), dyspnoea (0.76, 0.67 to 0.85; I2=4.4%) and myalgia (0.53, 0.36 to 0.78; I2=59.4%). The odds of admission to an intensive care unit (odds ratio 2.13, 1.53 to 2.95; I2=71.2%), invasive ventilation (2.59, 2.28 to 2.94; I2=0%) and need for extra corporeal membrane oxygenation (2.02, 1.22 to 3.34; I2=0%) were higher in pregnant and recently pregnant than non-pregnant reproductive aged women. Overall, 339 pregnant women (0.02%, 59 studies, 41 664 women) with confirmed covid-19 died from any cause. Increased maternal age (odds ratio 1.83, 1.27 to 2.63; I2=43.4%), high body mass index (2.37, 1.83 to 3.07; I2=0%), any pre-existing maternal comorbidity (1.81, 1.49 to 2.20; I2=0%), chronic hypertension (2.0, 1.14 to 3.48; I2=0%), pre-existing diabetes (2.12, 1.62 to 2.78; I2=0%), and pre-eclampsia (4.21, 1.27 to 14.0; I2=0%) were associated with severe covid-19 in pregnancy. In pregnant women with covid-19, increased maternal age, high body mass index, non-white ethnicity, any pre-existing maternal comorbidity including chronic hypertension and diabetes, and pre-eclampsia were associated with serious complications such as admission to an intensive care unit, invasive ventilation and maternal death. Compared to pregnant women without covid-19, those with the disease had increased odds of maternal death (odds ratio 2.85, 1.08 to 7.52; I2=0%), of needing admission to the intensive care unit (18.58, 7.53 to 45.82; I2=0%), and of preterm birth (1.47, 1.14 to 1.91; I2=18.6%). The odds of admission to the neonatal intensive care unit (4.89, 1.87 to 12.81, I2=96.2%) were higher in babies born to mothers with covid-19 versus those without covid-19. CONCLUSION: Pregnant and recently pregnant women with covid-19 attending or admitted to the hospitals for any reason are less likely to manifest symptoms such as fever, dyspnoea, and myalgia, and are more likely to be admitted to the intensive care unit or needing invasive ventilation than non-pregnant women of reproductive age. Pre-existing comorbidities, non-white ethnicity, chronic hypertension, pre-existing diabetes, high maternal age, and high body mass index are risk factors for severe covid-19 in pregnancy. Pregnant women with covid-19 versus without covid-19 are more likely to deliver preterm and could have an increased risk of maternal death and of being admitted to the intensive care unit. Their babies are more likely to be admitted to the neonatal unit. SYSTEMATIC REVIEW REGISTRATION: PROSPERO CRD42020178076. READERS' NOTE: This article is a living systematic review that will be updated to reflect emerging evidence. Updates may occur for up to two years from the date of original publication. This version is update 1 of the original article published on 1 September 2020 (BMJ 2020;370:m3320), and previous updates can be found as data supplements (https://www.bmj.com/content/370/bmj.m3320/related#datasupp). When citing this paper please consider adding the update number and date of access for clarity.","[MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Female; [MeSH] Global Health; [MeSH] Humans; [MeSH] Infant, Newborn; [MeSH] Intensive Care, Neonatal; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Pregnancy; [MeSH] Pregnancy Complications, Infectious; [MeSH] Premature Birth; [MeSH] Prognosis; [MeSH] Risk Factors; [MeSH] SARS-CoV-2",title_abstract,unlikely_candidate,2,"Although the paper is clearly about COVID-19 in humans (pregnancy) and reports many clinical and perinatal outcomes, it is a systematic review/meta-analysis (no original empirical estimation) and does not report R0 or any reproduction-number metric. Therefore it is not suitable for answering the R0-focused research question.",4,Explicitly investigates COVID-19/SARS-CoV-2 in pregnancy (suspected or confirmed COVID-19).,4,Focuses on pregnant and recently pregnant women and neonatal outcomes; clearly human populations.,2,"Search and included studies appear global/multi-country, but specific study locations are not detailed in the abstract.",0,Living systematic review and meta-analysis; synthesizes existing studies rather than presenting a new primary empirical dataset/estimate.,0,No mention of reproductive/reproduction number (R0/Rt) or any transmission quantification; focuses on clinical manifestations and outcomes.,,
32349111,,COVID-19 Pandemic: Ways Forward.,"Wong RLM, Lai KHW, Huang SS, Jonas JB, Lam DSC.",Asia Pac J Ophthalmol (Phila). 2020 Mar-Apr;9(2):59-60. doi: 10.1097/APO.0000000000000283.,Wong,"Asia-Pacific journal of ophthalmology (Philadelphia, Pa.)",2020,2020/04/30,PMC7227197,,10.1097/APO.0000000000000283,,"[MeSH] Basic Reproduction Number; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Humans; [MeSH] Immunity, Herd; [MeSH] Infection Control; [MeSH] Ophthalmology; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2",full_text,unlikely_candidate,3,"Although it explicitly mentions COVID-19 and reports an R0 range (3.3–6.6), this value is attributed to “different mathematical models” and supported by citations rather than original analysis in this paper. As a brief ‘ways forward’ commentary without original empirical estimation of R0, it is not strong primary evidence for the review question.",4,The paper explicitly focuses on COVID-19 caused by SARS‑CoV‑2 and discusses the global pandemic context.,3,"Addresses infection, mortality, and control strategies in human populations (general public; also mentions eye care professionals).",2,"Discusses multiple countries (e.g., China, US, South Korea) but not as a clearly defined study setting with methods; largely general/global commentary.",1,"Appears to be an opinion/commentary piece summarizing case counts, CFR, and citing other modelling studies for R0; no original estimation or new empirical analysis is presented.",4,"Explicitly discusses the basic reproduction number (R0) for COVID-19 and provides an estimated range (3.3 to 6.6), comparing it with SARS and MERS.",screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32349111\PMID_32349111.md
32366457,,COVID-19 in South Korea.,Choi JY.,Postgrad Med J. 2020 Jul;96(1137):399-402. doi: 10.1136/postgradmedj-2020-137738. Epub 2020 May 4.,Choi,Postgraduate medical journal,2020,2020/05/06,PMC10016831,,10.1136/postgradmedj-2020-137738,"A novel coronavirus (severe acute respiratory syndrome-CoV-2) that initially originated from Wuhan, China, in December 2019 has already caused a pandemic. While this novel coronavirus disease (COVID-19) frequently induces mild diseases, it has also generated severe diseases among certain populations, including older-aged individuals with underlying diseases, such as cardiovascular disease and diabetes. As of 31 March 2020, a total of 9786 confirmed cases with COVID-19 have been reported in South Korea. South Korea has the highest diagnostic rate for COVID-19, which has been the major contributor in overcoming this outbreak. We are trying to reduce the reproduction number of COVID-19 to less than one and eventually succeed in controlling this outbreak using methods such as contact tracing, quarantine, testing, isolation, social distancing and school closure. This report aimed to describe the current situation of COVID-19 in South Korea and our response to this outbreak.",infectious diseases,title_abstract,unlikely_candidate,3,文章明确关于COVID-19且地点为韩国，但仅笼统提及“降低reproduction number至<1”的目标，未报告任何R0/Rt数值或估计。整体更像疫情概况与公共卫生应对的描述性报告，缺乏与研究问题直接相关的可提取R0证据。,4,摘要多次明确提及SARS-CoV-2与COVID-19，并围绕其在韩国的流行情况。,4,讨论确诊病例与人群风险（老年人、合并基础病）及公共卫生措施，显然为人群研究语境。,4,研究明确聚焦韩国（South Korea）疫情现状与应对措施。,1,摘要为“描述现状与应对”的报告/叙述性总结，未见明确的原始数据分析或R0估计方法与结果；仅给出截至2020-03-31的累计确诊数。,2,仅提到“reduce the reproduction number ... to less than one”的控制目标，但未给出R0/Rt的具体估计值或计算/建模细节。,,
32109011,,Covid-19 - Navigating the Uncharted.,"Fauci AS, Lane HC, Redfield RR.",N Engl J Med. 2020 Mar 26;382(13):1268-1269. doi: 10.1056/NEJMe2002387. Epub 2020 Feb 28.,Fauci,The New England journal of medicine,2020,2020/02/29,PMC7121221,,10.1056/NEJMe2002387,,"[MeSH] Age Factors; [MeSH] Asymptomatic Diseases; [MeSH] Basic Reproduction Number; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] COVID-19 Vaccines; [MeSH] China; [MeSH] Coronavirus; [MeSH] Coronavirus Infections; [MeSH] Disease Progression; [MeSH] Female; [MeSH] Global Health; [MeSH] Hospitalization; [MeSH] Humans; [MeSH] Male; [MeSH] Middle Aged; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Risk Factors; [MeSH] SARS-CoV-2; [MeSH] Severity of Illness Index; [MeSH] Sex Factors; [MeSH] Viral Vaccines; [MeSH] COVID-19 Drug Treatment",full_text,unlikely_candidate,3,"This is an NEJM editorial discussing early COVID-19 epidemiology and explicitly mentions an estimated basic reproduction number (R0) of 2.2, but it does not present original empirical analyses; it summarizes findings from other primary studies (e.g., Li et al.). Therefore, despite strong disease and R0 relevance, it is unlikely to meet the original-evidence criterion for inclusion as a primary R0 estimate source.",4,Directly focused on COVID-19/SARS-CoV-2 outbreak and related epidemiology (Wuhan/China and global spread).,4,"Discusses COVID-19 cases/patients and community spread in humans (e.g., age/sex distribution, hospitalization, community mitigation).",4,"References specific settings including Wuhan (Hubei, China) and the United States, and discusses global spread; geographic context is clear.",0,Labeled as an editorial and appears to synthesize/interpret results from other studies rather than reporting new data or a new R0 estimation analysis.,4,Explicitly reports an estimated basic reproduction number (R0) of 2.2 and interprets it in terms of transmission and outbreak growth.,screened,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32109011\PMID_32109011.md
32433946,,Herd Immunity: Understanding COVID-19.,"Randolph HE, Barreiro LB.",Immunity. 2020 May 19;52(5):737-741. doi: 10.1016/j.immuni.2020.04.012.,Randolph,Immunity,2020,2020/05/21,PMC7236739,,10.1016/j.immuni.2020.04.012,"The emergence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and its associated disease, COVID-19, has demonstrated the devastating impact of a novel, infectious pathogen on a susceptible population. Here, we explain the basic concepts of herd immunity and discuss its implications in the context of COVID-19.","[MeSH] Basic Reproduction Number; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Global Health; [MeSH] Humans; [MeSH] Immunity, Herd; [MeSH] Models, Immunological; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2; [MeSH] Vaccination; [MeSH] Vaccination Coverage",title_abstract,unlikely_candidate,2,"Although the paper is explicitly about COVID-19 and includes the keyword “Basic Reproduction Number,” the abstract frames the work as a conceptual explanation of herd immunity without presenting original empirical estimation of R0. As such, it lacks original evidence and is unlikely to provide primary R0 estimates needed for the review.",4,"Explicit focus on SARS-CoV-2/COVID-19 in both title and abstract, with multiple COVID-19-specific MeSH terms.",3,MeSH terms include Humans and the topic (herd immunity in COVID-19) is implicitly about human populations.,2,No specific geographic setting is described in the title/abstract; discussion appears general/global.,0,The abstract indicates an explanatory/conceptual discussion of herd immunity concepts rather than reporting new empirical estimates or original data analyses.,2,"R0/basic reproduction number is present in keywords, but the abstract does not explicitly state that R0 is estimated or reported; it appears discussed conceptually in the context of herd immunity.",,
32299204,,Understanding dynamics of pandemics.,"Akin L, Gözel MG.",Turk J Med Sci. 2020 Apr 21;50(SI-1):515-519. doi: 10.3906/sag-2004-133.,Akin,Turkish journal of medical sciences,2020,2020/04/18,PMC7195986,,10.3906/sag-2004-133,"Along the centuries, novel strain of virus such as influenza produces pandemics which increase illness, death and disruption in the countries. Spanish flu in 1918, Asian flu in 1957, Hong Kong flu in 1968 and swine flu in 2009 were known pandemic which had various characteristics in terms of morbidity and mortality. A current pandemic is caused by novel corona virus originated from China. COVID-19 pandemic is very similar to Spanish, Hong Kong, Asian and swine influenza pandemics in terms of spreading to world by the mobilized people. Burden of pandemic is considered in terms of disease transmissibility and the growth rate of epidemic and duration of pandemic can be calculated by transmissibility characteristic. The case definition, finding out cases and first case cluster, proper treatment, sufficient stockpiles of medicine and population cooperation with the containment strategy should be considered for reduction of burden of pandemic.",COVID-19; Pandemic; new coronavirus infection,title_abstract,unlikely_candidate,2,"Although COVID-19 is explicitly discussed, the abstract reads like a general overview of pandemic dynamics and control rather than an empirical study. It does not explicitly estimate or report R0/reproductive number, and there is no clear original data analysis.",3,Explicitly discusses the COVID-19 pandemic caused by a novel coronavirus originating from China.,2,"Discusses pandemics and COVID-19 spread in human populations generally, but no specific human study population is described.",2,"Refers to COVID-19 originating from China and spreading worldwide, but no specific study setting/location or data source is provided.",0,Narrative/background discussion without indication of original empirical data or new quantitative estimation.,1,"Mentions “disease transmissibility” and epidemic growth rate conceptually, but does not explicitly report/estimate R0 (or reproductive/reproduction number) in the abstract.",,
32548652,,[Epidemiology of SARS-CoV-2 infection and COVID-19].,"Salzberger B, Buder F, Lampl B, Ehrenstein B, Hitzenbichler F, Hanses F.",Internist (Berl). 2020 Aug;61(8):782-788. doi: 10.1007/s00108-020-00834-9.,Salzberger,Der Internist,2020,2020/06/18,PMC7296906,,10.1007/s00108-020-00834-9,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a new β‑Coronavirus that was first detected in 2019 in Wuhan, China. In the ensuing months it has been transmitted worldwide. Here the authors present the current knowledge on the epidemiology of this virus. SARS-CoV‑2 replicates mainly in the upper and lower respiratory tract and is primarily transmitted by droplets from asymptomatic and symptomatic infected subjects. The estimate for the basic reproduction number (R) is currently between 2 and 3, while the incubation period is 6 (median, range 2-14) days. Although most infections are uncomplicated, 5-10% of cases develop pneumonia, which can lead to hospitalization, respiratory failure and multiorgan failure. Risk factors for a complicated disease course include age, hypertension, chronic cardiovascular and pulmonary disease and immunodeficiency. The overall case fatality rate is 1.4%, with the rate rising in the sixth decade of life. Nosocomial and infections in medical personnel have been reported. Drastic reductions in social contact have been implemented in many countries with outbreaks of SARS-CoV‑2, leading to rapid reductions in R. Which of the measures have been effective is still unknown.",Basic reproduction number; Incubation period; Mortality rate; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); “Coronavirus disease 2019” (COVID-19)/epidemiology,title_abstract,unlikely_candidate,3,"COVID-19 is the explicit topic and the abstract reports a basic reproduction number estimate (2–3), directly aligning with the outcome of interest. However, it appears to be a review/overview of existing knowledge rather than reporting original empirical estimation of R0/R from primary data, making it unlikely to meet the original-evidence criterion.",4,"Focuses explicitly on SARS-CoV-2/COVID-19 epidemiology (Wuhan 2019 origin, worldwide spread) throughout the abstract and keywords.",3,"Discusses transmission among infected subjects, risk factors, case fatality, and nosocomial infections in medical personnel—clearly human-focused.",2,"Mentions Wuhan, China and worldwide transmission, but this appears as general background rather than a specific study setting/population with defined data sources.",1,"Described as presenting ""current knowledge"" on epidemiology; this reads like a narrative review/overview rather than an original empirical analysis.",4,"Abstract explicitly provides an estimate for the basic reproduction number (""between 2 and 3"") and discusses reductions in R after social-contact interventions.",,
34766042,,Study and overview of the novel corona virus disease (COVID-19).,"Agarwal KM, Mohapatra S, Sharma P, Sharma S, Bhatia D, Mishra A.",Sens Int. 2020;1:100037. doi: 10.1016/j.sintl.2020.100037. Epub 2020 Sep 6.,Agarwal,Sensors international,2020,2021/11/12,PMC7474965,,10.1016/j.sintl.2020.100037,"In December 2019, a new disease with pneumonia-like symptoms was spreading throughout Wuhan in China which was entitled as novel coronavirus disease or COVID -19 caused by the virus SARS CoV-2. Within a span of a few days, this disease became a global threat and was termed as a pandemic by the World Health Organization (WHO) on March 11, 2020, since then the disease has affected more than 1.5 crore people worldwide and around 6.9 lakh people in India as of July 5, 2020. The origin of the COVID-19 disease has been traced back to the bats, but the intermediary contact is unknown. The disease spreads by respiratory droplets and contaminated surfaces. In most cases, the virus shows mild symptoms like fever, fatigue, dyspnea, cough, etc. which may become severe if appropriate precautions are not adhered to. For people with comorbidities (usually elderly) the disease may turn deadly and cause pneumonia, Acute Respiratory Disease Syndrome (ARDS), and multi-organ failure, thereby affecting a person's ability to breathe leading to being put on the ventilator support. The reproduction number (Rℴ) of COVID-19 is much higher than its predecessors and genetically similar diseases like SARS-CoV and MERS-CoV. This paper discusses the epidemiological characteristics of the SARS-CoV-2 virus, its phylogenetic relationship with the previous pandemic causing viruses such as SARS-CoV-1 and MERS-CoV and analyzes the various responses to this global pandemic worldwide, focusing on the actions taken by India and their outcomes.",COVID-19; Coronavirus; Epidemiology; Wuhan,title_abstract,unlikely_candidate,2,"The paper is explicitly about COVID-19/SARS-CoV-2 and provides a general epidemiologic overview. Although it mentions the reproduction number (R0), the abstract does not report an R0 estimate or describe an original empirical analysis to quantify R0; it appears more like a narrative overview of characteristics and responses (including India).",4,Explicitly focuses on COVID-19/SARS-CoV-2 (novel coronavirus disease) and discusses epidemiological characteristics.,3,"Discusses COVID-19 in humans, including symptoms and higher risk in elderly/comorbid populations.",3,References Wuhan/China origin and focuses on India’s actions and outcomes; geographic context is present though not clearly tied to a specific study setting.,1,"Abstract reads as an overview/discussion of epidemiology and responses without clear original data analysis or empirical estimation (no described dataset, study design, or new quantitative results).",2,"Mentions that the reproduction number (R0) is higher than SARS/MERS, but no numerical estimate, methods, or explicit R0 estimation results are provided in the abstract.",,
