PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,screening_stage,screening_mode,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,parameter_score,parameter_justification,fulltext_status,fulltext_path,fulltext_eligible
31995857,✓,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia.","Li Q, Guan X, Wu P, Wang X, Zhou L, Tong Y, Ren R, Leung KSM, Lau EHY, Wong JY, Xing X, Xiang N, Wu Y, Li C, Chen Q, Li D, Liu T, Zhao J, Liu M, Tu W, Chen C, Jin L, Yang R, Wang Q, Zhou S, Wang R, Liu H, Luo Y, Liu Y, Shao G, Li H, Tao Z, Yang Y, Deng Z, Liu B, Ma Z, Zhang Y, Shi G, Lam TTY, Wu JT, Gao GF, Cowling BJ, Yang B, Leung GM, Feng Z.",N Engl J Med. 2020 Mar 26;382(13):1199-1207. doi: 10.1056/NEJMoa2001316. Epub 2020 Jan 29.,Li,The New England journal of medicine,2020,2020/01/30,PMC7121484,,10.1056/NEJMoa2001316,"BACKGROUND: The initial cases of novel coronavirus (2019-nCoV)-infected pneumonia (NCIP) occurred in Wuhan, Hubei Province, China, in December 2019 and January 2020. We analyzed data on the first 425 confirmed cases in Wuhan to determine the epidemiologic characteristics of NCIP. METHODS: We collected information on demographic characteristics, exposure history, and illness timelines of laboratory-confirmed cases of NCIP that had been reported by January 22, 2020. We described characteristics of the cases and estimated the key epidemiologic time-delay distributions. In the early period of exponential growth, we estimated the epidemic doubling time and the basic reproductive number. RESULTS: Among the first 425 patients with confirmed NCIP, the median age was 59 years and 56% were male. The majority of cases (55%) with onset before January 1, 2020, were linked to the Huanan Seafood Wholesale Market, as compared with 8.6% of the subsequent cases. The mean incubation period was 5.2 days (95% confidence interval [CI], 4.1 to 7.0), with the 95th percentile of the distribution at 12.5 days. In its early stages, the epidemic doubled in size every 7.4 days. With a mean serial interval of 7.5 days (95% CI, 5.3 to 19), the basic reproductive number was estimated to be 2.2 (95% CI, 1.4 to 3.9). CONCLUSIONS: On the basis of this information, there is evidence that human-to-human transmission has occurred among close contacts since the middle of December 2019. Considerable efforts to reduce transmission will be required to control outbreaks if similar dynamics apply elsewhere. Measures to prevent or reduce transmission should be implemented in populations at risk. (Funded by the Ministry of Science and Technology of China and others.).","[MeSH] Adolescent; [MeSH] Adult; [MeSH] Aged; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] China; [MeSH] Communicable Disease Control; [MeSH] Coronavirus Infections; [MeSH] Disease Transmission, Infectious; [MeSH] Epidemics; [MeSH] Female; [MeSH] Humans; [MeSH] Incidence; [MeSH] Infectious Disease Incubation Period; [MeSH] Male; [MeSH] Middle Aged; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Polymerase Chain Reaction; [MeSH] SARS-CoV-2; [MeSH] Young Adult",title_abstract,strict,strong_candidate,4,This paper is highly aligned with the review question. It presents original empirical analysis of human COVID-19 cases in a defined real-world setting and explicitly estimates the basic reproductive number.,4,"The title and abstract explicitly study novel coronavirus/2019-nCoV-infected pneumonia, and keywords include COVID-19 and SARS-CoV-2.",4,"The study analyzes 425 confirmed human cases in Wuhan, with demographic characteristics such as age and sex reported.",4,"The study is set in a real-world geographic context, explicitly examining early cases in Wuhan, Hubei Province, China.",4,"The abstract reports original analysis of the first 425 laboratory-confirmed cases, including exposure histories and illness timelines.",4,"The abstract explicitly states that the basic reproductive number was estimated and reports R0 = 2.2 (95% CI, 1.4 to 3.9).",,,
32299206,,Epidemiology of COVID-19.,"Bulut C, Kato Y.",Turk J Med Sci. 2020 Apr 21;50(SI-1):563-570. doi: 10.3906/sag-2004-172.,Bulut,Turkish journal of medical sciences,2020,2020/04/18,PMC7195982,,10.3906/sag-2004-172,"It seems that coronaviruses take an important place in the 21th century history. Five of seven human coronavirus was isolated in this century. Unfortunately, last three of them entered our life with a fear of outbreak, pandemic or death. Last human coronavirus which emerged world from Wuhan China, SARS CoV-2 and its clinical expression, Coronavirus disease (COVID-19) recently taken a significant place in our daily practice. Initial reports showed that, its origin was bats. It transmitted human to human by droplet and contact routes, but some doubt about airborne, fecal or intrauterine transmission also should be removed. Its R0 value is 2.3 but it could be as high as 5.7. Its case fatality rate was 6.3, but it was different in different ages and counties, and it could be over 15%. According to early models total 10–12 weeks is required to control an outbreak in the community. While different countries show different daily case numbers, total number of case, case mortality rates or R0, it seems they show a similar epidemic curve. Every day we learn new data about the current outbreak. Since the outbreak is not over yet, every detail should be evaluated carefully and the updates should be followed closely to monitor the epidemiological properties of COVID-19.",COVID-19; SARS CoV-2,title_abstract,strict,unlikely_candidate,3,"This paper is strongly relevant for disease, human population, real-world context, and especially the target parameter because it explicitly reports COVID-19 R0 values. However, the abstract appears to be a narrative epidemiologic overview rather than a clear report of original empirical analysis, which lowers its overall relevance for primary evidence screening.",4,"The title and abstract explicitly focus on COVID-19/SARS-CoV-2 throughout, including disease origin, transmission, fatality, and epidemiology.",4,"The abstract discusses human-to-human transmission, community outbreaks, and differences across ages and countries, indicating a human population focus.",3,"The abstract references Wuhan, China and compares different countries, providing a real-world geographic context, though location is not the main focus.",1,"The abstract reads as a broad overview of known epidemiologic features and cites initial reports and early models, without clear indication of new original data or primary analysis.",4,"The abstract explicitly reports the R0 value for COVID-19 ('Its R0 value is 2.3 but it could be as high as 5.7'), making the target parameter clearly present.",,,
32873575,,"Clinical manifestations, risk factors, and maternal and perinatal outcomes of coronavirus disease 2019 in pregnancy: living systematic review and meta-analysis.","Allotey J, Stallings E, Bonet M, Yap M, Chatterjee S, Kew T, Debenham L, Llavall AC, Dixit A, Zhou D, Balaji R, Lee SI, Qiu X, Yuan M, Coomar D, Sheikh J, Lawson H, Ansari K, van Wely M, van Leeuwen E, Kostova E, Kunst H, Khalil A, Tiberi S, Brizuela V, Broutet N, Kara E, Kim CR, Thorson A, Oladapo OT, Mofenson L, Zamora J, Thangaratinam S; for PregCOV-19 Living Systematic Review Consortium.",BMJ. 2020 Sep 1;370:m3320. doi: 10.1136/bmj.m3320.,Allotey,BMJ (Clinical research ed.),2020,2020/09/03,PMC7459193,,10.1136/bmj.m3320,"OBJECTIVE: To determine the clinical manifestations, risk factors, and maternal and perinatal outcomes in pregnant and recently pregnant women with suspected or confirmed coronavirus disease 2019 (covid-19). DESIGN: Living systematic review and meta-analysis. DATA SOURCES: Medline, Embase, Cochrane database, WHO COVID-19 database, China National Knowledge Infrastructure (CNKI), and Wanfang databases from 1 December 2019 to 6 October 2020, along with preprint servers, social media, and reference lists. STUDY SELECTION: Cohort studies reporting the rates, clinical manifestations (symptoms, laboratory and radiological findings), risk factors, and maternal and perinatal outcomes in pregnant and recently pregnant women with suspected or confirmed covid-19. DATA EXTRACTION: At least two researchers independently extracted the data and assessed study quality. Random effects meta-analysis was performed, with estimates pooled as odds ratios and proportions with 95% confidence intervals. All analyses will be updated regularly. RESULTS: 192 studies were included. Overall, 10% (95% confidence interval 7% to 12%; 73 studies, 67 271 women) of pregnant and recently pregnant women attending or admitted to hospital for any reason were diagnosed as having suspected or confirmed covid-19. The most common clinical manifestations of covid-19 in pregnancy were fever (40%) and cough (41%). Compared with non-pregnant women of reproductive age, pregnant and recently pregnant women with covid-19 were less likely to have symptoms (odds ratio 0.28, 95% confidence interval 0.13 to 0.62; I2=42.9%) or report symptoms of fever (0.49, 0.38 to 0.63; I2=40.8%), dyspnoea (0.76, 0.67 to 0.85; I2=4.4%) and myalgia (0.53, 0.36 to 0.78; I2=59.4%). The odds of admission to an intensive care unit (odds ratio 2.13, 1.53 to 2.95; I2=71.2%), invasive ventilation (2.59, 2.28 to 2.94; I2=0%) and need for extra corporeal membrane oxygenation (2.02, 1.22 to 3.34; I2=0%) were higher in pregnant and recently pregnant than non-pregnant reproductive aged women. Overall, 339 pregnant women (0.02%, 59 studies, 41 664 women) with confirmed covid-19 died from any cause. Increased maternal age (odds ratio 1.83, 1.27 to 2.63; I2=43.4%), high body mass index (2.37, 1.83 to 3.07; I2=0%), any pre-existing maternal comorbidity (1.81, 1.49 to 2.20; I2=0%), chronic hypertension (2.0, 1.14 to 3.48; I2=0%), pre-existing diabetes (2.12, 1.62 to 2.78; I2=0%), and pre-eclampsia (4.21, 1.27 to 14.0; I2=0%) were associated with severe covid-19 in pregnancy. In pregnant women with covid-19, increased maternal age, high body mass index, non-white ethnicity, any pre-existing maternal comorbidity including chronic hypertension and diabetes, and pre-eclampsia were associated with serious complications such as admission to an intensive care unit, invasive ventilation and maternal death. Compared to pregnant women without covid-19, those with the disease had increased odds of maternal death (odds ratio 2.85, 1.08 to 7.52; I2=0%), of needing admission to the intensive care unit (18.58, 7.53 to 45.82; I2=0%), and of preterm birth (1.47, 1.14 to 1.91; I2=18.6%). The odds of admission to the neonatal intensive care unit (4.89, 1.87 to 12.81, I2=96.2%) were higher in babies born to mothers with covid-19 versus those without covid-19. CONCLUSION: Pregnant and recently pregnant women with covid-19 attending or admitted to the hospitals for any reason are less likely to manifest symptoms such as fever, dyspnoea, and myalgia, and are more likely to be admitted to the intensive care unit or needing invasive ventilation than non-pregnant women of reproductive age. Pre-existing comorbidities, non-white ethnicity, chronic hypertension, pre-existing diabetes, high maternal age, and high body mass index are risk factors for severe covid-19 in pregnancy. Pregnant women with covid-19 versus without covid-19 are more likely to deliver preterm and could have an increased risk of maternal death and of being admitted to the intensive care unit. Their babies are more likely to be admitted to the neonatal unit. SYSTEMATIC REVIEW REGISTRATION: PROSPERO CRD42020178076. READERS' NOTE: This article is a living systematic review that will be updated to reflect emerging evidence. Updates may occur for up to two years from the date of original publication. This version is update 1 of the original article published on 1 September 2020 (BMJ 2020;370:m3320), and previous updates can be found as data supplements (https://www.bmj.com/content/370/bmj.m3320/related#datasupp). When citing this paper please consider adding the update number and date of access for clarity.","[MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Female; [MeSH] Global Health; [MeSH] Humans; [MeSH] Infant, Newborn; [MeSH] Intensive Care, Neonatal; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Pregnancy; [MeSH] Pregnancy Complications, Infectious; [MeSH] Premature Birth; [MeSH] Prognosis; [MeSH] Risk Factors; [MeSH] SARS-CoV-2",title_abstract,strict,unlikely_candidate,2,"The paper is highly relevant to COVID-19 and clearly concerns human populations in real-world clinical settings. However, it is a systematic review rather than primary empirical research, and it does not report the target parameter of interest, namely the reproduction/reproductive number (R0).",4,The title and abstract explicitly focus on coronavirus disease 2019 (COVID-19) in pregnancy throughout.,4,"The study concerns pregnant and recently pregnant women and their babies, clearly a human population.",2,"The abstract refers to studies of women attending or admitted to hospitals, implying real-world settings, but no specific geographic field context is stated.",1,"This is explicitly a living systematic review and meta-analysis, so it synthesizes prior studies rather than reporting primary original data.",0,"The title, abstract, and keywords do not mention reproductive number, reproduction number, R0, or R naught.",,,
32349111,,COVID-19 Pandemic: Ways Forward.,"Wong RLM, Lai KHW, Huang SS, Jonas JB, Lam DSC.",Asia Pac J Ophthalmol (Phila). 2020 Mar-Apr;9(2):59-60. doi: 10.1097/APO.0000000000000283.,Wong,"Asia-Pacific journal of ophthalmology (Philadelphia, Pa.)",2020,2020/04/30,PMC7227197,,10.1097/APO.0000000000000283,,"[MeSH] Basic Reproduction Number; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Humans; [MeSH] Immunity, Herd; [MeSH] Infection Control; [MeSH] Ophthalmology; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2",title_only,lenient,possible_candidate,2,"This paper is clearly about COVID-19 and may touch on the reproduction number because Basic Reproduction Number appears in the keywords. However, based on title and keywords alone, it looks more like a broad forward-looking discussion than an original empirical study, and explicit R0 estimation is not clear.",4,"The title explicitly states COVID-19 pandemic, and the keywords include COVID-19 and SARS-CoV-2. Even with title-only metadata, disease relevance is unmistakable.",3,"The keywords include Humans, suggesting a human-population context rather than purely animal or in vitro work. However, with no abstract, the exact study population remains unclear.",2,"The title suggests a pandemic/public health context that could relate to real-world settings, but no specific geographic or field setting is given. With sparse metadata, real-world location relevance is only plausible, not confirmed.",1,"The title 'Ways Forward' sounds more like a perspective, commentary, or narrative discussion than a primary empirical study. Without an abstract, there is little evidence that original data are reported.",2,"The MeSH keywords include Basic Reproduction Number, which makes the target parameter plausibly relevant. However, the title does not mention R0 or reproduction number explicitly, so in title-only screening certainty should remain moderate.",,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32349111\PMID_32349111.md,yes
32366457,,COVID-19 in South Korea.,Choi JY.,Postgrad Med J. 2020 Jul;96(1137):399-402. doi: 10.1136/postgradmedj-2020-137738. Epub 2020 May 4.,Choi,Postgraduate medical journal,2020,2020/05/06,PMC10016831,,10.1136/postgradmedj-2020-137738,"A novel coronavirus (severe acute respiratory syndrome-CoV-2) that initially originated from Wuhan, China, in December 2019 has already caused a pandemic. While this novel coronavirus disease (COVID-19) frequently induces mild diseases, it has also generated severe diseases among certain populations, including older-aged individuals with underlying diseases, such as cardiovascular disease and diabetes. As of 31 March 2020, a total of 9786 confirmed cases with COVID-19 have been reported in South Korea. South Korea has the highest diagnostic rate for COVID-19, which has been the major contributor in overcoming this outbreak. We are trying to reduce the reproduction number of COVID-19 to less than one and eventually succeed in controlling this outbreak using methods such as contact tracing, quarantine, testing, isolation, social distancing and school closure. This report aimed to describe the current situation of COVID-19 in South Korea and our response to this outbreak.",infectious diseases,title_abstract,strict,unlikely_candidate,3,"This paper is clearly about COVID-19 in a human population and a real-world setting, making it broadly relevant by disease, population, and location. However, the abstract appears primarily descriptive, and although it mentions the reproduction number, it does not explicitly present an R0/reproductive number estimate in the title or abstract.",4,The title and abstract explicitly focus on COVID-19 and SARS-CoV-2 throughout. Disease relevance is central to the paper.,4,"The abstract discusses confirmed cases, older individuals with comorbidities, and outbreak control in South Korea, indicating a human population focus.",4,The study is explicitly set in South Korea and describes the national outbreak situation and response in a real-world geographic context.,2,"It is described as a report on the current situation and response, with case counts presented, but the abstract does not clearly establish original empirical analysis versus descriptive overview.",2,"The abstract mentions reducing the reproduction number to less than one, but it does not explicitly report an estimated reproductive number or R0 value.",,,
32109011,,Covid-19 - Navigating the Uncharted.,"Fauci AS, Lane HC, Redfield RR.",N Engl J Med. 2020 Mar 26;382(13):1268-1269. doi: 10.1056/NEJMe2002387. Epub 2020 Feb 28.,Fauci,The New England journal of medicine,2020,2020/02/29,PMC7121221,,10.1056/NEJMe2002387,,"[MeSH] Age Factors; [MeSH] Asymptomatic Diseases; [MeSH] Basic Reproduction Number; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] COVID-19 Vaccines; [MeSH] China; [MeSH] Coronavirus; [MeSH] Coronavirus Infections; [MeSH] Disease Progression; [MeSH] Female; [MeSH] Global Health; [MeSH] Hospitalization; [MeSH] Humans; [MeSH] Male; [MeSH] Middle Aged; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Risk Factors; [MeSH] SARS-CoV-2; [MeSH] Severity of Illness Index; [MeSH] Sex Factors; [MeSH] Viral Vaccines; [MeSH] COVID-19 Drug Treatment",title_only,lenient,possible_candidate,2,"This record is clearly about COVID-19 and has some signal for the target parameter because Basic Reproduction Number appears in the keywords. However, title-only evidence is sparse, the title is broad, and there is limited indication that the paper is an original empirical study specifically estimating R0, so overall relevance remains uncertain to moderate.",4,"The title explicitly names COVID-19, and the keywords include COVID-19, SARS-CoV-2, and coronavirus-related MeSH terms. Even with title-only metadata, disease relevance is unmistakable.",3,"Keywords include Humans plus demographic terms such as Female, Male, and Middle Aged, which suggests a human-focused context. However, with no abstract available, the exact study population cannot be fully confirmed.",2,"The keywords include China and Global Health, which weakly suggest a real-world geographic context. Still, based on title and keywords only, the specific setting and whether analyses are population-based remain uncertain.",1,"The title 'Navigating the Uncharted' sounds broad and possibly narrative or commentary-like rather than clearly reporting primary empirical findings. With no abstract and only sparse metadata, there is little direct evidence that original data are presented.",2,"The keywords include Basic Reproduction Number, which makes relevance to R0 plausible. However, the title does not mention reproduction number explicitly, so in title-only screening this should remain uncertain rather than strongly confirmed.",,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32109011\PMID_32109011.md,yes
32433946,,Herd Immunity: Understanding COVID-19.,"Randolph HE, Barreiro LB.",Immunity. 2020 May 19;52(5):737-741. doi: 10.1016/j.immuni.2020.04.012.,Randolph,Immunity,2020,2020/05/21,PMC7236739,,10.1016/j.immuni.2020.04.012,"The emergence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and its associated disease, COVID-19, has demonstrated the devastating impact of a novel, infectious pathogen on a susceptible population. Here, we explain the basic concepts of herd immunity and discuss its implications in the context of COVID-19.","[MeSH] Basic Reproduction Number; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Global Health; [MeSH] Humans; [MeSH] Immunity, Herd; [MeSH] Models, Immunological; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2; [MeSH] Vaccination; [MeSH] Vaccination Coverage",title_abstract,strict,unlikely_candidate,2,"This paper is clearly about COVID-19 in human populations, but the abstract appears to be explanatory rather than primary empirical research. Although reproduction-related concepts may be relevant from the keywords, the title and abstract do not explicitly report an R0 estimate or reproductive number analysis.",4,"The title and abstract explicitly focus on COVID-19 and SARS-CoV-2, making the target disease central to the paper.",3,"The abstract discusses effects on a susceptible population in the context of COVID-19, and the keywords include Humans, indicating human-population relevance.",1,No specific real-world geographic setting or field context is stated in the title or abstract.,1,"The abstract says 'we explain' and 'discuss,' which suggests a conceptual or narrative piece rather than original empirical data.",2,"The keyword list includes Basic Reproduction Number, but the abstract does not explicitly report reproductive number, R0, or a numerical estimate.",,,
32299204,,Understanding dynamics of pandemics.,"Akin L, Gözel MG.",Turk J Med Sci. 2020 Apr 21;50(SI-1):515-519. doi: 10.3906/sag-2004-133.,Akin,Turkish journal of medical sciences,2020,2020/04/18,PMC7195986,,10.3906/sag-2004-133,"Along the centuries, novel strain of virus such as influenza produces pandemics which increase illness, death and disruption in the countries. Spanish flu in 1918, Asian flu in 1957, Hong Kong flu in 1968 and swine flu in 2009 were known pandemic which had various characteristics in terms of morbidity and mortality. A current pandemic is caused by novel corona virus originated from China. COVID-19 pandemic is very similar to Spanish, Hong Kong, Asian and swine influenza pandemics in terms of spreading to world by the mobilized people. Burden of pandemic is considered in terms of disease transmissibility and the growth rate of epidemic and duration of pandemic can be calculated by transmissibility characteristic. The case definition, finding out cases and first case cluster, proper treatment, sufficient stockpiles of medicine and population cooperation with the containment strategy should be considered for reduction of burden of pandemic.",COVID-19; Pandemic; new coronavirus infection,title_abstract,strict,unlikely_candidate,2,"The paper is related to COVID-19 in a broad pandemic context and concerns human populations, but it does not clearly present original empirical evidence. Most importantly, the abstract does not explicitly report the reproduction/reproductive number or R0, so relevance to the review question is limited.",3,"The abstract explicitly mentions COVID-19 and a current pandemic caused by novel coronavirus from China. However, the paper discusses pandemics broadly rather than COVID-19 alone.",3,"The abstract discusses pandemics spreading across countries and burden reduction through case finding, treatment, and population cooperation, indicating human populations. Humans are clearly the context, though not a defined study population.",2,There is limited geographic context beyond noting origin from China and spread worldwide. No specific real-world field setting or study location is described.,1,"The abstract reads as a broad descriptive discussion comparing historical pandemics and outlining considerations for control. It does not clearly report original data, methods, or primary empirical analysis.",1,"The abstract mentions transmissibility and epidemic growth rate, but does not explicitly state reproductive number, reproduction number, or R0. The target parameter is only indirectly related.",,,
32548652,,[Epidemiology of SARS-CoV-2 infection and COVID-19].,"Salzberger B, Buder F, Lampl B, Ehrenstein B, Hitzenbichler F, Hanses F.",Internist (Berl). 2020 Aug;61(8):782-788. doi: 10.1007/s00108-020-00834-9.,Salzberger,Der Internist,2020,2020/06/18,PMC7296906,,10.1007/s00108-020-00834-9,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a new β‑Coronavirus that was first detected in 2019 in Wuhan, China. In the ensuing months it has been transmitted worldwide. Here the authors present the current knowledge on the epidemiology of this virus. SARS-CoV‑2 replicates mainly in the upper and lower respiratory tract and is primarily transmitted by droplets from asymptomatic and symptomatic infected subjects. The estimate for the basic reproduction number (R) is currently between 2 and 3, while the incubation period is 6 (median, range 2-14) days. Although most infections are uncomplicated, 5-10% of cases develop pneumonia, which can lead to hospitalization, respiratory failure and multiorgan failure. Risk factors for a complicated disease course include age, hypertension, chronic cardiovascular and pulmonary disease and immunodeficiency. The overall case fatality rate is 1.4%, with the rate rising in the sixth decade of life. Nosocomial and infections in medical personnel have been reported. Drastic reductions in social contact have been implemented in many countries with outbreaks of SARS-CoV‑2, leading to rapid reductions in R. Which of the measures have been effective is still unknown.",Basic reproduction number; Incubation period; Mortality rate; Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2); “Coronavirus disease 2019” (COVID-19)/epidemiology,title_abstract,strict,unlikely_candidate,3,"This paper is highly relevant to COVID-19 and explicitly mentions the reproduction number/basic reproduction number. However, the abstract appears to summarize existing knowledge rather than present original empirical data, which lowers its overall relevance for primary evidence screening.",4,The title and abstract explicitly focus on SARS-CoV-2 infection and COVID-19 throughout.,4,"The abstract discusses infected subjects, cases, hospitalization, medical personnel, and risk factors in human populations.",3,"The abstract references Wuhan, China and worldwide transmission, indicating a real-world geographic context, though no specific field study setting is detailed.",1,"The abstract says the authors present current knowledge on the epidemiology of the virus, which suggests a review/summary rather than original primary empirical analysis.",4,The abstract explicitly reports the basic reproduction number as between 2 and 3 and mentions reductions in R.,,,
34766042,,Study and overview of the novel corona virus disease (COVID-19).,"Agarwal KM, Mohapatra S, Sharma P, Sharma S, Bhatia D, Mishra A.",Sens Int. 2020;1:100037. doi: 10.1016/j.sintl.2020.100037. Epub 2020 Sep 6.,Agarwal,Sensors international,2020,2021/11/12,PMC7474965,,10.1016/j.sintl.2020.100037,"In December 2019, a new disease with pneumonia-like symptoms was spreading throughout Wuhan in China which was entitled as novel coronavirus disease or COVID -19 caused by the virus SARS CoV-2. Within a span of a few days, this disease became a global threat and was termed as a pandemic by the World Health Organization (WHO) on March 11, 2020, since then the disease has affected more than 1.5 crore people worldwide and around 6.9 lakh people in India as of July 5, 2020. The origin of the COVID-19 disease has been traced back to the bats, but the intermediary contact is unknown. The disease spreads by respiratory droplets and contaminated surfaces. In most cases, the virus shows mild symptoms like fever, fatigue, dyspnea, cough, etc. which may become severe if appropriate precautions are not adhered to. For people with comorbidities (usually elderly) the disease may turn deadly and cause pneumonia, Acute Respiratory Disease Syndrome (ARDS), and multi-organ failure, thereby affecting a person's ability to breathe leading to being put on the ventilator support. The reproduction number (Rℴ) of COVID-19 is much higher than its predecessors and genetically similar diseases like SARS-CoV and MERS-CoV. This paper discusses the epidemiological characteristics of the SARS-CoV-2 virus, its phylogenetic relationship with the previous pandemic causing viruses such as SARS-CoV-1 and MERS-CoV and analyzes the various responses to this global pandemic worldwide, focusing on the actions taken by India and their outcomes.",COVID-19; Coronavirus; Epidemiology; Wuhan,title_abstract,strict,unlikely_candidate,2,"The study is clearly about COVID-19 in human and real-world geographic contexts, and it explicitly mentions the reproduction number. However, the abstract reads mainly as a narrative overview and does not clearly present original empirical evidence or a specific R0 estimate, so direct relevance to estimating COVID-19 R0 is limited.",4,The title and abstract explicitly focus on COVID-19/SARS-CoV-2 throughout. This is the central disease under study.,3,"The abstract discusses spread in Wuhan, worldwide cases, and impacts on people with comorbidities, indicating human populations. However, it is presented as a broad overview rather than a defined human study population.",3,"The abstract explicitly mentions Wuhan, China, worldwide spread, and a focus on India and policy responses. This provides a real-world geographic context.",1,"The paper is described as an overview that discusses epidemiology, phylogenetic relationships, and responses to the pandemic. The abstract does not clearly state original data collection or primary empirical analysis.",2,"The abstract explicitly mentions that the reproduction number (R0) of COVID-19 is higher than related diseases. However, it does not report a specific R0 estimate or indicate that estimating R0 is a main study objective.",,,
