PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,screening_stage,screening_mode,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,parameter_score,parameter_justification,fulltext_status,fulltext_path,fulltext_eligible
32299206,,Epidemiology of COVID-19.,"Bulut C, Kato Y.",Turk J Med Sci. 2020 Apr 21;50(SI-1):563-570. doi: 10.3906/sag-2004-172.,Bulut,Turkish journal of medical sciences,2020,2020/04/18,PMC7195982,,10.3906/sag-2004-172,"It seems that coronaviruses take an important place in the 21th century history. Five of seven human coronavirus was isolated in this century. Unfortunately, last three of them entered our life with a fear of outbreak, pandemic or death. Last human coronavirus which emerged world from Wuhan China, SARS CoV-2 and its clinical expression, Coronavirus disease (COVID-19) recently taken a significant place in our daily practice. Initial reports showed that, its origin was bats. It transmitted human to human by droplet and contact routes, but some doubt about airborne, fecal or intrauterine transmission also should be removed. Its R0 value is 2.3 but it could be as high as 5.7. Its case fatality rate was 6.3, but it was different in different ages and counties, and it could be over 15%. According to early models total 10–12 weeks is required to control an outbreak in the community. While different countries show different daily case numbers, total number of case, case mortality rates or R0, it seems they show a similar epidemic curve. Every day we learn new data about the current outbreak. Since the outbreak is not over yet, every detail should be evaluated carefully and the updates should be followed closely to monitor the epidemiological properties of COVID-19.",COVID-19; SARS CoV-2,title_abstract,strict,unlikely_candidate,3,"This paper is strongly relevant to COVID-19, human populations, and the target parameter because the abstract explicitly discusses SARS-CoV-2 transmission and gives an R0 range. However, based on title and abstract alone, it appears more like a narrative epidemiologic overview than a clearly original empirical analysis.",4,The title and abstract explicitly focus on COVID-19 and SARS-CoV-2 throughout. COVID-19 is the central disease discussed.,4,"The abstract discusses human-to-human transmission, case fatality rates by age and country, and community outbreaks. This clearly concerns human populations.",3,"The abstract refers to Wuhan, China and compares patterns across different countries and communities. This indicates a real-world geographic context, though no single field setting is deeply described.",1,"The abstract reads as a broad epidemiologic overview and repeatedly references 'initial reports,' 'early models,' and 'new data' rather than clearly presenting a primary dataset or original study methods. Title and abstract do not explicitly state original empirical analysis.",4,"The abstract explicitly reports the reproduction number, stating 'Its R0 value is 2.3 but it could be as high as 5.7.' R0 is directly named and quantitatively discussed.",,,
32349111,,COVID-19 Pandemic: Ways Forward.,"Wong RLM, Lai KHW, Huang SS, Jonas JB, Lam DSC.",Asia Pac J Ophthalmol (Phila). 2020 Mar-Apr;9(2):59-60. doi: 10.1097/APO.0000000000000283.,Wong,"Asia-Pacific journal of ophthalmology (Philadelphia, Pa.)",2020,2020/04/30,PMC7227197,,10.1097/APO.0000000000000283,,"[MeSH] Basic Reproduction Number; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Humans; [MeSH] Immunity, Herd; [MeSH] Infection Control; [MeSH] Ophthalmology; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2",title_only,lenient,possible_candidate,2,"Based on title and keywords only, this paper is clearly about COVID-19 and plausibly touches on the basic reproduction number because it is listed as a keyword. However, the title suggests a broad forward-looking discussion rather than an original empirical estimate of R0, so overall relevance is moderate and uncertain in title-only screening.",4,"The title explicitly states COVID-19 Pandemic, and the keywords include COVID-19 and SARS-CoV-2. Even with title-only evidence, disease relevance is unmistakable.",3,"The keywords include Humans, suggesting a human-focused context rather than purely animal or in vitro work. However, with no abstract available, the specific study population remains uncertain.",2,"The title suggests a pandemic-wide real-world context, but no specific geographic or field setting is given. With sparse metadata only, real-world location relevance is plausible but not confirmed.",1,"The title 'Ways Forward' sounds more like a perspective, commentary, or review than a primary empirical study. Without an abstract, there is little indication of original data collection or analysis.",2,"The title does not mention R0 or reproduction number, but the keywords include Basic Reproduction Number. Given the limited metadata, relevance to the target parameter is plausible but not explicit.",,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32349111\PMID_32349111.md,yes
32362564,,COVID-19 and ENT Surgery.,"Couloigner V, Schmerber S, Nicollas R, Coste A, Barry B, Makeieff M, Boudard P, Bequignon E, Morel N, Lescanne E; French Society of Otorhinolaryngology, Head, Neck Surgery (SFORL); French College of Otorhinolaryngology, Head, Neck Surgery; French Syndicate of ENT Specialists (SNORL).",Eur Ann Otorhinolaryngol Head Neck Dis. 2020 May;137(3):161-166. doi: 10.1016/j.anorl.2020.04.012. Epub 2020 Apr 23.,Couloigner,"European annals of otorhinolaryngology, head and neck diseases",2020,2020/05/05,PMC7177055,,10.1016/j.anorl.2020.04.012,"In Otorhinolaryngology - Head and Neck Surgery, clinical examination and invasive procedures on the respiratory tract and on airway-connected cavities, such as paranasal sinuses and the middle ear, expose people to direct transmission of SARS-CoV-2 by inhalation or ocular projection of contaminated droplets, and to indirect transmission by contact with contaminated hands, objects or surfaces. Estimating an R0 of COVID-19 at around 3 justified postponing non-urgent face-to-face consultations and expanding the use of teleconsultation in order to limit the risks of SARS-CoV-2 infection of patients or health workers and comply with the lockdown. The health authority recommends cancellation of all medical or surgical activities, which are not urgent as long as this does not involve a loss of chance for the patient. The purpose of this cancellation is to significantly increase critical care capacity, prioritise the reception of patients with COVID-19, prioritise the allocation of staff and provision of the equipment necessary for their medical or surgical management, and contribute to the smooth running of downstream critical care within their establishment. Another goal is to reduce the risks of patient contamination within healthcare facilities. This document provides guidance on how to proceed with and adapt ENT surgery in the current pandemic context, as well as on the management of postponed operations. This best practice advice must of course be adapted in each region according to the development of the epidemic and pre-existing arrangements. Their local application can only be decided within the framework of collaboration between the ENT teams, the operational hygiene units and all the other specialties concerned.",COVID-19; Droplet-based transmission; Infectious disease; Personal protective equipment (PPE); SARS-CoV-2,title_abstract,strict,unlikely_candidate,3,"The paper is clearly about COVID-19 in human healthcare settings and mentions R0 explicitly. However, it appears to be a guidance or practice document rather than an original empirical study, and R0 is used as contextual background rather than being the main parameter investigated.",4,The title and abstract explicitly focus on COVID-19 and SARS-CoV-2 throughout. Disease relevance is central to the paper.,4,"The abstract concerns patients, health workers, and ENT surgical care in healthcare settings, indicating a clear human population focus.",3,"The abstract refers to healthcare facilities, regions, and local adaptation during the epidemic, showing a real-world practice context. However, no specific geographic study setting is described.",1,The abstract describes guidance and best practice advice for ENT surgery rather than reporting original empirical data or a primary study analysis.,2,"The abstract explicitly mentions 'Estimating an R0 of COVID-19 at around 3,' but R0 appears as background justification rather than a reported study outcome or main analysis target.",,,
32366457,,COVID-19 in South Korea.,Choi JY.,Postgrad Med J. 2020 Jul;96(1137):399-402. doi: 10.1136/postgradmedj-2020-137738. Epub 2020 May 4.,Choi,Postgraduate medical journal,2020,2020/05/06,PMC10016831,,10.1136/postgradmedj-2020-137738,"A novel coronavirus (severe acute respiratory syndrome-CoV-2) that initially originated from Wuhan, China, in December 2019 has already caused a pandemic. While this novel coronavirus disease (COVID-19) frequently induces mild diseases, it has also generated severe diseases among certain populations, including older-aged individuals with underlying diseases, such as cardiovascular disease and diabetes. As of 31 March 2020, a total of 9786 confirmed cases with COVID-19 have been reported in South Korea. South Korea has the highest diagnostic rate for COVID-19, which has been the major contributor in overcoming this outbreak. We are trying to reduce the reproduction number of COVID-19 to less than one and eventually succeed in controlling this outbreak using methods such as contact tracing, quarantine, testing, isolation, social distancing and school closure. This report aimed to describe the current situation of COVID-19 in South Korea and our response to this outbreak.",infectious diseases,title_abstract,strict,unlikely_candidate,3,"This paper is clearly about COVID-19 in a human population and a real-world national setting. However, the abstract appears mainly descriptive and does not explicitly present an R0 estimate; reproduction number is only mentioned in passing, making target-parameter relevance uncertain.",4,"The title and abstract explicitly focus on COVID-19 and SARS-CoV-2, including the outbreak situation in South Korea.",4,"The abstract discusses confirmed COVID-19 cases in South Korea and impacts in human populations, especially older adults with comorbidities.",4,The study is explicitly set in the real-world geographic context of South Korea and reports national case counts and response measures.,2,"It is described as a report on the current situation and response, with some descriptive case counts, but the abstract does not clearly establish original primary data analysis.",2,"The abstract mentions reducing the reproduction number to less than one, but it does not explicitly report or estimate the basic reproduction number (R0).",,,
32299204,,Understanding dynamics of pandemics.,"Akin L, Gözel MG.",Turk J Med Sci. 2020 Apr 21;50(SI-1):515-519. doi: 10.3906/sag-2004-133.,Akin,Turkish journal of medical sciences,2020,2020/04/18,PMC7195986,,10.3906/sag-2004-133,"Along the centuries, novel strain of virus such as influenza produces pandemics which increase illness, death and disruption in the countries. Spanish flu in 1918, Asian flu in 1957, Hong Kong flu in 1968 and swine flu in 2009 were known pandemic which had various characteristics in terms of morbidity and mortality. A current pandemic is caused by novel corona virus originated from China. COVID-19 pandemic is very similar to Spanish, Hong Kong, Asian and swine influenza pandemics in terms of spreading to world by the mobilized people. Burden of pandemic is considered in terms of disease transmissibility and the growth rate of epidemic and duration of pandemic can be calculated by transmissibility characteristic. The case definition, finding out cases and first case cluster, proper treatment, sufficient stockpiles of medicine and population cooperation with the containment strategy should be considered for reduction of burden of pandemic.",COVID-19; Pandemic; new coronavirus infection,title_abstract,strict,unlikely_candidate,2,"This paper is clearly related to COVID-19 and human pandemic spread, but the abstract presents a general overview rather than explicit primary analysis. Most importantly, it does not explicitly report the basic reproduction number or reproduction number, so relevance to the target parameter is weak at title-and-abstract stage.",3,"The abstract explicitly discusses the current pandemic caused by the novel coronavirus and names COVID-19. However, it is framed broadly as a discussion of pandemics rather than solely a COVID-19 study.",3,"The abstract concerns pandemics spreading across countries and population cooperation with containment, indicating human populations. No animal or laboratory focus is mentioned.",2,"There is some real-world geographic context, such as origin from China and spread across countries, but no specific field setting or study location is described. The discussion appears general rather than place-based empirical work.",1,"The abstract reads like a broad narrative overview comparing pandemics across history and discussing general concepts. It does not clearly report original data, methods, or primary empirical analysis.",1,"The abstract mentions transmissibility, growth rate, and duration of pandemics, but it does not explicitly state basic reproduction number, R0, R naught, or reproduction number. The target parameter is only indirectly implied.",,,
33144889,,[Epidemiology of SARS-CoV-2/COVID-19].,"Salzberger B, Buder F, Lampl BT, Ehrenstein B, Hitzenbichler F, Holzmann T, Schmidt B, Hanses F.",Gastroenterologe. 2020;15(6):443-451. doi: 10.1007/s11377-020-00479-y. Epub 2020 Oct 29.,Salzberger,Der Gastroenterologe : Zeitschrift fur Gastroenterologie und Hepatologie,2020,2020/11/04,PMC7594942,,10.1007/s11377-020-00479-y,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a beta coronavirus, which first appeared in 2019 and rapidly spread causing a worldwide pandemic. Here we present a nonsystematic review of the current knowledge on its epidemiological features. The SARS-CoV‑2 replicates mainly in the upper and lower respiratory tract and is mainly transmitted by droplets and aerosols from asymptomatic and symptomatic infected subjects. The estimate for the basic reproduction number (R0) is between 2 and 3 and the median incubation period is 6 days (range 2-14 days). Similar to the related coronaviruses SARS and Middle East respiratory syndrome (MERS), superspreading events play an important role in spreading the disease. The majority of infections run an uncomplicated course but 5-10% of those infected develop pneumonia or a systemic inflammation leading to hospitalization, respiratory and potentially multiorgan failure. The most important risk factors for a complicated disease course are age, hypertension, diabetes, chronic cardiovascular and pulmonary diseases and immunodeficiency. The current infection fatality rate over all age groups is between 0.5% and 1% and the rate rises after the sixth decade of life. Nosocomial transmission and infections in medical personnel have been reported. A drastic reduction of social contacts has been implemented in many countries with outbreaks of SARS-CoV‑2, leading to rapid reductions in R0. Most interventions have used bundles and which of the measures have been more effective is still unknown. Using mathematical models an incidence of 0.4%-1.8% can be estimated for the first wave in Germany.",Basic reproduction number; Incidence; Incubation period; Mortality; Pandemic,title_abstract,strict,unlikely_candidate,3,"This paper is highly relevant to COVID-19, human populations, and the target parameter R0, with some real-world geographic context. However, the abstract identifies it as a nonsystematic review rather than original empirical research, which substantially lowers its relevance for primary evidence on R0.",4,"The title and abstract explicitly focus on SARS-CoV-2/COVID-19 throughout, making the target disease central to the paper.",4,"The abstract discusses infected subjects, hospitalization, risk factors, medical personnel, and population incidence, indicating a clear human population focus.",3,"The abstract refers to outbreaks in many countries and gives a first-wave incidence estimate for Germany, providing explicit real-world geographic context.",1,"The abstract explicitly states that this is a 'nonsystematic review of the current knowledge,' which suggests it is not primary empirical research.",4,"The abstract explicitly reports 'the basic reproduction number (R0) is between 2 and 3' and discusses reductions in R0, so the target parameter is directly stated.",,,
32109011,,Covid-19 - Navigating the Uncharted.,"Fauci AS, Lane HC, Redfield RR.",N Engl J Med. 2020 Mar 26;382(13):1268-1269. doi: 10.1056/NEJMe2002387. Epub 2020 Feb 28.,Fauci,The New England journal of medicine,2020,2020/02/29,PMC7121221,,10.1056/NEJMe2002387,,"[MeSH] Age Factors; [MeSH] Asymptomatic Diseases; [MeSH] Basic Reproduction Number; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] COVID-19 Vaccines; [MeSH] China; [MeSH] Coronavirus; [MeSH] Coronavirus Infections; [MeSH] Disease Progression; [MeSH] Female; [MeSH] Global Health; [MeSH] Hospitalization; [MeSH] Humans; [MeSH] Male; [MeSH] Middle Aged; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Risk Factors; [MeSH] SARS-CoV-2; [MeSH] Severity of Illness Index; [MeSH] Sex Factors; [MeSH] Viral Vaccines; [MeSH] COVID-19 Drug Treatment",title_only,lenient,possible_candidate,3,"Based on title and keywords only, this paper is clearly about COVID-19 in a human, real-world public health context, and the metadata directly references the basic reproduction number. However, the title appears broad and non-specific, and without an abstract it remains uncertain whether the article reports original empirical estimates versus more general discussion.",4,"The title explicitly names COVID-19, and the keywords include COVID-19 and SARS-CoV-2. Even with title-only evidence, disease relevance is unmistakable.",4,"The keywords explicitly include Humans, along with demographic terms such as male, female, and middle aged. Although no abstract is available, the metadata strongly indicates a human-focused study context.",3,"The keywords include China and Global Health, suggesting a real-world geographic/public health context. However, with only title and keywords, the precise study setting is not fully confirmed.",1,"The title 'Navigating the Uncharted' sounds broad and potentially narrative or commentary-like rather than clearly reporting primary empirical data. With no abstract available, there is only weak evidence of original empirical findings.",3,"The title does not mention R0, but the keywords explicitly include Basic Reproduction Number. In title-only screening this supports clear parameter relevance, though the exact prominence of R0 in the paper is uncertain.",,D:\AILab\MAS\Meta-Analysis\MetaAgent-Epi\dev\paper_pool\markdown\PMID_32109011\PMID_32109011.md,yes
32433946,,Herd Immunity: Understanding COVID-19.,"Randolph HE, Barreiro LB.",Immunity. 2020 May 19;52(5):737-741. doi: 10.1016/j.immuni.2020.04.012.,Randolph,Immunity,2020,2020/05/21,PMC7236739,,10.1016/j.immuni.2020.04.012,"The emergence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and its associated disease, COVID-19, has demonstrated the devastating impact of a novel, infectious pathogen on a susceptible population. Here, we explain the basic concepts of herd immunity and discuss its implications in the context of COVID-19.","[MeSH] Basic Reproduction Number; [MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] Coronavirus Infections; [MeSH] Global Health; [MeSH] Humans; [MeSH] Immunity, Herd; [MeSH] Models, Immunological; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2; [MeSH] Vaccination; [MeSH] Vaccination Coverage",title_abstract,strict,unlikely_candidate,3,"This paper is clearly about COVID-19 and is conceptually related to R0 through herd immunity and the keyword 'Basic Reproduction Number.' However, the abstract does not explicitly report a reproduction number estimate, and it appears to be a general explanatory discussion rather than original empirical analysis in a defined setting.",4,The abstract explicitly discusses SARS-CoV-2 and COVID-19 as the subject of the paper. Disease relevance is central and clearly stated.,3,"The abstract refers to effects on a susceptible population, and the keywords include Humans. This supports human/population-level relevance, though no specific study population is described.",1,No specific geographic setting or real-world field location is named in the title or abstract. The discussion appears general rather than tied to a defined place.,1,"The abstract says 'we explain' and 'discuss,' which suggests a conceptual or explanatory article rather than original empirical research. No primary data or analysis is explicitly described.",3,"The keyword list explicitly includes Basic Reproduction Number, which is the target parameter. However, the abstract itself focuses on herd immunity and does not explicitly report an R0 estimate.",,,
40477080,,Epidemiology of COVID-19.,"Dhar Chowdhury S, Oommen AM.",J Dig Endosc. 2020 Mar;11(1):3-7. doi: 10.1055/s-0040-1712187.,Dhar,Journal of digestive endoscopy,2020,2025/06/06,PMC7364648,,10.1055/s-0040-1712187,"COVID-19, an infectious respiratory illness caused by the severe acute respiratory syndrome-corona virus 2 (SARS-CoV2), has now spread to multiple countries including India. The pace at which the disease spread in the last 4 months, since it was first recognized from China, is unprecedented. This review of the epidemiology of COVID-19 summarizes the burden of infection, transmission dynamics, and other related epidemiological features. While countries such as China, Italy, and the United States have particularly high-rates of infection, the disease is gradually spreading in India as well, threatening the health and economy of the country. Transmission in asymptomatic cases, early symptomatic phase, as well as limited access to testing in different settings are factors that have led to the rapid spread of infection. A large case series from China revealed that 81% of cases had mild symptoms, 14% had severe disease, and 5% were afflicted with critical illness. While the mortality in China was reported as 2.3%, Italy, with a high-proportion of elderly, reported a case fatality report of 7.2% due to higher infection and mortality rates among the elderly. Being a highly infectious disease, with a basic reproduction number between 2 to 3, COVID-19 is affecting a large number of healthcare workers, as evidenced by the fact that a sizeable portion of reported infections in the US included healthcare workers. Delivering health care for both COVID-19 affected individuals, as well those with other acute and chronic conditions, with limited access to healthcare facilities and services, are challenges for the health systems in low- and middle-income countries, which require immediate measures for health system strengthening across sectors.",COVID-19; SARS-CoV2; coronavirus; epidemiology; pandemic,title_abstract,strict,unlikely_candidate,3,"This paper is highly relevant to COVID-19, human populations, and real-world geographic transmission, and it explicitly reports a basic reproduction number of 2 to 3. However, the abstract identifies it as a review, so it provides limited support as original empirical evidence for estimating R0.",4,The title and abstract explicitly focus on COVID-19/SARS-CoV-2 throughout. The disease is the central subject of the paper.,4,"The abstract discusses human cases, healthcare workers, elderly populations, and country-level spread. It clearly concerns human populations rather than animal or in vitro systems.",4,"The abstract references real-world geographic settings including China, Italy, the United States, and India. It discusses observed spread across countries and health system impacts in these settings.",1,The abstract explicitly describes the paper as 'This review of the epidemiology of COVID-19.' It appears to synthesize existing reports rather than present original empirical data or primary analysis.,3,"The abstract explicitly states that COVID-19 has 'a basic reproduction number between 2 to 3.' R0 is directly reported, though it is one epidemiologic feature within a broader review rather than the sole focus.",,,
32217113,,Coronavirus disease 2019 (COVID-19) pandemic and pregnancy.,"Dashraath P, Wong JLJ, Lim MXK, Lim LM, Li S, Biswas A, Choolani M, Mattar C, Su LL.",Am J Obstet Gynecol. 2020 Jun;222(6):521-531. doi: 10.1016/j.ajog.2020.03.021. Epub 2020 Mar 23.,Dashraath,American journal of obstetrics and gynecology,2020,2020/03/29,PMC7270569,,10.1016/j.ajog.2020.03.021,"The current coronavirus disease 2019 (COVID-19) pneumonia pandemic, caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is spreading globally at an accelerated rate, with a basic reproduction number (R0) of 2-2.5, indicating that 2-3 persons will be infected from an index patient. A serious public health emergency, it is particularly deadly in vulnerable populations and communities in which healthcare providers are insufficiently prepared to manage the infection. As of March 16, 2020, there are more than 180,000 confirmed cases of COVID-19 worldwide, with more than 7000 related deaths. The SARS-CoV-2 virus has been isolated from asymptomatic individuals, and affected patients continue to be infectious 2 weeks after cessation of symptoms. The substantial morbidity and socioeconomic impact have necessitated drastic measures across all continents, including nationwide lockdowns and border closures. Pregnant women and their fetuses represent a high-risk population during infectious disease outbreaks. To date, the outcomes of 55 pregnant women infected with COVID-19 and 46 neonates have been reported in the literature, with no definite evidence of vertical transmission. Physiological and mechanical changes in pregnancy increase susceptibility to infections in general, particularly when the cardiorespiratory system is affected, and encourage rapid progression to respiratory failure in the gravida. Furthermore, the pregnancy bias toward T-helper 2 (Th2) system dominance, which protects the fetus, leaves the mother vulnerable to viral infections, which are more effectively contained by the Th1 system. These unique challenges mandate an integrated approach to pregnancies affected by SARS-CoV-2. Here we present a review of COVID-19 in pregnancy, bringing together the various factors integral to the understanding of pathophysiology and susceptibility, diagnostic challenges with real-time reverse transcription polymerase chain reaction (RT-PCR) assays, therapeutic controversies, intrauterine transmission, and maternal-fetal complications. We discuss the latest options in antiviral therapy and vaccine development, including the novel use of chloroquine in the management of COVID-19. Fetal surveillance, in view of the predisposition to growth restriction and special considerations during labor and delivery, is addressed. In addition, we focus on keeping frontline obstetric care providers safe while continuing to provide essential services. Our clinical service model is built around the principles of workplace segregation, responsible social distancing, containment of cross-infection to healthcare providers, judicious use of personal protective equipment, and telemedicine. Our aim is to share a framework that can be adopted by tertiary maternity units managing pregnant women in the flux of a pandemic while maintaining the safety of the patient and healthcare provider at its core.","COVID-19; MERS-CoV,morbidity; SARS-CoV; SARS-CoV-2; antiviral; baricitinib; chloroquine; coronavirus; fever; mask; mortality; obstetric management; pandemic; pregnancy; remdesivir; respiratory distress syndrome; respiratory failure; sepsis; susceptibility; virus",title_abstract,strict,unlikely_candidate,2,"This paper is highly relevant to COVID-19 and human populations and does mention R0 explicitly. However, it is a review focused on pregnancy and obstetric management rather than an original empirical study estimating the basic reproduction number.",4,The title and abstract explicitly focus on COVID-19 and SARS-CoV-2 throughout. The disease is central to the paper.,4,"The study concerns pregnant women, fetuses, neonates, and obstetric care providers, all clearly human populations. Pregnancy management is the main context.",3,"The abstract refers to the global pandemic and worldwide confirmed cases, indicating a real-world geographic context. However, it is not centered on one specific field setting or location-based analysis.",0,"The abstract explicitly states, ""Here we present a review of COVID-19 in pregnancy."" This indicates a review rather than original empirical research.",2,"The abstract explicitly mentions a basic reproduction number (R0) of 2-2.5, but only as background context. R0 is not the study's main outcome or analytic focus.",,,
