PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords
32648899,"Pathophysiology, Transmission, Diagnosis, and Treatment of Coronavirus Disease 2019 (COVID-19): A Review.","Wiersinga WJ, Rhodes A, Cheng AC, Peacock SJ, Prescott HC.",JAMA. 2020 Aug 25;324(8):782-793. doi: 10.1001/jama.2020.12839.,Wiersinga,JAMA,2020,2020/07/11,,,10.1001/jama.2020.12839,"IMPORTANCE: The coronavirus disease 2019 (COVID-19) pandemic, due to the novel severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has caused a worldwide sudden and substantial increase in hospitalizations for pneumonia with multiorgan disease. This review discusses current evidence regarding the pathophysiology, transmission, diagnosis, and management of COVID-19. OBSERVATIONS: SARS-CoV-2 is spread primarily via respiratory droplets during close face-to-face contact. Infection can be spread by asymptomatic, presymptomatic, and symptomatic carriers. The average time from exposure to symptom onset is 5 days, and 97.5% of people who develop symptoms do so within 11.5 days. The most common symptoms are fever, dry cough, and shortness of breath. Radiographic and laboratory abnormalities, such as lymphopenia and elevated lactate dehydrogenase, are common, but nonspecific. Diagnosis is made by detection of SARS-CoV-2 via reverse transcription polymerase chain reaction testing, although false-negative test results may occur in up to 20% to 67% of patients; however, this is dependent on the quality and timing of testing. Manifestations of COVID-19 include asymptomatic carriers and fulminant disease characterized by sepsis and acute respiratory failure. Approximately 5% of patients with COVID-19, and 20% of those hospitalized, experience severe symptoms necessitating intensive care. More than 75% of patients hospitalized with COVID-19 require supplemental oxygen. Treatment for individuals with COVID-19 includes best practices for supportive management of acute hypoxic respiratory failure. Emerging data indicate that dexamethasone therapy reduces 28-day mortality in patients requiring supplemental oxygen compared with usual care (21.6% vs 24.6%; age-adjusted rate ratio, 0.83 [95% CI, 0.74-0.92]) and that remdesivir improves time to recovery (hospital discharge or no supplemental oxygen requirement) from 15 to 11 days. In a randomized trial of 103 patients with COVID-19, convalescent plasma did not shorten time to recovery. Ongoing trials are testing antiviral therapies, immune modulators, and anticoagulants. The case-fatality rate for COVID-19 varies markedly by age, ranging from 0.3 deaths per 1000 cases among patients aged 5 to 17 years to 304.9 deaths per 1000 cases among patients aged 85 years or older in the US. Among patients hospitalized in the intensive care unit, the case fatality is up to 40%. At least 120 SARS-CoV-2 vaccines are under development. Until an effective vaccine is available, the primary methods to reduce spread are face masks, social distancing, and contact tracing. Monoclonal antibodies and hyperimmune globulin may provide additional preventive strategies. CONCLUSIONS AND RELEVANCE: As of July 1, 2020, more than 10 million people worldwide had been infected with SARS-CoV-2. Many aspects of transmission, infection, and treatment remain unclear. Advances in prevention and effective management of COVID-19 will require basic and clinical investigation and public health and clinical interventions.","[MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] COVID-19 Testing; [MeSH] COVID-19 Vaccines; [MeSH] Clinical Laboratory Techniques; [MeSH] Coronavirus Infections; [MeSH] Global Health; [MeSH] Health Status Disparities; [MeSH] Hospital Mortality; [MeSH] Humans; [MeSH] Lung; [MeSH] Oxygen Inhalation Therapy; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] Prognosis; [MeSH] Reverse Transcriptase Polymerase Chain Reaction; [MeSH] SARS-CoV-2; [MeSH] Viral Vaccines; [MeSH] COVID-19 Drug Treatment"
32645325,The Global Phosphorylation Landscape of SARS-CoV-2 Infection.,"Bouhaddou M, Memon D, Meyer B, White KM, Rezelj VV, Correa Marrero M, Polacco BJ, Melnyk JE, Ulferts S, Kaake RM, Batra J, Richards AL, Stevenson E, Gordon DE, Rojc A, Obernier K, Fabius JM, Soucheray M, Miorin L, Moreno E, Koh C, Tran QD, Hardy A, Robinot R, Vallet T, Nilsson-Payant BE, Hernandez-Armenta C, Dunham A, Weigang S, Knerr J, Modak M, Quintero D, Zhou Y, Dugourd A, Valdeolivas A, Patil T, Li Q, Hüttenhain R, Cakir M, Muralidharan M, Kim M, Jang G, Tutuncuoglu B, Hiatt J, Guo JZ, Xu J, Bouhaddou S, Mathy CJP, Gaulton A, Manners EJ, Félix E, Shi Y, Goff M, Lim JK, McBride T, O'Neal MC, Cai Y, Chang JCJ, Broadhurst DJ, Klippsten S, De Wit E, Leach AR, Kortemme T, Shoichet B, Ott M, Saez-Rodriguez J, tenOever BR, Mullins RD, Fischer ER, Kochs G, Grosse R, García-Sastre A, Vignuzzi M, Johnson JR, Shokat KM, Swaney DL, Beltrao P, Krogan NJ.",Cell. 2020 Aug 6;182(3):685-712.e19. doi: 10.1016/j.cell.2020.06.034. Epub 2020 Jun 28.,Bouhaddou,Cell,2020,2020/07/10,PMC7321036,,10.1016/j.cell.2020.06.034,"The causative agent of the coronavirus disease 2019 (COVID-19) pandemic, severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), has infected millions and killed hundreds of thousands of people worldwide, highlighting an urgent need to develop antiviral therapies. Here we present a quantitative mass spectrometry-based phosphoproteomics survey of SARS-CoV-2 infection in Vero E6 cells, revealing dramatic rewiring of phosphorylation on host and viral proteins. SARS-CoV-2 infection promoted casein kinase II (CK2) and p38 MAPK activation, production of diverse cytokines, and shutdown of mitotic kinases, resulting in cell cycle arrest. Infection also stimulated a marked induction of CK2-containing filopodial protrusions possessing budding viral particles. Eighty-seven drugs and compounds were identified by mapping global phosphorylation profiles to dysregulated kinases and pathways. We found pharmacologic inhibition of the p38, CK2, CDK, AXL, and PIKFYVE kinases to possess antiviral efficacy, representing potential COVID-19 therapies.",AXL; CDK; MAPK; PIKFYVE; SARS-CoV-2; antiviral; casein kinase II; mass spectrometry; p38; phosphoproteomics
32166607,A Review of Coronavirus Disease-2019 (COVID-19).,Singhal T.,Indian J Pediatr. 2020 Apr;87(4):281-286. doi: 10.1007/s12098-020-03263-6. Epub 2020 Mar 13.,Singhal,Indian journal of pediatrics,2020,2020/03/14,PMC7090728,,10.1007/s12098-020-03263-6,"There is a new public health crises threatening the world with the emergence and spread of 2019 novel coronavirus (2019-nCoV) or the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The virus originated in bats and was transmitted to humans through yet unknown intermediary animals in Wuhan, Hubei province, China in December 2019. There have been around 96,000 reported cases of coronavirus disease 2019 (COVID-2019) and 3300 reported deaths to date (05/03/2020). The disease is transmitted by inhalation or contact with infected droplets and the incubation period ranges from 2 to 14 d. The symptoms are usually fever, cough, sore throat, breathlessness, fatigue, malaise among others. The disease is mild in most people; in some (usually the elderly and those with comorbidities), it may progress to pneumonia, acute respiratory distress syndrome (ARDS) and multi organ dysfunction. Many people are asymptomatic. The case fatality rate is estimated to range from 2 to 3%. Diagnosis is by demonstration of the virus in respiratory secretions by special molecular tests. Common laboratory findings include normal/ low white cell counts with elevated C-reactive protein (CRP). The computerized tomographic chest scan is usually abnormal even in those with no symptoms or mild disease. Treatment is essentially supportive; role of antiviral agents is yet to be established. Prevention entails home isolation of suspected cases and those with mild illnesses and strict infection control measures at hospitals that include contact and droplet precautions. The virus spreads faster than its two ancestors the SARS-CoV and Middle East respiratory syndrome coronavirus (MERS-CoV), but has lower fatality. The global impact of this new epidemic is yet uncertain.",2019-nCOV; COVID-19; Pneumonia; Review; SARS-CoV-2
32007143,"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study.","Chen N, Zhou M, Dong X, Qu J, Gong F, Han Y, Qiu Y, Wang J, Liu Y, Wei Y, Xia J, Yu T, Zhang X, Zhang L.",Lancet. 2020 Feb 15;395(10223):507-513. doi: 10.1016/S0140-6736(20)30211-7. Epub 2020 Jan 30.,Chen,"Lancet (London, England)",2020,2020/02/03,PMC7135076,,10.1016/S0140-6736(20)30211-7,"BACKGROUND: In December, 2019, a pneumonia associated with the 2019 novel coronavirus (2019-nCoV) emerged in Wuhan, China. We aimed to further clarify the epidemiological and clinical characteristics of 2019-nCoV pneumonia. METHODS: In this retrospective, single-centre study, we included all confirmed cases of 2019-nCoV in Wuhan Jinyintan Hospital from Jan 1 to Jan 20, 2020. Cases were confirmed by real-time RT-PCR and were analysed for epidemiological, demographic, clinical, and radiological features and laboratory data. Outcomes were followed up until Jan 25, 2020. FINDINGS: Of the 99 patients with 2019-nCoV pneumonia, 49 (49%) had a history of exposure to the Huanan seafood market. The average age of the patients was 55·5 years (SD 13·1), including 67 men and 32 women. 2019-nCoV was detected in all patients by real-time RT-PCR. 50 (51%) patients had chronic diseases. Patients had clinical manifestations of fever (82 [83%] patients), cough (81 [82%] patients), shortness of breath (31 [31%] patients), muscle ache (11 [11%] patients), confusion (nine [9%] patients), headache (eight [8%] patients), sore throat (five [5%] patients), rhinorrhoea (four [4%] patients), chest pain (two [2%] patients), diarrhoea (two [2%] patients), and nausea and vomiting (one [1%] patient). According to imaging examination, 74 (75%) patients showed bilateral pneumonia, 14 (14%) patients showed multiple mottling and ground-glass opacity, and one (1%) patient had pneumothorax. 17 (17%) patients developed acute respiratory distress syndrome and, among them, 11 (11%) patients worsened in a short period of time and died of multiple organ failure. INTERPRETATION: The 2019-nCoV infection was of clustering onset, is more likely to affect older males with comorbidities, and can result in severe and even fatal respiratory diseases such as acute respiratory distress syndrome. In general, characteristics of patients who died were in line with the MuLBSTA score, an early warning model for predicting mortality in viral pneumonia. Further investigation is needed to explore the applicability of the MuLBSTA score in predicting the risk of mortality in 2019-nCoV infection. FUNDING: National Key R&D Program of China.","[MeSH] Adult; [MeSH] Aged; [MeSH] Aged, 80 and over; [MeSH] COVID-19; [MeSH] China; [MeSH] Comorbidity; [MeSH] Coronavirus Infections; [MeSH] Cough; [MeSH] Disease Outbreaks; [MeSH] Dyspnea; [MeSH] Female; [MeSH] Fever; [MeSH] Humans; [MeSH] Male; [MeSH] Middle Aged; [MeSH] Pneumonia, Viral; [MeSH] Prognosis; [MeSH] Radiography, Thoracic; [MeSH] Retrospective Studies; [MeSH] Severe Acute Respiratory Syndrome; [MeSH] Tomography, X-Ray Computed; [MeSH] Young Adult"
32515386,Glucovigilance in COVID-19.,"Lamptey R, Ahomagnon S, Acheampong F, Kalra S.",J Pak Med Assoc. 2020 May;70(Suppl 3)(5):S80-S82. doi: 10.5455/JPMA.15.,Lamptey,JPMA. The Journal of the Pakistan Medical Association,2020,2020/06/10,,,10.5455/JPMA.15,"The coronavirus disease (COVID-19) pandemic has influenced clinical care in unprecedented ways. There is an urgent need to share best practice in providing diabetes care services in areas affected by COVID. This is a brief review for clinicians managing diabetes in low-income countries based on currently available data. The data is rapidly evolving; however, people with diabetes and its related comorbidities have increased risk for severe disease, and prolonged recovery and mortality. This review is also informed by data from severe acute respiratory syndrome (SARS) caused by SARS coronavirus (SARS-CoV) and Middle East respiratory syndrome (MERS), caused by MERS coronavirus (MERS-CoV). These two viruses share similarities with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), the virus with causes COVID-19. SARS-CoV-2 was also known as 2019-nCOV. We discuss glucovigilance in COVID-19, the challenges and the opportunities. We put a spotlight on investigational new drugs for treatment of COVID medications and virtual care. Diabetologists and clinicians handling high-volume diabetes clinics are at increased risk for contracting COVID-19.","COVID-19, Glucovigilance, Prognosis, Diabetologists, Social distancing, Type 1 diabetes, Type 2 diabetes."
32291377,COVID-19 and Indonesia.,"Setiati S, Azwar MK.",Acta Med Indones. 2020 Jan;52(1):84-89.,Setiati,Acta medica Indonesiana,2020,2020/04/16,,,,"Coronavirus disease 2019 (COVID-19) pandemic is an ongoing problem in more than 200 countries in the world. Indonesia has been greatly affected by COVID-19 with case fatality rate (CFR) being 8.9% in the end of March 2020. We have some room for improvement related to the unreadingess of healthcare facility and the major steps taken by the government. It is suggested that the country should have stricter Stay-at-Home notice, suppress the spread by imposing lockdown on a large scale, improve healthcare service, and increase the availability of personal protective equipments (PPE). It is important to avoid an epidemic peak that potentially overwhelms healthcare service by quarantining the case contacts. Lockdown may prolong the epidemic doubling time significantly. Demand of health system is likely to grow since the number of COVID-19 case is likely to rise. Effective procedures for protecting medical staff from infection are essential. Scientific research in Indonesia is also crucial to provide suggestion and recommendation pertinent to COVID-19.",COVID-19; Indonesia; SARS-CoV-2; coronavirus
32661375,Immune-mediated approaches against COVID-19.,"Florindo HF, Kleiner R, Vaskovich-Koubi D, Acúrcio RC, Carreira B, Yeini E, Tiram G, Liubomirski Y, Satchi-Fainaro R.",Nat Nanotechnol. 2020 Aug;15(8):630-645. doi: 10.1038/s41565-020-0732-3. Epub 2020 Jul 13.,Florindo,Nature nanotechnology,2020,2020/07/15,PMC7355525,,10.1038/s41565-020-0732-3,"The coronavirus disease-19 (COVID-19) is caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The long incubation period of this new virus, which is mostly asymptomatic yet contagious, is a key reason for its rapid spread across the world. Currently, there is no worldwide-approved treatment for COVID-19. Therefore, the clinical and scientific communities have joint efforts to reduce the severe impact of the outbreak. Research on previous emerging infectious diseases have created valuable knowledge that is being exploited for drug repurposing and accelerated vaccine development. Nevertheless, it is important to generate knowledge on SARS-CoV-2 mechanisms of infection and its impact on host immunity, to guide the design of COVID-19 specific therapeutics and vaccines suitable for mass immunization. Nanoscale delivery systems are expected to play a paramount role in the success of these prophylactic and therapeutic approaches. This Review provides an overview of SARS-CoV-2 pathogenesis and examines immune-mediated approaches currently explored for COVID-19 treatments, with an emphasis on nanotechnological tools.","[MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] COVID-19 Vaccines; [MeSH] Coronavirus Infections; [MeSH] Humans; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2; [MeSH] Viral Vaccines"
32681935,SARS-CoV-2 and the cardiovascular system.,Hafiane A.,Clin Chim Acta. 2020 Nov;510:311-316. doi: 10.1016/j.cca.2020.07.019. Epub 2020 Jul 16.,Hafiane,Clinica chimica acta; international journal of clinical chemistry,2020,2020/07/19,PMC7363601,,10.1016/j.cca.2020.07.019,"The coronavirus disease COVID-19 is a public health emergency caused by a novel coronavirus named severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2). SARS-CoV-2 infection uses the angiotensin-converting enzyme 2 (ACE2) receptor, and typically spreads through the respiratory tract. Invading viruses can elicit an exaggerated host immune response, frequently leading to a cytokine storm that may be fueling some COVID-19 death. This response contributes to multi-organ dysfunction. Accumulating data points to an increased cardiovascular disease morbidity, and mortality in COVID-19 patients. This brief review explores potential available evidence regarding the association between COVID-19, and cardiovascular complications.",ACE2; COVID-19; Myocardial injury; SARS-CoV-2; Severe acute respiratory syndrome; Troponin
32777170,Cyclosporine and COVID-19: Risk or favorable?,"Poulsen NN, von Brunn A, Hornum M, Blomberg Jensen M.",Am J Transplant. 2020 Nov;20(11):2975-2982. doi: 10.1111/ajt.16250. Epub 2020 Sep 7.,Poulsen,American journal of transplantation : official journal of the American Society of Transplantation and the American Society of Transplant Surgeons,2020,2020/08/11,PMC7436557,,10.1111/ajt.16250,"The coronavirus disease 2019 (COVID-19) pandemic is declared a global health emergency. COVID-19 is triggered by a novel coronavirus: severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Baseline characteristics of admitted patients with COVID-19 show that adiposity, diabetes, and hypertension are risk factors for developing severe disease, but so far immunosuppressed patients who are listed as high-risk patients have not been more susceptible to severe COVID-19 than the rest of the population. Multiple clinical trials are currently being conducted, which may identify more drugs that can lower mortality, morbidity, and burden on the society. Several independent studies have convincingly shown that cyclosporine inhibit replication of several different coronaviruses in vitro. The cyclosporine-analog alisporivir has recently been shown to inhibit SARS-CoV-2 in vitro. These findings are intriguing, although there is no clinical evidence for a protective effect to reduce the likelihood of severe COVID-19 or to treat the immune storm or acute respiratory distress syndrome (ARDS) that often causes severe morbidity. Here, we review the putative link between COVID-19 and cyclosporine, while we await more robust clinical data.",clinical research/practice; immunosuppressant - calcineurin inhibitor (CNI); immunosuppression/immune modulation; infection and infectious agents - viral; infectious disease; organ transplantation in general
32314460,Challenges of COVID-19 pandemic for dermatology.,Wollina U.,Dermatol Ther. 2020 Sep;33(5):e13430. doi: 10.1111/dth.13430. Epub 2020 Apr 30.,Wollina,Dermatologic therapy,2020,2020/04/22,PMC7235502,,10.1111/dth.13430,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is a new coronavirus responsible for the pandemic named coronavirus disease 2019 (COVID-19). The disease causes SARS with a significant morbidity and mortality. We provide a review with a focus on COVID-19 in dermatology. We discuss triage of suspected infectious patients, protection of medical doctors and nurses. We discuss the available data on cutaneous symptoms, although disease-specific symptoms have yet not been observed. COVID-19 is a challenge for the treatment of dermatologic patients, either with severe inflammatory disorders or with skin cancer. The consequences for systemic treatment are obvious but it will be most important to collect the clinical data for a better decision process. Last but not least, education in dermatology for students will not be temporarily possible in the classical settings. COVID-19, although not a skin disease, by itself has an immense impact on dermatology.",COVID-19 pandemic; SARS-CoV-2; dermatology
