sr_id,sr_name,sr_pmid,gt_title,gt_pmid,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
7,ijerph-19-11613,36141893,"A data-driven network model for the emerging COVID-19 epidemics in Wuhan, Toronto and Italy.",32497623,10.1016/j.mbs.2020.108391,2020,"Xue L, Jing S, Miller JC, Sun W, Li H, Estrada-Franco JG, Hyman JM, Zhu H",Mathematical biosciences,,verified,,,2026-01-28T07:18:50.653897
7,ijerph-19-11613,36141893,A Simulation on Potential Secondary Spread of Novel Coronavirus in an Exported Country Using a Stochastic Epidemic SEIR Model.,32235480,10.3390/jcm9040944,2020,"Iwata K, Miyakoshi C",Journal of clinical medicine,,verified,,,2026-01-28T07:23:07.908797
7,ijerph-19-11613,36141893,Analysis of the mitigation strategies for COVID-19: From mathematical modelling perspective.,32536760,10.1016/j.chaos.2020.109968,2020,"Kassa SM, Njagarah JBH, Terefe YA","Chaos, solitons, and fractals",,verified,,,2026-01-28T07:23:27.561428
7,ijerph-19-11613,36141893,"Basic epidemiological parameter values from data of real-world in mega-cities: the characteristics of COVID-19 in Beijing, China.",32689956,10.1186/s12879-020-05251-9,2020,"Wang X, Pan Y, Zhang D, Chen L, Jia L, Li X, Yang P, Wang Q, Macintyre CR",BMC infectious diseases,,verified,,,2026-01-28T07:23:49.918534
7,ijerph-19-11613,36141893,"Characterizing superspreading events and age-specific infectiousness of SARS-CoV-2 transmission in Georgia, USA.",32820074,10.1073/pnas.2011802117,2020,"Lau MSY, Grenfell B, Thomas M, Bryan M, Nelson K, Lopman B",Proceedings of the National Academy of Sciences of the United States of America,,verified,,,2026-01-28T07:24:07.141406
7,ijerph-19-11613,36141893,COVID-19 pandemic in India: a mathematical model study.,32982061,10.1007/s11071-020-05958-z,2020,"Biswas SK, Ghosh JK, Sarkar S, Ghosh U",Nonlinear dynamics,,verified,,,2026-01-28T07:24:30.105878
7,ijerph-19-11613,36141893,COVID-19 UK Lockdown Forecasts and R (0).,32574315,10.3389/fpubh.2020.00256,2020,Dropkin G,Frontiers in public health,,verified,,,2026-01-28T07:24:51.023269
7,ijerph-19-11613,36141893,Current trends and future prediction of novel coronavirus disease (COVID-19) epidemic in China: a dynamical modeling analysis.,32987516,10.3934/mbe.2020173,2020,"Wang K, Lu ZZ, Wang XM, Li H, Li HL, Lin DD, Cai YL, Feng X, Song YT, Feng ZW, Ji WD, Wang XY, Yin Y, Wang L, Peng ZH",Mathematical biosciences and engineering : MBE,,verified,,,2026-01-28T07:25:12.509938
7,ijerph-19-11613,36141893,"Data-based analysis, modelling and forecasting of the COVID-19 outbreak.",32231374,10.1371/journal.pone.0230405,2020,"Anastassopoulou C, Russo L, Tsakris A, Siettos C",PloS one,,verified,,,2026-01-28T08:09:51.084344
7,ijerph-19-11613,36141893,Distribution and growth rate of COVID-19 outbreak in Tamil Nadu: A log-linear regression approach.,32496253,10.4103/ijph.IJPH_502_20,2020,"Bhaskar A, Ponnuraja C, Srinivasan R, Padmanaban S",Indian journal of public health,,verified,,,2026-01-28T08:10:22.103389
7,ijerph-19-11613,36141893,"Early epidemiological assessment of the transmission potential and virulence of coronavirus disease 2019 (COVID-19) in Wuhan City, China, January-February, 2020.",32664866,10.1186/s12916-020-01691-x,2020,"Mizumoto K, Kagaya K, Chowell G",BMC medicine,,verified,,,2026-01-28T08:10:42.022059
