sr_id,sr_name,sr_pmid,gt_title,gt_pmid,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at,exclude_flag
8,HSR2-4-e274,33977156,Estimation of the reproductive number of novel coronavirus (COVID-19) and the probable outbreak size on the Diamond Princess cruise ship: A data-driven analysis.,32097725,10.1016/j.ijid.2020.02.033,2020,"Zhang S, Diao M, Yu W, Pei L, Lin Z, Chen D",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-27T03:26:37.340989,
8,HSR2-4-e274,33977156,Preliminary estimates of the reproduction number of the coronavirus disease (COVID-19) outbreak in Republic of Korea and Italy by 5 March 2020.,32334115,10.1016/j.ijid.2020.04.044,2020,"Zhuang Z, Zhao S, Lin Q, Cao P, Lou Y, Yang L, Yang S, He D, Xiao L",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-27T03:38:40.863619,
8,HSR2-4-e274,33977156,Outbreak dynamics of COVID-19 in China and the United States.,32342242,10.1007/s10237-020-01332-5,2020,"Peirlinck M, Linka K, Sahli Costabal F, Kuhl E",Biomechanics and modeling in mechanobiology,,verified,,,2026-01-27T03:39:23.306929,
8,HSR2-4-e274,33977156,"Prediction of the Epidemic Peak of Coronavirus Disease in Japan, 2020.",32183172,10.3390/jcm9030789,2020,Kuniya T,Journal of clinical medicine,,verified,,,2026-01-27T03:40:13.613507,
8,HSR2-4-e274,33977156,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia.",31995857,10.1056/NEJMoa2001316,2020,"Li Q, Guan X, Wu P, Wang X, Zhou L, Tong Y, Ren R, Leung KSM, Lau EHY, Wong JY, Xing X, Xiang N, Wu Y, Li C, Chen Q, Li D, Liu T, Zhao J, Liu M, Tu W, Chen C, Jin L, Yang R, Wang Q, Zhou S, Wang R, Liu H, Luo Y, Liu Y, Shao G, Li H, Tao Z, Yang Y, Deng Z, Liu B, Ma Z, Zhang Y, Shi G, Lam TTY, Wu JT, Gao GF, Cowling BJ, Yang B, Leung GM, Feng Z",The New England journal of medicine,,verified,,,2026-01-27T03:41:08.177746,
8,HSR2-4-e274,33977156,"Pattern of early human-to-human transmission of Wuhan 2019 novel coronavirus (2019-nCoV), December 2019 to January 2020.",32019669,10.2807/1560-7917.ES.2020.25.4.2000058,2020,"Riou J, Althaus CL",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,,verified,,,2026-01-27T03:41:47.814246,
8,HSR2-4-e274,33977156,"Tracing day-zero and forecasting the COVID-19 outbreak in Lombardy, Italy: A compartmental modelling and numerical optimization approach.",33125393,10.1371/journal.pone.0240649,2020,"Russo L, Anastassopoulou C, Tsakris A, Bifulco GN, Campana EF, Toraldo G, Siettos C",PloS one,,verified,,,2026-01-27T03:42:14.972118,
8,HSR2-4-e274,33977156,High Contagiousness and Rapid Spread of Severe Acute Respiratory Syndrome Coronavirus 2.,32255761,10.3201/eid2607.200282,2020,"Sanche S, Lin YT, Xu C, Romero-Severson E, Hengartner N, Ke R",Emerging infectious diseases,,verified,,,2026-01-27T03:42:44.270399,
8,HSR2-4-e274,33977156,Transmission potential and severity of COVID-19 in South Korea.,32198088,10.1016/j.ijid.2020.03.031,2020,"Shim E, Tariq A, Choi W, Lee Y, Chowell G",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-27T03:43:38.883665,
8,HSR2-4-e274,33977156,The effectiveness of quarantine and isolation determine the trend of the COVID-19 epidemics in the final phase of the current outbreak in China.,32171948,10.1016/j.ijid.2020.03.018,2020,"Tang B, Xia F, Tang S, Bragazzi NL, Li Q, Sun X, Liang J, Xiao Y, Wu J",International journal of infectious diseases : IJID : official publication of the International Society for Infectious Diseases,,verified,,,2026-01-27T03:49:15.851790,
8,HSR2-4-e274,33977156,"Nowcasting and forecasting the potential domestic and international spread of the 2019-nCoV outbreak originating in Wuhan, China: a modelling study.",32014114,10.1016/S0140-6736(20)30260-9,2020,"Wu JT, Leung K, Leung GM","Lancet (London, England)",,verified,,,2026-01-27T03:49:46.733603,
8,HSR2-4-e274,33977156,Estimating the Unreported Number of Novel Coronavirus (2019-nCoV) Cases in China in the First Half of January 2020: A Data-Driven Modelling Analysis of the Early Outbreak.,32024089,10.3390/jcm9020388,2020,"Zhao S, Musa SS, Lin Q, Ran J, Yang G, Wang W, Lou Y, Yang L, Gao D, He D, Wang MH",Journal of clinical medicine,,verified,,,2026-01-27T03:51:39.304570,
8,HSR2-4-e274,33977156,On a Statistical Transmission Model in Analysis of the Early Phase of COVID-19 Outbreak.,32292527,10.1007/s12561-020-09277-0,2021,"Zhu Y, Chen YQ",Statistics in biosciences,,verified,,,2026-01-27T13:43:55.693451,
8,HSR2-4-e274,33977156,"Imitation dynamics in the mitigation of the novel coronavirus disease (COVID-19) outbreak in Wuhan, China from 2019 to 2020.",32395492,10.21037/atm.2020.03.168,2020,"Zhao S, Stone L, Gao D, Musa SS, Chong MKC, He D, Wang MH",Annals of translational medicine,,verified,,,2026-01-27T13:44:51.902561,
