model	model_slug	experiment	profile	topic	gt	pool	tp	fp	fn	tn	recall	precision	workload_reduction	nns	f1	mcc	wss95	recall_value	precision_value	workload_reduction_value	nns_value	f1_value	mcc_value	wss95_value	status	note	gt_file	screened_file
gpt-5.4_current	gpt-5.4_current	root	P4	fatality	56	345	56	166	0	123	100.0% [93.6%, 100.0%]	25.2% [20.0%, 31.3%]	35.7% [30.7%, 40.9%]	3.96 [3.23, 5.07]	40.3%	0.328	30.7%	1.0	0.252252	0.356522	3.964286	0.402878	0.327658	0.306522	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/project_4_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/project_4_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P5	fatality	48	1882	46	112	2	1722	95.8% [86.0%, 98.8%]	29.1% [22.6%, 36.6%]	91.6% [90.4%, 92.8%]	3.43 [2.76, 4.56]	44.7%	0.510	86.6%	0.958333	0.291139	0.916047	3.434783	0.446602	0.510086	0.866047	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/project_5_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/project_5_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P6	fatality	39	2253	34	628	5	1588	87.2% [73.3%, 94.4%]	5.1% [3.7%, 7.1%]	70.7% [68.8%, 72.5%]	19.47 [14.59, 28.35]	9.7%	0.168	65.7%	0.871795	0.05136	0.707057	19.470588	0.097004	0.168443	0.657057	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/project_6_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/project_6_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P7	reproduction_number	122	574	107	62	15	390	87.7% [80.7%, 92.4%]	63.3% [55.8%, 70.2%]	70.6% [66.9%, 74.2%]	1.58 [1.42, 1.79]	73.5%	0.664	65.6%	0.877049	0.633136	0.705575	1.579439	0.735395	0.66411	0.655575	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/project_7_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/project_7_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P8	reproduction_number	44	575	41	204	3	327	93.2% [81.8%, 97.7%]	16.7% [12.6%, 21.9%]	57.4% [53.4%, 61.4%]	5.98 [4.67, 8.23]	28.4%	0.294	52.4%	0.931818	0.167347	0.573913	5.97561	0.283737	0.294392	0.523913	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/project_8_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/project_8_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P10	serial_interval	28	599	22	19	6	552	78.6% [60.5%, 89.8%]	53.7% [38.7%, 67.9%]	93.2% [91.2%, 95.2%]	1.86 [1.45, 2.62]	63.8%	0.629	88.2%	0.785714	0.536585	0.931553	1.863636	0.637681	0.629013	0.881553	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/project_10_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/project_10_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P11	serial_interval	76	841	71	69	5	696	93.4% [85.5%, 97.2%]	50.7% [42.5%, 58.9%]	83.4% [80.9%, 85.7%]	1.97 [1.70, 2.36]	65.7%	0.650	78.4%	0.934211	0.507143	0.833532	1.971831	0.657407	0.649627	0.783532	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/project_11_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/project_11_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P12	serial_interval	19	145	15	16	4	110	78.9% [56.7%, 91.5%]	48.4% [32.0%, 65.2%]	78.6% [71.7%, 84.8%]	2.07 [1.50, 3.25]	60.0%	0.545	73.6%	0.789474	0.483871	0.786207	2.066667	0.6	0.545265	0.736207	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/project_12_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/project_12_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P13	serial_interval	51	111	42	27	9	33	82.4% [69.7%, 90.4%]	60.9% [49.1%, 71.5%]	37.8% [28.8%, 46.8%]	1.64 [1.38, 2.03]	70.0%	0.384	32.8%	0.823529	0.608696	0.378378	1.642857	0.7	0.383828	0.328378	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/project_13_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/project_13_screened.csv
gpt-5.4_current	gpt-5.4_current	root	P14	serial_interval	9	94	8	39	1	46	88.9% [56.5%, 98.0%]	17.0% [8.9%, 30.1%]	50.0% [39.4%, 59.6%]	5.88 [3.54, 14.33]	28.6%	0.253	45.0%	0.888889	0.170213	0.5	5.875	0.285714	0.253086	0.45	ok		/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/project_14_groundtruth.csv	/home/yanhaoyang/AILab/Meta-Analysis/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/project_14_screened.csv
