sr_id,sr_name,sr_pmid,gt_title,gt_pmid,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
10,12879_2023_Article_8407,37365505,Serial interval in households infected with SARS-CoV-2 variant B.1.1.529 (Omicron) is even shorter compared to Delta.,35929470,10.1017/S0950268822001248,2022,"An der Heiden M, Buchholz U",Epidemiology and infection,,verified,,,2026-01-27T09:11:03.904781
10,12879_2023_Article_8407,37365505,"Shorter serial intervals in SARS-CoV-2 cases with Omicron BA.1 variant compared with Delta variant, the Netherlands, 13 to 26 December 2021.",35144721,10.2807/1560-7917.ES.2022.27.6.2200042,2022,"Backer JA, Eggink D, Andeweg SP, Veldhuijzen IK, van Maarseveen N, Vermaas K, Vlaemynck B, Schepers R, van den Hof S, Reusken CB, Wallinga J",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,,verified,,,2026-01-27T09:11:30.288941
10,12879_2023_Article_8407,37365505,Rapid transmission and tight bottlenecks constrain the evolution of highly transmissible SARS-CoV-2 variants.,36650162,10.1038/s41467-023-36001-5,2023,"Bendall EE, Callear AP, Getz A, Goforth K, Edwards D, Monto AS, Martin ET, Lauring AS",Nature communications,,verified,,,2026-01-27T09:11:54.527650
10,12879_2023_Article_8407,37365505,"Uncovering the Impact of Control Strategies on the Transmission Pattern of SARS-CoV-2 - Ruili City, Yunnan Province, China, February-March 2022.",36483190,10.46234/ccdcw2022.208,2022,"Chen J, Qiu Y, Shi Y, Wu W, Zheng E, Xu L, Jia M",China CDC weekly,,verified,,,2026-01-27T09:12:20.427427
10,12879_2023_Article_8407,37365505,"Secondary Attack Rate, Transmission and Incubation Periods, and Serial Interval of SARS-CoV-2 Omicron Variant, Spain",35393009,10.3201/eid2806.220158,2022,"Javier Del Águila-Mejía, Reinhard Wallmann, Jorge Calvo-Montes, Jesús Rodríguez-Lozano, Trinidad Valle-Madrazo, Adrian Aginagalde-Llorente",,,verified,,,2026-01-27T09:13:11.500137
10,12879_2023_Article_8407,37365505,"Estimating the serial intervals of SARS-CoV-2 Omicron BA.4, BA.5, and BA.2.12.1 variants in Hong Kong.",36824395,10.1111/irv.13105,2023,"Guo Z, Zhao S, Yam CHK, Li C, Jiang X, Chow TY, Chong KC, Yeoh EK",Influenza and other respiratory viruses,,verified,,,2026-01-27T09:13:52.375597
10,12879_2023_Article_8407,37365505,"Comparing the incubation period, serial interval, and infectiousness profile between SARS-CoV-2 Omicron and Delta variants.",36892159,10.1002/jmv.28648,2023,"Guo Z, Zhao S, Mok CKP, So RTY, Yam CHK, Chow TY, Chan TCP, Wei Y, Jia KM, Wang MH, Chong KC, Yeoh EK",Journal of medical virology,,verified,,,2026-01-27T09:14:10.870399
10,12879_2023_Article_8407,37365505,Estimation of Serial Interval and Reproduction Number to Quantify the Transmissibility of SARS-CoV-2 Omicron Variant in South Korea.,35336939,10.3390/v14030533,2022,"Kim D, Ali ST, Kim S, Jo J, Lim JS, Lee S, Ryu S",Viruses,,verified,,,2026-01-27T09:15:36.286465
10,12879_2023_Article_8407,37365505,"Serial Intervals for SARS-CoV-2 Omicron and Delta Variants, Belgium, November 19-December 31, 2021.",35732195,10.3201/eid2808.220220,2022,"Kremer C, Braeye T, Proesmans K, André E, Torneri A, Hens N",Emerging infectious diseases,,verified,,,2026-01-27T09:16:00.376645
10,12879_2023_Article_8407,37365505,"Transmission and containment of the SARS-CoV-2 Delta variant of concern in Guangzhou, China: A population-based study.",34986169,10.1371/journal.pntd.0010048,2022,"Li L, Han ZG, Qin PZ, Liu WH, Yang Z, Chen ZQ, Li K, Xie CJ, Ma Y, Wang H, Huang Y, Fan SJ, Yan ZL, Ou CQ, Luo L",PLoS neglected tropical diseases,,verified,,,2026-01-27T09:16:16.307653
10,12879_2023_Article_8407,37365505,"SARS-CoV-2 Delta Variant in Jingmen City, Hubei Province, China, 2021: Children Susceptible and Vaccination Breakthrough Infection.",35495649,10.3389/fmicb.2022.856757,2022,"Li D, Li AE, Li ZQ, Bao Y, Liu T, Qin XR, Yu XJ",Frontiers in microbiology,,verified,,,2026-01-27T09:17:31.053653
10,12879_2023_Article_8407,37365505,"A Small Surge in Incidence of SARS-CoV-2 Omicron Variant in the ""Dynamic Zero"" Period.",36950085,10.1155/2023/5262117,2023,"Li X, Li R, Lian Q, Wang Y, Gu W, Meng Q",The Canadian journal of infectious diseases & medical microbiology = Journal canadien des maladies infectieuses et de la microbiologie medicale,,verified,,,2026-01-27T09:17:54.431154
10,12879_2023_Article_8407,37365505,"A comparative study on epidemiological characteristics, transmissibility, and pathogenicity of three COVID-19 outbreaks caused by different variants",36736993,10.1016/j.ijid.2023.01.039,2023,"Chan Liu, Jianhua Lu, Peihua Li, Siyang Feng, Yichao Guo, Kangguo Li, Benhua Zhao, Yanhua Su, Tianmu Chen, Xuan Zou",,,verified,,,2026-01-27T09:18:55.272275
10,12879_2023_Article_8407,37365505,"Transmission Dynamics and Epidemiological Characteristics of the SARS-CoV-2 Delta Variant - Hunan Province, China, 2021.",36776461,10.46234/ccdcw2023.011,2023,"Luo K, Wu Y, Wang Y, Liu Z, Yi L, Zhao S, Yan X, Yang H, Sun K, Ajelli M, Hu S, Yu H",China CDC weekly,,verified,,,2026-01-27T09:20:31.077044
10,12879_2023_Article_8407,37365505,"Epidemiology of Infections with SARS-CoV-2 Omicron BA.2 Variant, Hong Kong, January-March 2022.",35914518,10.3201/eid2809.220613,2022,"Mefsin YM, Chen D, Bond HS, Lin Y, Cheung JK, Wong JY, Ali ST, Lau EHY, Wu P, Leung GM, Cowling BJ",Emerging infectious diseases,,verified,,,2026-01-27T09:20:55.440088
10,12879_2023_Article_8407,37365505,Shorter Incubation Period among Unvaccinated Delta Variant Coronavirus Disease 2019 Patients in Japan.,35162151,10.3390/ijerph19031127,2022,"Ogata T, Tanaka H, Irie F, Hirayama A, Takahashi Y",International journal of environmental research and public health,,verified,,,2026-01-27T09:21:14.643331
10,12879_2023_Article_8407,37365505,"Widespread Household Transmission of SARS-CoV-2 B.1.1.529 (Omicron) Variant from Children, South Korea, 2022.",37114638,10.3349/ymj.2022.0608,2023,"Park E, Choi SY, Lee S, Kim M, Lee K, Lee S, Yoon S, Kim N, Oh WS, Kim E, Kim BI, Song JS",Yonsei medical journal,,verified,,,2026-01-27T09:21:35.653007
10,12879_2023_Article_8407,37365505,Serial interval distribution of SARS-CoV-2 infection in Brazil.,32710618,10.1093/jtm/taaa115,2021,"Prete CA, Buss L, Dighe A, Porto VB, da Silva Candido D, Ghilardi F, Pybus OG, de Oliveira WK, Croda JHR, Sabino EC, Faria NR, Donnelly CA, Nascimento VH",Journal of travel medicine,,verified,,,2026-01-27T09:21:55.041982
10,12879_2023_Article_8407,37365505,Serial intervals in SARS-CoV-2 B.1.617.2 variant cases.,34388398,10.1016/S0140-6736(21)01697-4,2021,"Pung R, Mak TM, CMMID COVID-19 working group, Kucharski AJ, Lee VJ","Lancet (London, England)",,verified,,,2026-01-27T09:22:13.917726
10,12879_2023_Article_8407,37365505,"Serial Interval and Transmission Dynamics during SARS-CoV-2 Delta Variant Predominance, South Korea.",34906289,10.3201/eid2802.211774,2022,"Ryu S, Kim D, Lim JS, Ali ST, Cowling BJ",Emerging infectious diseases,,verified,,,2026-01-27T09:22:34.795181
10,12879_2023_Article_8407,37365505,"Transmission Potential of the Omicron Variant of Severe Acute Respiratory Syndrome Coronavirus 2 in South Korea, 25 November 2021-8 January 2022.",35855956,10.1093/ofid/ofac248,2022,"Shim E, Choi W, Kwon D, Kim T, Song Y",Open forum infectious diseases,,verified,,,2026-01-27T09:22:58.300338
10,12879_2023_Article_8407,37365505,"Serial Intervals and Household Transmission of SARS-CoV-2 Omicron Variant, South Korea, 2021.",35107418,10.3201/eid2803.212607,2022,"Song JS, Lee J, Kim M, Jeong HS, Kim MS, Kim SG, Yoo HN, Lee JJ, Lee HY, Lee SE, Kim EJ, Rhee JE, Kim IH, Park YJ",Emerging infectious diseases,,verified,,,2026-01-27T09:23:25.740799
10,12879_2023_Article_8407,37365505,"Dynamic characteristics of a COVID-19 outbreak in Nanjing, Jiangsu province, China.",36483256,10.3389/fpubh.2022.933075,2022,"Wang J, Ma T, Ding S, Xu K, Zhang M, Zhang Z, Dai Q, Tao S, Wang H, Cheng X, He M, Du X, Feng Z, Yang H, Wang R, Xie C, Xu Y, Liu L, Chen X, Li C, Wu W, Ye S, Yang S, Fan H, Zhou N, Ding J",Frontiers in public health,,verified,,,2026-01-27T09:23:47.357216
10,12879_2023_Article_8407,37365505,"Transmission Characteristics and Inactivated Vaccine Effectiveness Against Transmission of SARS-CoV-2 Omicron BA.5 Variants in Urumqi, China.",36995713,10.1001/jamanetworkopen.2023.5755,2023,"Wang K, Guo Z, Zeng T, Sun S, Lu Y, Wang J, Li S, Luan Z, Li H, Zhang J, Wang Y, Lu Y, Zhao S",JAMA network open,,verified,,,2026-01-27T09:24:18.066217
10,12879_2023_Article_8407,37365505,"Household transmission of SARS-CoV-2 during the Omicron wave in Shanghai, China: A case-ascertained study.",36843225,10.1111/irv.13097,2023,"Wei Z, Ma W, Wang Z, Li J, Fu X, Chang H, Qiu Y, Tian H, Zhu Y, Xia A, Wu Q, Liu G, Zhai X, Zhang X, Wang Y, Zeng M",Influenza and other respiratory viruses,,verified,,,2026-01-27T09:24:39.906078
10,12879_2023_Article_8407,37365505,Genomic surveillance of SARS-CoV-2 Omicron variants on a university campus.,36068236,10.1038/s41467-022-32786-z,2022,"Weil AA, Luiten KG, Casto AM, Bennett JC, O'Hanlon J, Han PD, Gamboa LS, McDermot E, Truong M, Gottlieb GS, Acker Z, Wolf CR, Magedson A, Chow EJ, Lo NK, Pothan LC, McDonald D, Wright TC, McCaffrey KM, Figgins MD, Englund JA, Boeckh M, Lockwood CM, Nickerson DA, Shendure J, Bedford T, Hughes JP, Starita LM, Chu HY",Nature communications,,verified,,,2026-01-27T09:25:09.993353
10,12879_2023_Article_8407,37365505,"Serial Intervals and Incubation Periods of SARS-CoV-2 Omicron and Delta Variants, Singapore.",36878009,10.3201/eid2904.220854,2023,"Zeng K, Santhya S, Soong A, Malhotra N, Pushparajah D, Thoon KC, Yeo B, Ho ZJM, Cheng MCI",Emerging infectious diseases,,verified,,,2026-01-27T09:25:29.441867
