PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Keywords,Abstract,screening_stage,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,transmission_score,transmission_justification,fulltext_status,fulltext_path
36577095,,VV116 versus Nirmatrelvir-Ritonavir for Oral Treatment of Covid-19.,"Cao Z, Gao W, Bao H, Feng H, Mei S, Chen P, Gao Y, Cui Z, Zhang Q, Meng X, Gui H, Wang W, Jiang Y, Song Z, Shi Y, Sun J, Zhang Y, Xie Q, Xu Y, Ning G, Gao Y, Zhao R.",N Engl J Med. 2023 Feb 2;388(5):406-417. doi: 10.1056/NEJMoa2208822. Epub 2022 Dec 28.,Cao,The New England journal of medicine,2023,2022/12/28,PMC9812289,,10.1056/NEJMoa2208822,"[MeSH] Adult; [MeSH] Humans; [MeSH] Antiviral Agents; [MeSH] COVID-19; [MeSH] COVID-19 Drug Treatment; [MeSH] Ritonavir; [MeSH] SARS-CoV-2; [MeSH] Administration, Oral; [MeSH] Single-Blind Method; [MeSH] Disease Progression; [MeSH] Adenosine; [MeSH] Lactams; [MeSH] Leucine; [MeSH] Nitriles; [MeSH] Proline; [MeSH] Drug Combinations","BACKGROUND: Nirmatrelvir-ritonavir has been authorized for emergency use by many countries for the treatment of coronavirus disease 2019 (Covid-19). However, the supply falls short of the global demand, which creates a need for more options. VV116 is an oral antiviral agent with potent activity against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). METHODS: We conducted a phase 3, noninferiority, observer-blinded, randomized trial during the outbreak caused by the B.1.1.529 (omicron) variant of SARS-CoV-2. Symptomatic adults with mild-to-moderate Covid-19 with a high risk of progression were assigned to receive a 5-day course of either VV116 or nirmatrelvir-ritonavir. The primary end point was the time to sustained clinical recovery through day 28. Sustained clinical recovery was defined as the alleviation of all Covid-19-related target symptoms to a total score of 0 or 1 for the sum of each symptom (on a scale from 0 to 3, with higher scores indicating greater severity; total scores on the 11-item scale range from 0 to 33) for 2 consecutive days. A lower boundary of the two-sided 95% confidence interval for the hazard ratio of more than 0.8 was considered to indicate noninferiority (with a hazard ratio of >1 indicating a shorter time to sustained clinical recovery with VV116 than with nirmatrelvir-ritonavir). RESULTS: A total of 822 participants underwent randomization, and 771 received VV116 (384 participants) or nirmatrelvir-ritonavir (387 participants). The noninferiority of VV116 to nirmatrelvir-ritonavir with respect to the time to sustained clinical recovery was established in the primary analysis (hazard ratio, 1.17; 95% confidence interval [CI], 1.01 to 1.35) and was maintained in the final analysis (median, 4 days with VV116 and 5 days with nirmatrelvir-ritonavir; hazard ratio, 1.17; 95% CI, 1.02 to 1.36). In the final analysis, the time to sustained symptom resolution (score of 0 for each of the 11 Covid-19-related target symptoms for 2 consecutive days) and to a first negative SARS-CoV-2 test did not differ substantially between the two groups. No participants in either group had died or had had progression to severe Covid-19 by day 28. The incidence of adverse events was lower in the VV116 group than in the nirmatrelvir-ritonavir group (67.4% vs. 77.3%). CONCLUSIONS: Among adults with mild-to-moderate Covid-19 who were at risk for progression, VV116 was noninferior to nirmatrelvir-ritonavir with respect to the time to sustained clinical recovery, with fewer safety concerns. (Funded by Vigonvita Life Sciences and others; ClinicalTrials.gov number, NCT05341609; Chinese Clinical Trial Registry number, ChiCTR2200057856.).",title_abstract,unlikely_candidate,3,"This is an Omicron-era clinical treatment RCT in humans with original data, but it focuses on clinical recovery, symptom resolution, and viral test negativity rather than transmission dynamics. There is no explicit estimation or reporting of serial interval or generation time in the title/abstract/keywords.",4,Focuses on COVID-19/SARS-CoV-2 and explicitly states the outbreak was caused by the B.1.1.529 (Omicron) variant.,4,Explicitly includes symptomatic adult humans with mild-to-moderate COVID-19 at high risk of progression.,2,"Real-world clinical trial setting is implied, but no geographic location is provided in the title/abstract/keywords.",4,Phase 3 randomized noninferiority trial with 822 randomized participants and reported clinical endpoints and safety outcomes.,0,"No mention of serial interval, generation time, infectivity profiles, or contact-tracing-based transmission timing; endpoints are clinical recovery and time to negative test.",,
36048527,,SARS-CoV-2 reinfections during the Delta and Omicron waves.,"Morris CP, Eldesouki RE, Fall A, Gaston DC, Norton JM, Gallagher ND, Luo CH, Abdullah O, Klein EY, Mostafa HH.",JCI Insight. 2022 Oct 24;7(20):e162007. doi: 10.1172/jci.insight.162007.,Morris,JCI insight,2022,2022/9/1,PMC9714778,,10.1172/jci.insight.162007,Diagnostics; Infectious disease,"BACKGROUNDIncreased SARS-CoV-2 reinfection rates have been reported recently, with some locations basing reinfection on a second positive PCR test at least 90 days after initial infection. In this study, we used Johns Hopkins SARS-CoV-2 genomic surveillance data to evaluate the frequency of sequencing-validated, confirmed, and inferred reinfections between March 2020 and July 2022.METHODSPatients who had 2 or more positive SARS-CoV-2 tests in our system, with samples sequenced as a part of our surveillance efforts, were identified as the cohort for our study. SARS-CoV-2 genomes of patients' initial and later samples were compared.RESULTSA total of 755 patients (920 samples) had a positive test at least 90 days after the initial test, with a median time between tests of 377 days. Sequencing was attempted on 231 samples and was successful in 127. Rates of successful sequencing spiked during the Omicron surge; there was a higher median number of days from initial infection in these cases compared with those with failed sequences. A total of 122 (98%) patients showed evidence of reinfection; 45 of these patients had sequence-validated reinfection and 77 had inferred reinfections (later sequencing showed a clade that was not circulating when the patient was initially infected). Of the 45 patients with sequence-validated reinfections, 43 (96%) had reinfections that were caused by the Omicron variant, 41 (91%) were symptomatic, 32 (71%) were vaccinated prior to the second infection, 6 (13%) were immunosuppressed, and only 2 (4%) were hospitalized.CONCLUSIONSequence-validated reinfections increased with the Omicron surge but were generally associated with mild infections.FUNDINGFunding was provided by the Johns Hopkins Center of Excellence in Influenza Research and Surveillance (HHSN272201400007C), CDC (75D30121C11061), Johns Hopkins University President's Fund Research Response, Johns Hopkins Department of Pathology, and the Maryland Department of Health.",title_abstract,unlikely_candidate,3,"This is an original human genomic surveillance study explicitly involving Delta/Omicron and reinfection characterization, but it does not indicate estimation of serial interval or generation time (focus is time between infections and reinfection frequency/severity, not transmission timing between cases). Therefore it is unlikely to answer the review’s main parameters.",4,Explicitly about SARS-CoV-2 reinfections during the Delta and Omicron waves and uses genomic/clade information to classify reinfections by variant.,4,Includes patients in a health system with repeated SARS-CoV-2 positive tests; clearly a human population study.,2,"Data come from the Johns Hopkins health system genomic surveillance program (implying a real-world setting in the US/Maryland area), though the abstract does not explicitly state the geographic location.",4,Reports an original cohort analysis of patients with repeated positive tests and sequencing comparisons using Johns Hopkins genomic surveillance data (March 2020–July 2022).,0,"No mention of serial interval, generation time, or transmission-pair timing; reported timing is between a person’s infections (reinfection interval), not between infector–infectee symptom onset/infection times.",,
36847705,,Neuropathological features of SARS-CoV-2 delta and omicron variants.,"Normandin E, Valizadeh N, Rudmann EA, Uddin R, Dobbins ST, MacInnis BL, Padera RF, Siddle KJ, Lemieux JE, Sabeti PC, Mukerji SS, Solomon IH.",J Neuropathol Exp Neurol. 2023 Mar 20;82(4):283-295. doi: 10.1093/jnen/nlad015.,Normandin,Journal of neuropathology and experimental neurology,2023,2023/2/27,PMC10025880,,10.1093/jnen/nlad015,COVID-19; Delta; Neuropathology; Omicron; SARS-CoV-2,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is continually evolving resulting in variants with increased transmissibility, more severe disease, reduced effectiveness of treatments or vaccines, or diagnostic detection failure. The SARS-CoV-2 Delta variant (B.1.617.2 and AY lineages) was the dominant circulating strain in the United States from July to mid-December 2021, followed by the Omicron variant (B.1.1.529 and BA lineages). Coronavirus disease 2019 (COVID-19) has been associated with neurological sequelae including loss of taste/smell, headache, encephalopathy, and stroke, yet little is known about the impact of viral strain on neuropathogenesis. Detailed postmortem brain evaluations were performed for 22 patients from Massachusetts, including 12 who died following infection with Delta variant and 5 with Omicron variant, compared to 5 patients who died earlier in the pandemic. Diffuse hypoxic injury, occasional microinfarcts and hemorrhage, perivascular fibrinogen, and rare lymphocytes were observed across the 3 groups. SARS-CoV-2 protein and RNA were not detected in any brain samples by immunohistochemistry, in situ hybridization, or real-time quantitative PCR. These results, although preliminary, demonstrate that, among a subset of severely ill patients, similar neuropathological features are present in Delta, Omicron, and non-Delta/non-Omicron variant patients, suggesting that SARS-CoV-2 variants are likely to affect the brain by common neuropathogenic mechanisms.",title_abstract,unlikely_candidate,3,"Although it is clearly about SARS-CoV-2 Delta and Omicron in humans and presents original empirical data, the outcomes are neuropathology and viral detection in brain tissue. There is no indication the study estimates serial interval or generation time (or related transmission timing), making it unlikely to address the review question.",4,Explicitly studies SARS-CoV-2/COVID-19 and compares Delta (B.1.617.2/AY) and Omicron (B.1.1.529/BA) variants.,4,Human postmortem brain evaluations in 22 patients who died following SARS-CoV-2 infection.,4,"Study population is from Massachusetts, United States (geographic setting is clear).",4,Reports original empirical data from detailed postmortem examinations and laboratory assays (IHC/ISH/qPCR).,0,"Focuses on neuropathological findings; does not report or estimate serial interval, generation time, or other transmission-timing metrics.",,
36965504,,"Wastewater concentrations of human influenza, metapneumovirus, parainfluenza, respiratory syncytial virus, rhinovirus, and seasonal coronavirus nucleic-acids during the COVID-19 pandemic: a surveillance study.","Boehm AB, Hughes B, Duong D, Chan-Herur V, Buchman A, Wolfe MK, White BJ.",Lancet Microbe. 2023 May;4(5):e340-e348. doi: 10.1016/S2666-5247(22)00386-X. Epub 2023 Mar 22.,Boehm,The Lancet. Microbe,2023,2023/3/25,PMC10032662,,10.1016/S2666-5247(22)00386-X,"[MeSH] Humans; [MeSH] Influenza, Human; [MeSH] Metapneumovirus; [MeSH] Rhinovirus; [MeSH] Wastewater; [MeSH] Nucleic Acids; [MeSH] Seasons; [MeSH] Pandemics; [MeSH] Retrospective Studies; [MeSH] Respiratory Tract Infections; [MeSH] COVID-19; [MeSH] SARS-CoV-2; [MeSH] Respiratory Syncytial Virus, Human; [MeSH] Paramyxoviridae Infections; [MeSH] Virus Diseases; [MeSH] Respiratory Syncytial Virus Infections; [MeSH] Influenza B virus; [MeSH] RNA, Viral","BACKGROUND: Respiratory disease is a major cause of morbidity and mortality; however, surveillance for circulating respiratory viruses is passive and biased. Wastewater-based epidemiology has been used to understand SARS-CoV-2, influenza A, and respiratory syncytial virus (RSV) infection rates at a community level but has not been used to investigate other respiratory viruses. We aimed to use wastewater-based epidemiology to understand community viral respiratory infection occurrence. METHODS: A retrospective wastewater-based epidemiology surveillance study was carried out at a large wastewater treatment plant located in California, USA. Using droplet digital RT-PCR, we measured RNA concentrations of influenza A and influenza B viruses, RSV A and RSV B, parainfluenza (1-4) viruses, rhinovirus, seasonal coronaviruses, and metapneumovirus in wastewater solids three times per week for 17 months (216 samples) between Feb 1, 2021, and June 21, 2022. Novel probe-based RT-PCR assays for non-influenza viral targets were developed and validated. We compared viral RNA concentrations to positivity rates for viral infections from clinical specimens submitted to California Sentinel Clinical Laboratories (sentinel laboratories) to assess concordance between the two datasets. FINDINGS: We detected RNA from all tested viruses in wastewater solids. Human rhinovirus (median concentration 4300 [0-9500] copies per gram dry weight) and seasonal human coronaviruses (35 000 [17 000-56 000]) were found at the highest concentrations. Concentrations of viral RNA correlated significantly and positively with positivity rates of associated viral diseases from sentinel laboratories (tau 0·32-0·57, p<0·0009); the only exceptions were influenza B and RSV A, which were rarely detected in wastewater solids. Measurements from wastewater indicated coronavirus OC43 dominated the seasonal human coronavirus infections whereas parainfluenza 3 dominated among parainfluenza infections during the study period. Concentrations of all tested viral RNA decreased noticeably after the omicron BA.1 surge suggesting a connection between changes in human behaviour during the surge and transmission of all respiratory viruses. INTERPRETATION: Wastewater-based epidemiology can be used to obtain information on circulation of respiratory viruses at a localised, community level without the need to test many individuals because a single sample of wastewater represents the entire contributing community. Results from wastewater can be available within 24 h of sample collection, generating real time information to inform public health responses, clinical decision making, and individual behaviour modifications. FUNDING: CDC Foundation.",title_abstract,unlikely_candidate,2,This is a wastewater surveillance study of multiple respiratory viruses during the COVID-19 pandemic and mentions the Omicron BA.1 surge only as a temporal marker for changes in behavior/transmission. It does not aim to estimate or report SARS-CoV-2 serial interval or generation time (nor variant-specific transmission timing parameters).,1,"Although COVID-19/SARS-CoV-2 is mentioned (including Omicron BA.1 surge), the study’s primary targets are influenza/RSV/parainfluenza/rhinovirus/seasonal coronaviruses rather than SARS-CoV-2 variants, and it does not investigate SARS-CoV-2 lineage effects.",3,"Community-level wastewater surveillance reflects human populations (treatment plant catchment), and keywords include Humans.",4,"Clearly conducted at a wastewater treatment plant in California, USA.",4,Reports original retrospective empirical measurements (ddRT-PCR on 216 wastewater samples) and analyses versus sentinel lab positivity rates.,0,No estimation or reporting of serial interval or generation time; focuses on wastewater RNA concentrations and correlations with clinical positivity rates.,,
35732195,✓,"Serial Intervals for SARS-CoV-2 Omicron and Delta Variants, Belgium, November 19-December 31, 2021.","Kremer C, Braeye T, Proesmans K, André E, Torneri A, Hens N.",Emerg Infect Dis. 2022 Aug;28(8):1699-1702. doi: 10.3201/eid2808.220220. Epub 2022 Jun 22.,Kremer,Emerging infectious diseases,2022,2022/6/22,PMC9328897,,10.3201/eid2808.220220,Belgium; COVID-19; SARS-CoV-2; coronavirus disease; respiratory infections; serial interval; severe acute respiratory syndrome coronavirus 2; vaccine-preventable diseases; variants of concern; viruses; zoonoses,"We investigated the serial interval for SARS-CoV-2 Omicron BA.1 and Delta variants and observed a shorter serial interval for Omicron, suggesting faster transmission. Results indicate a relationship between empirical serial interval and vaccination status for both variants. Further assessment of the causes and extent of Omicron dominance over Delta is warranted.",title_abstract,strong_candidate,4,"Directly estimates the serial interval for Omicron BA.1 and Delta using empirical data in a defined human population and setting (Belgium). Serial interval is the primary outcome and central study focus, making it highly relevant to the review question (even if generation time is not explicitly mentioned in the abstract).",4,Explicitly studies SARS-CoV-2/COVID-19 and compares Omicron BA.1 and Delta variants.,4,"Study concerns SARS-CoV-2 transmission in Belgium with serial intervals and vaccination status, implying human cases/contacts.",4,"Clearly conducted in Belgium with specified study period (Nov 19–Dec 31, 2021).",4,"Describes an empirical investigation estimating serial intervals and associations with vaccination status, indicating original data analysis (not a review/commentary).",4,"Explicitly investigates and reports serial interval, comparing Omicron BA.1 vs Delta; this is a core transmission-timing metric relevant to generation time/serial interval questions.",,
35176230,,Generation time of the alpha and delta SARS-CoV-2 variants: an epidemiological analysis.,"Hart WS, Miller E, Andrews NJ, Waight P, Maini PK, Funk S, Thompson RN.",Lancet Infect Dis. 2022 May;22(5):603-610. doi: 10.1016/S1473-3099(22)00001-9. Epub 2022 Feb 14.,Hart,The Lancet. Infectious diseases,2022,2022/2/17,PMC8843191,,10.1016/S1473-3099(22)00001-9,[MeSH] COVID-19; [MeSH] Contact Tracing; [MeSH] Humans; [MeSH] Prospective Studies; [MeSH] SARS-CoV-2,"BACKGROUND: In May, 2021, the delta (B.1.617.2) SARS-CoV-2 variant became dominant in the UK, superseded by the omicron (B.1.1.529) variant in December, 2021. The delta variant is associated with increased transmissibility compared with the alpha variant, which was the dominant variant in the UK between December, 2020, and May, 2021. To understand transmission and the effectiveness of interventions, we aimed to investigate whether the delta variant generation time (the interval between infections in infector-infectee pairs) is shorter-ie, transmissions are happening more quickly-than that of the alpha variant. METHODS: In this epidemiological analysis, we analysed transmission data from an ongoing UK Health Security Agency (UKHSA) prospective household study. Households were recruited to the study after an index case had a positive PCR test and genomic sequencing was used to determine the variant responsible. By fitting a mathematical transmission model to the data, we estimated the intrinsic generation time (which assumes a constant supply of susceptible individuals throughout infection) and the household generation time (which reflects realised transmission in the study households, accounting for susceptible depletion) for the alpha and delta variants. FINDINGS: Between February and August, 2021, 227 households consisting of 559 participants were recruited to the UKHSA study. The alpha variant was detected or assumed to be responsible for infections in 131 households (243 infections in 334 participants) recruited in February-May, and the delta variant in 96 households (174 infections in 225 participants) in May-August. The mean intrinsic generation time was shorter for the delta variant (4·7 days, 95% credible interval [CI] 4·1-5·6) than the alpha variant (5·5 days, 4·7-6·5), with 92% posterior probability. The mean household generation time was 28% (95% CI 0-48%) shorter for the delta variant (3·2 days, 95% CI 2·5-4·2) than the alpha variant (4·5 days, 3·7-5·4), with 97·5% posterior probability. INTERPRETATION: The delta variant transmits more quickly in households than the alpha variant, which can be attributed to faster depletion of susceptible individuals in households and a possible decrease in the intrinsic generation time. Interventions such as contact tracing, testing, and isolation might be less effective if transmission of the virus occurs quickly. FUNDING: National Institute for Health Research, UK Health Security Agency, Engineering and Physical Sciences Research Council, and UK Research and Innovation.",title_abstract,strong_candidate,4,"This is an empirical human household transmission study explicitly estimating generation time and comparing Alpha vs Delta, directly aligned with the review question’s key parameters. It provides quantitative estimates (intrinsic and household generation times) with uncertainty intervals from UK contact-tracing/household data.",4,Explicitly focuses on SARS-CoV-2/COVID-19 and compares specific variants (Alpha and Delta; lineages named). Variant-specific transmission timing is central to the objective.,4,Human participants in households are explicitly studied (prospective household study; contact tracing context).,4,Study is conducted in the UK using UKHSA prospective household study data (clear geographic setting).,4,"Reports analysis of primary prospective household transmission data (227 households, 559 participants) with model fitting to observed transmissions.",4,Primary aim is to estimate and compare generation time between variants; reports mean intrinsic and household generation times with credible intervals.,,
34906289,✓,"Serial Interval and Transmission Dynamics during SARS-CoV-2 Delta Variant Predominance, South Korea.","Ryu S, Kim D, Lim JS, Ali ST, Cowling BJ.",Emerg Infect Dis. 2022 Feb;28(2):407-410. doi: 10.3201/eid2802.211774. Epub 2021 Dec 14.,Ryu,Emerging infectious diseases,2022,2021/12/15,PMC8798673,,10.3201/eid2802.211774,COVID-19; Delta variant; SARS-CoV-2; South Korea; coronavirus disease; respiratory infections; severe acute respiratory syndrome coronavirus 2; superspreading; transmissibility; viruses; zoonoses,"We estimated mean serial interval and superspreading potential for the Delta variant of severe acute respiratory syndrome coronavirus 2 in South Korea. Intervals were similar for the first (3.7 days) and second (3.5 days) study periods. Risk for superspreading events was also similar; 23% and 25% of cases, respectively, seeded 80% of transmissions.",title_abstract,strong_candidate,4,"This paper directly estimates serial interval during Delta variant predominance and quantifies transmission dynamics using empirical data in a human population in South Korea. It closely matches the review’s key outcome and variant focus, making it a strong candidate for full-text assessment (including whether generation time is also estimated).",4,"Focuses on SARS-CoV-2/COVID-19 and explicitly on the Delta variant, matching the variant-specific disease criterion.",4,"Transmission parameters (serial interval, superspreading) are estimated from human SARS-CoV-2 cases; no indication of animal/in vitro work.",4,"Study is conducted in South Korea, a real-world geographic setting clearly specified in the title/abstract.",4,"Reports estimated serial intervals and superspreading metrics across defined study periods, implying analysis of empirical transmission data (not a review or commentary).",4,Explicitly estimates the mean serial interval for the SARS-CoV-2 Delta variant and discusses transmission dynamics (superspreading). Serial interval is central to the study objective.,,
35445415,,SARS-CoV-2 Delta-variant breakthrough infections in nursing home residents at midterm after Comirnaty® COVID-19 vaccination.,"Torres I, Bellido-Blasco JB, Gimeno C, Burgos JS, Albert E, Moya-Malo R, Gascó-Laborda JC, Tornero A, Soriano J, Meseguer-Ferrer N, Martínez-Serrano M, Ortíz-Rambla J, Buj H, Hernández N, Peiró S, Salas D, Limón R, Vanaclocha H, Sánchez-Payá J, Díez-Domingo J, Comas I, González-Candelas F, Navarro D; Valencian vaccine research program (ProVaVac) study group.",J Med Virol. 2022 Aug;94(8):3776-3782. doi: 10.1002/jmv.27799. Epub 2022 Apr 27.,Torres,Journal of medical virology,2022,2022/4/21,PMC9088586,,10.1002/jmv.27799,Comirnaty® COVID-19 vaccine; SARS-CoV-2 Delta variant; anti-spike antibodies; breakthrough infection; nursing home residents; spike-reactive T cells,"Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) Delta variant breakthrough infections in nursing home residents following vaccination with Comirnaty® COVID-19 vaccine were characterized. In total, 201 participants (median age, 87 years; range, 64-100; 133 female) from two nursing homes in the Valencian community (Spain) were included. SARS-CoV-2-Spike (S) antibody responses were determined by a lateral flow immunocromatography (LFIC) assay and by quantitative electrochemiluminescent assay in LFIC-negative participants. SARS-CoV-2-S-IFNγ T cells were enumerated by flow cytometry in 10 participants. Nasopharyngeal SARS-CoV-2 RNA loads were quantified by real-time polymerase chain reaction assays. Vaccine breakthrough COVID-19 due to the Delta variant occurred in 39 residents (median age, 87 years; range, 69-96; 31 female) at a median of 6.5 months after vaccination (nine requiring hospitalization). Breakthrough infections occurred at a higher rate (p < 0.0001) in residents who had not been previously infected with SARS-CoV-2 (naïve) (33/108; 18%) than in those with prior diagnosis of SARS-CoV-2 infection (experienced) (6/93; 6.4%), and were more likely (p < 0.0001) to develop in residents who tested negative by LFIC (20/49) at 3 months after vaccination as compared to their LFIC-positive counterparts (19/142). Among LFIC-negative residents, a trend towards lower plasma anti-RBD antibody levels was noticed in those developing breakthrough infection (p = 0.16). SARS-CoV-2 RNA loads in nasopharyngeal specimens were lower in SARS-CoV-2-experienced residents (p < 0.001) and in those testing positive by LFIC (p = 0.13). The frequency of SARS-CoV-2-S-reactive T cells at 3 months was similar in LFIC-negative residents with (n = 7) or without (n = 3) breakthrough infection. Prior history of SARS-CoV-2 infection and detection of S-reactive antibodies by LFIC at 3 months is associated with a lower risk of Delta-variant breakthrough infection in nursing home residents at midterm after Comirnaty® COVID-19 vaccination.",title_abstract,unlikely_candidate,3,"Although this is an original human study explicitly about SARS-CoV-2 Delta variant breakthrough infections, it does not address transmission timing parameters. The abstract provides no indication that serial interval or generation time were estimated or could be derived from the described measurements.",4,Explicitly investigates SARS-CoV-2 COVID-19 breakthrough infections due to the Delta variant.,4,Study participants are human nursing home residents (older adults) in Spain.,4,Conducted in two nursing homes in the Valencian community (Spain).,4,Reports original empirical data from 201 residents including antibody/T-cell measurements and PCR viral loads.,0,"Focus is on vaccine breakthrough infections, immune responses, and viral RNA loads; no explicit estimation or reporting of serial interval or generation time is described in the abstract.",,
36878009,✓,"Serial Intervals and Incubation Periods of SARS-CoV-2 Omicron and Delta Variants, Singapore.","Zeng K, Santhya S, Soong A, Malhotra N, Pushparajah D, Thoon KC, Yeo B, Ho ZJM, Cheng MCI.",Emerg Infect Dis. 2023 Apr;29(4):814-817. doi: 10.3201/eid2904.220854. Epub 2023 Mar 6.,Zeng,Emerging infectious diseases,2023,2023/3/6,PMC10045676,,10.3201/eid2904.220854,COVID-19; Delta; Omicron; SARS-CoV-2; Singapore; coronavirus disease; incubation period; respiratory infections; serial interval; severe acute respiratory syndrome coronavirus 2; variant of concern; viruses; zoonoses,We compared serial intervals and incubation periods for SARS-CoV-2 Omicron BA.1 and BA.2 subvariants and Delta variants in Singapore. Median incubation period was 3 days for BA.1 versus 4 days for Delta. Serial interval was 2 days for BA.1 and 3 days for BA.2 but 4 days for Delta.,title_abstract,strong_candidate,4,Directly estimates serial interval for Omicron (BA.1/BA.2) and Delta in a real-world human setting (Singapore) and reports numerical results in the abstract. This aligns centrally with the review question; generation time is not explicitly mentioned but serial interval is a primary outcome.,4,Study explicitly investigates SARS-CoV-2/COVID-19 and compares specific variants/subvariants (Omicron BA.1/BA.2 vs Delta).,4,"Focus is on SARS-CoV-2 infections in Singapore, implying human transmission pairs; no indication of animal or in vitro work.",4,Conducted in Singapore (explicitly stated in title/abstract).,4,"Reports estimated incubation periods and serial intervals for Omicron and Delta in Singapore, implying analysis of empirical case/contact data (not a review/commentary).",4,Serial interval is explicitly measured and compared across Omicron BA.1/BA.2 and Delta; this is a core transmission timing parameter closely related to generation time.,,
35107418,✓,"Serial Intervals and Household Transmission of SARS-CoV-2 Omicron Variant, South Korea, 2021.","Song JS, Lee J, Kim M, Jeong HS, Kim MS, Kim SG, Yoo HN, Lee JJ, Lee HY, Lee SE, Kim EJ, Rhee JE, Kim IH, Park YJ.",Emerg Infect Dis. 2022 Mar;28(3):756-759. doi: 10.3201/eid2803.212607. Epub 2022 Feb 2.,Song,Emerging infectious diseases,2022,2022/2/2,PMC8888239,,10.3201/eid2803.212607,2019 novel coronavirus disease; COVID-19; Omicron; SARS-CoV-2; South Korea; coronavirus disease; respiratory infections; severe acute respiratory syndrome coronavirus 2; variant of concern; viruses; zoonoses,"To clarify transmissibility of the severe acute respiratory syndrome coronavirus 2 Omicron variant, we determined serial intervals and secondary attack rates among household contacts in South Korea. Mean serial interval for 12 transmission pairs was 2.9 days, and secondary attack rate among 25 households was 50.0%, raising concern about a rapid surge in cases.",title_abstract,strong_candidate,4,"Directly estimates serial interval for SARS-CoV-2 Omicron variant using human household transmission pairs in South Korea, which is central to the review question. Does not mention generation time, but serial interval is explicitly reported with original data.",4,Explicitly focuses on SARS-CoV-2 COVID-19 Omicron variant (variant of concern) and its transmissibility.,4,Household contacts in South Korea; clearly human transmission setting.,4,Study conducted in South Korea (explicitly stated in title/abstract).,4,Reports empirical estimates from observed household transmission pairs (12 pairs) and households (25) with computed serial intervals and secondary attack rates.,4,Explicitly estimates the serial interval (mean 2.9 days) from transmission pairs; also reports secondary attack rates in households.,,
