PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,screening_stage,screening_mode,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,parameter_score,parameter_justification,fulltext_status,fulltext_path,fulltext_eligible
32661375,,Immune-mediated approaches against COVID-19.,"Florindo HF, Kleiner R, Vaskovich-Koubi D, Acúrcio RC, Carreira B, Yeini E, Tiram G, Liubomirski Y, Satchi-Fainaro R.",Nat Nanotechnol. 2020 Aug;15(8):630-645. doi: 10.1038/s41565-020-0732-3. Epub 2020 Jul 13.,Florindo,Nature nanotechnology,2020,2020/07/15,PMC7355525,,10.1038/s41565-020-0732-3,"The coronavirus disease-19 (COVID-19) is caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). The long incubation period of this new virus, which is mostly asymptomatic yet contagious, is a key reason for its rapid spread across the world. Currently, there is no worldwide-approved treatment for COVID-19. Therefore, the clinical and scientific communities have joint efforts to reduce the severe impact of the outbreak. Research on previous emerging infectious diseases have created valuable knowledge that is being exploited for drug repurposing and accelerated vaccine development. Nevertheless, it is important to generate knowledge on SARS-CoV-2 mechanisms of infection and its impact on host immunity, to guide the design of COVID-19 specific therapeutics and vaccines suitable for mass immunization. Nanoscale delivery systems are expected to play a paramount role in the success of these prophylactic and therapeutic approaches. This Review provides an overview of SARS-CoV-2 pathogenesis and examines immune-mediated approaches currently explored for COVID-19 treatments, with an emphasis on nanotechnological tools.","[MeSH] Betacoronavirus; [MeSH] COVID-19; [MeSH] COVID-19 Vaccines; [MeSH] Coronavirus Infections; [MeSH] Humans; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2; [MeSH] Viral Vaccines",title_abstract,strict,unlikely_candidate,0,"Exclude: This is a review on immune-mediated treatments, vaccines, and pathogenesis of COVID-19, not a study estimating serial interval or generation time. The abstract contains no relevant transmission timing data.",,,,,,,,,,,,,
32232980,,COVID-19 epidemic: Disease characteristics in children.,"She J, Liu L, Liu W.",J Med Virol. 2020 Jul;92(7):747-754. doi: 10.1002/jmv.25807. Epub 2020 Apr 15.,She,Journal of medical virology,2020,2020/04/02,PMC7228385,,10.1002/jmv.25807,"In mid-December 2019, a disease caused by infection with severe acute respiratory syndrome coronavirus-2, which began in Wuhan, China, has spread throughout the country and many countries around the world. The number of children with coronavirus disease-2019 (COVID-19) has also increased significantly. Although information regarding the epidemiology of COVID-19 in children has accumulated, relevant comprehensive reports are lacking. The present article reviews the epidemiological characteristics of COVID-19 in children.",COVID-19; SARS-CoV-2; children; epidemiological characteristics,title_abstract,strict,unlikely_candidate,0,This paper is a review of epidemiological characteristics of COVID-19 in children and does not appear to report original estimates of serial interval or generation time. Therefore it is not directly relevant to the review question.,,,,,,,,,,,,,
34077063,,Epidemiology and Treatment Options for COVID-19: A Review.,"Adetuyi BO, Olajide PA, Awoyelu EH, Adetuyi OA, Adebisi OA, Oloke JK.",Afr J Reprod Health. 2020 Jun;24(s1):142-153. doi: 10.29063/ajrh2020/v24i2s.18.,Adetuyi,African journal of reproductive health,2020,2021/06/02,,,10.29063/ajrh2020/v24i2s.18,"The Coronavirus disease 19 (COVID-19) is a highly transmittable and pathogenic viral infection caused by severe acute respiratory syndrome Coronavirus 2 (SARS-CoV-2), which emerged in Wuhan, China and spread around the world. As of 19 June 2020 data from the World Health Organization (WHO) have shown that more than 8457305 confirmed cases have been identified in more than 200 countries, with the number of cases cutting across all continents. On 30th January 2020, the WHO declared COVID-19 as the sixth public health emergency of international concern. Genomic analysis revealed that SARS-CoV-2 is phylogenetically related to severe acute respiratory syndrome-like (SARS-like) bat viruses; therefore, bats could be the possible primary reservoir. The intermediate source of origin and transfer to humans is not known, however, the rapid human-to-human transfer has been confirmed widely via droplets or direct contact, and infection has been estimated to have mean incubation period of 6.4 days. Currently, controlling infection to prevent the spread of SARS-CoV-2 is the primary intervention being used. However, public health authorities should keep monitoring the situation closely, as the more we can learn about this novel virus and its associated outbreak, the better we can respond.",COVID-19; China; Genomic analysis; Phylogenetic; Remdesivir; SARS-CoV-2,title_abstract,strict,unlikely_candidate,0,Exclude: This is a general review on COVID-19 epidemiology and treatment options and does not appear to provide original estimates or focused analysis of serial interval or generation time. Mention of incubation period alone is not sufficient for inclusion.,,,,,,,,,,,,,
32594928,✓,"Estimation of incubation period and serial interval of COVID-19: analysis of 178 cases and 131 transmission chains in Hubei province, China.","Yang L, Dai J, Zhao J, Wang Y, Deng P, Wang J.",Epidemiol Infect. 2020 Jun 19;148:e117. doi: 10.1017/S0950268820001338.,Yang,Epidemiology and infection,2020,2020/06/30,PMC7324649,,10.1017/S0950268820001338,"A novel coronavirus disease, designated as COVID-19, has become a pandemic worldwide. This study aims to estimate the incubation period and serial interval of COVID-19. We collected contact tracing data in a municipality in Hubei province during a full outbreak period. The date of infection and infector-infectee pairs were inferred from the history of travel in Wuhan or exposed to confirmed cases. The incubation periods and serial intervals were estimated using parametric accelerated failure time models, accounting for interval censoring of the exposures. Our estimated median incubation period of COVID-19 is 5.4 days (bootstrapped 95% confidence interval (CI) 4.8-6.0), and the 2.5th and 97.5th percentiles are 1 and 15 days, respectively; while the estimated serial interval of COVID-19 falls within the range of -4 to 13 days with 95% confidence and has a median of 4.6 days (95% CI 3.7-5.5). Ninety-five per cent of symptomatic cases showed symptoms by 13.7 days (95% CI 12.5-14.9). The incubation periods and serial intervals were not significantly different between male and female, and among age groups. Our results suggest a considerable proportion of secondary transmission occurred prior to symptom onset. And the current practice of 14-day quarantine period in many regions is reasonable.",Coronavirus; epidemiology; incubation period; infectious disease; serial interval,title_abstract,strict,strong_candidate,4,"Include: This paper directly estimates the serial interval of COVID-19 using transmission-chain/contact tracing data, which matches the review question. It also reports incubation period estimates, but importantly provides serial interval estimates relevant to the review.",,,,,,,,,,,,,
32627172,,Estimation of incubation period and generation time based on observed length-biased epidemic cohort with censoring for COVID-19 outbreak in China.,"Deng Y, You C, Liu Y, Qin J, Zhou XH.",Biometrics. 2021 Sep;77(3):929-941. doi: 10.1111/biom.13325. Epub 2020 Jul 28.,Deng,Biometrics,2021,2020/07/07,PMC7362037,,10.1111/biom.13325,"The incubation period and generation time are key characteristics in the analysis of infectious diseases. The commonly used contact-tracing-based estimation of incubation distribution is highly influenced by the individuals' judgment on the possible date of exposure, and might lead to significant errors. On the other hand, interval censoring-based methods are able to utilize a much larger set of traveling data but may encounter biased sampling problems. The distribution of generation time is usually approximated by observed serial intervals. However, it may result in a biased estimation of generation time, especially when the disease is infectious during incubation. In this paper, the theory from renewal process is partially adopted by considering the incubation period as the interarrival time, and the duration between departure from Wuhan and onset of symptoms as the mixture of forward time and interarrival time with censored intervals. In addition, a consistent estimator for the distribution of generation time based on incubation period and serial interval is proposed for incubation-infectious diseases. A real case application to the current outbreak of COVID-19 is implemented. We find that the incubation period has a median of 8.50 days (95% confidence interval [CI] [7.22; 9.15]). The basic reproduction number in the early phase of COVID-19 outbreak based on the proposed generation time estimation is estimated to be 2.96 (95% CI [2.15; 3.86]).",deconvolution; interval censoring; mixture distribution; renewal process; serial interval,title_abstract,strict,strong_candidate,4,This paper is directly relevant because it estimates the generation time of COVID-19 and discusses serial interval-based estimation in the context of COVID-19 transmission. It therefore addresses the review question on serial interval and generation time.,,,,,,,,,,,,,
32237160,,Epidemiological analysis of COVID-19 and practical experience from China.,"Ye Q, Wang B, Mao J, Fu J, Shang S, Shu Q, Zhang T.",J Med Virol. 2020 Jul;92(7):755-769. doi: 10.1002/jmv.25813. Epub 2020 Apr 10.,Ye,Journal of medical virology,2020,2020/04/03,PMC7228220,,10.1002/jmv.25813,"The rapid spread of the epidemic has aroused widespread concern in the international community. Severe acute respiratory syndrome coronavirus 2 (SARS-COV-2) was first reported in China, with bats as the likely original hosts and pangolins as potential intermediate hosts. The current source of the disease is mainly patients infected with SARS-COV-2. Patients in the incubation period may also become sources of infection. The virus is mainly transmitted via respiratory droplets and contact, and the population is generally susceptible. The epidemic has progressed through the local outbreak stage and community transmission stage due to exposure at Wuhan's Huanan wholesale seafood market and is now in the stage of large-scale transmission due to the spread of the epidemic. The basic productive number (R0) at the beginning of the epidemic was 2.2, with an average incubation period of 5.2 days. The proportion of critically ill patients was 23.4%, the mortality rate was lower than those of SARS and Middle East respiratory syndrome, and 96.5% of deaths occurred in Hubei Province, where the outbreak occurred first. Among them, elderly men with underlying diseases had a higher mortality rate. Chinese medical staff have summarized a set of effective strategies and methods in the diagnosis and treatment of this disease that are worthy of reference for their international counterparts. With powerful government intervention and the efforts of Chinese medical staff, China's outbreak has gradually improved.",COVID-19; epidemic; mortality; treatment; virus pneumonia,title_abstract,strict,unlikely_candidate,0,"Exclude: this is a general epidemiological review/summary of COVID-19 in China and does not report primary estimates of serial interval or generation time. Although it mentions R0 and incubation period, it provides no serial interval or generation time data relevant to the review question.",,,,,,,,,,,,,
32447742,,Clinical Insights into the Gastrointestinal Manifestations of COVID-19.,"Kopel J, Perisetti A, Gajendran M, Boregowda U, Goyal H.",Dig Dis Sci. 2020 Jul;65(7):1932-1939. doi: 10.1007/s10620-020-06362-8. Epub 2020 May 23.,Kopel,Digestive diseases and sciences,2020,2020/05/25,PMC7245177,,10.1007/s10620-020-06362-8,"The month of December 2019 became a critical part of the time of humanity when the first case of coronavirus disease 2019 (COVID-19) was reported in the Wuhan, Hubei Province in China. As of April 13th, 2020, there have been approximately 1.9 million cases and 199,000 deaths across the world, which were associated with COVID-19. The COVID-19 is the seventh coronavirus to be identified to infect humans. In the past, Severe Acute Respiratory Syndrome and Middle East Respiratory Syndrome were the two coronaviruses that infected humans with a high fatality, particularly among the elderly. Fatalities due to COVID-19 are higher in patients older than 50 years of age or those with multimorbid conditions. The COVID-19 is mainly transmitted through respiratory droplets, with the most common symptoms being high fever, cough, myalgia, atypical symptoms included sputum production, headache, hemoptysis and diarrhea. However, the incubation period can range from 2 to 14 days without any symptoms. It is particularly true with gastrointestinal (GI) symptoms in which patients can still shed the virus even after pulmonary symptoms have resolved. Given the high percentage of COVID-19 patients that present with GI symptoms (e.g., nausea and diarrhea), screening patients for GI symptoms remain essential. Recently, cases of fecal-oral transmission of COVID-19 have been confirmed in the USA and China, indicating that the virus can replicate in both the respiratory and digestive tract. Moreover, the epidemiology, clinical characteristics, diagnostic procedures, treatments and prevention of the gastrointestinal manifestations of COVID-19 remain to be elucidated.",COVID-19; Coronavirus; Gastroenterology; Gastrointestinal symptoms; Pandemic,title_abstract,strict,unlikely_candidate,0,Exclude: this paper is a clinical review of gastrointestinal manifestations of COVID-19 and does not report original data or estimates on serial interval or generation time.,,,,,,,,,,,,,
32669664,,COVID-19 vaccine development and a potential nanomaterial path forward.,"Shin MD, Shukla S, Chung YH, Beiss V, Chan SK, Ortega-Rivera OA, Wirth DM, Chen A, Sack M, Pokorski JK, Steinmetz NF.",Nat Nanotechnol. 2020 Aug;15(8):646-655. doi: 10.1038/s41565-020-0737-y. Epub 2020 Jul 15.,Shin,Nature nanotechnology,2020,2020/07/17,,,10.1038/s41565-020-0737-y,"The COVID-19 pandemic has infected millions of people with no clear signs of abatement owing to the high prevalence, long incubation period and lack of established treatments or vaccines. Vaccines are the most promising solution to mitigate new viral strains. The genome sequence and protein structure of the 2019-novel coronavirus (nCoV or SARS-CoV-2) were made available in record time, allowing the development of inactivated or attenuated viral vaccines along with subunit vaccines for prophylaxis and treatment. Nanotechnology benefits modern vaccine design since nanomaterials are ideal for antigen delivery, as adjuvants, and as mimics of viral structures. In fact, the first vaccine candidate launched into clinical trials is an mRNA vaccine delivered via lipid nanoparticles. To eradicate pandemics, present and future, a successful vaccine platform must enable rapid discovery, scalable manufacturing and global distribution. Here, we review current approaches to COVID-19 vaccine development and highlight the role of nanotechnology and advanced manufacturing.","[MeSH] Betacoronavirus; [MeSH] Biomedical Research; [MeSH] COVID-19; [MeSH] COVID-19 Vaccines; [MeSH] Coronavirus Infections; [MeSH] Humans; [MeSH] Nanostructures; [MeSH] Nanotechnology; [MeSH] Pandemics; [MeSH] Pneumonia, Viral; [MeSH] SARS-CoV-2; [MeSH] Viral Vaccines",title_abstract,strict,unlikely_candidate,0,"Exclude: This paper is a review on COVID-19 vaccine development and nanotechnology, not a study reporting or estimating COVID-19 serial interval or generation time.",,,,,,,,,,,,,
32594937,,Epidemiological characteristics of COVID-19: a systematic review and meta-analysis.,"Khalili M, Karamouzian M, Nasiri N, Javadi S, Mirzazadeh A, Sharifi H.",Epidemiol Infect. 2020 Jun 29;148:e130. doi: 10.1017/S0950268820001430.,Khalili,Epidemiology and infection,2020,2020/06/30,PMC7343974,,10.1017/S0950268820001430,"Our understanding of the Coronavirus disease 2019 (COVID-19) continues to evolve and there are many unknowns about its epidemiology. This study aims to synthesise case fatality rate (CFR) among confirmed COVID-19 patients, incubation period and time from onset of COVID-19 symptoms to first medical visit, intensive care unit (ICU) admission, recovery, and death. We searched MEDLINE, Embase, Google Scholar, and bibliographies of relevant articles from 01 December 2019 to 11 March 2020 without any language restrictions. Quantitative studies that recruited people with confirmed COVID-19 diagnosis were included. Two independent reviewers extracted the data. Out of 1675 non-duplicate studies, 43 were included in the meta-analysis. The pooled mean incubation period was 5.68 (99% confidence interval [CI]: 4.78, 6.59) days. The pooled mean number of days from the onset of COVID-19 symptoms to first clinical visit was 4.92 (95% CI: 3.95, 5.90), ICU admission was 9.84 (95% CI: 8.78, 10.90), recovery was 18.55 (95% CI: 13.69, 23.41), and death was 15.93 (95% CI: 13.07, 18.79). Pooled CFR among confirmed COVID-19 patients was 0.02 (95% CI: 0.02, 0.03). We found that the incubation period and lag between the onset of symptoms and first clinical visit for COVID-19 are longer than other respiratory viral infections including Middle East respiratory syndrome and severe acute respiratory syndrome; however, the current policy of 14 days of mandatory quarantine for everyone potentially exposed to severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) might be too conservative. Longer quarantine periods might be more justified for extreme cases.",COVID-19; Coronavirus; epidemiology; pandemic,title_abstract,strict,unlikely_candidate,0,"Exclude: this systematic review/meta-analysis reports incubation period, case fatality rate, and times to clinical outcomes, but does not report serial interval or generation time of COVID-19, which are the outcomes of interest for this review.",,,,,,,,,,,,,
32363707,,"Studies on viral pneumonia related to novel coronavirus SARS-CoV-2, SARS-CoV, and MERS-CoV: a literature review.","Liya G, Yuguang W, Jian L, Huaiping Y, Xue H, Jianwei H, Jiaju M, Youran L, Chen M, Yiqing J.",APMIS. 2020 Jun;128(6):423-432. doi: 10.1111/apm.13047.,Liya,"APMIS : acta pathologica, microbiologica, et immunologica Scandinavica",2020,2020/05/05,,,10.1111/apm.13047,"Coronaviruses are a class of RNA viruses that can cause respiratory and intestinal infections in animals and humans. SARS-CoV, MERS-CoV, and a novel coronavirus (SARS-CoV-2 [2019-nCoV]) belong to the family Coronaviridae and the genus Betacoronavirus. At present, the understanding of SARS-CoV-2 is getting deeper and deeper. In order to better prevent and treat SARS-CoV-2, this article compares the infectivity, pathogenicity, and related clinical characteristics of the three human pathogenic coronaviruses, SARS-CoV-2, SARS-CoV, and MERS-CoV to help us further understand the pathogenic characteristics of novel coronaviruses.",MERS-CoV; SARS-CoV; SARS-CoV-2; clinical features; pneumonia,title_abstract,strict,unlikely_candidate,0,"This is a general literature review comparing clinical and pathogenic features of SARS-CoV-2, SARS-CoV, and MERS-CoV. It does not appear to present original estimates or focused analysis of COVID-19 serial interval or generation time.",,,,,,,,,,,,,
