PMID,DOI,Title,Publication Year,llm_suggest,overall_score,is_ground_truth,screening_stage,fulltext_status
32959618,10.2991/jegh.k.200823.001,Epidemic Landscape and Forecasting of SARS-CoV-2 in India.,2021,strong_candidate,4,,title_abstract,
32198088,10.1016/j.ijid.2020.03.031,Transmission potential and severity of COVID-19 in South Korea.,2020,strong_candidate,4,,title_abstract,
32702717,10.21203/rs.3.rs-32486/v1,Evolution of effective serial interval of SARS-CoV-2 by non-pharmaceutical interventions.,2020,strong_candidate,4,,title_abstract,
32353991,10.3390/ijerph17093054,Early Transmission Dynamics of Novel Coronavirus (COVID-19) in Nigeria.,2020,possible_candidate,4,,title_abstract,
32372755,10.2807/1560-7917.ES.2020.25.17.2000257,"Estimating the generation interval for coronavirus disease (COVID-19) based on symptom onset data, March 2020.",2020,strong_candidate,4,,title_abstract,
32693748,10.1098/rsif.2020.0144,Reconciling early-outbreak estimates of the basic reproductive number and its uncertainty: framework and applications to the novel coronavirus (SARS-CoV-2) outbreak.,2020,strong_candidate,4,,title_abstract,
32255761,10.3201/eid2607.200282,High Contagiousness and Rapid Spread of Severe Acute Respiratory Syndrome Coronavirus 2.,2020,possible_candidate,3,,title_abstract,
32664866,10.1186/s12916-020-01691-x,"Early epidemiological assessment of the transmission potential and virulence of coronavirus disease 2019 (COVID-19) in Wuhan City, China, January-February, 2020.",2020,strong_candidate,4,,title_abstract,
32568070,10.7554/eLife.57149,Evidence for transmission of COVID-19 prior to symptom onset.,2020,strong_candidate,4,,title_abstract,
33490015,10.3389/fpubh.2020.577431,"Serial Interval and Generation Interval for Imported and Local Infectors, Respectively, Estimated Using Reported Contact-Tracing Data of COVID-19 in China.",2020,strong_candidate,4,,title_abstract,
34594686,10.46234/ccdcw2020.118,"Serial Interval and Reproductive Number of COVID-19 Among 116 Infector-infectee Pairs - Jingzhou City, Hubei Province, China, 2020.",2020,strong_candidate,4,,title_abstract,
32987541,10.3934/mbe.2020198,Estimating the time interval between transmission generations when negative values occur in the serial interval data: using COVID-19 as an example.,2020,strong_candidate,4,,title_abstract,
32097725,10.1016/j.ijid.2020.02.033,Estimation of the reproductive number of novel coronavirus (COVID-19) and the probable outbreak size on the Diamond Princess cruise ship: A data-driven analysis.,2020,strong_candidate,4,,title_abstract,
32437930,10.1016/j.ijid.2020.05.029,"COVID-19 outbreak reproduction number estimations and forecasting in Marche, Italy.",2020,possible_candidate,3,,title_abstract,
32936811,10.1371/journal.pone.0239026,Impact of COVID-19 epidemic curtailment strategies in selected Indian states: An analysis by reproduction number and doubling time with incidence modelling.,2020,possible_candidate,4,,title_abstract,
32192580,10.1016/S0140-6736(20)30528-6,Investigation of three clusters of COVID-19 in Singapore: implications for surveillance and response measures.,2020,strong_candidate,4,,title_abstract,
33163739,10.1016/j.idm.2020.10.009,"Estimating effective reproduction number using generation time versus serial interval, with application to covid-19 in the Greater Toronto Area, Canada.",2020,strong_candidate,4,,title_abstract,
32627172,10.1111/biom.13325,Estimation of incubation period and generation time based on observed length-biased epidemic cohort with censoring for COVID-19 outbreak in China.,2021,strong_candidate,4,,title_abstract,
32511454,10.1101/2020.02.19.20025452,The serial interval of COVID-19 from publicly reported confirmed cases.,2020,strong_candidate,4,,title_abstract,
32678037,10.1186/s40249-020-00718-y,Estimation of exponential growth rate and basic reproduction number of the coronavirus disease 2019 (COVID-19) in Africa.,2020,possible_candidate,3,,title_abstract,
32511615,10.1101/2020.03.02.20029868,Household transmissions of SARS-CoV-2 in the time of unprecedented travel lockdown in China.,2020,strong_candidate,4,,title_abstract,
32577693,10.1101/2020.05.31.20118448,Meta-analysis of several epidemic characteristics of COVID-19.,2020,possible_candidate,3,,title_abstract,
32517845,10.1017/S0950268820001247,"The basic reproduction number and prediction of the epidemic size of the novel coronavirus (COVID-19) in Shahroud, Iran.",2020,strong_candidate,4,,title_abstract,
36753110,10.15446/rsap.V22n2.87492,[Estimation of serial interval and basic reproductive number for imported cases of COVID-19].,2020,strong_candidate,4,,title_abstract,
32446187,10.1016/j.epidem.2020.100392,The time scale of asymptomatic transmission affects estimates of epidemic potential in the COVID-19 outbreak.,2020,possible_candidate,3,,title_abstract,
33024978,10.1101/2020.08.07.20169920,"Wrong person, place and time: viral load and contact network structure predict SARS-CoV-2 transmission and super-spreading events.",2020,strong_candidate,4,,title_abstract,
33101882,10.1016/j.scs.2020.102559,"Characteristics and evaluation of the effectiveness of monitoring and control measures for the first 69 Patients with COVID-19 from 18 January 2020 to 2 March in Wuxi, China.",2021,strong_candidate,4,,title_abstract,
32445710,10.1016/S1473-3099(20)30361-3,Individual quarantine versus active monitoring of contacts for the mitigation of COVID-19: a modelling study.,2020,strong_candidate,4,,title_abstract,
33078097,10.1016/j.matpr.2020.10.086,Analysis of 'earlyR' epidemic model and Time Series model for prediction of COVID-19 registered cases.,2020,possible_candidate,3,,title_abstract,
32617309,10.21037/atm-20-1944,Real-time estimation of the reproduction number of the novel coronavirus disease (COVID-19) in China in 2020 based on incidence data.,2020,strong_candidate,4,,title_abstract,
32537527,10.1016/j.idm.2020.05.003,A novel IDEA: The impact of serial interval on a modified-Incidence Decay and Exponential Adjustment (m-IDEA) model for projections of daily COVID-19 cases.,2020,strong_candidate,4,,title_abstract,
32511424,10.1101/2020.02.21.20026328,Evolving epidemiology of novel coronavirus diseases 2019 and possible interruption of local transmission outside Hubei Province in China: a descriptive and modeling study.,2020,strong_candidate,4,,title_abstract,
32637423,10.3389/fmed.2020.00329,Strongly Heterogeneous Transmission of COVID-19 in Mainland China: Local and Regional Variation.,2020,strong_candidate,4,,title_abstract,
32417744,10.1016/j.ijid.2020.04.036,"Monitoring disease transmissibility of 2019 novel coronavirus disease in Zhejiang, China.",2020,strong_candidate,4,,title_abstract,
32720639,10.2807/1560-7917.ES.2020.25.29.2001269,Authors' response: Estimating the generation interval for COVID-19 based on symptom onset data.,2020,strong_candidate,4,,full_text,screened
32113196,10.3760/cma.j.cn112338-20200205-00069,[Study on assessing early epidemiological parameters of COVID-19 epidemic in China].,2020,strong_candidate,4,,title_abstract,
32617273,10.34171/mjiri.34.34,Estimation of the net reproductive number of COVID-19 in Iran.,2020,strong_candidate,4,,title_abstract,
33088292,10.6339/JDS.202007_18(3).0019,Meta-analysis of several epidemic characteristics of COVID-19.,2020,possible_candidate,3,,title_abstract,
32511616,10.1101/2020.04.23.20075796,COVID-19 serial interval estimates based on confirmed cases in public reports from 86 Chinese cities.,2020,strong_candidate,4,,title_abstract,
32511456,10.1101/2020.03.09.20033514,The time scale of asymptomatic transmission affects estimates of epidemic potential in the COVID-19 outbreak.,2020,possible_candidate,3,,title_abstract,
32322691,10.12688/wellcomeopenres.15718.1,The transmissibility of novel Coronavirus in the early stages of the 2019-20 outbreak in Wuhan: Exploring initial point-source exposure sizes and durations using scenario analysis.,2020,possible_candidate,3,,title_abstract,
33315980,10.34171/mjiri.34.95,Estimation of the basic reproduction number (𝑅0) of the COVID-19 epidemic in Iran.,2020,possible_candidate,3,,title_abstract,
