PMID,DOI,Title,Publication Year,llm_suggest,overall_score,is_ground_truth,screening_stage,fulltext_status
31995857,10.1056/NEJMoa2001316,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus-Infected Pneumonia.",2020,strong_candidate,4,✓,title_abstract,
32145466,10.1016/j.ijid.2020.02.060,Serial interval of novel coronavirus (COVID-19) infections.,2020,strong_candidate,4,✓,title_abstract,
32771633,10.1016/j.ijid.2020.07.075,Transmission onset distribution of COVID-19.,2020,strong_candidate,4,✓,title_abstract,
32366488,10.1183/13993003.00544-2020,"Nosocomial outbreak of COVID-19 pneumonia in Wuhan, China.",2020,strong_candidate,4,✓,title_abstract,
32694200,10.1126/science.abc9004,Serial interval of SARS-CoV-2 was shortened over time by nonpharmaceutical interventions.,2020,strong_candidate,4,✓,title_abstract,
32771634,10.1016/j.ijid.2020.07.068,Diagnostic serial interval as a novel indicator for contact tracing effectiveness exemplified with the SARS-CoV-2/COVID-19 outbreak in South Korea.,2020,strong_candidate,4,✓,title_abstract,
32191173,10.3201/eid2606.200357,Serial Interval of COVID-19 among Publicly Reported Confirmed Cases.,2020,strong_candidate,4,✓,title_abstract,
32604404,10.1038/s41586-020-2488-1,Suppression of a SARS-CoV-2 outbreak in the Italian municipality of Vo'.,2020,strong_candidate,4,✓,title_abstract,
33001833,10.2196/19994,Epidemiological Parameters of COVID-19: Case Series Study.,2020,strong_candidate,4,✓,title_abstract,
32876267,10.1590/1413-81232020259.20852020,Incubation period and serial interval of Covid-19 in a chain of infections in Bahia Blanca (Argentina).,2020,strong_candidate,4,✓,title_abstract,
32767657,10.1111/irv.12787,Evidence for pre-symptomatic transmission of coronavirus disease 2019 (COVID-19) in China.,2021,strong_candidate,4,✓,title_abstract,
32473049,10.1111/tbed.13656,"Estimation of the serial interval and basic reproduction number of COVID-19 in Qom, Iran, and three other countries: A data-driven analysis in the early phase of the outbreak.",2020,strong_candidate,4,✓,title_abstract,
32353347,10.1016/S1473-3099(20)30287-5,"Epidemiology and transmission of COVID-19 in 391 cases and 1286 of their close contacts in Shenzhen, China: a retrospective cohort study.",2020,strong_candidate,4,✓,title_abstract,
32512664,10.4178/epih.e2020035,"Epidemiological characteristics of and containment measures for COVID-19 in Busan, Korea.",2020,strong_candidate,4,✓,title_abstract,
32460229,10.1016/j.ijheh.2020.113555,Estimation of the time-varying reproduction number of COVID-19 outbreak in China.,2020,strong_candidate,4,✓,title_abstract,
32452648,10.1111/tbed.13647,"Estimating the serial interval of the novel coronavirus disease (COVID-19) based on the public surveillance data in Shenzhen, China, from 19 January to 22 February 2020.",2020,strong_candidate,4,✓,title_abstract,
33034281,10.2807/1560-7917.ES.2020.25.40.2000250,"Epidemiological parameters of COVID-19 and its implication for infectivity among patients in China, 1 January to 11 February 2020.",2020,strong_candidate,4,✓,title_abstract,
32928322,10.1017/S0950268820002137,Epidemiological profile and transmission dynamics of COVID-19 in the Philippines.,2020,strong_candidate,4,✓,title_abstract,
32247326,10.1016/S1473-3099(20)30230-9,"Evolving epidemiology and transmission dynamics of coronavirus disease 2019 outside Hubei province, China: a descriptive and modelling study.",2020,strong_candidate,4,✓,title_abstract,
32164400,10.3760/cma.j.cn112338-20200221-00146,[Epidemiological characteristics of confirmed COVID-19 cases in Tianjin].,2020,strong_candidate,4,✓,title_abstract,
32594928,10.1017/S0950268820001338,"Estimation of incubation period and serial interval of COVID-19: analysis of 178 cases and 131 transmission chains in Hubei province, China.",2020,strong_candidate,4,✓,title_abstract,
32283156,10.1016/j.jinf.2020.03.006,Rapid asymptomatic transmission of COVID-19 during the incubation period demonstrating strong infectivity in a cluster of youngsters aged 16-23 years outside Wuhan and characteristics of young patients with COVID-19: A prospective contact-tracing study.,2020,strong_candidate,4,✓,title_abstract,
32776726,10.3346/jkms.2020.35.e288,"Epidemiological Characteristics of COVID-19 Outbreak at Fitness Centers in Cheonan, Korea.",2020,strong_candidate,4,✓,title_abstract,
32725765,10.1111/tbed.13742,COVID-19 outbreak following a single patient exposure at an entertainment site: An epidemiological study.,2021,strong_candidate,4,✓,title_abstract,
33554183,10.1016/j.xinn.2020.04.001,Epidemiological and Clinical Characteristics of COVID-19 in Adolescents and Young Adults.,2020,strong_candidate,4,✓,title_abstract,
32566233,10.1016/j.nmni.2020.100715,Serial interval and time-varying reproduction number estimation for COVID-19 in western Iran.,2020,strong_candidate,4,✓,title_abstract,
32422201,10.1016/S1473-3099(20)30314-5,Investigation of a COVID-19 outbreak in Germany resulting from a single travel-associated primary case: a case series.,2020,strong_candidate,4,✓,title_abstract,
32815514,10.4269/ajtmh.20-0771,"Epidemiological Investigation of the First 135 COVID-19 Cases in Brunei: Implications for Surveillance, Control, and Travel Restrictions.",2020,strong_candidate,4,✓,title_abstract,
32822290,10.3201/eid2611.201165,"Epidemiology of COVID-19 Outbreak on Cruise Ship Quarantined at Yokohama, Japan, February 2020.",2020,strong_candidate,4,✓,title_abstract,
32611465,10.1017/S0950268820001478,"The descriptive epidemiology of coronavirus disease 2019 during the epidemic period in Lu'an, China: achieving limited community transmission using proactive response strategies.",2020,strong_candidate,4,✓,title_abstract,
33001839,10.2196/22678,Transmission Dynamics of the COVID-19 Epidemic at the District Level in India: Prospective Observational Study.,2020,strong_candidate,4,✓,title_abstract,
32347198,10.2807/1560-7917.ES.2020.25.16.2000155,"Epidemiological characteristics of the first 53 laboratory-confirmed cases of COVID-19 epidemic in Hong Kong, 13 February 2020.",2020,strong_candidate,4,✓,title_abstract,
32171192,10.3760/cma.j.cn112150-20200227-00199,[Epidemiological characteristics of COVID-19 family clustering in Zhejiang Province].,2020,strong_candidate,4,✓,title_abstract,
32689956,10.1186/s12879-020-05251-9,"Basic epidemiological parameter values from data of real-world in mega-cities: the characteristics of COVID-19 in Beijing, China.",2020,strong_candidate,4,✓,title_abstract,
32710618,10.1093/jtm/taaa115,Serial interval distribution of SARS-CoV-2 infection in Brazil.,2021,strong_candidate,4,✓,full_text,screened
32392331,10.1093/cid/ciaa557,"Household Transmission of SARS-CoV-2, Zhuhai, China, 2020.",2020,strong_candidate,4,✓,title_abstract,
32556265,10.1093/cid/ciaa790,"Reconstruction of Transmission Pairs for Novel Coronavirus Disease 2019 (COVID-19) in Mainland China: Estimation of Superspreading Events, Serial Interval, and Hazard of Infection.",2020,strong_candidate,4,✓,title_abstract,
34814093,10.1016/j.epidem.2021.100528,"The early phase of the COVID-19 epidemic in Lombardy, Italy.",2021,strong_candidate,4,✓,title_abstract,
32035431,10.4178/epih.e2020007,Epidemiologic characteristics of early cases with 2019 novel coronavirus (2019-nCoV) disease in Korea.,2020,possible_candidate,3,✓,title_abstract,
33750783,10.1038/s41467-021-21710-6,"Infectivity, susceptibility, and risk factors associated with SARS-CoV-2 transmission under intensive contact tracing in Hunan, China.",2021,strong_candidate,4,✓,title_abstract,
32796323,10.1097/JCMA.0000000000000411,Analysis of community-acquired COVID-19 cases in Taiwan.,2020,strong_candidate,4,✓,title_abstract,
32397699,10.3760/cma.j.cn112338-20200330-00466,[Study on transmission dynamic of 15 clusters of COVID-2019 cases in Ningbo].,2020,strong_candidate,4,✓,title_abstract,
32738143,10.1093/cid/ciaa1130,The First 100 Days of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Control in Vietnam.,2021,strong_candidate,4,✓,title_abstract,
33044319,10.1097/EDE.0000000000001257,Effectiveness of Containment Measures Against COVID-19 in Singapore: Implications for Other National Containment Efforts.,2021,strong_candidate,4,✓,title_abstract,
