disease,profile,topic,project,old_recall,new_recall,delta_recall,old_precision,new_precision,delta_precision,old_f1,new_f1,delta_f1,old_workload_reduction,new_workload_reduction,delta_workload_reduction,old_tp,old_fp,old_fn,old_tn,new_tp,new_fp,new_fn,new_tn
covid19,P4,fatality,4,0.946429,0.964286,0.017857,0.179054,0.213439,0.034385,0.301136,0.349515,0.048379,0.142029,0.266667,0.124638,53,243,3,46,54,199,2,90
covid19,P5,fatality,5,0.979167,0.729167,-0.250000,0.051648,0.032318,-0.019330,0.098121,0.061892,-0.036229,0.516472,0.424548,-0.091924,47,863,1,971,35,1048,13,786
covid19,P6,fatality,6,0.641026,0.923077,0.282051,0.023321,0.026277,0.002956,0.045005,0.051100,0.006095,0.525078,0.392810,-0.132268,25,1047,14,1169,36,1334,3,882
covid19,P7,reproduction_number,7,0.991803,0.836066,-0.155737,0.286052,0.300000,0.013948,0.444037,0.441558,-0.002479,0.263066,0.407666,0.144600,121,302,1,150,102,238,20,214
covid19,P8,reproduction_number,8,1.000000,0.840909,-0.159091,0.092632,0.095361,0.002729,0.169557,0.171296,0.001739,0.173913,0.325217,0.151304,44,431,0,100,37,351,7,180
covid19,P10,serial_interval,10,0.892857,0.892857,0.000000,0.071633,0.107296,0.035663,0.132626,0.191571,0.058945,0.417362,0.611018,0.193656,25,324,3,247,25,208,3,363
covid19,P11,serial_interval,11,0.973684,0.921053,-0.052631,0.117274,0.169903,0.052629,0.209335,0.286885,0.077550,0.249703,0.510107,0.260404,74,557,2,208,70,342,6,423
covid19,P12,serial_interval,12,1.000000,1.000000,0.000000,0.177570,0.231707,0.054137,0.301587,0.376238,0.074651,0.262069,0.434483,0.172414,19,88,0,38,19,63,0,63
covid19,P13,serial_interval,13,0.960784,0.882353,-0.078431,0.475728,0.483871,0.008143,0.636364,0.625000,-0.011364,0.072072,0.162162,0.090090,49,54,2,6,45,48,6,12
covid19,P14,serial_interval,14,1.000000,1.000000,0.000000,0.126761,0.118421,-0.008340,0.225000,0.211765,-0.013235,0.244681,0.191489,-0.053192,9,62,0,23,9,67,0,18
covid19,P15,reproduction_number,15,0.960000,0.920000,-0.040000,0.046875,0.049041,0.002166,0.089385,0.093117,0.003732,0.277856,0.338505,0.060649,24,488,1,196,23,446,2,238
covid19,P16,reproduction_number,16,1.000000,0.968750,-0.031250,0.067511,0.079692,0.012181,0.126482,0.147268,0.020786,0.175652,0.323478,0.147826,32,442,0,101,31,358,1,185
covid19,P17,reproduction_number,17,1.000000,0.933333,-0.066667,0.085714,0.098592,0.012878,0.157895,0.178344,0.020449,0.162679,0.320574,0.157895,15,160,0,34,14,128,1,66
mpox,MP4,fatality,4,0.117647,0.764706,0.647059,0.080000,0.089041,0.009041,0.095238,0.159509,0.064271,0.924471,0.558912,-0.365559,2,23,15,291,13,133,4,181
mpox,MP5,serial_interval,5,0.500000,0.750000,0.250000,0.105263,0.150000,0.044737,0.173913,0.250000,0.076087,0.552941,0.529412,-0.023529,4,34,4,43,6,34,2,43
mpox,MP6,serial_interval,6,0.800000,0.800000,0.000000,0.085106,0.125000,0.039894,0.153846,0.216216,0.062370,0.347222,0.555556,0.208334,4,43,1,24,4,28,1,39
mpox,MP7,fatality,7,0.424242,0.666667,0.242425,0.044025,0.041431,-0.002594,0.079772,0.078014,-0.001758,0.759819,0.598943,-0.160876,14,304,19,987,22,509,11,782
mpox,MP8,fatality,8,0.300000,0.800000,0.500000,0.019608,0.016949,-0.002659,0.036810,0.033195,-0.003615,0.842835,0.515152,-0.327683,6,300,14,1627,16,928,4,999
mpox,MP9,reproduction_number,9,0.666667,1.000000,0.333333,0.010870,0.008499,-0.002371,0.021390,0.016854,-0.004536,0.821186,0.656948,-0.164238,2,182,1,844,3,350,0,676
mpox,MP10,serial_interval,10,0.733333,0.866667,0.133334,0.166667,0.164557,-0.002110,0.271605,0.276596,0.004991,0.602410,0.524096,-0.078314,11,55,4,96,13,66,2,85
mpox,MP11,serial_interval,11,0.800000,0.800000,0.000000,0.105263,0.111111,0.005848,0.186047,0.195122,0.009075,0.396825,0.428571,0.031746,4,34,1,24,4,32,1,26
mpox,MP12,fatality,12,0.125000,0.875000,0.750000,0.019417,0.059322,0.039905,0.033613,0.111111,0.077498,0.787190,0.512397,-0.274793,2,101,14,367,14,222,2,246
