status,ground_truth_count,screened_count,tp,fp,fn,tn,strong_count,possible_count,unlikely_count,missing_count,error_count,recall,precision,specificity,npv,f1,accuracy,workload_reduction,nns,mcc,wss95,profile,topic,project,model,prompt_style,experiment,raw_file,ground_truth_file,screened_file
ok,56,345,54,199,2,90,0,54,2,0,0,0.964286,0.213439,0.311419,0.978261,0.349515,0.417391,0.266667,4.685185,0.229897,0.216667,P4,fatality,4,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/project_4_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/project_4_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_4_screened.csv
ok,48,1882,35,1048,13,786,0,35,13,0,0,0.729167,0.032318,0.428571,0.98373,0.061892,0.436238,0.424548,30.942857,0.050312,0.374548,P5,fatality,5,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/project_5_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/project_5_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_5_screened.csv
ok,39,2253,36,1334,3,882,0,36,1,2,0,0.923077,0.026277,0.398014,0.99661,0.0511,0.407095,0.39281,38.055556,0.085726,0.34281,P6,fatality,6,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/project_6_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/project_6_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_6_screened.csv
ok,122,574,102,238,20,214,0,102,20,0,0,0.836066,0.3,0.473451,0.91453,0.441558,0.550523,0.407666,3.333333,0.257683,0.357666,P7,reproduction_number,7,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/project_7_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/project_7_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_7_screened.csv
ok,44,575,37,351,7,180,0,37,7,0,0,0.840909,0.095361,0.338983,0.962567,0.171296,0.377391,0.325217,10.486486,0.102082,0.275217,P8,reproduction_number,8,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/project_8_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/project_8_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_8_screened.csv
ok,28,599,25,208,3,363,0,25,3,0,0,0.892857,0.107296,0.635727,0.991803,0.191571,0.647746,0.611018,9.32,0.228872,0.561018,P10,serial_interval,10,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/project_10_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/project_10_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_10_screened.csv
ok,76,841,70,342,6,423,0,70,6,0,0,0.921053,0.169903,0.552941,0.986014,0.286885,0.586207,0.510107,5.885714,0.271852,0.460107,P11,serial_interval,11,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/project_11_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/project_11_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_11_screened.csv
ok,19,145,19,63,0,63,0,19,0,0,0,1.0,0.231707,0.5,1.0,0.376238,0.565517,0.434483,4.315789,0.340373,0.384483,P12,serial_interval,12,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/project_12_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/project_12_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_12_screened.csv
ok,51,111,45,48,6,12,0,45,6,0,0,0.882353,0.483871,0.2,0.666667,0.625,0.513514,0.162162,2.066667,0.111343,0.112162,P13,serial_interval,13,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/project_13_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/project_13_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_13_screened.csv
ok,9,94,9,67,0,18,0,9,0,0,0,1.0,0.118421,0.211765,1.0,0.211765,0.287234,0.191489,8.444444,0.158358,0.141489,P14,serial_interval,14,zifeng-ai/leads-mistral-7b-v1,disease_parameter_minimal,leads_mistral_disease_parameter_minimal_20260506_225001,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/project_14_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/project_14_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/experiments/leads_mistral_disease_parameter_minimal_20260506_225001/project_14_screened.csv
