disease,status,ground_truth_count,screened_count,tp,fp,fn,tn,strong_count,possible_count,unlikely_count,missing_count,error_count,recall,precision,specificity,npv,f1,accuracy,workload_reduction,nns,mcc,wss95,profile,topic,project,model,experiment,raw_file,ground_truth_file,screened_file
covid19,ok,56,345,53,243,3,46,0,53,3,0,0,0.946429,0.179054,0.15917,0.938776,0.301136,0.286957,0.142029,5.584906,0.111546,0.092029,P4,fatality,4,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/project_4_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/project_4_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p4/experiments/leads_mistral_strict_simple_20260506_185524/project_4_screened.csv
covid19,ok,48,1882,47,863,1,971,0,47,1,0,0,0.979167,0.051648,0.529444,0.998971,0.098121,0.540914,0.516472,19.361702,0.160454,0.466472,P5,fatality,5,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/project_5_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/project_5_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p5/experiments/leads_mistral_strict_simple_20260506_185524/project_5_screened.csv
covid19,ok,39,2253,25,1047,14,1169,0,25,12,2,0,0.641026,0.023321,0.527527,0.988166,0.045005,0.52949,0.525078,42.88,0.044001,0.475078,P6,fatality,6,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/project_6_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/project_6_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/fatality/ground_truth/p6/experiments/leads_mistral_strict_simple_20260506_185524/project_6_screened.csv
covid19,ok,122,574,121,302,1,150,0,121,1,0,0,0.991803,0.286052,0.331858,0.993377,0.444037,0.472125,0.263066,3.495868,0.300733,0.213066,P7,reproduction_number,7,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/project_7_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/project_7_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p7/experiments/leads_mistral_strict_simple_20260506_185524/project_7_screened.csv
covid19,ok,44,575,44,431,0,100,0,44,0,0,0,1.0,0.092632,0.188324,1.0,0.169557,0.250435,0.173913,10.795455,0.132079,0.123913,P8,reproduction_number,8,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/project_8_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/project_8_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/reproduction_number/ground_truth/p8/experiments/leads_mistral_strict_simple_20260506_185524/project_8_screened.csv
covid19,ok,28,599,25,324,3,247,0,25,3,0,0,0.892857,0.071633,0.432574,0.988,0.132626,0.45409,0.417362,13.96,0.139307,0.367362,P10,serial_interval,10,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/project_10_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/project_10_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p10/experiments/leads_mistral_strict_simple_20260506_185524/project_10_screened.csv
covid19,ok,76,841,74,557,2,208,0,74,2,0,0,0.973684,0.117274,0.271895,0.990476,0.209335,0.335315,0.249703,8.527027,0.162669,0.199703,P11,serial_interval,11,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/project_11_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/project_11_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p11/experiments/leads_mistral_strict_simple_20260506_185524/project_11_screened.csv
covid19,ok,19,145,19,88,0,38,0,19,0,0,0,1.0,0.17757,0.301587,1.0,0.301587,0.393103,0.262069,5.631579,0.231415,0.212069,P12,serial_interval,12,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/project_12_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/project_12_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p12/experiments/leads_mistral_strict_simple_20260506_185524/project_12_screened.csv
covid19,ok,51,111,49,54,2,6,0,49,2,0,0,0.960784,0.475728,0.1,0.75,0.636364,0.495495,0.072072,2.102041,0.117136,0.022072,P13,serial_interval,13,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/project_13_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/project_13_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p13/experiments/leads_mistral_strict_simple_20260506_185524/project_13_screened.csv
covid19,ok,9,94,9,62,0,23,0,9,0,0,0,1.0,0.126761,0.270588,1.0,0.225,0.340426,0.244681,7.888889,0.185202,0.194681,P14,serial_interval,14,zifeng-ai/leads-mistral-7b-v1,leads_mistral_strict_simple_20260506_185524,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/project_14_raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/project_14_groundtruth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/evaluation/covid19/serial_interval/ground_truth/p14/experiments/leads_mistral_strict_simple_20260506_185524/project_14_screened.csv
