disease,topic,profile,ok,missing,errors,n_used,unit,pool_method,leads_point,leads_ci_low,leads_ci_high,leads_median,leads_aggregate_rate,sr_point,five_d_point,delta_leads_vs_sr,delta_5d_vs_sr,closer,note
covid19,serial_interval,P10,22,6,0,32,days,mean extracted values,3.39,3.07,3.72,3.15,,3.55,3.64,-0.16,0.09,5D,median=3.15; no per-study SE in LEADS schema; Serial interval; SR mixed equal-weighted Delta/Omicron
covid19,serial_interval,P11,58,17,1,71,days,mean extracted values,4.15,3.83,4.47,4.00,,3.50,3.48,0.65,-0.02,5D,median=4.00; no per-study SE in LEADS schema; Serial interval
covid19,serial_interval,P12,19,0,0,20,days,mean extracted values,5.29,4.92,5.66,5.20,,5.20,5.26,0.09,0.06,5D,median=5.20; no per-study SE in LEADS schema; Serial interval
covid19,serial_interval,P13,51,0,0,52,days,mean extracted values,4.80,4.45,5.15,4.72,,4.90,4.98,-0.10,0.08,5D,median=4.72; no per-study SE in LEADS schema; Serial interval vs post-peak China
covid19,serial_interval,P14,9,0,0,9,days,mean extracted values,4.94,4.14,5.74,4.60,,5.40,5.38,-0.46,-0.02,5D,median=4.60; no per-study SE in LEADS schema; Serial interval vs fixed-effect SR
covid19,fatality,P4,55,0,1,55,%,mean extracted fatality rates (%),24.11,17.30,30.93,17.39,89.33,45.00,44.70,-20.89,-0.30,5D,"count-derived rates=48, direct percent values=7, aggregate=89.33%; Fatality CFR/IMV percent"
covid19,fatality,P5,48,0,0,48,%,mean extracted fatality rates (%),1.97,0.93,3.02,0.42,9.90,0.27,0.28,1.70,0.01,5D,"count-derived rates=24, direct percent values=24, aggregate=9.90%; Fatality IFR median percent"
covid19,fatality,P6,32,0,0,32,%,mean extracted fatality rates (%),20.04,11.28,28.79,12.24,19.50,13.00,12.70,7.04,-0.30,5D,"count-derived rates=27, direct percent values=5, aggregate=19.50%; Fatality HFR percent; LEADS cannot separate HFR/ICU"
covid19,reproduction_number,P7,48,3,0,67,R,mean extracted values,2.54,2.26,2.81,2.34,,2.66,2.74,-0.12,0.08,5D,median=2.34; no per-study SE in LEADS schema; R0
covid19,reproduction_number,P8,39,5,0,59,R,mean extracted values,2.51,2.20,2.82,2.40,,2.69,2.83,-0.18,0.14,5D,median=2.40; no per-study SE in LEADS schema; R0
covid19,reproduction_number,P15,25,0,0,27,R,mean extracted values,3.33,2.28,4.38,2.43,,2.87,3.06,0.46,0.19,5D,median=2.43; no per-study SE in LEADS schema; R0
covid19,reproduction_number,P16,34,2,0,40,R,mean extracted values,2.63,2.29,2.97,2.46,,4.08,3.97,-1.45,-0.11,5D,median=2.46; no per-study SE in LEADS schema; R0
covid19,reproduction_number,P17,13,2,0,13,R,mean extracted values,2.77,2.13,3.41,2.38,,3.32,2.87,-0.55,-0.45,5D,median=2.38; no per-study SE in LEADS schema; R0
mpox,reproduction_number,MP9,3,0,0,3,R,mean extracted values,1.07,0.15,2.00,1.00,,1.80,1.78,-0.73,-0.02,5D,median=1.00; no per-study SE in LEADS schema; R0
mpox,serial_interval,MP6,5,0,0,5,days,mean extracted values,6.04,3.29,8.80,6.30,,8.70,9.00,-2.66,0.30,5D,median=6.30; no per-study SE in LEADS schema; Serial interval
mpox,serial_interval,MP10,13,2,0,14,days,mean extracted values,9.19,6.55,11.84,8.66,,12.00,11.42,-2.81,-0.58,5D,median=8.66; no per-study SE in LEADS schema; Serial interval
mpox,serial_interval,MP11,5,0,0,6,days,mean extracted values,7.37,6.35,8.39,7.50,,8.30,8.03,-0.93,-0.27,5D,median=7.50; no per-study SE in LEADS schema; Serial interval
mpox,serial_interval,MP5,8,2,0,8,days,mean extracted values,8.34,6.18,10.50,9.90,,8.26,8.55,0.08,0.29,LEADS,median=9.90; no per-study SE in LEADS schema; Incubation period in report; dataset folder is serial_interval
mpox,fatality,MP4,14,0,0,14,%,mean extracted fatality rates (%),3.00,0.65,5.36,0.10,0.33,5.80,5.80,-2.80,0.00,5D,"count-derived rates=13, direct percent values=1, aggregate=0.33%; Fatality aggregate percent"
mpox,fatality,MP7,20,7,0,20,%,mean extracted fatality rates (%),6.01,1.46,10.55,2.79,0.36,11.40,11.11,-5.39,-0.29,5D,"count-derived rates=20, direct percent values=0, aggregate=0.36%; Fatality pre-2016 percent"
mpox,fatality,MP8,17,3,1,17,%,mean extracted fatality rates (%),7.81,-3.60,19.22,0.09,99.91,9.80,8.33,-1.99,-1.47,5D,"count-derived rates=17, direct percent values=0, aggregate=99.91%; Fatality Clade I percent"
mpox,fatality,MP12,13,2,1,13,%,mean extracted fatality rates (%),3.34,0.62,6.07,1.00,0.24,11.00,10.46,-7.66,-0.54,5D,"count-derived rates=12, direct percent values=1, aggregate=0.24%; Pediatric fatality; SR reports <=11% / range 4-20%"
