disease,topic,ok,missing,errors,n_used,unit,pool_method,leads_point,leads_ci_low,leads_ci_high,leads_median,leads_aggregate_rate,sr_point,five_d_point,delta_leads_vs_sr,delta_5d_vs_sr,closer,note,profile,source_run,selection_rule
covid19,serial_interval,22,6,0,21,days,mean extracted values,3.5,3.16,3.84,3.5,,3.55,3.64,-0.05,0.09,LEADS-Hybrid,median=3.50; no per-study SE in LEADS schema; Serial interval; SR mixed equal-weighted Delta/Omicron,P10,official_trial_result_lite,fatality uses final; continuous uses lite
covid19,serial_interval,59,17,0,57,days,mean extracted values,4.4,4.05,4.76,4.2,,3.5,3.48,0.9,-0.02,5D,median=4.20; no per-study SE in LEADS schema; Serial interval,P11,official_trial_result_lite,fatality uses final; continuous uses lite
covid19,serial_interval,19,0,0,19,days,mean extracted values,5.19,4.81,5.56,5.1,,5.2,5.26,-0.01,0.06,LEADS-Hybrid,median=5.10; no per-study SE in LEADS schema; Serial interval,P12,official_trial_result_lite,fatality uses final; continuous uses lite
covid19,serial_interval,51,0,0,47,days,mean extracted values,4.85,4.49,5.22,5.0,,4.9,4.98,-0.05,0.08,LEADS-Hybrid,median=5.00; no per-study SE in LEADS schema; Serial interval vs post-peak China,P13,official_trial_result_lite,fatality uses final; continuous uses lite
covid19,serial_interval,9,0,0,8,days,mean extracted values,5.18,4.27,6.09,4.85,,5.4,5.38,-0.22,-0.02,5D,median=4.85; no per-study SE in LEADS schema; Serial interval vs fixed-effect SR,P14,official_trial_result_lite,fatality uses final; continuous uses lite
covid19,reproduction_number,48,3,0,54,R,mean extracted values,2.34,2.02,2.66,2.38,,2.66,2.74,-0.32,0.08,5D,median=2.38; no per-study SE in LEADS schema; R0,P7,official_trial_result_lite,fatality uses final; continuous uses lite
covid19,reproduction_number,39,5,0,37,R,mean extracted values,2.57,1.94,3.2,2.43,,2.69,2.83,-0.12,0.14,LEADS-Hybrid,median=2.43; no per-study SE in LEADS schema; R0,P8,official_trial_result_lite,fatality uses final; continuous uses lite
covid19,reproduction_number,25,0,0,31,R,mean extracted values,3.21,2.19,4.23,2.5,,2.87,3.06,0.34,0.19,5D,median=2.50; no per-study SE in LEADS schema; R0,P15,official_trial_result_lite,fatality uses final; continuous uses lite
covid19,reproduction_number,34,2,0,39,R,mean extracted values,2.96,2.54,3.37,2.61,,4.08,3.97,-1.12,-0.11,5D,median=2.61; no per-study SE in LEADS schema; R0,P16,official_trial_result_lite,fatality uses final; continuous uses lite
covid19,reproduction_number,13,2,0,12,R,mean extracted values,2.68,1.97,3.39,2.33,,3.32,2.87,-0.64,-0.45,5D,median=2.33; no per-study SE in LEADS schema; R0,P17,official_trial_result_lite,fatality uses final; continuous uses lite
covid19,fatality,55,0,1,55,%,mean extracted fatality rates (%),24.11,17.3,30.93,17.39,89.33,45.0,44.7,-20.89,-0.3,5D,"count-derived rates=48, direct percent values=7, aggregate=89.33%; Fatality CFR/IMV percent",P4,official_trial_result_final,fatality uses final; continuous uses lite
covid19,fatality,48,0,0,48,%,mean extracted fatality rates (%),1.97,0.93,3.02,0.42,9.9,0.27,0.28,1.7,0.01,5D,"count-derived rates=24, direct percent values=24, aggregate=9.90%; Fatality IFR median percent",P5,official_trial_result_final,fatality uses final; continuous uses lite
covid19,fatality,32,0,0,32,%,mean extracted fatality rates (%),20.04,11.28,28.79,12.24,19.5,13.0,12.7,7.04,-0.3,5D,"count-derived rates=27, direct percent values=5, aggregate=19.50%; Fatality HFR percent; LEADS cannot separate HFR/ICU",P6,official_trial_result_final,fatality uses final; continuous uses lite
mpox,reproduction_number,3,0,0,2,R,mean extracted values,1.75,1.65,1.86,1.75,,1.8,1.78,-0.05,-0.02,5D,median=1.75; no per-study SE in LEADS schema; R0,MP9,official_trial_result_lite,fatality uses final; continuous uses lite
mpox,serial_interval,5,0,0,5,days,mean extracted values,6.02,3.27,8.78,6.3,,8.7,9.0,-2.68,0.3,5D,median=6.30; no per-study SE in LEADS schema; Serial interval,MP6,official_trial_result_lite,fatality uses final; continuous uses lite
mpox,serial_interval,13,2,0,10,days,mean extracted values,10.32,7.1,13.54,9.31,,12.0,11.42,-1.68,-0.58,5D,median=9.31; no per-study SE in LEADS schema; Serial interval,MP10,official_trial_result_lite,fatality uses final; continuous uses lite
mpox,serial_interval,5,0,0,5,days,mean extracted values,7.42,6.15,8.69,8.0,,8.3,8.03,-0.88,-0.27,5D,median=8.00; no per-study SE in LEADS schema; Serial interval,MP11,official_trial_result_lite,fatality uses final; continuous uses lite
mpox,serial_interval,8,2,0,6,days,mean extracted values,8.22,5.35,11.08,9.9,,8.26,8.55,-0.04,0.29,LEADS-Hybrid,median=9.90; no per-study SE in LEADS schema; Incubation period in report; dataset folder is serial_interval,MP5,official_trial_result_lite,fatality uses final; continuous uses lite
mpox,fatality,14,0,0,14,%,mean extracted fatality rates (%),3.0,0.65,5.36,0.1,0.33,5.8,5.8,-2.8,0.0,5D,"count-derived rates=13, direct percent values=1, aggregate=0.33%; Fatality aggregate percent",MP4,official_trial_result_final,fatality uses final; continuous uses lite
mpox,fatality,20,7,0,20,%,mean extracted fatality rates (%),6.01,1.46,10.55,2.79,0.36,11.4,11.11,-5.39,-0.29,5D,"count-derived rates=20, direct percent values=0, aggregate=0.36%; Fatality pre-2016 percent",MP7,official_trial_result_final,fatality uses final; continuous uses lite
mpox,fatality,17,3,1,17,%,mean extracted fatality rates (%),7.81,-3.6,19.22,0.09,99.91,9.8,8.33,-1.99,-1.47,5D,"count-derived rates=17, direct percent values=0, aggregate=99.91%; Fatality Clade I percent",MP8,official_trial_result_final,fatality uses final; continuous uses lite
