disease,status,ground_truth_count,screened_count,tp,fp,fn,tn,strong_count,possible_count,unlikely_count,missing_count,error_count,recall,precision,specificity,npv,f1,accuracy,workload_reduction,nns,mcc,wss95,profile,topic,project,model,data_source,prompt_style,experiment,raw_file,ground_truth_file,screened_file
covid19,ok,56,345,53,198,3,91,0,53,3,0,0,0.946429,0.211155,0.314879,0.968085,0.345277,0.417391,0.272464,4.735849,0.216418,0.222464,P4,fatality,4,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/fatality/p4/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/fatality/p4/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/fatality/p4/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
covid19,ok,48,1882,35,1051,13,783,0,35,13,0,0,0.729167,0.032228,0.426936,0.983668,0.061728,0.434644,0.422954,31.028571,0.049815,0.372954,P5,fatality,5,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/fatality/p5/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/fatality/p5/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/fatality/p5/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
covid19,ok,32,2253,31,1346,1,875,0,31,1,0,0,0.96875,0.022513,0.393967,0.998858,0.044003,0.40213,0.388815,44.419355,0.088044,0.338815,P6,fatality,6,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/fatality/p6/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/fatality/p6/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/fatality/p6/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
covid19,ok,122,574,103,235,19,217,0,103,19,0,0,0.844262,0.304734,0.480088,0.919492,0.447826,0.557491,0.41115,3.281553,0.269681,0.36115,P7,reproduction_number,7,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p7/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p7/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p7/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
covid19,ok,44,575,37,350,7,181,0,37,7,0,0,0.840909,0.095607,0.340866,0.962766,0.171694,0.37913,0.326957,10.459459,0.103009,0.276957,P8,reproduction_number,8,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p8/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p8/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/reproduction_number/p8/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
covid19,ok,28,599,25,210,3,361,0,25,3,0,0,0.892857,0.106383,0.632224,0.991758,0.190114,0.644407,0.607679,9.4,0.227007,0.557679,P10,serial_interval,10,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p10/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p10/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p10/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
covid19,ok,76,841,70,345,6,420,0,70,6,0,0,0.921053,0.168675,0.54902,0.985915,0.285132,0.58264,0.50654,5.928571,0.269571,0.45654,P11,serial_interval,11,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p11/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p11/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p11/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
covid19,ok,19,146,19,63,0,64,0,19,0,0,0,1.0,0.231707,0.503937,1.0,0.376238,0.568493,0.438356,4.315789,0.34171,0.388356,P12,serial_interval,12,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p12/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p12/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p12/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
covid19,ok,51,111,46,48,5,12,0,46,5,0,0,0.901961,0.489362,0.2,0.705882,0.634483,0.522523,0.153153,2.043478,0.141093,0.103153,P13,serial_interval,13,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p13/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p13/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p13/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
covid19,ok,9,94,9,67,0,18,0,9,0,0,0,1.0,0.118421,0.211765,1.0,0.211765,0.287234,0.191489,8.444444,0.158358,0.141489,P14,serial_interval,14,zifeng-ai/leads-mistral-7b-v1,dataset,disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p14/raw.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p14/ground_truth.csv,/mnt/shared-storage-user/yanhaoyang/Projects/MetaAgent-Epi/dataset/covid19/screening/serial_interval/p14/experiments/leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal/screened.csv
