style,experiment,scope,ground_truth_count,screened_count,predicted_include,tp,fp,fn,tn,recall,precision,f1,workload_reduction,specificity
strict_simple,leads_mistral_freeze_prompt_sweep_strict__strict_simple,covid19,561,8913,5594,540,5054,21,3298,0.962567,0.096532,0.175467,0.372377,0.394875
strict_simple,leads_mistral_freeze_prompt_sweep_strict__strict_simple,mpox,107,3845,761,41,720,66,3018,0.383178,0.053876,0.094470,0.802081,0.807384
strict_simple,leads_mistral_freeze_prompt_sweep_strict__strict_simple,overall,668,12758,6355,581,5774,87,6316,0.869760,0.091424,0.165456,0.501881,0.522415
disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,covid19,561,8913,5341,501,4840,60,3512,0.893048,0.093803,0.169773,0.400763,0.420498
disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,mpox,107,3845,1485,86,1399,21,2339,0.803738,0.057912,0.108040,0.613784,0.625736
disease_parameter_minimal,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,overall,668,12758,6826,587,6239,81,5851,0.878743,0.085995,0.156659,0.464963,0.483954
disease_parameter_direct_estimate,leads_mistral_freeze_prompt_sweep_strict2__disease_parameter_direct_estimate,covid19,561,8913,1004,235,769,326,7583,0.418895,0.234064,0.300319,0.887356,0.907926
disease_parameter_direct_estimate,leads_mistral_freeze_prompt_sweep_strict2__disease_parameter_direct_estimate,mpox,107,3845,102,33,69,74,3669,0.308411,0.323529,0.315789,0.973472,0.981541
disease_parameter_direct_estimate,leads_mistral_freeze_prompt_sweep_strict2__disease_parameter_direct_estimate,overall,668,12758,1106,268,838,400,11252,0.401198,0.242315,0.302142,0.913309,0.930687
disease_parameter_numerical_value,leads_mistral_freeze_numerical_value_,covid19,561,8913,910,213,697,348,7655,0.379679,0.234066,0.289599,0.897902,0.916547
disease_parameter_numerical_value,leads_mistral_freeze_numerical_value_,mpox,107,3845,112,32,80,75,3658,0.299065,0.285714,0.292237,0.970871,0.978598
disease_parameter_numerical_value,leads_mistral_freeze_numerical_value_,overall,668,12758,1022,245,777,423,11313,0.366766,0.239726,0.289941,0.919893,0.935732
disease_parameter_primary_study,leads_mistral_freeze_primary_study_,covid19,561,8913,606,181,425,380,7927,0.322638,0.298680,0.310197,0.932009,0.949114
disease_parameter_primary_study,leads_mistral_freeze_primary_study_,mpox,107,3845,86,28,58,79,3680,0.261682,0.325581,0.290155,0.977633,0.984484
disease_parameter_primary_study,leads_mistral_freeze_primary_study_,overall,668,12758,692,209,483,459,11607,0.312874,0.302023,0.307353,0.945760,0.960050
disease_parameter_all_conditions,leads_mistral_freeze_all_conditions_,covid19,561,8913,905,233,672,328,7680,0.415330,0.257459,0.317872,0.898463,0.919540
disease_parameter_all_conditions,leads_mistral_freeze_all_conditions_,mpox,107,3845,159,42,117,65,3621,0.392523,0.264151,0.315789,0.958648,0.968700
disease_parameter_all_conditions,leads_mistral_freeze_all_conditions_,overall,668,12758,1064,275,789,393,11301,0.411677,0.258459,0.317552,0.916601,0.934739
