PMID,sr_id,sr_name,sr_pmid,gt_title,gt_doi,gt_year,gt_authors,gt_journal,gt_country_region,review_status,note,raw_reference,created_at
3010703,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Four generations of probable person-to-person transmission of human monkeypox.,10.1093/oxfordjournals.aje.a114328,1986,"Jezek Z, Arita I, Mutombo M, Dunn C, Nakano JH, Szczeniowski M",American journal of epidemiology,,verified,,,2026-04-17T14:39:19.869163+00:00
3036967,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Human monkeypox: clinical features of 282 patients.,10.1093/infdis/156.2.293,1987,"Jezek Z, Szczeniowski M, Paluku KM, Mutombo M",The Journal of infectious diseases,,verified,,,2026-04-17T14:40:04.335760+00:00
11384521,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,"Outbreak of human monkeypox, Democratic Republic of Congo, 1996 to 1997.",10.3201/eid0703.010311,2001,"Hutin YJ, Williams RJ, Malfait P, Pebody R, Loparev VN, Ropp SL, Rodriguez M, Knight JC, Tshioko FK, Khan AS, Szczeniowski MV, Esposito JJ",Emerging infectious diseases,,verified,,,2026-04-17T14:40:33.495386+00:00
36327164,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,"Severe Monkeypox in Hospitalized Patients - United States, August 10-October 10, 2022.",10.15585/mmwr.mm7144e1,2022,"Miller MJ, Cash-Goldwasser S, Marx GE, Schrodt CA, Kimball A, Padgett K, Noe RS, McCormick DW, Wong JM, Labuda SM, Borah BF, Zulu I, Asif A, Kaur G, McNicholl JM, Kourtis A, Tadros A, Reagan-Steiner S, Ritter JM, Yu Y, Yu P, Clinton R, Parker C, Click ES, Salzer JS, McCollum AM, Petersen B, Minhaj FS, Brown E, Fischer MP, Atmar RL, DiNardo AR, Xu Y, Brown C, Goodman JC, Holloman A, Gallardo J, Siatecka H, Huffman G, Powell J, Alapat P, Sarkar P, Hanania NA, Bruck O, Brass SD, Mehta A, Dretler AW, Feldpausch A, Pavlick J, Spencer H, Ghinai I, Black SR, Hernandez-Guarin LN, Won SY, Shankaran S, Simms AT, Alarcón J, O'Shea JG, Brooks JT, McQuiston J, Honein MA, O'Connor SM, Chatham-Stephens K, O'Laughlin K, Rao AK, Raizes E, Gold JAW, Morris SB, CDC Severe Monkeypox Investigations Team",MMWR. Morbidity and mortality weekly report,,verified,,,2026-04-17T14:40:55.718199+00:00
12149352,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Outbreaks of disease suspected of being due to human monkeypox virus infection in the Democratic Republic of Congo in 2001.,10.1128/JCM.40.8.2919-2921.2002,2002,"Meyer H, Perrichot M, Stemmler M, Emmerich P, Schmitz H, Varaine F, Shungu R, Tshioko F, Formenty P",Journal of clinical microbiology,,verified,,,2026-04-17T14:41:33.130621+00:00
27191380,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Extended Human-to-Human Transmission during a Monkeypox Outbreak in the Democratic Republic of the Congo.,10.3201/eid2206.150579,2016,"Nolen LD, Osadebe L, Katomba J, Likofata J, Mukadi D, Monroe B, Doty J, Hughes CM, Kabamba J, Malekani J, Bomponda PL, Lokota JI, Balilo MP, Likafi T, Lushima RS, Ilunga BK, Nkawa F, Pukuta E, Karhemere S, Tamfum JJ, Nguete B, Wemakoy EO, McCollum AM, Reynolds MG",Emerging infectious diseases,,verified,,,2026-04-17T14:41:59.840632+00:00
40552167,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Clinical Characteristics and Outcome of MPOX Patients Admitted to the Bukavu University Clinics in the Democratic Republic of Congo From July to December 2024: Open Cohort Study.,10.1155/jotm/9981208,2025,"Cibenda RL, Ngongo PT, Katabana DM, Katchunga PB",Journal of tropical medicine,,verified,,,2026-04-17T14:43:00.339650+00:00
40239067,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Tecovirimat for Clade I MPXV Infection in the Democratic Republic of Congo.,10.1056/NEJMoa2412439,2025,"PALM007 Writing Group, Ali R, Alonga J, Biampata JL, Kombozi Basika M, Maljkovic Berry I, Bisento N, Blum E, Bonnett T, Cone K, Crozier I, Davey R, Dilu A, Dodd LE, Gulati I, Hruby D, Ibanda A, Isse F, Kasareka SS, Kayembe G, Kojan R, Luzolo EK, Lane HC, Lawanga L, Liesenborghs L, Shosongo Lunghe C, Lula Y, Lusakibanza M, Lutete GT, Mbala-Kingebeni P, Miranda A, Mukadi-Bamuleka D, Mukendi G, Lupola PM, Muyembe-Tamfum JJ, Ndungunu R, Nganga B, Ntamabyaliro N, Nussenblatt V, Omulepu I, Omalokoho Onosomba J, Proschan M, Rubenstein K, Saknite I, Schechner A, Shaw-Saliba K, Sivahera B, Smolskis M, Tillman A, Tkaczyk E, Tshimanga C, Tshiani Mbaya O, Tshomba A, Yemba Unda Tshomba F, Vallee D, Vogel S, Weyers S",The New England journal of medicine,,verified,,,2026-04-17T14:43:26.455657+00:00
40222380,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,Clinical presentation and epidemiological assessment of confirmed human mpox cases in DR Congo: a surveillance-based observational study,10.1016/S0140-6736(25)00152-7,2025,"Emile Malembi, Roser Escrig-Sarreta, Jackie Ntumba, Camila G Beiras, Robert Shongo, Justin Bengehya, Charles Nselaka, Elisabeth Pukuta, Daniel Mukadi-Bamuleka, Noëlla Mulopo-Mukanya, Xinying Leng,Clara Pérez-Mañá, Cristina Galván-Casas, Susana Muñoz, Steeven Bilembo-Kitwanda, Pierre Kitha, Vivi Maketa, Patrick Mitashi, Aruna Abedi, Justus Nsio, Steve Ahuka-Mundeke, Placide Mbala-Kingebeni, Jean-Jacques Muyembe, Michael Marks, Hypolite Muhindo-Mavoko, Oriol Mitjà; MOTION-DRC Working Group",,,verified,,,2026-04-17T15:00:49.406122+00:00
16103616,7,4.Global_and_regional_mortality_rate_statistics_of_mpox__formerly_monkeypox___a_comprehensive_systematic_review_and_meta-analysis,40884410,"Extended interhuman transmission of monkeypox in a hospital community in the Republic of the Congo, 2003.",10.4269/  ajtmh.2005.73.428,2005,"Learned LA, Reynolds MG, Wassa DW, Li Y, Olson VA, Karem K, Stempora LL, Braden ZH, Kline R, Likos A, Libama F, Moudzeo H, Bolanda JD, Tarangonia P, Boumandoki P, Formenty P, Harvey JM, Damon IK",The American journal of tropical medicine and hygiene,,verified,,,2026-04-17T15:06:52.763321+00:00
