PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,pub_types,mesh_terms
39401235,"Mpox Clinical Presentation, Diagnostic Approaches, and Treatment Strategies: A Review.","Boghuma K Titanji, Aniruddha Hazra, Jason Zucker",JAMA. 2024. doi: 10.1001/jama.2024.21091..,Titanji,JAMA,2024,2024/11/19,,,10.1001/jama.2024.21091,"IMPORTANCE: A global outbreak of clade IIb Monkeypox virus (MPXV) infections spread rapidly across at least 118 countries resulting in a Public Health Emergency of International Concern (PHEIC) from July 2022 to May 2023. This outbreak affected more than 99 000 persons worldwide and caused more than 33 000 infections and 60 deaths in the US. In 2024, there have been approximately 200 new infections per month in the US. On August 14, 2024, the World Health Organization declared mpox a PHEIC for a second time due to a rapid increase in infections with clade I MPXV in Central Africa. OBSERVATIONS: Mpox is primarily acquired through direct skin to skin contact with MPXV. With clade IIb MPXV, infections are most commonly associated with sexual activity among individuals who are gay, bisexual, and other men who have sex with men. After a median incubation period of 7 to 10 days, prodromal symptoms include fever (62%-72%), lymphadenopathy (56%-86%), myalgias (31%-55%), malaise (23%-57%), and headache (25%-55%). Skin lesions progress through 4 well-defined stages (macules, papules, vesicles, and pustules) over 2 to 4 weeks. Clade IIb MPXV is typically a self-limited illness with a low mortality rate (<0.2% in the US); however, severe illness and death may occur in immunocompromised individuals, especially those with advanced HIV (CD4 count <200 cells/μL). Mpox should be suspected in patients with potential exposure to MPXV who have skin lesions, and the diagnosis is confirmed with polymerase chain reaction testing of lesions. Management is supportive and focuses on skin care and symptom relief with analgesics. While no antiviral treatments are currently approved for mpox by the US Food and Drug Administration, several therapeutics, such as tecovirimat, brincidofovir, and vaccinia immune globulin intravenous, are available through expanded access programs or clinical trials. Vaccination with the 2-dose Modified Vaccinia Ankara-Bavarian Nordic vaccine is recommended for high-incidence populations and has an efficacy of 66% to 86%. CONCLUSIONS AND RELEVANCE: Mpox is a viral infection transmitted primarily through close skin to skin contact that typically causes a self-resolving illness but can result in severe illness and death in immunocompromised individuals. First-line therapy is supportive care, although patients with severe mpox infection may be treated with advanced therapeutics. Mpox vaccination is effective and, if available, should be offered to individuals at risk of exposure to mpox.","[MeSH] Humans; [MeSH] Male; [MeSH] Antiviral Agents; [MeSH] Disease Outbreaks; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Immunoglobulins, Intravenous; [MeSH] Smallpox Vaccine; [MeSH] Polymerase Chain Reaction; [MeSH] Palliative Care; [MeSH] Sexual and Gender Minorities; [MeSH] Skin; [MeSH] Female; [MeSH] Benzamides; [MeSH] Phthalimides; [MeSH] Cytosine; [MeSH] Organophosphonates; [MeSH] Immunoglobulin G; [MeSH] Vaccines, Attenuated","Journal Article; Review; Research Support, U.S. Gov't, P.H.S.","[MeSH] Humans; [MeSH] Male; [MeSH] Antiviral Agents; [MeSH] Disease Outbreaks; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Immunoglobulins, Intravenous; [MeSH] Smallpox Vaccine; [MeSH] Polymerase Chain Reaction; [MeSH] Palliative Care; [MeSH] Sexual and Gender Minorities; [MeSH] Skin; [MeSH] Female; [MeSH] Benzamides; [MeSH] Phthalimides; [MeSH] Cytosine; [MeSH] Organophosphonates; [MeSH] Immunoglobulin G; [MeSH] Vaccines, Attenuated"
36214966,Monkeypox virus: past and present.,"Ya-Mei Dou, Hang Yuan, Hou-Wen Tian",World journal of pediatrics : WJP. 2022. doi: 10.1007/s12519-022-00618-1..,Dou,World journal of pediatrics : WJP,2023,2022/10/10,,,10.1007/s12519-022-00618-1,"BACKGROUND: The objective of this paper is to analyze the current status of monkeypox worldwide. In the face of this public health threat, our purpose is to elucidate the clinical characteristics and epidemiology of monkeypox, the developmental progress of monkeypox-related drugs and the vaccines available. DATA SOURCES: The literature review was performed in databases including PubMed, Science Direct and Google Scholar up to July 2022. RESULTS: Since May 2022, the World Health Organization has reported more than 45,000 confirmed cases from 92 nonendemic countries, including nine deaths. Although some women and children have been infected so far, most cases have occurred among men who have sex with other men, especially those with multiple sexual partners or anonymous sex. CONCLUSIONS: Pediatric monkeypox infection has been associated with a higher likelihood of severe illness and mortality than in adults. Severe monkeypox illness in pediatrics often requires adjunctive antiviral therapy. It is crucial for all countries to establish sound monitoring and testing systems and be prepared with emergency preparedness.",Monkeypox; Orthopoxvirus; Smallpox; Zoonotic,Journal Article; Review,"[MeSH] Adult; [MeSH] Male; [MeSH] Female; [MeSH] Humans; [MeSH] Child; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Databases, Factual; [MeSH] Public Health; [MeSH] World Health Organization"
35148313,The changing epidemiology of human monkeypox-A potential threat? A systematic review.,"Eveline M Bunge, Bernard Hoet, Liddy Chen, Florian Lienert, Heinz Weidenthaler, Lorraine R Baer, Robert Steffen",PLoS neglected tropical diseases. 2022. doi: 10.1371/journal.pntd.0010141..,Bunge,PLoS neglected tropical diseases,2022,2022/02/11,,,10.1371/journal.pntd.0010141,"Monkeypox, a zoonotic disease caused by an orthopoxvirus, results in a smallpox-like disease in humans. Since monkeypox in humans was initially diagnosed in 1970 in the Democratic Republic of the Congo (DRC), it has spread to other regions of Africa (primarily West and Central), and cases outside Africa have emerged in recent years. We conducted a systematic review of peer-reviewed and grey literature on how monkeypox epidemiology has evolved, with particular emphasis on the number of confirmed, probable, and/or possible cases, age at presentation, mortality, and geographical spread. The review is registered with PROSPERO (CRD42020208269). We identified 48 peer-reviewed articles and 18 grey literature sources for data extraction. The number of human monkeypox cases has been on the rise since the 1970s, with the most dramatic increases occurring in the DRC. The median age at presentation has increased from 4 (1970s) to 21 years (2010-2019). There was an overall case fatality rate of 8.7%, with a significant difference between clades-Central African 10.6% (95% CI: 8.4%- 13.3%) vs. West African 3.6% (95% CI: 1.7%- 6.8%). Since 2003, import- and travel-related spread outside of Africa has occasionally resulted in outbreaks. Interactions/activities with infected animals or individuals are risk behaviors associated with acquiring monkeypox. Our review shows an escalation of monkeypox cases, especially in the highly endemic DRC, a spread to other countries, and a growing median age from young children to young adults. These findings may be related to the cessation of smallpox vaccination, which provided some cross-protection against monkeypox, leading to increased human-to-human transmission. The appearance of outbreaks beyond Africa highlights the global relevance of the disease. Increased surveillance and detection of monkeypox cases are essential tools for understanding the continuously changing epidemiology of this resurging disease.","[MeSH] Adolescent; [MeSH] Adult; [MeSH] Child; [MeSH] Child, Preschool; [MeSH] Democratic Republic of the Congo; [MeSH] Female; [MeSH] History, 20th Century; [MeSH] History, 21st Century; [MeSH] Humans; [MeSH] Male; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus; [MeSH] Travel-Related Illness; [MeSH] Young Adult","Historical Article; Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review","[MeSH] Adolescent; [MeSH] Adult; [MeSH] Child; [MeSH] Child, Preschool; [MeSH] Democratic Republic of the Congo; [MeSH] Female; [MeSH] History, 20th Century; [MeSH] History, 21st Century; [MeSH] Humans; [MeSH] Male; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus; [MeSH] Travel-Related Illness; [MeSH] Young Adult"
38801568,"Monkeypox: Past, Present, and Future.","Gulfaraz Khan, Nighat Perveen",Advances in experimental medicine and biology. 2024. doi: 10.1007/978-3-031-57165-7_1..,Khan,Advances in experimental medicine and biology,2024,2024/01/01,,,10.1007/978-3-031-57165-7_1,"Monkeypox (Mpox) is a zoonotic disease caused by a virus (monkeypox virus-MPV) belonging to the Poxviridae family. In humans, the disease has an incubation period of 5-21 days and then progresses in two phases, the prodromal phase and the rash phase. The prodromal phase is characterized by non-specific symptoms such as fever, muscle pain, malaise, lymphadenopathy, headache, and chills. Skin lesions appear in the rash phase of the disease. These lesions progress through different stages (macules, papules, vesicles, and pustules). In May 2022, WHO reported an outbreak of human Mpox in several countries which were previously Mpox-free. As per the CDC report of March 01, 2023, a total of 86,231 confirmed cases of Mpox and 105 deaths have been reported from 110 countries and territories across the globe. Notably, more than 90% of these countries were reporting Mpox for the first time. The phylogenetic analysis revealed that this outbreak was associated with the virus from the West African clade. However, most of the cases in this outbreak had no evidence of travel histories to MPV-endemic countries in Central or West Africa. This outbreak was primarily driven by the transmission of the virus via intimate contact in men who have sex with men (MSM). The changing epidemiology of Mpox raised concerns about the increasing spread of the disease in non-endemic countries and the urgent need to control and prevent it. In this chapter, we present all the documented cases of Mpox from 1970 to 2023 and discuss the past, present, and future of MPV.",Distribution; Epidemiology; MPV strains; Monkeypox; Monkeypox virus; Prevalence; Transmission,Journal Article; Review,"[MeSH] Animals; [MeSH] Humans; [MeSH] Disease Outbreaks; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Phylogeny; [MeSH] Zoonoses"
36396164,Monkeypox and children.,"Jonathan Cohen, Shamez N Ladhani",Archives of disease in childhood. 2022. doi: 10.1136/archdischild-2022-324703..,Cohen,Archives of disease in childhood,2022,2022/09/02,,,10.1136/archdischild-2022-324703,,communicable diseases; epidemiology; infectious disease medicine; paediatrics; virology,Editorial,"[MeSH] Child; [MeSH] Humans; [MeSH] Mpox, Monkeypox"
37704017,Clinical review of human mpox.,"Dimie Ogoina, Inger Damon, Emmanuel Nakoune",Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases. 2023. doi: 10.1016/j.cmi.2023.09.004..,Ogoina,Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,2023,2023/09/12,,,10.1016/j.cmi.2023.09.004,"BACKGROUND: Historically, human mpox was predominantly a zoonotic disease occurring more frequently in rural children in Africa and characterized by a largely self-limiting febrile centrifugal monomorphic rash illness. However, the 2022 mpox global outbreak has shown that the disease is changing in many ways, including sustained human-to-human transmission via sexual contact, novel clinical presentations, and adverse associations between mpox and advanced HIV. OBJECTIVES: The aim of this paper is to review the traditional and emerging clinical aspects of human mpox and provide updated information on the clinical course and outcome of the disease. SOURCES: We searched electronic databases including PubMed and Google Scholar and identified relevant published literature on mpox. CONTENT: The clinical presentation of human mpox is influenced by the route of infectious exposure, the strain and dose of the infecting virus, and the host immune system. Exposure to the virus can result in sub-clinical or clinical diseases of variable severity. Infections caused by clade I viral strains are more severe than class IIa and IIb strains, which are associated with a milder febrile rash illness, and with anogenital skin lesions in clade IIb infections. Most cases of mpox recover entirely within 2-4 weeks after onset of illness and a few develop skin-related sequelae. Overall, people with advanced HIV infection, children <5 years of age, and pregnant women may present with more severe disease and higher case fatalities. IMPLICATIONS: The continued endemicity of the classical mpox in Africa, the emergence of a new clinical form of the disease during the 2022 global outbreak, and the adverse associations between advanced HIV and mpox have implications for the surveillance, clinical diagnosis, and management of human mpox.",Anogenital ulcers; Clinical features; HIV; Mpox; Skin rash,Journal Article; Review,"[MeSH] Pregnancy; [MeSH] Child; [MeSH] Animals; [MeSH] Humans; [MeSH] Female; [MeSH] HIV Infections; [MeSH] Mpox, Monkeypox; [MeSH] Zoonoses; [MeSH] Africa; [MeSH] Exanthema"
37844695,Changing face of mpox.,"Muge Cevik, Chloe Orkin",Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases. 2023. doi: 10.1016/j.cmi.2023.10.011..,Cevik,Clinical microbiology and infection : the official publication of the European Society of Clinical Microbiology and Infectious Diseases,2023,2023/10/14,,,10.1016/j.cmi.2023.10.011,,"[MeSH] Humans; [MeSH] Mpox, Monkeypox",Editorial,"[MeSH] Humans; [MeSH] Mpox, Monkeypox"
36707246,Case of apparent mpox reinfection.,"John Golden, Lindsey Harryman, Megan Crofts, Peter Muir, Matthew Donati, Sophie Gillett, Charles Irish",Sexually transmitted infections. 2023. doi: 10.1136/sextrans-2022-055736..,Golden,Sexually transmitted infections,2023,2023/01/27,,,10.1136/sextrans-2022-055736,"We present an apparent second episode of mpox (monkeypox) genital ulcerative disease in a non-immunosuppressed MSM (man who has sex with men) patient who had completely recovered from a primary mpox infection 4 months previously. The patient had also received a complete two-dose course of smallpox vaccination between the two presentations. This case highlights the importance of continuing to include mpox in the differential diagnoses for individuals presenting with genital or mucosal ulceration, regardless of assumed immunity derived from prior infection or vaccination.","Disease Transmission, Infectious; SEXUAL HEALTH; VACCINATION; VIROLOGY",Journal Article,"[MeSH] Male; [MeSH] Humans; [MeSH] Homosexuality, Male; [MeSH] Mpox, Monkeypox; [MeSH] Reinfection; [MeSH] Sexual and Gender Minorities; [MeSH] Diagnosis, Differential; [MeSH] Urogenital Diseases"
38527231,Monkeypox.,"Derrick P Smit, Ilknur Tugal-Tutkun, Jennifer E Thorne",Ocular immunology and inflammation. 2024. doi: 10.1080/09273948.2023.2298177..,Smit,Ocular immunology and inflammation,2024,2024/03/25,,,10.1080/09273948.2023.2298177,,"[MeSH] Animals; [MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Zoonoses; [MeSH] Disease Outbreaks",Editorial,"[MeSH] Animals; [MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Zoonoses; [MeSH] Disease Outbreaks"
39188013,Vaccines against mpox: MVA-BN and LC16m8.,"John D Grabenstein, Adam Hacker",Expert review of vaccines. 2024. doi: 10.1080/14760584.2024.2397006..,Grabenstein,Expert review of vaccines,2024,2024/09/01,,,10.1080/14760584.2024.2397006,"INTRODUCTION: Global outbreaks involving mpox clade IIb began in mid-2022. Today, clade IIb and clade I outbreaks continue. Reliable mpox vaccines can prevent serious mpox disease and death. AREAS COVERED: Globally, two vaccines hold mpox indications, regardless of mpox viral clade: MVA-BN (Bavarian Nordic) and LC16m8 (KM Biologics). This review summarizes the human and pivotal animal data establishing safety and efficacy for MVA-BN and LC16m8, including real-world evidence gathered during mpox outbreaks from 2022 through 2024. EXPERT OPINION: Some regulatory decisions for MVA-BN and LC16m8 followed pathways based on surrogate outcomes, including lethal-challenge studies in nonhuman primates, among other atypical aspects. Nonetheless, MVA-BN and LC16m8 hold unencumbered registration in multiple countries. Effectiveness of MVA-BN as primary preventive vaccination (PPV) in humans against clade IIb mpox is clear from real-world studies; effectiveness of LC16m8 against clade IIb is likely from surrogate endpoints. Effectiveness of MVA-BN and LC16m8 as PPV against more-lethal clade I is likely, based on animal-challenge studies with multiple orthopoxvirus species and other studies. Both vaccines have solid safety records. MVA-BN's replication incompetence favors adoption, whereas LC16m8 has more pediatric data. Additional real-world evidence, in additional geographic settings and special populations (e.g. pregnancy, immune suppression, atopic dermatitis), is needed.",LC16m8; modified vaccinia Ankara; monkeypox virus; mpox; prevention; vaccine; vaccinia virus,Journal Article; Review,"[MeSH] Animals; [MeSH] Humans; [MeSH] Disease Outbreaks; [MeSH] Vaccination; [MeSH] Vaccine Efficacy; [MeSH] Vaccines, DNA; [MeSH] Viral Vaccines; [MeSH] Mpox, Monkeypox"
