PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,pub_types,mesh_terms
36319633,"Monkeypox: epidemiology, pathogenesis, treatment and prevention.","Yong Huang, Li Mu, Wei Wang",Signal transduction and targeted therapy. 2022. doi: 10.1038/s41392-022-01215-4..,Huang,Signal transduction and targeted therapy,2022,2022/11/02,,,10.1038/s41392-022-01215-4,"Monkeypox is a zoonotic disease that was once endemic in west and central Africa caused by monkeypox virus. However, cases recently have been confirmed in many nonendemic countries outside of Africa. WHO declared the ongoing monkeypox outbreak to be a public health emergency of international concern on July 23, 2022, in the context of the COVID-19 pandemic. The rapidly increasing number of confirmed cases could pose a threat to the international community. Here, we review the epidemiology of monkeypox, monkeypox virus reservoirs, novel transmission patterns, mutations and mechanisms of viral infection, clinical characteristics, laboratory diagnosis and treatment measures. In addition, strategies for the prevention, such as vaccination of smallpox vaccine, is also included. Current epidemiological data indicate that high frequency of human-to-human transmission could lead to further outbreaks, especially among men who have sex with men. The development of antiviral drugs and vaccines against monkeypox virus is urgently needed, despite some therapeutic effects of currently used drugs in the clinic. We provide useful information to improve the understanding of monkeypox virus and give guidance for the government and relative agency to prevent and control the further spread of monkeypox virus.","[MeSH] Male; [MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Homosexuality, Male; [MeSH] Pandemics; [MeSH] COVID-19; [MeSH] Sexual and Gender Minorities; [MeSH] Monkeypox virus","Journal Article; Review; Research Support, Non-U.S. Gov't","[MeSH] Male; [MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Homosexuality, Male; [MeSH] Pandemics; [MeSH] COVID-19; [MeSH] Sexual and Gender Minorities; [MeSH] Monkeypox virus"
36801633,"Monkeypox (mpox) virus: Classification, origin, transmission, genome organization, antiviral drugs, and molecular diagnosis.","Aysel Karagoz, Huseyin Tombuloglu, Moneerah Alsaeed, Guzin Tombuloglu, Abdullah A AlRubaish, Amal Mahmoud, Samira Smajlović, Sabahudin Ćordić, Ali A Rabaan, Ebtesam Alsuhaimi",Journal of infection and public health. 2023. doi: 10.1016/j.jiph.2023.02.003..,Karagoz,Journal of infection and public health,2023,2023/02/09,,,10.1016/j.jiph.2023.02.003,"Monkeypox virus (MPXV) is a double-stranded DNA virus belonging to the Poxviridae family of the genus Orthopoxvirus with two different clades known as West African and Congo Basin. Monkeypox (MPX) is a zoonosis that arises from the MPXV and causes a smallpox-like disease. The endemic disease status of MPX was updated to an outbreak worldwide in 2022. Thus, the condition was declared a global health emergency independent of travel issues, accounting for the primary reason for its prevalence outside Africa. In addition to identified transmission mediators through animal-to-human and human-to-human, especially sexual transmission among men who have sex with men came to prominence in the 2022 global outbreak. Although the severity and prevalence of the disease differ depending on age and gender, some symptoms are commonly observed. Clinical signs such as fever, muscle and headache pain, swollen lymph nodes, and skin rashes in defined body regions are standard and an indicator for the first step of diagnosis. By following the clinical signs, laboratory diagnostic tests like conventional polymerase chain reaction (PCR) or real-time PCR (RT-PCR) are the most common and accurate diagnostic methods. Antiviral drugs such as tecovirimat, cidofovir, and brincidofovir are used for symptomatic treatment. There is no MPXV-specific vaccine; however, currently available vaccines against smallpox enhance the immunization rate. This comprehensive review covers the MPX disease history and the current state of knowledge by assessing broad topics and views related to disease origin, transmission, epidemiology, severity, genome organization and evolution, diagnosis, treatment, and prevention.",Diagnosis; Genome; Monkeypox virus; Mpox; Susceptibility; Transmission,Journal Article; Review,"[MeSH] Male; [MeSH] Animals; [MeSH] Humans; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Antiviral Agents; [MeSH] Smallpox; [MeSH] Homosexuality, Male; [MeSH] Sexual and Gender Minorities"
38063873,[Human monkeypox (Mpox)].,"Sebastian Mrosik, Heinrich Rasokat, Mario Fabri, Luisa Bopp","Dermatologie (Heidelberg, Germany). 2023. doi: 10.1007/s00105-023-05268-6..",Mrosik,"Dermatologie (Heidelberg, Germany)",2024,2023/12/08,,,10.1007/s00105-023-05268-6,"Until recently, human monkeypox (Mpox) were rarely observed outside of Africa, where the Mpox virus (MPXV) is endemic in some regions. In early May 2022, a global Mpox outbreak occurred. Crucial to this outbreak was human-to-human transmission during sexual activity. In particular, young men who have sex with men (MSM) became ill. In July 2022, this Mpox epidemic was declared a public health emergency of international concern by the World Health Organization. As of 26 September 2023, 90,618 confirmed cases of Mpox have been reported worldwide, with Germany accounting for around 3700 cases. The strongest increase in incidence occurred from May to mid-August 2022; since then, the number of cases has declined significantly as a result of intensive prevention efforts (education, vaccination). Currently, there are only sporadic, smaller outbreaks-in Germany (Berlin) most recently in August 2023. Despite the current calm epidemiological situation worldwide, isolated cases must therefore still be expected in Germany. The clinical picture of the ""new"" clade IIb-associated Mpox variant, which is mostly transmitted sexually from person to person, differs markedly from that of the ""classical"" Mpox (clades I and IIa), which, apart from rapidly breaking human infection chains, essentially occur as a zoonosis.",Anogenital ulcer; Orthopoxvirus; Person-to-person transmission; Poxvirus; Sexually transmitted diseases,English Abstract; Journal Article; Review,"[MeSH] Male; [MeSH] Animals; [MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Homosexuality, Male; [MeSH] Sexual and Gender Minorities; [MeSH] Zoonoses; [MeSH] Monkeypox virus"
36571266,Mpox diagnostics: Review of current and emerging technologies.,"Chuan Kok Lim, Jason Roberts, Michael Moso, Kwee Chin Liew, Mona L Taouk, Eloise Williams, Thomas Tran, Eike Steinig, Leon Caly, Deborah Ann Williamson",Journal of medical virology. 2023. doi: 10.1002/jmv.28429..,Lim,Journal of medical virology,2023,2023/01/01,,,10.1002/jmv.28429,"Mpox is a zoonotic disease caused by monkeypox virus (MPXV) from the Orthopoxvirus genus. Unprecedented transmission events have led to more than 70 000 cases reported worldwide by October 2022. The change in mpox epidemiology has raised concerns of its ability to establish endemicity beyond its traditional geographical locations. In this review, we discuss the current understanding of mpox virology and viral dynamics that are relevant to mpox diagnostics. A synopsis of the traditional and emerging laboratory technologies useful for MPXV detection and in guiding ""elimination"" strategies is outlined in this review. Importantly, development in MPXV genomics has rapidly advanced our understanding of the role of viral evolution and adaptation in the current outbreak.",diagnostics; genomics; monkeypox; mpox; orthopoxvirus; serology,"Journal Article; Review; Research Support, Non-U.S. Gov't","[MeSH] Animals; [MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus; [MeSH] Zoonoses; [MeSH] Orthopoxvirus; [MeSH] Disease Outbreaks"
37828248,Mpox virus infection and drug treatment modelled in human skin organoids.,"Pengfei Li, Spyridon T Pachis, Guige Xu, Rick Schraauwen, Roberto Incitti, Annemarie C de Vries, Marco J Bruno, Maikel P Peppelenbosch, Intikhab Alam, Karine Raymond, Qiuwei Pan",Nature microbiology. 2023. doi: 10.1038/s41564-023-01489-6..,Li,Nature microbiology,2023,2023/10/12,,,10.1038/s41564-023-01489-6,"Mpox virus (MPXV) primarily infects human skin to cause lesions. Currently, robust models that recapitulate skin infection by MPXV are lacking. Here we demonstrate that human induced pluripotent stem cell-derived skin organoids are susceptible to MPXV infection and support infectious virus production. Keratinocytes, the predominant cell type of the skin epithelium, effectively support MPXV infection. Using transmission electron microscopy, we visualized the four stages of intracellular virus particle assembly: crescent formation, immature virions, mature virions and wrapped virions. Transcriptional analysis showed that MPXV infection rewires the host transcriptome and triggers abundant expression of viral transcripts. Early treatment with the antiviral drug tecovirimat effectively inhibits infectious virus production and prevents host transcriptome rewiring. Delayed treatment with tecovirimat also inhibits infectious MPXV particle production, albeit to a lesser extent. This study establishes human skin organoids as a robust experimental model for studying MPXV infection, mapping virus-host interactions and testing therapeutics.","[MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus; [MeSH] Induced Pluripotent Stem Cells; [MeSH] Organoids","Journal Article; Research Support, Non-U.S. Gov't","[MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus; [MeSH] Induced Pluripotent Stem Cells; [MeSH] Organoids"
37147789,Oral lesions in human monkeypox disease and their management.,"Betsy Joseph, Sukumaran Anil",Clinical and experimental dental research. 2023. doi: 10.1002/cre2.690..,Joseph,Clinical and experimental dental research,2023,2023/05/05,,,10.1002/cre2.690,"OBJECTIVE: The current outbreak of human monekypox (MPX) in several endemic and non-endemic regions in 2022 has generated significant international attention. Despite the early classification as zoonotic, MPXV has demonstrated the potential for human-to-human transmission through close contact with lesions, body fluids, respiratory droplets, and contaminated materials. Therefore, our objective was to elaborate on the oral lesions in human MPX and their management. MATERIALS AND METHOD: Articles published up to August, 2022, were screened to identify relevant studies in humans that reported oral lesions in MPX. RESULTS: Oral lesions have been found to manifest differently and transform from vesicles to pustules, accompanied by umbilication and crusting within four weeks. Along with fever and lymphadenopathy, these lesions may develop in the oral cavity and then spread to the skin surrounding the extremities in a centrifugal pattern. In some patients, the oropharyngeal and perioral lesions were the initial presentations. CONCLUSIONS: The oral lesions of MPX infection and its management strategies are relevant for dentists. Dental practitioners may be the first to detect the initial lesions of MPX. Therefore, high alertness should be there, especially while examining patients with fever and lymphadenopathy. It is also essential to thoroughly examine the oral cavity for macular and papular lesions in oral mucosa, tongue, gingiva, and epiglottis. Symptomatic and supportive care of oral lesions is recommended.",Monkeypox; Monkeypox virus; disease management; oral manifestations; oral ulcer,"Journal Article; Research Support, Non-U.S. Gov't","[MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Dentists; [MeSH] Professional Role; [MeSH] Mouth; [MeSH] Lymphadenopathy"
38076734,"Screening, Expression and Identification of Nanobody Against Monkeypox Virus A35R.","Ni Meng, Xiaolong Cheng, Mengyao Sun, Yushan Zhang, Xueke Sun, Xifu Liu, Jing Chen",International journal of nanomedicine. 2023. doi: 10.2147/IJN.S431619..,Meng,International journal of nanomedicine,2023,2023/12/05,,,10.2147/IJN.S431619,"INTRODUCTION: The monkeypox (Mpox) virus epidemic presents a significant risk to global public health security. A35R, a crucial constituent of EEV, plays a pivotal role in virus transmission, serves as a vital target for vaccine development, and has potential for serological detection. Currently, there is a dearth of research on nanobodies targeting A35R. The purpose of this study is to identify specific nanobodies target A35R, so as to provide new antibody candidates for Mpox vaccine development and diagnostic kit development. METHODS: Three nanobodies specific to the monkeypox virus protein A35R were screened from a naïve phage display library. After four rounds of panning, positive phage clones were identified by enzyme-linked immunosorbent assay (ELISA). Further, the nanobody fusion protein was constructed in pNFCG1-IgG1-Fc vector and expressed in HEK293F cells and purified by affinity chromatography. The specificity and affinity of the nanobodies were identified by ELISA. The binding kinetics of the VHH antibody to A35R were assessed via employment of a bio-layer interferometry (BLI) apparatus, thereby determining the nanobodies affinity. RESULTS: The three purified nanobodies showed specific high-affinity binding MPXV A35R, of them, VHH-1 had the best antigen binding affinity (EC50 = 0.010 ug/mL). In addition, VHH-1 on Protein A biosensor can bind Mpox virus A35R, with an affinity constant of 54 nM as determined in BLI assay. CONCLUSION: In sum, we has obtained three nanobody strains against Mpox virus A35R with significant affinity and specificity, therefore laying an essential foundation for further research as well as the applications of diagnostic and therapeutic tools of Mpox virus.",A35R; monkeypox virus; nanobody; phage display library,Journal Article,"[MeSH] Humans; [MeSH] Monkeypox virus; [MeSH] Single-Domain Antibodies; [MeSH] Mpox, Monkeypox; [MeSH] Cell Surface Display Techniques; [MeSH] Bacteriophages; [MeSH] Enzyme-Linked Immunosorbent Assay"
36624034,Treatment and prevention of monkeypox.,"Fernando de la Calle-Prieto, Miriam Estébanez Muñoz, Germán Ramírez, Marta Díaz-Menéndez, María Velasco, Harkaitz Azkune Galparsoro, Miguel Salavert Lletí, Tatiana Mata Forte, José Luis Blanco, Marta Mora-Rillo, Marta Arsuaga, Rosa de Miguel Buckley, Jose Ramón Arribas, Francisco Javier Membrillo",Enfermedades infecciosas y microbiologia clinica (English ed.). 2023. doi: 10.1016/j.eimce.2022.12.010..,de,Enfermedades infecciosas y microbiologia clinica (English ed.),2023,2023/01/07,,,10.1016/j.eimce.2022.12.010,"Monkeypox is a zoonosis that is spread mainly through direct contact with fluids and skin lesions of infected people with vesicles still active. Although the virus was isolated for the first time in 1958 and the first human case was identified in a child in 1970, in the Democratic Republic of the Congo, the disease has progressively increased its incidence in Africa reaching in May 2022 sustained transmission outside this continent. As it is a newly introduced virus in our health system, it is necessary to learn the epidemiological pattern in a different environment from that of traditionally endemic areas and to know the available antiviral treatments, as well as the prophylactic measures that could be considered, knowing that as a virus emerging in our regions, scientific evidence is still limited. There are antivirals that have been shown, in animal models, to effectively combat the disease with very good clinical tolerance. This disease has also forced us to review the characteristics of smallpox vaccines, because they have shown a protective effect against monkeypox. For this reason, it is important to have a document that compiles all the scientific information published in this regard.",Antiviral agents; Antivirales; Prevención; Prevention; Smallpox; Vaccine; Vacuna; Viruela; Virus,Journal Article; Review,"[MeSH] Child; [MeSH] Animals; [MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus; [MeSH] Smallpox Vaccine; [MeSH] Africa; [MeSH] Incidence"
35148313,The changing epidemiology of human monkeypox-A potential threat? A systematic review.,"Eveline M Bunge, Bernard Hoet, Liddy Chen, Florian Lienert, Heinz Weidenthaler, Lorraine R Baer, Robert Steffen",PLoS neglected tropical diseases. 2022. doi: 10.1371/journal.pntd.0010141..,Bunge,PLoS neglected tropical diseases,2022,2022/02/11,,,10.1371/journal.pntd.0010141,"Monkeypox, a zoonotic disease caused by an orthopoxvirus, results in a smallpox-like disease in humans. Since monkeypox in humans was initially diagnosed in 1970 in the Democratic Republic of the Congo (DRC), it has spread to other regions of Africa (primarily West and Central), and cases outside Africa have emerged in recent years. We conducted a systematic review of peer-reviewed and grey literature on how monkeypox epidemiology has evolved, with particular emphasis on the number of confirmed, probable, and/or possible cases, age at presentation, mortality, and geographical spread. The review is registered with PROSPERO (CRD42020208269). We identified 48 peer-reviewed articles and 18 grey literature sources for data extraction. The number of human monkeypox cases has been on the rise since the 1970s, with the most dramatic increases occurring in the DRC. The median age at presentation has increased from 4 (1970s) to 21 years (2010-2019). There was an overall case fatality rate of 8.7%, with a significant difference between clades-Central African 10.6% (95% CI: 8.4%- 13.3%) vs. West African 3.6% (95% CI: 1.7%- 6.8%). Since 2003, import- and travel-related spread outside of Africa has occasionally resulted in outbreaks. Interactions/activities with infected animals or individuals are risk behaviors associated with acquiring monkeypox. Our review shows an escalation of monkeypox cases, especially in the highly endemic DRC, a spread to other countries, and a growing median age from young children to young adults. These findings may be related to the cessation of smallpox vaccination, which provided some cross-protection against monkeypox, leading to increased human-to-human transmission. The appearance of outbreaks beyond Africa highlights the global relevance of the disease. Increased surveillance and detection of monkeypox cases are essential tools for understanding the continuously changing epidemiology of this resurging disease.","[MeSH] Adolescent; [MeSH] Adult; [MeSH] Child; [MeSH] Child, Preschool; [MeSH] Democratic Republic of the Congo; [MeSH] Female; [MeSH] History, 20th Century; [MeSH] History, 21st Century; [MeSH] Humans; [MeSH] Male; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus; [MeSH] Travel-Related Illness; [MeSH] Young Adult","Historical Article; Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review","[MeSH] Adolescent; [MeSH] Adult; [MeSH] Child; [MeSH] Child, Preschool; [MeSH] Democratic Republic of the Congo; [MeSH] Female; [MeSH] History, 20th Century; [MeSH] History, 21st Century; [MeSH] Humans; [MeSH] Male; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus; [MeSH] Travel-Related Illness; [MeSH] Young Adult"
37203020,Ophthalmic manifestations of monkeypox infection.,"Bharat Gurnani, Kirandeep Kaur, Sameer Chaudhary, Harinikrishna Balakrishnan",Indian journal of ophthalmology. 2023. doi: 10.4103/ijo.IJO_2032_22..,Gurnani,Indian journal of ophthalmology,2023,2023/05/01,,,10.4103/ijo.IJO_2032_22,"After the global COVID-19 pandemic, there has been an alarming concern with the monkeypox (mpox) outbreak, which has affected more than 110 countries worldwide. Monkeypox virus is a doublestranded DNA virus of the genus Orthopox of the Poxviridae family, which causes this zoonotic disease. Recently, the mpox outbreak was declared by the World Health Organization (WHO) as a public health emergency of international concern (PHEIC). Monkeypox patients can present with ophthalmic manifestation and ophthalmologists have a role to play in managing this rare entity. Apart from causing systemic involvement such as skin lesions, respiratory infection and involvement of body fluids, Monkeypox related ophthalmic disease (MPXROD) causes varied ocular manifestations such as lid and adnexal involvement, periorbital and lid lesion, periorbital rash, conjunctivitis, blepharocounctivitis and keratitis. A detailed literature review shows few reports on MPXROD infections with limited overview on management strategies. The current review article is aimed to provide the ophthalmologist with an overview of the disease with a spotlight on ophthalmic features. We briefly discuss the morphology of the MPX, various modes of transmission, an infectious pathway of the virus, and the host immune response. A brief overview of the systemic manifestations and complications has also been elucidated. We especially highlight the detailed ophthalmic manifestations of mpox, their management, and prevention of vision threatening sequelae.",Conjunctivitis; keratitis; monkeypox; public health emergency; zoonosis,Journal Article; Review,"[MeSH] Humans; [MeSH] COVID-19; [MeSH] Mpox, Monkeypox; [MeSH] Pandemics; [MeSH] Eye; [MeSH] Body Fluids"
