PMID,is_ground_truth,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Keywords,pub_types,mesh_terms,screening_stage,screening_mode,prompt_tokens,completion_tokens,total_tokens,wall_time_ms,llm_suggest,overall_score,overall_justification,disease_score,disease_justification,population_score,population_justification,location_score,location_justification,evidence_score,evidence_justification,parameter_score,parameter_justification,fulltext_status,fulltext_path,fulltext_eligible
36403582,,Monkeypox.,"Oriol Mitjà, Dimie Ogoina, Boghuma K Titanji, Cristina Galvan, Jean-Jacques Muyembe, Michael Marks, Chloe M Orkin","Lancet (London, England). 2022. doi: 10.1016/S0140-6736(22)02075-X..",Mitjà,"Lancet (London, England)",2023,2022/11/17,,,10.1016/S0140-6736(22)02075-X,"Monkeypox is a zoonotic illness caused by the monkeypox virus, an Orthopoxvirus in the same genus as the variola, vaccinia, and cowpox viruses. Since the detection of the first human case in the Democratic Republic of the Congo in 1970, the disease has caused sporadic infections and outbreaks, mainly restricted to some countries in west and central Africa. In July, 2022, WHO declared monkeypox a Public Health Emergency of International Concern, on account of the unprecedented global spread of the disease outside previously endemic countries in Africa and the need for global solidarity to address this previously neglected disease. The 2022 outbreak has been primarily associated with close intimate contact (including sexual activity) and most cases have been diagnosed among men who have sex with men, who often present with novel epidemiological and clinical characteristics. In the 2022 outbreak, the incubation period ranges from 7 days to 10 days and most patients present with a systemic illness that includes fever and myalgia and a characteristic rash, with papules that evolve to vesicles, pustules, and crusts in the genital, anal, or oral regions and often involve the mucosa. Complications that require medical treatment (eg, antiviral therapy, antibacterials, and pain control) occur in up to 40% of patients and include rectal pain, odynophagia, penile oedema, and skin and anorectal abscesses. Most patients have a self-limited illness; between 1% and 13% require hospital admission (for treatment or isolation), and the case-fatality rate is less than 0·1%. A diagnosis can be made through the presence of Orthopoxvirus DNA in PCRs from lesion swabs or body fluids. Patients with severe manifestations and people at risk of severe disease (eg, immunosuppressed people) could benefit from antiviral treatment (eg, tecovirimat). The current strategy for post-exposure prophylaxis or pre-exposure prophylaxis for people at high risk is vaccination with the non-replicating modified vaccinia Ankara. Antiviral treatment and vaccines are not yet available in endemic countries in Africa.","[MeSH] Male; [MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Vaccinia; [MeSH] Homosexuality, Male; [MeSH] Sexual and Gender Minorities; [MeSH] Exanthema; [MeSH] Pain; [MeSH] Antiviral Agents",Journal Article; Review,"[MeSH] Male; [MeSH] Humans; [MeSH] Mpox, Monkeypox; [MeSH] Vaccinia; [MeSH] Homosexuality, Male; [MeSH] Sexual and Gender Minorities; [MeSH] Exanthema; [MeSH] Pain; [MeSH] Antiviral Agents",title_abstract,strict,1250,1199,2449,26622.2,unlikely_candidate,3,"The study is a review article that directly addresses monkeypox and reports the incubation period, making it topically relevant. However, it lacks original empirical data and does not mention serial intervals, limiting its utility for a systematic review requiring primary evidence on both parameters.",4,"The title and abstract explicitly focus on monkeypox (mpox), discussing its virus, epidemiology, and clinical features.",4,"The abstract discusses human cases, outbreaks, and specific populations (men who have sex with men). MeSH terms include 'Humans'.",3,"The abstract mentions real-world geographic contexts (Democratic Republic of the Congo, west and central Africa, global spread), but as a review, it does not present a specific field study location.",1,"PubMed Publication Type includes 'Review', indicating this is not original empirical research. No primary data collection or analysis is described.",4,"The abstract explicitly states the incubation period: 'the incubation period ranges from 7 days to 10 days'. Serial interval is not mentioned, but incubation period is a target parameter.",,,
39401235,,"Mpox Clinical Presentation, Diagnostic Approaches, and Treatment Strategies: A Review.","Boghuma K Titanji, Aniruddha Hazra, Jason Zucker",JAMA. 2024. doi: 10.1001/jama.2024.21091..,Titanji,JAMA,2024,2024/11/19,,,10.1001/jama.2024.21091,"IMPORTANCE: A global outbreak of clade IIb Monkeypox virus (MPXV) infections spread rapidly across at least 118 countries resulting in a Public Health Emergency of International Concern (PHEIC) from July 2022 to May 2023. This outbreak affected more than 99 000 persons worldwide and caused more than 33 000 infections and 60 deaths in the US. In 2024, there have been approximately 200 new infections per month in the US. On August 14, 2024, the World Health Organization declared mpox a PHEIC for a second time due to a rapid increase in infections with clade I MPXV in Central Africa. OBSERVATIONS: Mpox is primarily acquired through direct skin to skin contact with MPXV. With clade IIb MPXV, infections are most commonly associated with sexual activity among individuals who are gay, bisexual, and other men who have sex with men. After a median incubation period of 7 to 10 days, prodromal symptoms include fever (62%-72%), lymphadenopathy (56%-86%), myalgias (31%-55%), malaise (23%-57%), and headache (25%-55%). Skin lesions progress through 4 well-defined stages (macules, papules, vesicles, and pustules) over 2 to 4 weeks. Clade IIb MPXV is typically a self-limited illness with a low mortality rate (<0.2% in the US); however, severe illness and death may occur in immunocompromised individuals, especially those with advanced HIV (CD4 count <200 cells/μL). Mpox should be suspected in patients with potential exposure to MPXV who have skin lesions, and the diagnosis is confirmed with polymerase chain reaction testing of lesions. Management is supportive and focuses on skin care and symptom relief with analgesics. While no antiviral treatments are currently approved for mpox by the US Food and Drug Administration, several therapeutics, such as tecovirimat, brincidofovir, and vaccinia immune globulin intravenous, are available through expanded access programs or clinical trials. Vaccination with the 2-dose Modified Vaccinia Ankara-Bavarian Nordic vaccine is recommended for high-incidence populations and has an efficacy of 66% to 86%. CONCLUSIONS AND RELEVANCE: Mpox is a viral infection transmitted primarily through close skin to skin contact that typically causes a self-resolving illness but can result in severe illness and death in immunocompromised individuals. First-line therapy is supportive care, although patients with severe mpox infection may be treated with advanced therapeutics. Mpox vaccination is effective and, if available, should be offered to individuals at risk of exposure to mpox.","[MeSH] Humans; [MeSH] Male; [MeSH] Antiviral Agents; [MeSH] Disease Outbreaks; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Immunoglobulins, Intravenous; [MeSH] Smallpox Vaccine; [MeSH] Polymerase Chain Reaction; [MeSH] Palliative Care; [MeSH] Sexual and Gender Minorities; [MeSH] Skin; [MeSH] Female; [MeSH] Benzamides; [MeSH] Phthalimides; [MeSH] Cytosine; [MeSH] Organophosphonates; [MeSH] Immunoglobulin G; [MeSH] Vaccines, Attenuated","Journal Article; Review; Research Support, U.S. Gov't, P.H.S.","[MeSH] Humans; [MeSH] Male; [MeSH] Antiviral Agents; [MeSH] Disease Outbreaks; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Immunoglobulins, Intravenous; [MeSH] Smallpox Vaccine; [MeSH] Polymerase Chain Reaction; [MeSH] Palliative Care; [MeSH] Sexual and Gender Minorities; [MeSH] Skin; [MeSH] Female; [MeSH] Benzamides; [MeSH] Phthalimides; [MeSH] Cytosine; [MeSH] Organophosphonates; [MeSH] Immunoglobulin G; [MeSH] Vaccines, Attenuated",title_abstract,strict,1580,965,2545,32699.1,unlikely_candidate,3,"The study is highly relevant in terms of disease and population, and it explicitly mentions the incubation period. However, it is a review article, not original research, which severely limits its value for extracting primary empirical data on serial intervals or incubation periods.",4,"The title and abstract explicitly focus on mpox (monkeypox), discussing the global outbreak, clinical presentation, and treatment strategies.",4,"The study concerns human populations, as confirmed by MeSH terms 'Humans' and the abstract's discussion of infections in persons worldwide.",3,"The abstract mentions a global outbreak, the US, and Central Africa, indicating a real-world geographic context.",1,"PubMed Publication Types include 'Review', indicating this is a review article, not original empirical research. The abstract summarizes existing knowledge rather than presenting new primary data.",3,"The abstract explicitly states 'After a median incubation period of 7 to 10 days', directly reporting the target parameter. However, it does not mention serial interval.",,,
35866746,,Monkeypox Virus Infection in Humans across 16 Countries - April-June 2022.,"John P Thornhill, Sapha Barkati, Sharon Walmsley, Juergen Rockstroh, Andrea Antinori, Luke B Harrison, Romain Palich, Achyuta Nori, Iain Reeves, Maximillian S Habibi, Vanessa Apea, Christoph Boesecke, Linos Vandekerckhove, Michal Yakubovsky, Elena Sendagorta, Jose L Blanco, Eric Florence, Davide Moschese, Fernando M Maltez, Abraham Goorhuis, Valerie Pourcher, Pascal Migaud, Sebastian Noe, Claire Pintado, Fabrizio Maggi, Ann-Brit E Hansen, Christian Hoffmann, Jezer I Lezama, Cristina Mussini, AnnaMaria Cattelan, Keletso Makofane, Darrell Tan, Silvia Nozza, Johannes Nemeth, Marina B Klein, Chloe M Orkin",The New England journal of medicine. 2022. doi: 10.1056/NEJMoa2207323..,Thornhill,The New England journal of medicine,2022,2022/07/21,,,10.1056/NEJMoa2207323,"BACKGROUND: Before April 2022, monkeypox virus infection in humans was seldom reported outside African regions where it is endemic. Currently, cases are occurring worldwide. Transmission, risk factors, clinical presentation, and outcomes of infection are poorly defined. METHODS: We formed an international collaborative group of clinicians who contributed to an international case series to describe the presentation, clinical course, and outcomes of polymerase-chain-reaction-confirmed monkeypox virus infections. RESULTS: We report 528 infections diagnosed between April 27 and June 24, 2022, at 43 sites in 16 countries. Overall, 98% of the persons with infection were gay or bisexual men, 75% were White, and 41% had human immunodeficiency virus infection; the median age was 38 years. Transmission was suspected to have occurred through sexual activity in 95% of the persons with infection. In this case series, 95% of the persons presented with a rash (with 64% having ≤10 lesions), 73% had anogenital lesions, and 41% had mucosal lesions (with 54 having a single genital lesion). Common systemic features preceding the rash included fever (62%), lethargy (41%), myalgia (31%), and headache (27%); lymphadenopathy was also common (reported in 56%). Concomitant sexually transmitted infections were reported in 109 of 377 persons (29%) who were tested. Among the 23 persons with a clear exposure history, the median incubation period was 7 days (range, 3 to 20). Monkeypox virus DNA was detected in 29 of the 32 persons in whom seminal fluid was analyzed. Antiviral treatment was given to 5% of the persons overall, and 70 (13%) were hospitalized; the reasons for hospitalization were pain management, mostly for severe anorectal pain (21 persons); soft-tissue superinfection (18); pharyngitis limiting oral intake (5); eye lesions (2); acute kidney injury (2); myocarditis (2); and infection-control purposes (13). No deaths were reported. CONCLUSIONS: In this case series, monkeypox manifested with a variety of dermatologic and systemic clinical findings. The simultaneous identification of cases outside areas where monkeypox has traditionally been endemic highlights the need for rapid identification and diagnosis of cases to contain further community spread.","[MeSH] Adult; [MeSH] Exanthema; [MeSH] Female; [MeSH] Fever; [MeSH] Global Health; [MeSH] Humans; [MeSH] Male; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus",Journal Article,"[MeSH] Adult; [MeSH] Exanthema; [MeSH] Female; [MeSH] Fever; [MeSH] Global Health; [MeSH] Humans; [MeSH] Male; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus",title_abstract,strict,1297,1092,2389,53178.8,possible_candidate,4,"This case series provides original human data on monkeypox across multiple countries and explicitly reports the incubation period, directly addressing part of the research question. It does not report serial intervals, so it is partially relevant.",4,"The title and abstract explicitly investigate monkeypox virus infection in humans. Keywords and MeSH terms include 'Mpox, Monkeypox' and 'Monkeypox virus'.",4,"The study concerns human infections, as confirmed by the abstract and MeSH term 'Humans'.",4,"The study reports cases across 16 countries, providing a real-world, multi-country geographic context.",4,"The abstract describes an international case series with original data collection on 528 confirmed infections, including clinical presentation and outcomes. This is primary empirical research.",3,"The abstract explicitly reports the median incubation period (7 days) based on 23 persons with clear exposure history. Serial interval is not mentioned, but incubation period is a target parameter, making the study clearly relevant though not solely focused on it.",,,
38801568,,"Monkeypox: Past, Present, and Future.","Gulfaraz Khan, Nighat Perveen",Advances in experimental medicine and biology. 2024. doi: 10.1007/978-3-031-57165-7_1..,Khan,Advances in experimental medicine and biology,2024,2024/01/01,,,10.1007/978-3-031-57165-7_1,"Monkeypox (Mpox) is a zoonotic disease caused by a virus (monkeypox virus-MPV) belonging to the Poxviridae family. In humans, the disease has an incubation period of 5-21 days and then progresses in two phases, the prodromal phase and the rash phase. The prodromal phase is characterized by non-specific symptoms such as fever, muscle pain, malaise, lymphadenopathy, headache, and chills. Skin lesions appear in the rash phase of the disease. These lesions progress through different stages (macules, papules, vesicles, and pustules). In May 2022, WHO reported an outbreak of human Mpox in several countries which were previously Mpox-free. As per the CDC report of March 01, 2023, a total of 86,231 confirmed cases of Mpox and 105 deaths have been reported from 110 countries and territories across the globe. Notably, more than 90% of these countries were reporting Mpox for the first time. The phylogenetic analysis revealed that this outbreak was associated with the virus from the West African clade. However, most of the cases in this outbreak had no evidence of travel histories to MPV-endemic countries in Central or West Africa. This outbreak was primarily driven by the transmission of the virus via intimate contact in men who have sex with men (MSM). The changing epidemiology of Mpox raised concerns about the increasing spread of the disease in non-endemic countries and the urgent need to control and prevent it. In this chapter, we present all the documented cases of Mpox from 1970 to 2023 and discuss the past, present, and future of MPV.",Distribution; Epidemiology; MPV strains; Monkeypox; Monkeypox virus; Prevalence; Transmission,Journal Article; Review,"[MeSH] Animals; [MeSH] Humans; [MeSH] Disease Outbreaks; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Phylogeny; [MeSH] Zoonoses",title_abstract,strict,1105,1293,2398,27639.7,unlikely_candidate,3,"The paper is a review chapter summarizing monkeypox epidemiology. It explicitly mentions incubation period, which is directly relevant to the research question. However, it is not original research and does not report serial interval. It may provide useful background or summarized estimates but no new empirical data.",4,"Title and abstract explicitly focus on monkeypox/mpox, with keywords and MeSH terms confirming the disease.",4,Abstract discusses human disease and incubation period in humans; MeSH includes 'Humans'.,3,"Abstract references WHO outbreak, CDC global case counts, and multiple countries, providing real-world geographic context, though the paper is a review chapter.",0,"PubMed Publication Types includes 'Review'; the abstract states it is a chapter presenting documented cases, indicating no original empirical data.",4,"Abstract explicitly states 'incubation period of 5-21 days', directly reporting a target parameter.",,,
36109000,,Diagnosis of monkeypox virus - An overview.,"Mustafa Altindis, Edmond Puca, Laidon Shapo",Travel medicine and infectious disease. 2022. doi: 10.1016/j.tmaid.2022.102459..,Altindis,Travel medicine and infectious disease,2022,2022/09/13,,,10.1016/j.tmaid.2022.102459,"Monkeypox is an emerging zoonotic disease caused by monkeypox virus which is a DNA virus. The virus is transmitted to humans as a result of close contact with infected animals, infected humans or contaminated inanimate objects. The disease has a incubation period usually 7-14 days and it causes fever, headache, fatigue, myalgia, widespread body aches, swelling in lymph nodes and skin lesions. It may be difficult to distinguish monkeypox on the basis of clinical presentation alone, especially for cases with an atypical appearance, because of the various conditions that cause skin rashes. Testing should be offered to anyone who falls under the suspected case definition for monkeypox infection. Suitable samples are surface lesion and/or skin materials such as exudates swabs and crusts. Laboratory confirmation of specimens from suspected case is done using nucleic acid amplification testing, such as real-time or conventional polymerase chain reaction. Confirmation of MPXV infection should consider clinical and epidemiological information. Positive detection using an OPXV PCR assay followed by confirmation of MPXV via PCR and/or sequencing, or positive detection using MPXV PCR assay in suspected cases indicates confirmation of MPXV infection. Genetic sequence data (GSD) provide information on the origin and epidemic and characteristics of cases. There is a need to develop a more global and effective laboratory network for this emerging zoonosis, as well as to strengthen laboratory capacity, and international specimens referral capacities.",DNA; Diagnosis; Laboratory; Monkeypox; Polymerase chain reaction; Virus,Journal Article; Review,"[MeSH] Animals; [MeSH] Humans; [MeSH] Monkeypox virus; [MeSH] Mpox, Monkeypox; [MeSH] Polymerase Chain Reaction; [MeSH] Nucleic Acid Amplification Techniques",title_abstract,strict,1032,846,1878,18611.5,unlikely_candidate,3,"The study is a review article that mentions the incubation period of mpox, making it topically relevant. However, it lacks original empirical evidence and a specific geographic context, which limits its suitability for a systematic review requiring primary data on serial intervals or incubation periods.",4,The title and abstract explicitly focus on monkeypox virus and the disease mpox.,4,"The abstract discusses human transmission, symptoms, and diagnosis; MeSH includes 'Humans'.",2,No specific geographic or field context is provided; the overview is generic and not tied to a real-world setting.,0,"PubMed Publication Type is 'Review', indicating no original empirical data; the abstract summarizes existing knowledge.",4,"The abstract explicitly states an incubation period of 'usually 7-14 days', directly reporting the target parameter.",,,
38984221,,Mpox-Induced Proctitis.,"Saif Ghias, Niyati Joshi, Dzenana Cabaravdic, Ramesh Nathan, Jasprit Takher",HCA healthcare journal of medicine. 2024. doi: 10.36518/2689-0216.1585..,Ghias,HCA healthcare journal of medicine,2024,2024/04/30,,,10.36518/2689-0216.1585,"INTRODUCTION: Mpox, formerly known as monkeypox, is a zoonotic virus in the genus Orthopoxvirus, which has a variable incubation period and an extensive array of symptoms. While those infected with Mpox have displayed generalized viral prodromal symptoms, atypical symptoms such as proctitis have also been seen. Proctitis associated with Mpox is a relatively infrequent initial presenting symptom with a reported incidence of 14-32.9% that has seen an uptick in prevalence since the 2022 global endemic. CASE PRESENTATION: We present a confirmed case of Mpox in a 27-year-old male who presented with 3 days of intermittent anorectal bleeding and various forms of cutaneous lesions at different stages of healing. He had engaged in unprotected sexual intercourse 8 days prior to the onset of his symptoms in New York, which at the time was the epicenter of the endemic. Computed tomography imaging showed thickening of the rectum with associated lymphadenopathy, consistent with findings of acute proctitis. CONCLUSION: The intent of this case report is to acknowledge the prevalence of the Mpox virus. Since the endemic, increased cases of Mpox have led to more complications that have been identified and studied by public health experts. The complication of proctitis due to Mpox in a certain subset of patients is important to fully understand that while this virus presents with a generalized prodrome like other viruses, these unique gastrointestinal presentations and findings may be the first step in identifying this infection and ensuring rapid treatment if future endemics arrive.",case reports; lymphadenopathy; monkeypox virus; mpox (monkeypox); mpox virus; proctitis,Case Reports; Journal Article,,title_abstract,strict,1027,932,1959,40367.1,unlikely_candidate,3,"The study is highly relevant for disease (Mpox) and provides original empirical evidence (case report). However, it does not report or analyze serial intervals or the incubation period; it only mentions that the virus has a variable incubation period in the introduction. The target parameter is therefore absent from the study's objectives and findings.",4,"The title and abstract explicitly state the study is about Mpox (monkeypox). The abstract discusses Mpox virus, its incubation period, and a confirmed case.",4,"The study is a case report of a 27-year-old male human, confirming human population relevance.",3,"The case occurred in New York, which is a real-world geographic location. The abstract mentions the 2022 global endemic and New York as the epicenter.",4,"The publication type is 'Case Reports', which is a form of original empirical evidence presenting primary patient data. The abstract describes a specific patient case with symptoms and timeline.",1,"The abstract mentions 'variable incubation period' in the introduction but does not report, estimate, or analyze the incubation period or serial interval. The study's focus is on a clinical presentation (proctitis), not on transmission dynamics parameters.",,,
39927376,,Navigating monkeypox: identifying risks and implementing solutions.,"Suhita Aryaloka, Aswin Rafif Khairullah, Muhammad Khaliim Jati Kusala, Ima Fauziah, Nanik Hidayatik, Muhammad Agil, M Gandul Atik Yuliani, Arindita Niatazya Novianti, Ikechukwu Benjamin Moses, Muhammad Thohawi Elziyad Purnama, Syahputra Wibowo, Kartika Afrida Fauzia, Ricadonna Raissa, Abdul Hadi Furqoni, Mo Awwanah, Katty Hendriana Priscilia Riwu",Open veterinary journal. 2024. doi: 10.5455/OVJ.2024.v14.i12.1..,Aryaloka,Open veterinary journal,2024,2024/12/31,,,10.5455/OVJ.2024.v14.i12.1,"Monkeypox is a zoonotic disease caused by the orthopox virus, a double-stranded DNA virus that belongs the Poxviridae virus family. It is known to infect both animals (especially monkeys and rodents) and humans and causes a rash similar to smallpox. Humans can become infected with monkeypox virus (MPXV) when they get in close contact with infected animals (zoonotic transmission) or other infected people (human-human transmission) through their body fluids such as mucus, saliva, or even skin sores. Frequently observed symptoms of this disease include fever, headaches, muscle aches, and a rash that initially looks like a tiny bump before becoming a lump that is filled with fluid. Monkeypox symptoms also include an incubation period of 5-21 days, divided into prodromal and eruption phases. Several contributing factors, such as smallpox vaccine discontinuation, widespread intake of infected animal products as a source of protein, and high population density, amongst others, have been linked to an increase in the frequency of monkeypox outbreaks. The best course of action for diagnosing individuals who may be suffering from active monkeypox is to collect a sample of skin from the lesion and perform PCR molecular testing. Monkeypox does not presently have a specific therapy; however, supportive care can assist in managing symptoms, such as medication to lower body temperature and pain. Three major orthopoxvirus vaccines have been approved to serve as a preventive measure against monkeypox: LC16, JYNNEOS, and ACAM2000. The discovery that the monkeypox outbreak is communicable both among humans and within a population has sparked new public health worries on the possibility of the outbreak of another viral pandemic. Research and studies are still being conducted to gain a deeper understanding of this zoonotic viral disease. This review is therefore focused on deciphering monkeypox, its etiology, pathogenesis, transmission, risk factors, and control.",Monkeypox; Public health; Viral disease; Virus; Zoonosis,Journal Article; Review,"[MeSH] Mpox, Monkeypox; [MeSH] Animals; [MeSH] Humans; [MeSH] Monkeypox virus; [MeSH] Zoonoses; [MeSH] Risk Factors",title_abstract,strict,1131,845,1976,30525.6,unlikely_candidate,3,"The study is highly relevant to mpox and mentions the incubation period. However, it is a review article, not original empirical research, and does not report primary data on serial intervals or incubation periods. This makes it unsuitable for inclusion in a systematic review requiring original evidence.",4,"The title, abstract, and keywords explicitly focus on monkeypox (mpox), its virus, transmission, and symptoms.",4,"The abstract discusses human infection, symptoms, and human-to-human transmission. MeSH terms include 'Humans'.",2,"The abstract discusses outbreaks and public health concerns in a general real-world context, but does not specify a particular geographic location or field setting.",0,PubMed Publication Type is 'Review'. The abstract states 'This review is therefore focused on...'. This is not original empirical research.,3,"The abstract explicitly states 'Monkeypox symptoms also include an incubation period of 5-21 days'. This is a direct mention of the target parameter, though it is presented as background information within a review.",,,
38801577,,Molluscum Contagiosum Virus: Biology and Immune Response.,"Luigi Santacroce, Thea Magrone",Advances in experimental medicine and biology. 2024. doi: 10.1007/978-3-031-57165-7_10..,Santacroce,Advances in experimental medicine and biology,2024,2024/01/01,,,10.1007/978-3-031-57165-7_10,"Molluscum contagiosum virus is a poxvirus belonging to the Poxviridae family, which includes Orthopoxvirus, Parapoxvirus, Yantapoxvirus, Molluscipoxvirus, Smallpox virus, Cowpox virus and Monkeypox virus. MCV belongs to the genus Molluscipoxvirus and has a tropism for skin tissue. MCV infects keratinocytes and, after an incubation period of 2 weeks to 6 weeks, causes a breakdown of the skin barrier with the development of papules of variable size depending on the proper functioning of the immune response (both adaptive and acquired). MCV only infects humans and does not cause viraemia. MCV encodes for several inhibitory proteins responsible to circumvent the immune response through different signalling pathways. Individuals who can be infected with MCV are children, immunocompromised individuals such as organ transplant recipients and Human Immunodeficiency Virus (HIV)-infected individuals. Current treatments to manage MCV-induced lesions are different and include the use of immunomodulators, which, however, do not provide an effective response.",Apoptosis; Human; Immune escape; Inhibitory protein; Interferon; Keratinocytes; Lesions; Molluscum contagiosum; Skin; Therapies; Toll-like receptors,Journal Article; Review,[MeSH] Humans; [MeSH] Molluscum contagiosum virus; [MeSH] Molluscum Contagiosum; [MeSH] Animals,title_abstract,strict,989,962,1951,46504.7,unlikely_candidate,0,"The study is entirely about Molluscum contagiosum virus, not mpox. It does not provide any data on serial intervals or incubation period of mpox and is a review article. Therefore, it is irrelevant to the research question.",0,"The study focuses on Molluscum contagiosum virus (MCV), not mpox/monkeypox. Monkeypox virus is only mentioned as a family member in passing.",4,"The abstract explicitly states MCV infects humans and discusses human infections, immune response, and patient groups (children, immunocompromised).",0,No geographic or field context is mentioned; the study is a general review of biology and immune response.,0,"PubMed Publication Types include 'Review'. The paper is a review article, not original empirical research.",0,"The abstract mentions an incubation period for MCV (2–6 weeks), but the research question targets mpox serial intervals and incubation period. No mpox-specific parameter is reported.",,,
35713026,✓,"Estimated incubation period for monkeypox cases confirmed in the Netherlands, May 2022.","Fuminari Miura, Catharina E van Ewijk, Jantien A Backer, Maria Xiridou, Eelco Franz, Eline Op de Coul, Diederik Brandwagt, Brigitte van Cleef, Gini van Rijckevorsel, Corien Swaan, Susan van den Hof, Jacco Wallinga",Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin. 2022. doi: 10.2807/1560-7917.ES.2022.27.24.2200448..,Miura,Euro surveillance : bulletin Europeen sur les maladies transmissibles = European communicable disease bulletin,2022,2022/06/01,,,10.2807/1560-7917.ES.2022.27.24.2200448,"In May 2022, monkeypox outbreaks have been reported in countries not endemic for monkeypox. We estimated the monkeypox incubation period, using reported exposure and symptom-onset times for 18 cases detected and confirmed in the Netherlands up to 31 May 2022. Mean incubation period was 9.0 [corrected] days (5th-95th percentiles: 4.2-17.3), underpinning the current recommendation to monitor or isolate/quarantine case contacts for 21 days. However, as the incubation period may differ between different transmission routes, further epidemiological investigations are needed.",Monkeypox; epidemiology; incubation period; modelling; poxvirus; quarantine; smallpox; statistics; symptom onset; varicella virus infection (chickenpox),Journal Article,"[MeSH] Disease Outbreaks; [MeSH] Humans; [MeSH] Infectious Disease Incubation Period; [MeSH] Mpox, Monkeypox; [MeSH] Monkeypox virus; [MeSH] Netherlands",title_abstract,strict,899,669,1568,23054.6,strong_candidate,4,"This study is highly relevant. It directly estimates the incubation period for monkeypox using original empirical data from human cases in the Netherlands. The title, abstract, and MeSH terms all align perfectly with the research question.",4,"The title and abstract explicitly mention monkeypox cases and outbreaks, and the MeSH terms include 'Mpox, Monkeypox' and 'Monkeypox virus'.",4,"The abstract discusses 18 human cases, and the MeSH term 'Humans' is present.",4,"The study is explicitly set in the Netherlands, a real-world geographic context, as stated in the title and abstract.",4,"The abstract reports original analysis of primary data (exposure and symptom-onset times for 18 cases). The publication type is 'Journal Article', and the abstract describes a primary analysis, not a review. The MeSH term 'Humans' confirms human subjects.",4,The title and abstract explicitly state the estimation of the incubation period for monkeypox. The MeSH term 'Infectious Disease Incubation Period' provides strong authoritative confirmation.,,,
36271480,✓,Estimation of the serial interval of monkeypox during the early outbreak in 2022.,"Zihao Guo, Shi Zhao, Shengzhi Sun, Daihai He, Ka Chun Chong, Eng Kiong Yeoh",Journal of medical virology. 2022. doi: 10.1002/jmv.28248..,Guo,Journal of medical virology,2023,2022/11/03,,,10.1002/jmv.28248,"With increased transmissibility and novel transmission mode, monkeypox poses new threats to public health globally in the background of the ongoing COVID-19 pandemic. Estimates of the serial interval, a key epidemiological parameter of infectious disease transmission, could provide insights into the virus transmission risks. As of October 2022, little was known about the serial interval of monkeypox due to the lack of contact tracing data. In this study, public-available contact tracing data of global monkeypox cases were collected and 21 infector-infectee transmission pairs were identified. We proposed a statistical method applied to real-world observations to estimate the serial interval of the monkeypox. We estimated a mean serial interval of 5.6 days with the right truncation and sampling bias adjusted and calculated the reproduction number of 1.33 for the early monkeypox outbreaks at a global scale. Our findings provided a preliminary understanding of the transmission potentials of the current situation of monkeypox outbreaks. We highlighted the need for continuous surveillance of monkeypox for transmission risk assessment.",contact tracing; monkeypox; reproduction number; serial interval; statistical modeling,"Journal Article; Research Support, Non-U.S. Gov't","[MeSH] Humans; [MeSH] COVID-19; [MeSH] SARS-CoV-2; [MeSH] Pandemics; [MeSH] Mpox, Monkeypox; [MeSH] Disease Outbreaks",title_abstract,strict,972,1167,2139,34197.2,strong_candidate,4,The study is highly relevant. It explicitly investigates the serial interval of monkeypox using original empirical data from human cases during the 2022 outbreak. It directly addresses the target parameter and provides a real-world global context.,4,"The title and abstract explicitly investigate monkeypox, and the MeSH term 'Mpox, Monkeypox' confirms the disease focus.",4,"The MeSH term 'Humans' is present, and the abstract discusses 'infector-infectee transmission pairs' and 'public health', clearly indicating a human population.",3,"The abstract mentions 'global monkeypox cases' and 'at a global scale', indicating a real-world geographic context, though not a specific country or region.",4,"The abstract states 'public-available contact tracing data... were collected and 21 infector-infectee transmission pairs were identified' and 'We proposed a statistical method applied to real-world observations', indicating original empirical analysis. The PubMed Publication Type is 'Journal Article; Research Support, Non-U.S. Gov't', which is not a review type, and the abstract describes primary data collection and analysis.",4,"The title and abstract explicitly state the estimation of the 'serial interval' as the primary objective. The MeSH term 'Basic Reproduction Number' is not present, but the abstract mentions calculating the reproduction number alongside the serial interval, and the keywords include 'serial interval'. The parameter is central to the study.",,,
