disease,topic,error_kind,primary_type,count,denominator,percent
covid19,all,FP,borderline_possible_over_inclusion,4141,5061,0.818218
covid19,all,FP,wrong_epidemiological_parameter,478,5061,0.094448
covid19,all,FP,sparse_metadata_over_inclusion,385,5061,0.076072
covid19,all,FP,non_original_or_secondary_literature,57,5061,0.011263
covid19,all,FN,llm_tier_too_conservative,21,23,0.913043
covid19,all,FN,insufficient_title_abstract_evidence,1,23,0.043478
covid19,all,FN,possible_gt_non_original_or_review,1,23,0.043478
covid19,fatality,FP,borderline_possible_over_inclusion,1607,2156,0.745362
covid19,fatality,FP,wrong_epidemiological_parameter,269,2156,0.124768
covid19,fatality,FP,sparse_metadata_over_inclusion,247,2156,0.114564
covid19,fatality,FP,non_original_or_secondary_literature,33,2156,0.015306
covid19,fatality,FN,llm_tier_too_conservative,12,14,0.857143
covid19,fatality,FN,insufficient_title_abstract_evidence,1,14,0.071429
covid19,fatality,FN,possible_gt_non_original_or_review,1,14,0.071429
covid19,reproduction_number,FP,borderline_possible_over_inclusion,1700,1819,0.934579
covid19,reproduction_number,FP,sparse_metadata_over_inclusion,106,1819,0.058274
covid19,reproduction_number,FP,non_original_or_secondary_literature,8,1819,0.004398
covid19,reproduction_number,FP,wrong_epidemiological_parameter,5,1819,0.002749
covid19,reproduction_number,FN,llm_tier_too_conservative,2,2,1.000000
covid19,serial_interval,FP,borderline_possible_over_inclusion,834,1086,0.767956
covid19,serial_interval,FP,wrong_epidemiological_parameter,204,1086,0.187845
covid19,serial_interval,FP,sparse_metadata_over_inclusion,32,1086,0.029466
covid19,serial_interval,FP,non_original_or_secondary_literature,16,1086,0.014733
covid19,serial_interval,FN,llm_tier_too_conservative,7,7,1.000000
mpox,all,FP,borderline_possible_over_inclusion,367,538,0.682156
mpox,all,FP,wrong_epidemiological_parameter,152,538,0.282528
mpox,all,FP,sparse_metadata_over_inclusion,16,538,0.029740
mpox,all,FP,non_original_or_secondary_literature,3,538,0.005576
mpox,all,FN,llm_tier_too_conservative,57,64,0.890625
mpox,all,FN,insufficient_title_abstract_evidence,4,64,0.062500
mpox,all,FN,possible_gt_non_original_or_review,3,64,0.046875
mpox,fatality,FP,borderline_possible_over_inclusion,236,354,0.666667
mpox,fatality,FP,wrong_epidemiological_parameter,110,354,0.310734
mpox,fatality,FP,sparse_metadata_over_inclusion,5,354,0.014124
mpox,fatality,FP,non_original_or_secondary_literature,3,354,0.008475
mpox,fatality,FN,llm_tier_too_conservative,46,53,0.867925
mpox,fatality,FN,insufficient_title_abstract_evidence,4,53,0.075472
mpox,fatality,FN,possible_gt_non_original_or_review,3,53,0.056604
mpox,reproduction_number,FP,borderline_possible_over_inclusion,68,77,0.883117
mpox,reproduction_number,FP,sparse_metadata_over_inclusion,8,77,0.103896
mpox,reproduction_number,FP,wrong_epidemiological_parameter,1,77,0.012987
mpox,reproduction_number,FN,llm_tier_too_conservative,1,1,1.000000
mpox,serial_interval,FP,borderline_possible_over_inclusion,63,107,0.588785
mpox,serial_interval,FP,wrong_epidemiological_parameter,41,107,0.383178
mpox,serial_interval,FP,sparse_metadata_over_inclusion,3,107,0.028037
mpox,serial_interval,FN,llm_tier_too_conservative,10,10,1.000000
overall,all,FP,borderline_possible_over_inclusion,4508,5599,0.805144
overall,all,FP,wrong_epidemiological_parameter,630,5599,0.112520
overall,all,FP,sparse_metadata_over_inclusion,401,5599,0.071620
overall,all,FP,non_original_or_secondary_literature,60,5599,0.010716
overall,all,FN,llm_tier_too_conservative,78,87,0.896552
overall,all,FN,insufficient_title_abstract_evidence,5,87,0.057471
overall,all,FN,possible_gt_non_original_or_review,4,87,0.045977
