disease,topic,error_kind,primary_type,count,denominator,percent
covid19,all,FP,plausibly_relevant_not_in_sr_gt,981,2474,0.396524
covid19,all,FP,weak_or_indirect_target_parameter,550,2474,0.222312
covid19,all,FP,broad_topic_over_inclusion,380,2474,0.153597
covid19,all,FP,sparse_metadata_over_inclusion,292,2474,0.118027
covid19,all,FP,borderline_possible_over_inclusion,144,2474,0.058205
covid19,all,FP,review_signal_overridden_by_model,61,2474,0.024656
covid19,all,FP,weak_original_evidence,55,2474,0.022231
covid19,all,FP,wrong_epidemiological_parameter,11,2474,0.004446
covid19,all,FN,target_parameter_not_detected,16,19,0.842105
covid19,all,FN,possible_gt_non_original_or_review,3,19,0.157895
covid19,fatality,FP,plausibly_relevant_not_in_sr_gt,386,1017,0.379548
covid19,fatality,FP,sparse_metadata_over_inclusion,189,1017,0.185841
covid19,fatality,FP,broad_topic_over_inclusion,172,1017,0.169125
covid19,fatality,FP,weak_or_indirect_target_parameter,137,1017,0.134710
covid19,fatality,FP,borderline_possible_over_inclusion,71,1017,0.069813
covid19,fatality,FP,review_signal_overridden_by_model,31,1017,0.030482
covid19,fatality,FP,weak_original_evidence,20,1017,0.019666
covid19,fatality,FP,wrong_epidemiological_parameter,11,1017,0.010816
covid19,fatality,FN,target_parameter_not_detected,2,3,0.666667
covid19,fatality,FN,possible_gt_non_original_or_review,1,3,0.333333
covid19,reproduction_number,FP,plausibly_relevant_not_in_sr_gt,471,1206,0.390547
covid19,reproduction_number,FP,weak_or_indirect_target_parameter,312,1206,0.258706
covid19,reproduction_number,FP,broad_topic_over_inclusion,197,1206,0.163350
covid19,reproduction_number,FP,sparse_metadata_over_inclusion,93,1206,0.077114
covid19,reproduction_number,FP,borderline_possible_over_inclusion,72,1206,0.059701
covid19,reproduction_number,FP,weak_original_evidence,34,1206,0.028192
covid19,reproduction_number,FP,review_signal_overridden_by_model,27,1206,0.022388
covid19,reproduction_number,FN,target_parameter_not_detected,4,4,1.000000
covid19,serial_interval,FP,plausibly_relevant_not_in_sr_gt,124,251,0.494024
covid19,serial_interval,FP,weak_or_indirect_target_parameter,101,251,0.402390
covid19,serial_interval,FP,broad_topic_over_inclusion,11,251,0.043825
covid19,serial_interval,FP,sparse_metadata_over_inclusion,10,251,0.039841
covid19,serial_interval,FP,review_signal_overridden_by_model,3,251,0.011952
covid19,serial_interval,FP,weak_original_evidence,1,251,0.003984
covid19,serial_interval,FP,borderline_possible_over_inclusion,1,251,0.003984
covid19,serial_interval,FN,target_parameter_not_detected,10,12,0.833333
covid19,serial_interval,FN,possible_gt_non_original_or_review,2,12,0.166667
mpox,all,FP,weak_or_indirect_target_parameter,190,472,0.402542
mpox,all,FP,sparse_metadata_over_inclusion,135,472,0.286017
mpox,all,FP,plausibly_relevant_not_in_sr_gt,57,472,0.120763
mpox,all,FP,weak_original_evidence,34,472,0.072034
mpox,all,FP,borderline_possible_over_inclusion,20,472,0.042373
mpox,all,FP,broad_topic_over_inclusion,18,472,0.038136
mpox,all,FP,review_signal_overridden_by_model,9,472,0.019068
mpox,all,FP,wrong_epidemiological_parameter,9,472,0.019068
mpox,all,FN,target_parameter_not_detected,13,15,0.866667
mpox,all,FN,insufficient_title_abstract_evidence,1,15,0.066667
mpox,all,FN,possible_gt_non_original_or_review,1,15,0.066667
mpox,fatality,FP,weak_or_indirect_target_parameter,129,325,0.396923
mpox,fatality,FP,sparse_metadata_over_inclusion,105,325,0.323077
mpox,fatality,FP,plausibly_relevant_not_in_sr_gt,36,325,0.110769
mpox,fatality,FP,weak_original_evidence,26,325,0.080000
mpox,fatality,FP,borderline_possible_over_inclusion,13,325,0.040000
mpox,fatality,FP,broad_topic_over_inclusion,9,325,0.027692
mpox,fatality,FP,review_signal_overridden_by_model,7,325,0.021538
mpox,fatality,FN,target_parameter_not_detected,12,13,0.923077
mpox,fatality,FN,insufficient_title_abstract_evidence,1,13,0.076923
mpox,reproduction_number,FP,sparse_metadata_over_inclusion,8,17,0.470588
