disease,topic,profile,TP,FP,FN,TN,recall,precision,f1,fdr,nns,wr
mpox,fatality,P12,2,21,14,109,0.125,0.08695652173913043,0.10256410256410256,0.9130434782608695,11.5,0.8384615384615385
mpox,fatality,P4,2,1,12,31,0.14285714285714285,0.6666666666666666,0.23529411764705882,0.3333333333333333,1.5,0.96875
mpox,fatality,P8,4,101,10,467,0.2857142857142857,0.0380952380952381,0.06722689075630253,0.9619047619047619,26.25,0.8221830985915493
mpox,fatality,P7,10,231,17,694,0.37037037037037035,0.04149377593360996,0.07462686567164178,0.9585062240663901,24.1,0.7502702702702703
mpox,serial_interval,P5,4,2,4,8,0.5,0.6666666666666666,0.5714285714285715,0.3333333333333333,1.5,0.8
mpox,reproduction_number,P9,2,77,1,343,0.6666666666666666,0.02531645569620253,0.048780487804878044,0.9746835443037974,39.5,0.8166666666666667
covid19,fatality,P6,22,1050,10,1171,0.6875,0.020522388059701493,0.03985507246376812,0.9794776119402985,48.72727272727273,0.5272399819900946
mpox,serial_interval,P10,11,55,4,94,0.7333333333333333,0.16666666666666666,0.2716049382716049,0.8333333333333334,6.0,0.6308724832214765
mpox,serial_interval,P6,4,34,1,16,0.8,0.10526315789473684,0.18604651162790697,0.8947368421052632,9.5,0.32
mpox,serial_interval,P11,4,16,1,6,0.8,0.2,0.32000000000000006,0.8,5.0,0.2727272727272727
covid19,serial_interval,P10,25,324,3,247,0.8928571428571429,0.07163323782234957,0.1326259946949602,0.9283667621776505,13.96,0.43257443082311736
covid19,fatality,P4,53,243,3,46,0.9464285714285714,0.17905405405405406,0.30113636363636365,0.8209459459459459,5.584905660377358,0.15916955017301038
covid19,reproduction_number,P15,24,488,1,196,0.96,0.046875,0.0893854748603352,0.953125,21.333333333333332,0.28654970760233917
covid19,serial_interval,P13,49,54,2,6,0.9607843137254902,0.47572815533980584,0.6363636363636364,0.5242718446601942,2.1020408163265305,0.1
covid19,serial_interval,P11,74,557,2,208,0.9736842105263158,0.11727416798732171,0.20933521923620935,0.8827258320126783,8.527027027027026,0.2718954248366013
covid19,fatality,P5,47,863,1,971,0.9791666666666666,0.051648351648351645,0.09812108559498955,0.9483516483516483,19.361702127659573,0.5294438386041439
covid19,reproduction_number,P7,121,302,1,150,0.9918032786885246,0.2860520094562648,0.4440366972477065,0.7139479905437353,3.4958677685950414,0.33185840707964603
covid19,reproduction_number,P16,36,438,0,101,1.0,0.0759493670886076,0.1411764705882353,0.9240506329113924,13.166666666666666,0.18738404452690166
covid19,reproduction_number,P17,15,160,0,34,1.0,0.08571428571428572,0.15789473684210528,0.9142857142857143,11.666666666666666,0.17525773195876287
covid19,reproduction_number,P8,44,431,0,100,1.0,0.09263157894736843,0.1695568400770713,0.9073684210526316,10.795454545454545,0.18832391713747645
covid19,serial_interval,P14,9,62,0,23,1.0,0.1267605633802817,0.22499999999999998,0.8732394366197183,7.888888888888889,0.27058823529411763
covid19,serial_interval,P12,18,89,0,38,1.0,0.16822429906542055,0.288,0.8317757009345794,5.944444444444445,0.2992125984251969
