disease,topic,kind,n,disease_mean,disease_median,population_mean,population_median,location_mean,location_median,evidence_mean,evidence_median,parameter_mean,parameter_median,overall_mean,overall_median
covid19,all,FN,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
covid19,all,FP,5061,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2
covid19,all,TP,537,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2
covid19,fatality,FN,14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0
covid19,fatality,FP,2156,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2.0
covid19,fatality,TP,122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2.0
covid19,reproduction_number,FN,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0
covid19,reproduction_number,FP,1819,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2
covid19,reproduction_number,TP,240,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2.0
covid19,serial_interval,FN,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
covid19,serial_interval,FP,1086,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2.0
covid19,serial_interval,TP,175,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2
mpox,all,FN,64,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0
mpox,all,FP,538,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2.0
mpox,all,TP,43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2
mpox,fatality,FN,53,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
mpox,fatality,FP,354,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2.0
mpox,fatality,TP,18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2.0
mpox,reproduction_number,FN,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
mpox,reproduction_number,FP,77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2
mpox,reproduction_number,TP,2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2.0
mpox,serial_interval,FN,10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0.0
mpox,serial_interval,FP,107,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2
mpox,serial_interval,TP,23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2
overall,all,FN,87,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0
overall,all,FP,5599,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2
overall,all,TP,580,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2,2.0
