disease,topic,profile,TP,FP,FN,TN,recall,precision,f1,fdr,nns,wr
mpox,fatality,P4,5,14,9,64,0.35714285714285715,0.2631578947368421,0.30303030303030304,0.7368421052631579,3.8,0.8205128205128205
mpox,fatality,P8,12,116,2,553,0.8571428571428571,0.09375,0.16901408450704225,0.90625,10.666666666666666,0.8266068759342302
mpox,fatality,P12,14,136,2,491,0.875,0.09333333333333334,0.1686746987951807,0.9066666666666666,10.714285714285714,0.7830940988835726
mpox,serial_interval,P5,7,24,1,27,0.875,0.22580645161290322,0.358974358974359,0.7741935483870968,4.428571428571429,0.5294117647058824
covid19,serial_interval,P13,45,40,6,20,0.8823529411764706,0.5294117647058824,0.661764705882353,0.47058823529411764,1.8888888888888888,0.3333333333333333
covid19,serial_interval,P14,8,54,1,31,0.8888888888888888,0.12903225806451613,0.22535211267605634,0.8709677419354839,7.75,0.36470588235294116
mpox,serial_interval,P10,14,32,1,565,0.9333333333333333,0.30434782608695654,0.45901639344262296,0.6956521739130435,3.2857142857142856,0.9463986599664992
covid19,reproduction_number,P16,34,288,2,251,0.9444444444444444,0.10559006211180125,0.18994413407821228,0.8944099378881988,9.470588235294118,0.46567717996289426
covid19,fatality,P4,53,159,3,130,0.9464285714285714,0.25,0.39552238805970147,0.75,4.0,0.44982698961937717
covid19,serial_interval,P12,18,28,1,99,0.9473684210526315,0.391304347826087,0.5538461538461538,0.6086956521739131,2.5555555555555554,0.7795275590551181
covid19,serial_interval,P11,73,99,3,666,0.9605263157894737,0.42441860465116277,0.5887096774193548,0.5755813953488372,2.356164383561644,0.8705882352941177
covid19,serial_interval,P10,27,30,1,541,0.9642857142857143,0.47368421052631576,0.6352941176470588,0.5263157894736842,2.111111111111111,0.9474605954465849
covid19,reproduction_number,P7,120,101,2,351,0.9836065573770492,0.5429864253393665,0.6997084548104956,0.45701357466063347,1.8416666666666666,0.7765486725663717
covid19,fatality,P6,32,711,0,1510,1.0,0.04306864064602961,0.08258064516129032,0.9569313593539704,23.21875,0.6798739306618641
covid19,reproduction_number,P15,25,438,0,246,1.0,0.05399568034557235,0.10245901639344263,0.9460043196544277,18.52,0.35964912280701755
mpox,serial_interval,P6,5,56,0,461,1.0,0.08196721311475409,0.1515151515151515,0.9180327868852459,12.2,0.8916827852998066
covid19,reproduction_number,P17,15,110,0,84,1.0,0.12,0.21428571428571425,0.88,8.333333333333334,0.4329896907216495
covid19,reproduction_number,P8,44,269,0,262,1.0,0.14057507987220447,0.2464985994397759,0.8594249201277955,7.113636363636363,0.4934086629001883
mpox,reproduction_number,P9,3,17,0,799,1.0,0.15,0.2608695652173913,0.85,6.666666666666667,0.9791666666666666
mpox,serial_interval,P11,5,18,0,40,1.0,0.21739130434782608,0.3571428571428571,0.782608695652174,4.6,0.6896551724137931
covid19,fatality,P5,48,147,0,1687,1.0,0.24615384615384617,0.39506172839506176,0.7538461538461538,4.0625,0.9198473282442748
mpox,fatality,P7,27,59,0,266,1.0,0.313953488372093,0.47787610619469023,0.686046511627907,3.185185185185185,0.8184615384615385
