disease,topic,kind,n,disease_mean,disease_median,population_mean,population_median,location_mean,location_median,evidence_mean,evidence_median,parameter_mean,parameter_median,overall_mean,overall_median
covid19,all,FN,19,4,4,3.8421052631578947,4,3.3684210526315788,4,3.1052631578947367,3,0.6842105263157895,0,2.8947368421052633,3
covid19,all,FP,2474,3.9991915925626516,4.0,3.9514955537590946,4.0,3.7166531932093774,4.0,3.437348423605497,4.0,3.2760711398544866,4.0,3.620452708164915,4.0
covid19,all,TP,542,3.9981549815498156,4.0,3.977859778597786,4.0,3.9280442804428044,4.0,3.8653136531365315,4.0,3.7583025830258303,4.0,3.88929889298893,4.0
covid19,fatality,FN,3,4,4,3.6666666666666665,4,3.3333333333333335,4,2.3333333333333335,2,1.6666666666666667,2,2.6666666666666665,3
covid19,fatality,FP,1017,4,4,3.9813176007866273,4,3.697148475909538,4,3.5427728613569323,4,3.3854473942969516,4,3.690265486725664,4
covid19,fatality,TP,133,4,4,4,4,3.9323308270676693,4,3.9473684210526314,4,3.8796992481203008,4,3.954887218045113,4
covid19,reproduction_number,FN,4,4,4.0,3.5,4.0,2.75,3.0,3.25,3.0,1.25,1.5,3,3.0
covid19,reproduction_number,FP,1206,3.998341625207297,4.0,3.9245439469320065,4.0,3.716417910447761,4.0,3.326699834162521,4.0,3.2313432835820897,4.0,3.574626865671642,4.0
covid19,reproduction_number,TP,238,3.995798319327731,4.0,3.953781512605042,4.0,3.9243697478991595,4.0,3.7815126050420167,4.0,3.634453781512605,4.0,3.827731092436975,4.0
covid19,serial_interval,FN,12,4,4.0,4,4.0,3.5833333333333335,4.0,3.25,4.0,0.25,0.0,2.9166666666666665,3.0
covid19,serial_interval,FP,251,4,4,3.960159362549801,4,3.7968127490039842,4,3.541832669322709,4,3.047808764940239,4,3.557768924302789,4
covid19,serial_interval,TP,171,4,4,3.9941520467836256,4,3.9298245614035086,4,3.91812865497076,4,3.8362573099415203,4,3.9239766081871346,4
mpox,all,FN,15,4,4,3.8666666666666667,4,3.6666666666666665,4,3.066666666666667,3,1,1,2.8666666666666667,3
mpox,all,FP,472,3.9915254237288136,4.0,3.9322033898305087,4.0,3.468220338983051,4.0,3.1991525423728815,3.0,2.5211864406779663,2.0,3.218220338983051,3.0
mpox,all,TP,92,4,4.0,3.989130434782609,4.0,3.902173913043478,4.0,3.891304347826087,4.0,3.467391304347826,4.0,3.782608695652174,4.0
mpox,fatality,FN,13,4,4,3.8461538461538463,4,3.6923076923076925,4,3.1538461538461537,3,1,1,2.923076923076923,3
mpox,fatality,FP,325,3.993846153846154,4,3.9323076923076923,4,3.403076923076923,4,3.169230769230769,3,2.473846153846154,2,3.187692307692308,3
mpox,fatality,TP,58,4,4.0,3.9827586206896552,4.0,3.9310344827586206,4.0,3.8793103448275863,4.0,3.293103448275862,4.0,3.689655172413793,4.0
mpox,reproduction_number,FP,17,3.9411764705882355,4,3.8823529411764706,4,3.3529411764705883,4,2.823529411764706,3,2.3529411764705883,2,3.1176470588235294,3
mpox,reproduction_number,TP,3,4,4,4,4,4,4,4,4,4,4,4,4
mpox,serial_interval,FN,2,4,4.0,4,4.0,3.5,3.5,2.5,2.5,1,1.0,2.5,2.5
mpox,serial_interval,FP,130,3.9923076923076923,4.0,3.9384615384615387,4.0,3.646153846153846,4.0,3.3230769230769233,3.0,2.6615384615384614,2.0,3.3076923076923075,3.0
mpox,serial_interval,TP,31,4,4,4,4,3.838709677419355,4,3.903225806451613,4,3.7419354838709675,4,3.935483870967742,4
overall,all,FN,34,4,4.0,3.8529411764705883,4.0,3.5,4.0,3.088235294117647,3.0,0.8235294117647058,1.0,2.8823529411764706,3.0
overall,all,FP,2946,3.9979633401221997,4.0,3.9484046164290563,4.0,3.6768499660556686,4.0,3.39918533604888,4.0,3.155125594025798,4.0,3.556008146639511,4.0
overall,all,TP,634,3.998422712933754,4.0,3.9794952681388014,4.0,3.9242902208201893,4.0,3.869085173501577,4.0,3.7160883280757098,4.0,3.8738170347003154,4.0
