experiment,disease,topic,project,gt,total,tp,fp,fn,tn,strong,possible,unlikely,errors,missing_gt,recall,precision,f1,fdr,nns,workload_reduction,selected_reason
model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509,covid19,fatality,4,56,345,53,159,3,130,184,28,133,0,0,0.9464285714285714,0.25,0.39552238805970147,0.75,4.0,0.37681159420289856,best_complete_qwen36_baseline
model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509,covid19,fatality,5,48,1882,48,147,0,1687,142,53,1687,0,0,1.0,0.24615384615384617,0.39506172839506176,0.7538461538461538,4.0625,0.8963868225292242,best_complete_qwen36_baseline
model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509,covid19,fatality,6,32,2253,32,711,0,1510,458,285,1510,0,0,1.0,0.04306864064602961,0.08258064516129032,0.9569313593539703,23.21875,0.6702174877940523,best_complete_qwen36_baseline
model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509,covid19,reproduction_number,7,122,574,120,101,2,351,127,94,353,0,0,0.9836065573770492,0.5429864253393665,0.6997084548104956,0.4570135746606335,1.8416666666666668,0.6114982578397212,best_complete_qwen36_baseline
model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509,covid19,reproduction_number,8,44,575,44,269,0,262,201,112,262,0,0,1.0,0.14057507987220447,0.2464985994397759,0.8594249201277955,7.113636363636364,0.45565217391304347,best_complete_qwen36_baseline
model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509,covid19,reproduction_number,17,15,209,15,110,0,84,80,45,84,0,0,1.0,0.12,0.21428571428571425,0.88,8.333333333333334,0.4019138755980861,best_complete_qwen36_baseline
model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509,covid19,serial_interval,10,28,599,27,30,1,541,41,16,542,0,0,0.9642857142857143,0.47368421052631576,0.6352941176470588,0.5263157894736843,2.111111111111111,0.9031719532554258,best_complete_qwen36_baseline
model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509,covid19,serial_interval,11,76,841,73,99,3,666,126,46,669,0,0,0.9605263157894737,0.42441860465116277,0.5887096774193548,0.5755813953488372,2.356164383561644,0.7919143876337693,best_complete_qwen36_baseline
model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509,covid19,serial_interval,12,19,146,18,28,1,99,28,18,100,0,0,0.9473684210526315,0.391304347826087,0.5538461538461538,0.6086956521739131,2.5555555555555554,0.678082191780822,best_complete_qwen36_baseline
model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509,covid19,serial_interval,13,51,111,45,40,6,20,62,23,26,0,0,0.8823529411764706,0.5294117647058824,0.661764705882353,0.47058823529411764,1.8888888888888888,0.18018018018018017,best_complete_qwen36_baseline
