rank,preferred,model_id,display_name,scope,profiles,gt,total,tp,fp,fn,tn,recall,precision,f1,nns,workload_reduction
1,yes,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_recall_20260509,Calibrated Qwen3.6 Plus v1-R,overall,22,668,12758,641,2727,27,9363,0.9595808383233533,0.1903206650831354,0.31764122893954405,5.254290171606864,0.7338924596331713
1,yes,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_recall_20260509,Calibrated Qwen3.6 Plus v1-R,covid19,13,561,8913,542,2398,19,5954,0.966131907308378,0.18435374149659864,0.3096258211939446,5.424354243542435,0.6680130146976326
1,yes,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_recall_20260509,Calibrated Qwen3.6 Plus v1-R,mpox,9,107,3845,99,329,8,3409,0.9252336448598131,0.23130841121495327,0.37009345794392523,4.3232323232323235,0.8866059817945383
2,no,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,Original Qwen3.6 Plus,overall,22,668,12758,634,2946,34,9144,0.9491017964071856,0.1770949720670391,0.29849340866290025,5.646687697160884,0.7167267596802006
2,no,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,Original Qwen3.6 Plus,covid19,13,561,8913,542,2474,19,5878,0.966131907308378,0.1797082228116711,0.30304724629577856,5.564575645756458,0.6594861438348479
2,no,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_qwen3-6-plus,Original Qwen3.6 Plus,mpox,9,107,3845,92,472,15,3266,0.8598130841121495,0.16312056737588654,0.27421758569299554,6.130434782608695,0.8494148244473342
3,no,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,Original DeepSeek v4 Pro,overall,22,668,12748,604,2775,64,9306,0.9041916167664671,0.17875110979579759,0.29849271064986416,5.594370860927152,0.7299968622529024
3,no,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,Original DeepSeek v4 Pro,covid19,13,561,8904,510,2285,51,6059,0.9090909090909091,0.18246869409660108,0.3039332538736591,5.480392156862745,0.6804806828391734
3,no,model_5d_screening_multi_adaptive_highc_llmtier_20260507_boyue_deepseek-v4-pro,Original DeepSeek v4 Pro,mpox,9,107,3844,94,490,13,3247,0.8785046728971962,0.16095890410958905,0.27206946454413894,6.212765957446808,0.8446930280957337
4,no,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,LEADS-Minimal,overall,22,668,12758,587,6239,81,5851,0.8787425149700598,0.08599472604746557,0.15665866026154257,11.62862010221465,0.4586142028531118
4,no,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,LEADS-Minimal,covid19,13,561,8913,501,4840,60,3512,0.893048128342246,0.09380265867815016,0.16977295831921382,10.66067864271457,0.3940311903960507
4,no,leads_mistral_freeze_prompt_sweep_strict__disease_parameter_minimal,LEADS-Minimal,mpox,9,107,3845,86,1399,21,2339,0.8037383177570093,0.057912457912457915,0.10804020100502514,17.267441860465116,0.6083224967490247
