experiment,source_runs,provider,model,disease,topic,project,profile,gt,total,tp_mean,fp_mean,fn_mean,tn_mean,tp_runs,fp_runs,fn_runs,tn_runs,recall_mean,recall_min,recall_max,recall_runs,nns_mean,nns_min,nns_max,nns_runs
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,fatality,4,P4,56,345,55.33333333,172.66666667,0.66666667,116.33333333,56;55;55,172;173;173,0;1;1,117;116;116,0.9880952381,0.9821428571,1.0000000000,1.0000000000;0.9821428571;0.9821428571,4.1207792208,4.0714285714,4.1454545455,4.0714285714;4.1454545455;4.1454545455
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,fatality,5,P5,48,1882,48.00000000,141.00000000,0.00000000,1693.00000000,48;48;48,142;143;138,0;0;0,1692;1691;1696,1.0000000000,1.0000000000,1.0000000000,1.0000000000;1.0000000000;1.0000000000,3.9375000000,3.8750000000,3.9791666667,3.9583333333;3.9791666667;3.8750000000
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,fatality,6,P6,32,2253,32.00000000,801.00000000,0.00000000,1420.00000000,32;32;32,805;797;801,0;0;0,1416;1424;1420,1.0000000000,1.0000000000,1.0000000000,1.0000000000;1.0000000000;1.0000000000,26.0312500000,25.9062500000,26.1562500000,26.1562500000;25.9062500000;26.0312500000
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,reproduction_number,15,P15,25,709,25.00000000,421.33333333,0.00000000,262.66666667,25;25;25,418;426;420,0;0;0,266;258;264,1.0000000000,1.0000000000,1.0000000000,1.0000000000;1.0000000000;1.0000000000,17.8533333333,17.7200000000,18.0400000000,17.7200000000;18.0400000000;17.8000000000
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,reproduction_number,16,P16,36,575,34.66666667,259.66666667,1.33333333,278.66666667,34;35;35,263;257;259,2;1;1,275;282;279,0.9629629630,0.9444444444,0.9722222222,0.9444444444;0.9722222222;0.9722222222,8.4927170868,8.3428571429,8.7352941176,8.7352941176;8.3428571429;8.4000000000
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,reproduction_number,17,P17,15,209,14.00000000,101.00000000,1.00000000,93.00000000,14;14;14,102;100;101,1;1;1,92;94;93,0.9333333333,0.9333333333,0.9333333333,0.9333333333;0.9333333333;0.9333333333,8.2142857143,8.1428571429,8.2857142857,8.2857142857;8.1428571429;8.2142857143
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,reproduction_number,7,P7,122,574,121.00000000,91.33333333,1.00000000,360.66666667,120;121;122,92;92;90,2;1;0,360;360;362,0.9918032787,0.9836065574,1.0000000000,0.9836065574;0.9918032787;1.0000000000,1.7549007211,1.7377049180,1.7666666667,1.7666666667;1.7603305785;1.7377049180
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,reproduction_number,8,P8,44,575,44.00000000,252.00000000,0.00000000,278.66666667,44;44;44,254;253;249,0;0;0,276;278;282,1.0000000000,1.0000000000,1.0000000000,1.0000000000;1.0000000000;1.0000000000,6.7272727273,6.6590909091,6.7727272727,6.7727272727;6.7500000000;6.6590909091
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,serial_interval,10,P10,28,599,26.00000000,28.66666667,2.00000000,542.33333333,26;26;26,30;28;28,2;2;2,541;543;543,0.9285714286,0.9285714286,0.9285714286,0.9285714286;0.9285714286;0.9285714286,2.1025641026,2.0769230769,2.1538461538,2.1538461538;2.0769230769;2.0769230769
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,serial_interval,11,P11,76,841,73.66666667,85.33333333,2.33333333,679.66666667,73;74;74,81;85;90,3;2;2,684;680;675,0.9692982456,0.9605263158,0.9736842105,0.9605263158;0.9736842105;0.9736842105,2.1581513020,2.1095890411,2.2162162162,2.1095890411;2.1486486486;2.2162162162
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,serial_interval,12,P12,19,146,17.00000000,27.00000000,2.00000000,100.00000000,17;17;17,28;26;27,2;2;2,99;101;100,0.8947368421,0.8947368421,0.8947368421,0.8947368421;0.8947368421;0.8947368421,2.5882352941,2.5294117647,2.6470588235,2.6470588235;2.5294117647;2.5882352941
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,serial_interval,13,P13,51,111,44.66666667,31.66666667,6.33333333,28.33333333,45;45;44,33;31;31,6;6;7,27;29;29,0.8758169935,0.8627450980,0.8823529412,0.8823529412;0.8823529412;0.8627450980,1.7089225589,1.6888888889,1.7333333333,1.7333333333;1.6888888889;1.7045454545
qwen36_plus_openrouter_direct_single_b1c8_j2_20260510_repeat_mean_range,qwen36_plus_openrouter_direct_single_b1c8_j2_repeat1_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat2_20260510;qwen36_plus_openrouter_direct_single_b1c8_j2_repeat3_20260510,openrouter,qwen/qwen3.6-plus,covid19,serial_interval,14,P14,9,94,8.00000000,43.00000000,1.00000000,42.00000000,8;8;8,43;42;44,1;1;1,42;43;41,0.8888888889,0.8888888889,0.8888888889,0.8888888889;0.8888888889;0.8888888889,6.3750000000,6.2500000000,6.5000000000,6.3750000000;6.2500000000;6.5000000000
