model_source,model_display,disease,title,row_type,topic,project,label,gt,tp,fp,raw,recall,nns,nns_lo,nns_hi,project_count,source_experiment
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Serial Interval,10,"Madewell et al., 2023",28,27,30,599,0.9642857142857143,2.111111111111111,1.664386303536758,2.8582079351463707,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Serial Interval,11,"Xu et al., 2023",76,73,99,841,0.9605263157894737,2.356164383561644,2.00343471131229,2.8328863995903184,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Serial Interval,12,"Alene et al., 2021",19,18,28,146,0.9473684210526315,2.5555555555555554,1.867643249968613,3.7888802068215113,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Serial Interval,13,"Ali et al., 2022",51,45,40,111,0.8823529411764706,1.8888888888888888,1.582428510517829,2.3566016129389613,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Serial Interval,14,"Rai et al., 2021",9,8,54,94,0.8888888888888888,7.75,4.264472904099975,14.957077095900027,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,subtotal,Serial Interval,,Serial Interval,183,171,251,1791,0.9344262295081968,2.4678362573099415,2.2089438835000306,2.7821697993425536,5,
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Reproduction Number,7,"Dhungel et al., 2022",122,120,101,574,0.9836065573770492,1.8416666666666666,1.646441588048832,2.095849634173391,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Reproduction Number,8,"Ahammed et al., 2021",44,44,269,575,1.0,7.113636363636363,5.4509771413106,9.397380709929072,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Reproduction Number,15,"Billah et al., 2020",25,25,402,709,1.0,17.08,11.764668744939554,25.01991237506045,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Reproduction Number,16,"Yu et al., 2021",36,34,248,575,0.9444444444444444,8.294117647058824,6.106533360371883,11.418839650008739,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Reproduction Number,17,"Alimohamadi et al., 2020",15,15,110,209,1.0,8.333333333333334,5.302922133776722,13.497966755112165,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,subtotal,Reproduction Number,,Reproduction Number,242,238,1130,2642,0.9834710743801653,5.7478991596638656,5.128967238980643,6.459608935018369,5,
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Fatality,4,"Lim et al., 2021",56,53,159,345,0.9464285714285714,4.0,3.2011379927446404,5.088794082727056,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Fatality,5,"Ioannidis et al., 2021",48,48,147,1882,1.0,4.0625,3.214050659350272,5.236084757316395,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,project,Fatality,6,"Alimohamadi et al., 2021",32,32,711,2253,1.0,23.21875,16.620259168533035,32.604651768966974,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,covid19,COVID-19,subtotal,Fatality,,Fatality,136,133,1017,4480,0.9779411764705882,8.646616541353383,7.383925086069616,10.159058689157925,3,
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,mpox,Mpox,project,Serial Interval,10,"Wu et al., 2025",15,14,14,612,0.9333333333333333,2.0,1.484402936714319,3.064397063285681,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,mpox,Mpox,project,Serial Interval,11,"Diaz Brochero et al., 2025",5,5,18,63,1.0,4.6,2.3864138491213427,10.34785815087866,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,mpox,Mpox,project,Serial Interval,5,"Wang et al., 2022",8,7,24,59,0.875,4.428571428571429,2.511757533327667,8.775785323815189,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,mpox,Mpox,project,Serial Interval,6,"Ponce et al., 2024",5,5,15,522,1.0,4.0,2.133538107667065,8.939741892332933,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,mpox,Mpox,subtotal,Serial Interval,,Serial Interval,33,31,71,1256,0.9393939393939394,3.2903225806451615,2.5065554820750187,4.481834944563898,4,
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,mpox,Mpox,project,Reproduction Number,9,"Okoli et al., 2024",3,3,3,819,1.0,2.0,1.2309401335874803,5.330126533079186,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,mpox,Mpox,subtotal,Reproduction Number,,Reproduction Number,3,3,3,819,1.0,2.0,1.2309401335874803,5.330126533079186,1,
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,mpox,Mpox,project,Fatality,12,"Sanchez Clemente et al., 2024",16,15,79,643,0.9375,6.266666666666667,4.05307513301804,10.085193311426403,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,mpox,Mpox,project,Fatality,4,"Cadmus et al., 2024",14,11,10,92,0.7857142857142857,1.9090909090909092,1.3955509447286443,3.089354840395322,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,mpox,Mpox,project,Fatality,7,"Vasudevan et al., 2025",27,27,59,352,1.0,3.185185185185185,2.3911659796746605,4.432397257636725,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,mpox,Mpox,project,Fatality,8,"Sharif et al., 2023",14,10,50,683,0.7142857142857143,6.0,3.5673704967351414,10.73758950326486,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_20260509
calibrated_qwen3_6_plus_v1,Calibrated Qwen3.6 Plus v1,mpox,Mpox,subtotal,Fatality,,Fatality,71,63,198,1770,0.8873239436619719,4.142857142857143,3.3692182262746715,5.169118281661835,4,
calibrated_qwen3_6_plus_v1_recall,Calibrated Qwen3.6 Plus v1-R,covid19,COVID-19,project,Serial Interval,10,"Madewell et al., 2023",28,27,30,599,0.9642857142857143,2.111111111111111,1.664386303536758,2.8582079351463707,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_recall_20260509
calibrated_qwen3_6_plus_v1_recall,Calibrated Qwen3.6 Plus v1-R,covid19,COVID-19,project,Serial Interval,11,"Xu et al., 2023",76,73,99,841,0.9605263157894737,2.356164383561644,2.00343471131229,2.8328863995903184,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_recall_20260509
calibrated_qwen3_6_plus_v1_recall,Calibrated Qwen3.6 Plus v1-R,covid19,COVID-19,project,Serial Interval,12,"Alene et al., 2021",19,18,28,146,0.9473684210526315,2.5555555555555554,1.867643249968613,3.7888802068215113,,model_5d_screening_calibrated_boyue_qwen3-6-plus_v1_recall_20260509
