experiment,disease,topic,project,gt,total,tp,fp,fn,tn,strong,possible,unlikely,errors,missing_gt,recall,precision,f1,fdr,nns,workload_reduction
5d_dsv4pro_v5,mpox,fatality,4,14,46,14,9,0,23,2,21,23,0,0,1.0,0.6086956521739131,0.7567567567567568,0.3913043478260869,1.6428571428571428,0.5
5d_dsv4pro_v5,mpox,fatality,7,27,952,25,210,2,715,91,144,717,0,0,0.9259259259259259,0.10638297872340426,0.19083969465648856,0.8936170212765957,9.4,0.7510504201680672
5d_dsv4pro_v5,mpox,fatality,8,14,582,12,278,2,290,16,274,292,0,0,0.8571428571428571,0.041379310344827586,0.07894736842105263,0.9586206896551724,24.166666666666668,0.49828178694158076
5d_dsv4pro_v5,mpox,fatality,12,16,146,16,71,0,59,20,67,59,0,0,1.0,0.1839080459770115,0.3106796116504854,0.8160919540229885,5.4375,0.4041095890410959
5d_dsv4pro_v5,mpox,reproduction_number,9,3,423,3,139,0,281,11,131,281,0,0,1.0,0.02112676056338028,0.041379310344827586,0.9788732394366197,47.333333333333336,0.6643026004728132
5d_dsv4pro_v5,mpox,serial_interval,5,8,18,7,0,1,10,3,4,11,0,0,0.875,1.0,0.9333333333333333,0.0,1.0,0.5555555555555556
5d_dsv4pro_v5,mpox,serial_interval,6,5,55,5,18,0,32,16,7,32,0,0,1.0,0.21739130434782608,0.3571428571428571,0.782608695652174,4.6000000000000005,0.5818181818181818
5d_dsv4pro_v5,mpox,serial_interval,10,15,164,15,79,0,70,37,57,70,0,0,1.0,0.1595744680851064,0.27522935779816515,0.8404255319148937,6.266666666666667,0.4268292682926829
5d_dsv4pro_v5,mpox,serial_interval,11,5,27,5,12,0,10,6,11,10,0,0,1.0,0.29411764705882354,0.45454545454545453,0.7058823529411764,3.4,0.37037037037037035
5d_dual_label_deepseekv4pro_p13_possible_fulltext_20260507,covid19,serial_interval,13,51,111,43,31,8,29,63,11,37,0,0,0.8431372549019608,0.581081081081081,0.688,0.41891891891891897,1.7209302325581397,0.26126126126126126
5d_dual_label_deepseekv4pro_pilot,covid19,serial_interval,10,28,599,26,29,2,542,40,15,544,0,0,0.9285714285714286,0.4727272727272727,0.6265060240963856,0.5272727272727273,2.1153846153846154,0.9048414023372288
5d_dual_label_deepseekv4pro_pilot,covid19,serial_interval,13,51,111,43,31,8,29,63,11,37,0,0,0.8431372549019608,0.581081081081081,0.688,0.41891891891891897,1.7209302325581397,0.26126126126126126
5d_dual_label_deepseekv4pro_pilot,covid19,serial_interval,14,9,94,8,46,1,39,42,12,40,0,0,0.8888888888888888,0.14814814814814814,0.25396825396825395,0.8518518518518519,6.75,0.4148936170212766
cmp_covid13_deepseek_deepseek-v4-flash_5d_nofulltext_c16,covid19,fatality,4,56,345,54,164,2,125,188,30,127,0,0,0.9642857142857143,0.24770642201834864,0.39416058394160586,0.7522935779816513,4.037037037037037,0.36231884057971014
cmp_covid13_deepseek_deepseek-v4-flash_5d_nofulltext_c16,covid19,fatality,5,48,1882,48,249,0,1585,128,169,1585,0,0,1.0,0.16161616161616163,0.27826086956521745,0.8383838383838383,6.187499999999999,0.8421891604675876
cmp_covid13_deepseek_deepseek-v4-flash_5d_nofulltext_c16,covid19,fatality,6,32,2253,30,814,2,1407,531,313,1409,0,0,0.9375,0.035545023696682464,0.0684931506849315,0.9644549763033176,28.133333333333333,0.6245006657789614
cmp_covid13_deepseek_deepseek-v4-flash_5d_nofulltext_c16,covid19,reproduction_number,7,122,574,84,53,38,399,117,20,437,0,0,0.6885245901639344,0.6131386861313869,0.6486486486486487,0.3868613138686131,1.630952380952381,0.6951219512195121
