experiment,disease,topic,profiles,gt,total,tp,fp,fn,tn,strong,possible,unlikely,errors,missing_gt,recall,precision,f1,fdr,nns,workload_reduction
5d_dsv4pro_v5,mpox,fatality,4,71,1726,67,568,4,1087,129,506,1091,0,0,0.9436619718309859,0.10551181102362205,0.18980169971671387,0.8944881889763779,9.477611940298507,0.6297798377752027
5d_dsv4pro_v5,mpox,reproduction_number,1,3,423,3,139,0,281,11,131,281,0,0,1.0,0.02112676056338028,0.041379310344827586,0.9788732394366197,47.333333333333336,0.6643026004728132
5d_dsv4pro_v5,mpox,serial_interval,4,33,264,32,109,1,122,62,79,123,0,0,0.9696969696969697,0.22695035460992907,0.367816091954023,0.7730496453900709,4.40625,0.4621212121212121
5d_dual_label_deepseekv4pro_p13_possible_fulltext_20260507,covid19,serial_interval,1,51,111,43,31,8,29,63,11,37,0,0,0.8431372549019608,0.581081081081081,0.688,0.41891891891891897,1.7209302325581397,0.26126126126126126
5d_dual_label_deepseekv4pro_pilot,covid19,serial_interval,3,88,804,77,106,11,610,145,38,621,0,0,0.875,0.4207650273224044,0.5682656826568266,0.5792349726775956,2.3766233766233764,0.7587064676616916
cmp_covid13_deepseek_deepseek-v4-flash_5d_nofulltext_c16,covid19,fatality,3,136,4480,132,1227,4,3117,847,512,3121,0,0,0.9705882352941176,0.09713024282560706,0.17658862876254183,0.9028697571743929,10.295454545454545,0.6957589285714286
cmp_covid13_deepseek_deepseek-v4-flash_5d_nofulltext_c16,covid19,reproduction_number,5,242,2640,179,915,63,1483,883,211,1546,2,0,0.7396694214876033,0.1636197440585009,0.26796407185628746,0.8363802559414991,6.111731843575419,0.5617424242424243
cmp_covid13_deepseek_deepseek-v4-flash_5d_nofulltext_c16,covid19,serial_interval,5,183,1790,170,272,13,1336,323,119,1348,0,1,0.9289617486338798,0.38461538461538464,0.544,0.6153846153846154,2.5999999999999996,0.7463687150837989
cmp_covid13_minimax_minimax-m2.7_5d_nofulltext_c8,covid19,fatality,1,56,345,52,158,4,131,178,32,135,0,0,0.9285714285714286,0.24761904761904763,0.3909774436090226,0.7523809523809524,4.038461538461538,0.37971014492753624
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,fatality,3,136,4480,135,1134,1,3210,958,311,3211,0,0,0.9926470588235294,0.10638297872340426,0.19217081850533807,0.8936170212765957,9.4,0.7165178571428571
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,reproduction_number,5,242,2641,170,674,72,1725,742,102,1797,1,0,0.7024793388429752,0.2014218009478673,0.31307550644567217,0.7985781990521327,4.964705882352941,0.6531616811813707
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,covid19,serial_interval,5,183,1790,174,305,9,1303,323,156,1311,0,1,0.9508196721311475,0.36325678496868474,0.525679758308157,0.6367432150313153,2.7528735632183907,0.7279329608938547
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,fatality,3,136,4466,6,679,130,3651,0,685,3781,14,0,0.04411764705882353,0.008759124087591242,0.014616321559074302,0.9912408759124087,114.16666666666666,0.8175100761307658
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,reproduction_number,5,242,2640,5,112,237,2286,0,117,2523,2,0,0.02066115702479339,0.042735042735042736,0.027855153203342618,0.9572649572649573,23.4,0.865909090909091
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,covid19,serial_interval,5,183,1790,180,1524,3,84,0,1704,86,0,1,0.9836065573770492,0.1056338028169014,0.19077901430842606,0.8943661971830986,9.466666666666667,0.04692737430167598
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c8,covid19,fatality,2,104,1500,0,0,104,1414,0,0,1500,727,18,0.0,0.0,0.0,0.0,0.0,0.9426666666666667
