experiment,profiles,gt,total,tp,fp,fn,tn,strong,possible,unlikely,errors,missing_gt,recall,precision,f1,fdr,nns,workload_reduction,recall_ci_low,recall_ci_high,precision_ci_low,precision_ci_high
model_5d_screening_priority_stable_20260507_lab_deepseek-3-2,18,620,10011,555,2570,65,6821,2459,666,6886,0,0,0.8951612903225806,0.1776,0.2963951935914552,0.8224,5.63063063063063,0.6813505144341224,0.86856527877005,0.9168905164189851,0.1645985533291786,0.19139313381791123
cmp_covid13_qwen_qwen3.6-35b-a3b_5d_nofulltext_c16,13,561,8911,479,2113,82,6238,2023,569,6319,1,1,0.8538324420677362,0.18479938271604937,0.30383761496987,0.8152006172839507,5.411273486430063,0.7000336662551903,0.8221924409200394,0.880659473669821,0.17032720111106814,0.2002044985118981
cmp_covid13_deepseek_deepseek-v4-flash_5d_nofulltext_c16,13,561,8910,481,2414,80,5936,2053,842,6015,2,1,0.857397504456328,0.16614853195164075,0.2783564814814815,0.8338514680483593,6.018711018711019,0.6662177328843996,0.8260276854314085,0.8839058605397098,0.15303382656121423,0.18014808996709825
cmp_covid13_qwen_qwen3.6-flash_5d_nofulltext_c16,13,561,8896,191,2315,370,6021,0,2506,6390,16,1,0.3404634581105169,0.0762170790103751,0.12455167916530811,0.9237829209896249,13.12041884816754,0.6768210431654677,0.3024540798423474,0.38064291584635546,0.06646436649024078,0.08726708811629692
prompt_tuned_sparse_boyue_qwen36plus_20260509,11,175,6673,156,1168,19,5330,864,460,5349,0,0,0.8914285714285715,0.11782477341389729,0.20813875917278185,0.8821752265861027,8.487179487179487,0.7987411958639292,0.8366561494621514,0.9293848611304625,0.10155405637233707,0.13630684510868296
strategy_binary_strict,10,473,8108,394,1415,79,6221,1727,82,6219,0,1,0.8329809725158562,0.2177998894416805,0.34531113058720425,0.7822001105583195,4.591370558375634,0.7672668968919586,0.7967122863074018,0.8638844401527056,0.19938804156019008,0.23740776012485515
mpox_finalprompt_mappedraw_openrouter_dsv4pro_multi_20260508_openrouter_deepseek-deepseek-v4-pro,9,107,3845,99,599,8,3139,213,485,3147,0,0,0.9252336448598131,0.14183381088825214,0.24596273291925463,0.8581661891117478,7.050505050505051,0.8163849154746424,0.8593610402927464,0.9616303564391665,0.11790849260280829,0.16968004589362737
mpox_mappedraw_holistic_openrouter_dsv4pro_multi_20260507_openrouter_deepseek-deepseek-v4-pro,9,107,3845,96,633,11,3105,209,520,3116,0,0,0.897196261682243,0.13168724279835392,0.22966507177033496,0.868312757201646,7.593749999999999,0.8075422626788037,0.8252386663134316,0.9416214295350586,0.10905915733956745,0.15817676376534806
5d_dsv4pro_v5,9,107,2413,102,816,5,1490,202,716,1495,0,0,0.9532710280373832,0.1111111111111111,0.19902439024390245,0.8888888888888888,9.0,0.6174886033982594,0.8952450580717131,0.9798776395436226,0.09237951779268477,0.13308394577849708
mpox_reduced997_holistic_openrouter_dsv4pro_multi_20260507_openrouter_deepseek-deepseek-v4-pro,4,42,389,35,66,7,281,39,62,288,0,0,0.8333333333333334,0.3465346534653465,0.4895104895104895,0.6534653465346535,2.885714285714286,0.7223650385604113,0.693957037952257,0.916841887041635,0.26089385353016686,0.44342199056225434
mpox_tunedprompt_target_openrouter_dsv4pro_multi_20260508_openrouter_deepseek-deepseek-v4-pro,4,27,1496,25,136,2,1333,43,118,1335,0,0,0.9259259259259259,0.15527950310559005,0.2659574468085106,0.84472049689441,6.44,0.891042780748663,0.7663002270926937,0.9794457783026165,0.10744385185624333,0.21918243665345322
5d_dual_label_deepseekv4pro_pilot,3,88,804,77,106,11,610,145,38,621,0,0,0.875,0.4207650273224044,0.5682656826568266,0.5792349726775956,2.3766233766233764,0.7587064676616916,0.7898806043001849,0.9287479910204541,0.3515862967206626,0.4932020159463239
